_nt,Title,期刊,Item Type,Key,PDF,判定,判定理由,软件,专科,应用场景,研究设计,原始返回
how to predict the future face a 3d methodology to forecast the aspect of patients after orthognathic surgeries,How to predict the future face? A 3D methodology to forecast the aspect of patients after orthognathic surgeries,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,journalArticle,LER47S6U,Olivetti 等 - 2025 - How to predict the future face A 3D methodology to forecast the aspect of patients after orthognath.pdf,EXCLUDE,"证据片段中仅泛泛提及商业预测软件（如 ""ProPlan CMF""、""Dolphin Imaging""）用于讨论他人研究，未显示该研究自身在材料与方法中使用任何具名的第三方非牙科3D软件，其方法为 ""Tailored image processing and volume reconstruction techniques""。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中仅泛泛提及商业预测软件（如 ""ProPlan CMF""、""Dolphin Imaging""）用于讨论他人研究，未显示该研究自身在材料与方法中使用任何具名的第三方非牙科3D软件，其方法为 ""Tailored image processing and volume reconstruction techniques""。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
automatic pulp and teeth three dimensional modeling of single and multi rooted teeth based on cone beam computed tomography imaging a promising approach with clinical and therapeutic outcomes,Automatic Pulp and Teeth Three-Dimensional Modeling of Single and Multi-Rooted Teeth Based on Cone-Beam Computed Tomography Imaging: A Promising Approach With  Clinical and Therapeutic Outcomes.,Cureus,journalArticle,YZHWVIEG,Harris 等 - 2023 - Automatic Pulp and Teeth Three-Dimensional Modeling of Single and Multi-Rooted Teeth Based on Cone-B.pdf,EXCLUDE,"证据片段显示该研究提出的是""a segmentation algorithm using heuristics based on pulp and teeth anatomy as a pre-personalized model""，属于自研算法，未提及使用任何具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段显示该研究提出的是""a segmentation algorithm using heuristics based on pulp and teeth anatomy as a pre-personalized model""，属于自研算法，未提及使用任何具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
evaluation of strain and insertion torque of mini implants at 90 and 45 angulations on a bone model using three dimensional finite element analysis,Evaluation of Strain and Insertion Torque of Mini-implants at 90° and 45° Angulations on a Bone Model using Three-Dimensional Finite Element Analysis.,Contemporary clinical dentistry,journalArticle,6GIVN8GS,Xavier 等 - 2023 - Evaluation of Strain and Insertion Torque of Mini-implants at 90° and 45° Angulations on a Bone Mode.pdf,INCLUDE,"摘要与全文中明确写道 ""A computer-aided three-dimensional (3-D) model representing alveolar bone and mini-implants were developed using ANSYS software""，表明该研究自身在材料与方法中使用了具名第三方非牙科3D软件 ANSYS 进行建模与有限元分析。",ANSYS,Orthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【判定理由】: 摘要与全文中明确写道 ""A computer-aided three-dimensional (3-D) model representing alveolar bone and mini-implants were developed using ANSYS software""，表明该研究自身在材料与方法中使用了具名第三方非牙科3D软件 ANSYS 进行建模与有限元分析。
【软件】: ANSYS
【专科】: Orthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
advanced simulation system for orbitozygomatic fracture reconstruction multicenter validation of a novel training and objective assessment platform,Advanced Simulation System for Orbitozygomatic Fracture Reconstruction: Multicenter Validation of a Novel Training and Objective Assessment Platform.,Craniomaxillofacial trauma & reconstruction,journalArticle,SG47UPMT,Vargas 等 - 2025 - Advanced Simulation System for Orbitozygomatic Fracture Reconstruction Multicenter Validation of a.pdf,EXCLUDE,"抽取的证据片段仅涉及摘要、版权信息、作者单位与引言内容，未出现任何该研究自身使用的具名第三方非牙科3D软件（如仅提及""3D-printed bony structures""而无具体软件名）。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 抽取的证据片段仅涉及摘要、版权信息、作者单位与引言内容，未出现任何该研究自身使用的具名第三方非牙科3D软件（如仅提及""3D-printed bony structures""而无具体软件名）。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
finite element analysis of platform switching effects on stress distribution in posterior implants placed in different bone types under axial and oblique loading conditions,Finite Element Analysis of Platform Switching Effects on Stress Distribution in Posterior Implants Placed in Different Bone Types Under Axial and Oblique Loading  Conditions.,Cureus,journalArticle,FA6QRXQN,Yadav 等 - 2025 - Finite Element Analysis of Platform Switching Effects on Stress Distribution in Posterior Implants P.pdf,INCLUDE,"该研究自身在材料与方法中使用 ANSYS Workbench 进行有限元应力分析，原文明确写道 ""ANSYS Workbench (ANSYS, Inc., Canonsburg, Pennsylvania) was used to assess the von Mises stress distribution""。",ANSYS Workbench,Implantology,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用 ANSYS Workbench 进行有限元应力分析，原文明确写道 ""ANSYS Workbench (ANSYS, Inc., Canonsburg, Pennsylvania) was used to assess the von Mises stress distribution""。
【软件】: ANSYS Workbench
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
biomechanical evaluation of stress distribution in equicrestal and sub crestally placed platform switched morse taper dental implants in d3 bone finite element analysis,"Biomechanical Evaluation of Stress Distribution in Equicrestal and Sub-crestally Placed, Platform-Switched Morse Taper Dental Implants in D3 Bone: Finite Element  Analysis.",Cureus,journalArticle,WXXEPTFD,"Ellendula 等 - 2022 - Biomechanical Evaluation of Stress Distribution in Equicrestal and Sub-crestally Placed, Platform-Sw.pdf",EXCLUDE,"证据片段仅提及""finite element analysis (FEA)""这一方法，未出现任何具名的第三方非牙科3D软件（如ANSYS、ABAQUS等）被该研究自己使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅提及""finite element analysis (FEA)""这一方法，未出现任何具名的第三方非牙科3D软件（如ANSYS、ABAQUS等）被该研究自己使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
in house three dimensional printing in orbital reconstructive surgery a case report and future perspectives,In-House Three-Dimensional Printing in Orbital Reconstructive Surgery: A Case Report and Future Perspectives.,Cureus,journalArticle,V9V4K2H2,Ferreira De Barros 等 - 2024 - In-House Three-Dimensional Printing in Orbital Reconstructive Surgery A Case Report and Future Pers.pdf,EXCLUDE,"证据片段仅提到 ""A virtual 3D model of the fractured orbit was created using open-source software""，未给出任何具名的第三方非牙科3D软件名称，无法确认使用了符合纳入标准的具名软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅提到 ""A virtual 3D model of the fractured orbit was created using open-source software""，未给出任何具名的第三方非牙科3D软件名称，无法确认使用了符合纳入标准的具名软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
training of oral and maxillofacial surgery residents in virtual surgical planning a feasibility study comparing open source freeware and commercially available software for mandibular reconstruction with fibula free flap,Training of Oral and Maxillofacial Surgery Residents in Virtual Surgical Planning: A Feasibility Study Comparing Open-Source Freeware and Commercially  Available Software for Mandibular Reconstruction with Fibula Free Flap.,Craniomaxillofacial trauma & reconstruction,journalArticle,G468UMA5,Rombaut 等 - 2025 - Training of Oral and Maxillofacial Surgery Residents in Virtual Surgical Planning A Feasibility Stu.pdf,INCLUDE,"该研究自身在方法中使用""3D-Slicer® and Blender®""进行虚拟手术规划工作流开发，二者均为具名的第三方非牙科3D软件。",3D Slicer; Blender,Oral and Maxillofacial Surgery,Surgical planning and precise implementation,clinical,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用""3D-Slicer® and Blender®""进行虚拟手术规划工作流开发，二者均为具名的第三方非牙科3D软件。
【软件】: 3D Slicer; Blender
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Surgical planning and precise implementation
【研究设计】: clinical"
accuracy of complete arch scans obtained by intraoral scanner and smartphone three dimensional scanning applications with different smartphone position setups an in vitro study,Accuracy of Complete-Arch Scans Obtained by Intraoral Scanner and Smartphone Three-Dimensional Scanning Applications With Different Smartphone Position  Setups: An In Vitro Study.,Cureus,journalArticle,MEJFWDKZ,Jiang 等 - 2024 - Accuracy of Complete-Arch Scans Obtained by Intraoral Scanner and Smartphone Three-Dimensional Scann.pdf,INCLUDE,"该研究自身在方法中使用 Geomagic Wrap 软件进行三维分析，原文为 ""trueness and precision were evaluated through superimposition with the reference scan and within each group, respectively, using the best-fit algorithm of Geomagic Wrap software""。",Geomagic Wrap,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 Geomagic Wrap 软件进行三维分析，原文为 ""trueness and precision were evaluated through superimposition with the reference scan and within each group, respectively, using the best-fit algorithm of Geomagic Wrap software""。
【软件】: Geomagic Wrap
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
mandibular flexure and crestal bone stress distribution on an implant supported fixed full arch mandibular prosthesis finite element analysis in three dimensions,Mandibular Flexure and Crestal Bone Stress Distribution on an Implant-Supported Fixed Full Arch Mandibular Prosthesis: Finite Element Analysis in Three  Dimensions.,Cureus,journalArticle,X6AN57YI,Sharma 等 - 2023 - Mandibular Flexure and Crestal Bone Stress Distribution on an Implant-Supported Fixed Full Arch Mand.pdf,INCLUDE,"证据片段明确显示该研究自身使用了非牙科3D软件：""the finished product was transferred to ANSYS R 18.1 software (Sirsa, Haryana, India) for finite element simulation""。",ANSYS,Prosthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【判定理由】: 证据片段明确显示该研究自身使用了非牙科3D软件：""the finished product was transferred to ANSYS R 18.1 software (Sirsa, Haryana, India) for finite element simulation""。
【软件】: ANSYS
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
comparative evaluation of the wear rate of reinforced glass ionomer cement and bulk fill composite using 3d scan in extracted teeth and its association with clinical wear rate in class i and ii restorations a randomized clinical trial,Comparative Evaluation of the Wear Rate of Reinforced Glass Ionomer Cement and Bulk-Fill Composite Using 3D Scan in Extracted Teeth and Its Association With  Clinical Wear Rate in Class I and II Restorations: A Randomized Clinical Trial.,Cureus,journalArticle,3TZA3JYJ,Govula 等 - 2026 - Comparative Evaluation of the Wear Rate of Reinforced Glass Ionomer Cement and Bulk-Fill Composite U.pdf,INCLUDE,"该研究自身在材料与方法中使用 Geomagic 软件进行三维磨损分析，证据片段明确写道 ""Volumetric wear was determined using the Geomagic software (3D Systems, Rock Hill, SC, USA)"" 以及 ""imported into Geomagic Control X (3D Systems, Rock Hill, SC, USA)""。",Geomagic; Geomagic Control X,Restorative Dentistry,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用 Geomagic 软件进行三维磨损分析，证据片段明确写道 ""Volumetric wear was determined using the Geomagic software (3D Systems, Rock Hill, SC, USA)"" 以及 ""imported into Geomagic Control X (3D Systems, Rock Hill, SC, USA)""。
【软件】: Geomagic; Geomagic Control X
【专科】: Restorative Dentistry
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
effect of different cantilever lengths in polyether ether ketone prosthetic framework in all on four technique on stress distribution a three dimensional 3d finite element analysis,Effect of Different Cantilever Lengths in Polyether Ether Ketone Prosthetic Framework in All-on-Four Technique on Stress Distribution: A Three-Dimensional  (3D) Finite Element Analysis.,Cureus,journalArticle,ZZ85MX92,Almjaddr和Saker - 2024 - Effect of Different Cantilever Lengths in Polyether Ether Ketone Prosthetic Framework in All-on-Four.pdf,INCLUDE,"该研究自身在材料与方法中使用 Mimics 软件处理 CBCT 数据并构建三维模型，证据原文为""exported in STL file format using Mimics software (Materialise's Interactive Medical Image)""。",Mimics,Prosthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用 Mimics 软件处理 CBCT 数据并构建三维模型，证据原文为""exported in STL file format using Mimics software (Materialise's Interactive Medical Image)""。
【软件】: Mimics
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
craniofacial soft tissue anthropomorphic database with magnetic resonance imaging and unbiased diffeomorphic registration,Craniofacial Soft-Tissue Anthropomorphic Database with Magnetic Resonance Imaging and Unbiased Diffeomorphic Registration,PLASTIC AND RECONSTRUCTIVE SURGERY,journalArticle,EYH7C2TZ,Villavisanis 等 - 2024 - Craniofacial Soft-Tissue Anthropomorphic Database with Magnetic Resonance Imaging and Unbiased Diffe.pdf,INCLUDE,"该研究自身在方法中使用具名第三方非牙科3D软件，原文明确写道 ""using the Advanced Normalization Tools package"" 以及 ""anatomical measurements in Materalise Mimics""。",Advanced Normalization Tools; Materialise Mimics,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用具名第三方非牙科3D软件，原文明确写道 ""using the Advanced Normalization Tools package"" 以及 ""anatomical measurements in Materalise Mimics""。
【软件】: Advanced Normalization Tools; Materialise Mimics
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
proof of concept digital physical workflow for clear aligner manufacturing,Proof-of-Concept Digital-Physical Workflow for Clear Aligner Manufacturing.,Dentistry journal,journalArticle,7RLZP4A4,Huang 等 - 2025 - Proof-of-Concept Digital-Physical Workflow for Clear Aligner Manufacturing.pdf,INCLUDE,"该研究自身在材料与方法中使用 CloudCompare v2.13.0 进行几何精度量化，原文明确写道 ""Geometric accuracy was quantified using CloudCompare v2.13.0"" 及 ""CloudCompare v2.13.0 ... was used""。",CloudCompare; ANSYS Polyflow,Orthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用 CloudCompare v2.13.0 进行几何精度量化，原文明确写道 ""Geometric accuracy was quantified using CloudCompare v2.13.0"" 及 ""CloudCompare v2.13.0 ... was used""。
【软件】: CloudCompare; ANSYS Polyflow
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
automated remodelling of connectors in fixed partial dentures,Automated Remodelling of Connectors in Fixed Partial Dentures.,Dentistry journal,journalArticle,KC7UPHLF,Jemaa 等 - 2023 - Automated Remodelling of Connectors in Fixed Partial Dentures.pdf,INCLUDE,"该研究自身在方法中使用 Rhinoceros 和 Grasshopper 插件实现自动重塑算法，并用 Ansys 进行有限元分析，如原文所述 ""The remodelling algorithm was implemented using Rhinoceros and the Grasshopper plugin"" 及 ""perform a finite element analysis with Ansys""。",Rhinoceros; Grasshopper; Ansys,Prosthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 Rhinoceros 和 Grasshopper 插件实现自动重塑算法，并用 Ansys 进行有限元分析，如原文所述 ""The remodelling algorithm was implemented using Rhinoceros and the Grasshopper plugin"" 及 ""perform a finite element analysis with Ansys""。
【软件】: Rhinoceros; Grasshopper; Ansys
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
assessing the volume of the head of the mandibular condyle using 3t mri a preliminary trial,Assessing the Volume of the Head of the Mandibular Condyle Using 3T-MRI-A Preliminary Trial.,Dentistry journal,journalArticle,N4NBSSAU,Mosca Balma 等 - 2024 - Assessing the Volume of the Head of the Mandibular Condyle Using 3T-MRI-A Preliminary Trial..pdf,INCLUDE,"该研究自身在材料与方法中使用""3D Slicer (open source, version 5.0.2)""进行DICOM体绘制、分割与分析，同时使用""MATLAB R2022a""开发半自动算法进行分割与叠加。",3D Slicer; MATLAB,Orthodontics,Image segmentation and 3D reconstruction,clinical,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用""3D Slicer (open source, version 5.0.2)""进行DICOM体绘制、分割与分析，同时使用""MATLAB R2022a""开发半自动算法进行分割与叠加。
【软件】: 3D Slicer; MATLAB
【专科】: Orthodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: clinical"
accuracy assessment of customized titanium plates compared to 3d printed splints in le fort i osteotomy a randomized clinical trial evaluating clinical and radiographic outcomes,Accuracy Assessment of Customized Titanium Plates Compared to 3D-Printed Splints in Le Fort I Osteotomy: A Randomized Clinical Trial Evaluating Clinical and  Radiographic Outcomes.,Cureus,journalArticle,W692WAXG,Abdelhamid 等 - 2025 - Accuracy Assessment of Customized Titanium Plates Compared to 3D-Printed Splints in Le Fort I Osteot.pdf,INCLUDE,"该研究自身在方法中使用 Mimics Medical 19.0 和 3-Matic Medical 14.0 进行虚拟手术规划，原文明确写道 ""Virtual surgical planning was performed using Mimics Medical 19.0 ... and 3-Matic Medical 14.0 ... software""。",Mimics; 3-Matic,Oral and Maxillofacial Surgery,Surgical planning and precise implementation,clinical,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 Mimics Medical 19.0 和 3-Matic Medical 14.0 进行虚拟手术规划，原文明确写道 ""Virtual surgical planning was performed using Mimics Medical 19.0 ... and 3-Matic Medical 14.0 ... software""。
【软件】: Mimics; 3-Matic
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Surgical planning and precise implementation
【研究设计】: clinical"
automated support generation for fixed partial dentures and impact of bone loss bone quality and support types parametric cad and finite element analysis,"Automated Support Generation for Fixed Partial Dentures and Impact of Bone Loss, Bone Quality and Support Types: Parametric Cad and Finite Element Analysis.",Dentistry journal,journalArticle,3EX7T8DA,"Jemaa 等 - 2024 - Automated Support Generation for Fixed Partial Dentures and Impact of Bone Loss, Bone Quality and Su.pdf",INCLUDE,"该研究自身在方法中使用了具名第三方非牙科3D软件，证据片段明确写道 ""The algorithm was implemented in Rhinoceros/Grasshopper to automatically generate geometries""。",Rhinoceros; Grasshopper,Prosthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用了具名第三方非牙科3D软件，证据片段明确写道 ""The algorithm was implemented in Rhinoceros/Grasshopper to automatically generate geometries""。
【软件】: Rhinoceros; Grasshopper
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
influence of framework material and posterior implant angulation in full arch all on 4 implant supported prosthesis stress concentration,Influence of Framework Material and Posterior Implant Angulation in Full-Arch All-on-4 Implant-Supported Prosthesis Stress Concentration.,Dentistry journal,journalArticle,G6977KXR,Tribst 等 - 2022 - Influence of Framework Material and Posterior Implant Angulation in Full-Arch All-on-4 Implant-Suppo.pdf,INCLUDE,"该研究自身在材料与方法中使用了具名第三方非牙科3D软件，如 ""The DICOM file was converted to STL (stereolithography) file in a 3D slicer software"" 以及 ""Using the CAD software (Rhinoceros Version 4.0 SR8...)"" 和 ""imported to the finite element software (ANSYS 17.2...)""。",3D Slicer; Rhinoceros; ANSYS,Prosthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用了具名第三方非牙科3D软件，如 ""The DICOM file was converted to STL (stereolithography) file in a 3D slicer software"" 以及 ""Using the CAD software (Rhinoceros Version 4.0 SR8...)"" 和 ""imported to the finite element software (ANSYS 17.2...)""。
【软件】: 3D Slicer; Rhinoceros; ANSYS
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
digital accuracy of closed tray implant impressions influence of polyvinyl siloxane viscosity and subgingival posterior implant angulation,Digital Accuracy of Closed-Tray Implant Impressions: Influence of Polyvinyl Siloxane Viscosity and Subgingival Posterior Implant Angulation.,Dentistry journal,journalArticle,LC2F3NZR,Ahmed 等 - 2025 - Digital Accuracy of Closed-Tray Implant Impressions Influence of Polyvinyl Siloxane Viscosity and S.pdf,INCLUDE,"该研究自身在材料与方法中使用""reverse engineering software (Geomagic Control X)""对STL文件进行三维偏差分析，Geomagic Control X 为非牙科第三方3D软件。",Geomagic Control X,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用""reverse engineering software (Geomagic Control X)""对STL文件进行三维偏差分析，Geomagic Control X 为非牙科第三方3D软件。
【软件】: Geomagic Control X
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
a comparison of full arch trueness and precision of nine intra oral digital scanners and four lab digital scanners,A Comparison of Full Arch Trueness and Precision of Nine Intra-Oral Digital Scanners and Four Lab Digital Scanners.,Dentistry journal,journalArticle,HTUE3J8F,Nulty - 2021 - A Comparison of Full Arch Trueness and Precision of Nine Intra-Oral Digital Scanners and Four Lab Di.pdf,INCLUDE,"该研究自身在方法中使用 CloudCompare 进行全牙弓扫描精度分析，原文明确写道""brought into CloudCompare. A comparison was made with the master STL using the CloudCompare 3D analysis best-fit algorithm""，并另使用 Meshlab 进行网格对齐处理。",CloudCompare; MeshLab,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 CloudCompare 进行全牙弓扫描精度分析，原文明确写道""brought into CloudCompare. A comparison was made with the master STL using the CloudCompare 3D analysis best-fit algorithm""，并另使用 Meshlab 进行网格对齐处理。
【软件】: CloudCompare; MeshLab
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
the role of cortical zone level and prosthetic platform angle in dental implant mechanical response a 3d finite element analysis,The role of cortical zone level and prosthetic platform angle in dental implant mechanical response: A 3D finite element analysis,DENTAL MATERIALS,journalArticle,3GB9RL4W,Ausiello 等 - 2021 - The role of cortical zone level and prosthetic platform angle in dental implant mechanical response.pdf,EXCLUDE,"证据片段仅泛泛提及""imported into Computer Aided Design (CAD) software""和""imported to FEA software""，未给出任何具名的第三方非牙科3D软件名称。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅泛泛提及""imported into Computer Aided Design (CAD) software""和""imported to FEA software""，未给出任何具名的第三方非牙科3D软件名称。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
accuracy of metal 3d printed frameworks for removable partial dentures evaluated by digital superimposition,Accuracy of metal 3D printed frameworks for removable partial dentures evaluated by digital superimposition,DENTAL MATERIALS,journalArticle,Q986RNC6,Oh 等 - 2022 - Accuracy of metal 3D printed frameworks for removable partial dentures evaluated by digital superimp.pdf,EXCLUDE,"证据片段仅提及""digital scanning with an optical triangulation principle-based tabletop scanner and superimposition using a reference best-fit alignment method""，未出现任何具名的第三方非牙科3D软件名称。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅提及""digital scanning with an optical triangulation principle-based tabletop scanner and superimposition using a reference best-fit alignment method""，未出现任何具名的第三方非牙科3D软件名称。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
establishment of optimal variable elastic modulus distribution in the design of full crown restorations by finite element analysis,Establishment of optimal variable elastic modulus distribution in the design of full-crown restorations by finite element analysis,DENTAL MATERIALS JOURNAL,journalArticle,CJ5Q5P3J,Chen 等 - 2021 - Establishment of optimal variable elastic modulus distribution in the design of full-crown restorati.pdf,INCLUDE,"证据片段明确显示该研究自身使用了非牙科3D软件：""The modeling was performed by means of Solidworks Premium 2013 SP 4.0 ... and further imported into Ansys/CAE 17.0 ... for stress analysis.""",SolidWorks; ANSYS,Prosthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【判定理由】: 证据片段明确显示该研究自身使用了非牙科3D软件：""The modeling was performed by means of Solidworks Premium 2013 SP 4.0 ... and further imported into Ansys/CAE 17.0 ... for stress analysis.""
【软件】: SolidWorks; ANSYS
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
evaluation of the mechanical properties and fit of 3d printed polyetheretherketone removable partial dentures,Evaluation of the mechanical properties and fit of 3D-printed polyetheretherketone removable partial dentures,DENTAL MATERIALS JOURNAL,journalArticle,6GSLLXSS,Guo 等 - 2022 - Evaluation of the mechanical properties and fit of 3D-printed polyetheretherketone removable partial.pdf,INCLUDE,"摘要及证据片段明确显示该研究自身使用了非牙科3D软件：""Geomagic Qualify software was used to analyze gaps between the model and the tissue surface of the framework""。",Geomagic Qualify,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【判定理由】: 摘要及证据片段明确显示该研究自身使用了非牙科3D软件：""Geomagic Qualify software was used to analyze gaps between the model and the tissue surface of the framework""。
【软件】: Geomagic Qualify
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
assessing the physical and mechanical properties of 3d printed acrylic material for denture base application,Assessing the physical and mechanical properties of 3D printed acrylic material for denture base application,DENTAL MATERIALS,journalArticle,23Y7ND62,Altarazi 等 - 2022 - Assessing the physical and mechanical properties of 3D printed acrylic material for denture base app.pdf,EXCLUDE,证据片段中出现的 Tinkercad 与 Preform 均为 3D 打印/建模相关软件，但 Tinkercad 属通用 CAD 建模工具、Preform 为 Formlabs 打印机配套软件，二者均非用于 3D 数据的处理、分析、建模或测量的具名第三方非牙科 3D 软件（如 Mimics、3D Slicer、Geomagic 等），且该研究核心为材料力学性能测试，未使用符合纳入标准的非牙科 3D 软件。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中出现的 Tinkercad 与 Preform 均为 3D 打印/建模相关软件，但 Tinkercad 属通用 CAD 建模工具、Preform 为 Formlabs 打印机配套软件，二者均非用于 3D 数据的处理、分析、建模或测量的具名第三方非牙科 3D 软件（如 Mimics、3D Slicer、Geomagic 等），且该研究核心为材料力学性能测试，未使用符合纳入标准的非牙科 3D 软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
trueness of stereolithography zro2 crowns with different build directions,Trueness of stereolithography ZrO2 crowns with different build directions,DENTAL MATERIALS JOURNAL,journalArticle,MIIDKKPB,Lee 等 - 2023 - Trueness of stereolithography ZrO(2) crowns with different build directions..pdf,INCLUDE,"该研究自身在方法中使用 ""Materialize Magics software"" 设置不同构建方向，并用 ""3D analysis software"" 对扫描的 STL 文件进行叠加分析。",Materialize Magics,Prosthodontics,Digital design and manufacturing,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 ""Materialize Magics software"" 设置不同构建方向，并用 ""3D analysis software"" 对扫描的 STL 文件进行叠加分析。
【软件】: Materialize Magics
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【研究设计】: in_vitro"
openmandible an open source framework for highly realistic numerical modelling of lower mandible physiology,OpenMandible: An open-source framework for highly realistic numerical modelling of lower mandible physiology.,Dental materials : official publication of the Academy of Dental Materials,journalArticle,CI6MMSH5,Vukicevic 等 - 2021 - OpenMandible An open-source framework for highly realistic numerical modelling of lower mandible ph.pdf,EXCLUDE,"证据片段显示该研究仅使用自研的 ""C++ software tool""（OpenMandible 框架）生成仿真模型，未提及任何具名的第三方非牙科3D软件（如 Mimics、3D Slicer、ANSYS 等）被该研究自己使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段显示该研究仅使用自研的 ""C++ software tool""（OpenMandible 框架）生成仿真模型，未提及任何具名的第三方非牙科3D软件（如 Mimics、3D Slicer、ANSYS 等）被该研究自己使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
finite element analysis of the effect of framework materials at the bone implant interface in the all on four implant system,Finite element analysis of the effect of framework materials at the bone-implant interface in the all-on-four implant system.,Dental research journal,journalArticle,QFFZ2SWF,Kelkar 等 - 2021 - Finite element analysis of the effect of framework materials at the bone-implant interface in the al.pdf,INCLUDE,"该研究自身在材料与方法中使用 ANSYS 软件进行有限元分析，证据片段明确写道 ""The computer‑generated numerical values were tabulated and analysed by ANSYS software""。",ANSYS,Prosthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用 ANSYS 软件进行有限元分析，证据片段明确写道 ""The computer‑generated numerical values were tabulated and analysed by ANSYS software""。
【软件】: ANSYS
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
