_nt,Key,Title,原因代码,原始返回
biomechanical behavior of polyether ether ketone composite dental implants a three dimensional finite element analysis,ZGC55KTS,Biomechanical Behavior of Polyether Ether Ketone Composite Dental Implants: A Three-Dimensional Finite Element Analysis.,3,【原因代码】: 3
does the fixture thread depth affect the accuracy of implant placement during fully guided immediate implant placement a human cadaver study,EB4NSAMK,Does the fixture thread depth affect the accuracy of implant placement during fully guided immediate implant placement?: A human cadaver study.,3,【原因代码】: 3
evaluation of the accuracy trueness precision and processing time of different 3 dimensional cad software programs and algorithms for virtual cast alignment,9792KQV4,"Evaluation of the accuracy (trueness, precision) and processing time of different 3-dimensional CAD software programs and algorithms for virtual cast alignment.",3,【原因代码】: 3
maxillomandibular relationship record methods for computer engineered complete dentures a scoping review,KBUGU87N,Maxillomandibular relationship record methods for computer-engineered complete dentures: a scoping review.,2,【原因代码】: 2
development a computer aided diagnosis system for dental caries detection applying radiographic images,G4CC4PWM,Development a computer-aided diagnosis system for dental caries detection applying radiographic images.,2,【原因代码】: 2
rehabilitation of the severely atrophic maxilla with subperiosteal implants a biomechanical and decision analysis of material and configuration choices,G42JR78G,Rehabilitation of the Severely Atrophic Maxilla with Subperiosteal Implants: A Biomechanical and Decision Analysis of Material and Configuration Choices.,3,【原因代码】: 3
trueness of 3d printed removable partial denture frameworks investigation of printing parameters and storage conditions,YE44L72D,Trueness of 3D printed removable partial denture frameworks: Investigation of printing parameters and storage conditions.,3,【原因代码】: 3
contemporary evidence of cad cam in dentistry a systematic review,85BGAWNV,Contemporary Evidence of CAD-CAM in Dentistry: A Systematic Review.,2,【原因代码】: 2
comparison of stereolithography stl and polygon file format ply for intraoral scans from chairside to archive,5MX98NQ5,Comparison of stereolithography (STL) and polygon file format (PLY) for intraoral scans: From chairside to archive.,3,【原因代码】: 3
wheelchair control system using infrared sensors and tongue movements,ZYAUY7FB,Wheelchair control system using infrared sensors and tongue movements.,1,【原因代码】: 1
how to avoid errors when using navigation to place implants a narrative review,57ACGEMQ,How to Avoid Errors When Using Navigation to Place Implants - A Narrative Review.,2,【原因代码】: 2
impact of a bone leveler on prosthetic abutment fit in guided sub crestal implant placement an in vitro study,Y8PEL9RA,Impact of a Bone Leveler on Prosthetic Abutment Fit in Guided Sub-Crestal Implant Placement: An In-Vitro Study.,3,【原因代码】: 3
automatic femoral articular cartilage segmentation using deep learning in three dimensional ultrasound images of the knee,BBG7VQM6,Automatic femoral articular cartilage segmentation using deep learning in three-dimensional ultrasound images of the knee.,1,【原因代码】: 1
accuracy and patient centered results of marker based and marker free registrations for dynamic computer assisted implant surgery a randomized controlled trial,2ZAPP9FD,Accuracy and patient-centered results of marker-based and marker-free registrations for dynamic computer-assisted implant surgery: A randomized  controlled trial.,3,【原因代码】: 3
surgical performance of dental students using computer assisted dynamic navigation and freehand approaches,XTJBTC8L,Surgical performance of dental students using computer-assisted dynamic navigation and freehand approaches.,3,【原因代码】: 3
ldfsam localization distillation enhanced feature prompting sam for medical image segmentation,82PIARU2,LDFSAM: Localization Distillation-Enhanced Feature Prompting SAM for Medical Image Segmentation.,1,【原因代码】: 1
novel design of additive manufactured hollow porous implants,4IAWUJZW,Novel design of additive manufactured hollow porous implants.,3,【原因代码】: 3
effect of printing technology layer height and orientation on assessment of 3d printed models,K9R7DQR7,"Effect of printing technology, layer height, and orientation on assessment of 3D-printed models.",3,【原因代码】: 3
accuracy of dynamic implant navigation surgery performed by a novice operator,IY73GF7C,Accuracy of dynamic implant navigation surgery performed by a novice operator.,3,【原因代码】: 3
mechanical and fatigue resistance of restorations supported by welded framework and realized using computer aided designed prosthetic shells in vitro pilot study,TRIBXY82,Mechanical and fatigue resistance of restorations supported by welded-framework and realized using computer-aided designed prosthetic shells: In vitro pilot  study.,3,【原因代码】: 3
geometric plane alignment as a methodological requirement for accurate angular measurement in three dimensional craniofacial imaging,AY6279X7,Geometric plane alignment as a methodological requirement for accurate angular measurement in three-dimensional craniofacial imaging.,2,【原因代码】: 2
fracture resistance of zirconia restorations with four different framework designs,YSA8JNNX,Fracture Resistance of Zirconia Restorations with Four Different Framework Designs.,3,【原因代码】: 3
tooth on a chip to engineer early dental epithelial mesenchymal interaction,M36F8LGA,Tooth-on-a-chip to engineer early dental epithelial-mesenchymal interaction.,3,【原因代码】: 3
patient satisfaction and accuracy of partial denture frameworks fabricated using conventional and digital techniques,YZMQLB2M,Patient Satisfaction and Accuracy of Partial Denture Frameworks Fabricated using Conventional and Digital Techniques.,3,【原因代码】: 3
quantification of facial symmetry in orthognathic surgery a novel approach integrating 3d contour maps and hyper dimensional computing,6RQD493M,Quantification of facial symmetry in orthognathic surgery: A novel approach integrating 3D contour maps and hyper-dimensional computing.,3,【原因代码】: 3
comparative evaluation of two different types of abutments in relation to post prosthetic bone resorption and periodontal pocket depth a randomized controlled clinical trial with a one year follow up,CPLBN7P8,Comparative Evaluation of Two Different Types of Abutments in Relation to Post-prosthetic Bone Resorption and Periodontal Pocket Depth: A Randomized  Controlled Clinical Trial With a One-Year Follow-Up.,3,【原因代码】: 3
titanium base abutments may have similar long term peri implant effects as non bonded one piece abutments,HTJDPQVZ,Titanium-base abutments may have similar long-term peri-implant effects as non-bonded one-piece abutments.,2,【原因代码】: 2
prosthetic rehabilitation of untailored defects using patient specific implants,YKE5IFLZ,Prosthetic rehabilitation of untailored defects using patient-specific implants.,2,【原因代码】: 2
effect of build position on the accuracy and flexural properties of resin model materials for three dimensional printing technologies,BJLM7FMZ,Effect of build position on the accuracy and flexural properties of resin model materials for three-dimensional printing technologies.,3,【原因代码】: 3
impact of the superimposition reference area on intraoral scanning accuracy in a partially dentate maxilla,3FJVJNIB,Impact of the superimposition reference area on intraoral scanning accuracy in a partially dentate maxilla.,3,【原因代码】: 3
digitally driven optimization of intraoral water jet parameters for plaque removal a personalized 3d guided orthogonal study,BIJ37P6U,Digitally-driven optimization of intraoral water jet parameters for plaque removal: a personalized 3D-guided orthogonal study.,3,【原因代码】: 3
automated classification of oral potentially malignant disorders and oral squamous cell carcinoma using a convolutional neural network framework a cross sectional study,VPIZQDAL,Automated classification of oral potentially malignant disorders and oral squamous cell carcinoma using a convolutional neural network framework: a  cross-sectional study.,3,【原因代码】: 3
lateral stress distribution analysis on hafnium metal bar for implant superstructure a finite element analysis,KJ67GB6M,Lateral stress distribution analysis on hafnium metal bar for implant superstructure- A finite element analysis.,3,【原因代码】: 3
the effect of try in paste shade and framework design on the color characteristics of dental zirconia restorations,TRMPEJLZ,The Effect of Try-in Paste Shade and Framework Design on the Color Characteristics of Dental Zirconia Restorations.,3,【原因代码】: 3
the accuracy of a novel image guided hybrid robotic system for dental implant placement an in vitro study,NV8EMBKE,The accuracy of a novel image-guided hybrid robotic system for dental implant placement: An in vitro study.,3,【原因代码】: 3
influence of build platform position on the trueness and precision of lcd 3d printed orthognathic surgical splints,E9U2PX4U,Influence of Build Platform Position on the Trueness and Precision of LCD 3D-Printed Orthognathic Surgical Splints.,3,【原因代码】: 3
digitization accuracy and scannability of different prosthodontic materials an in vitro trial,CLB66PI4,Digitization accuracy and scannability of different prosthodontic materials: An in vitro trial.,3,【原因代码】: 3
point of care additive manufacturing state of the art and adoption in spanish hospitals during pre to post covid 19 era,Z5PQ77JM,Point-of-care additive manufacturing: state of the art and adoption in Spanish hospitals during pre to post COVID-19 era.,1,【原因代码】: 1
analysis of implant supported cantilever fixed partial denture an in vitro comparative study on vertical misfit stress distribution and cantilever fracture strength,XC6ZV2KR,"Analysis of implant-supported cantilever fixed partial denture: An in vitro comparative study on vertical misfit, stress distribution, and cantilever  fracture strength.",3,【原因代码】: 3
combining coaxial electrospinning and 3d printing design of biodegradable bilayered membranes with dual drug delivery capability for periodontitis treatment,N6CQF3L9,Combining Coaxial Electrospinning and 3D Printing: Design of Biodegradable Bilayered Membranes with Dual Drug Delivery Capability for Periodontitis  Treatment.,3,【原因代码】: 3
oral motion powered smart dental implant abutment for in situ antibacterial and cell adhesion through piezoelectric effect,BJABVDXL,Oral Motion-Powered Smart Dental Implant Abutment for In Situ Antibacterial and Cell Adhesion Through Piezoelectric Effect.,3,【原因代码】: 3
comparison of load bearing capacity of ceramic crowns with zirconia or polyetherketoneketone frameworks,6XR3HJFC,Comparison of load bearing capacity of ceramic crowns with zirconia or polyetherketoneketone frameworks.,3,【原因代码】: 3
accuracy of full arch implant scan with nexus ios scan gauges versus different conventional scan bodies an in vitro comparative study,K9VPK6H7,Accuracy of full-arch implant scan with Nexus IOS? scan gauges versus different conventional scan bodies: An in vitro comparative study.,3,【原因代码】: 3
radiographic evaluation of vertical and horizontal fit in single implant crowns fabricated by cad cam systems a retrospective study,AE9VV4ZR,Radiographic Evaluation of Vertical and Horizontal Fit in Single Implant Crowns Fabricated by CAD/CAM Systems: A Retrospective Study.,3,【原因代码】: 3
clinical implementation of an eu mdr compliant point of care manufacturing framework for patient specific 3d printed peek implants in craniomaxillofacial reconstruction,W3DKWQAN,Clinical implementation of an EU MDR-compliant point-of-care manufacturing framework for patient-specific 3D-printed PEEK implants in craniomaxillofacial  reconstruction.,2,【原因代码】: 2
3d slicer craniomaxillofacial modules support patient specific decision making for personalized healthcare in dental research,W6ID36WD,3D Slicer Craniomaxillofacial Modules Support Patient-Specific Decision-Making for Personalized Healthcare in Dental Research.,2,【原因代码】: 2
from clinic to community an interpretable artificial intelligence framework for enamel caries detection to support public health dentistry,MEP5889Y,From Clinic to Community: An Interpretable Artificial Intelligence Framework for Enamel Caries Detection to Support Public Health Dentistry.,3,【原因代码】: 3
in vitro study of surface properties and microbial adhesion of various dental polymers fabricated by different manufacturing techniques after thermocycling,HMQZ576Q,In vitro study of surface properties and microbial adhesion of various dental polymers fabricated by different manufacturing techniques after thermocycling.,3,【原因代码】: 3
deep learning for automatic segmentation of the inferior alveolar nerve using a hybrid cnn transformer framework,JNXPDRMH,Deep learning for automatic segmentation of the inferior alveolar nerve using a hybrid CNN-transformer framework.,3,【原因代码】: 3
maxillary all on 6 treatment using zygomatic implants bone loss evaluation by cbct 3 year follow up,BC97IGVS,Maxillary All-on-6 Treatment Using Zygomatic Implants. Bone Loss Evaluation by CBCT: 3-Year Follow-up.,3,【原因代码】: 3
the impact of surface dimensions on the accuracy of an intraoral scanner,5I9F33IP,The impact of surface dimensions on the accuracy of an intraoral scanner.,3,【原因代码】: 3
the application of artificial intelligence in the field of dental restoration for designing dental crowns a meta analysis,RMQ3VWFI,The application of artificial intelligence in the field of dental restoration for designing dental crowns: a meta-analysis.,2,【原因代码】: 2
us guided percutaneous microwave ablation mwa of submandibular gland a new minimal invasive and effective treatment for refractory sialorrhea and treatment response evaluation with contrast enhanced imaging techniques,TRUZ9T77,US-guided percutaneous microwave ablation (MWA) of submandibular gland: A new minimal invasive and effective treatment for refractory sialorrhea and treatment  response evaluation with contrast-enhanced imaging techniques.,1,【原因代码】: 1
digital workflow for a definitive implant supported hybrid prosthesis,YBN7K2B3,Digital Workflow for a Definitive Implant-Supported Hybrid Prosthesis.,3,【原因代码】: 3
digital removable partial denture fabrication using an intraoral scanner and the altered cast technique for a patient with free end partial edentulism a case report,ZTE2XV66,Digital Removable Partial Denture Fabrication Using an Intraoral Scanner and the Altered-Cast Technique for a Patient With Free-End Partial Edentulism: A Case  Report.,3,【原因代码】: 3
research on fatigued driving detection method by integrating lightweight yolov5s and facial 3d keypoints,B4YJSKC8,Research on Fatigued-Driving Detection Method by Integrating Lightweight YOLOv5s and Facial 3D Keypoints.,1,【原因代码】: 1
evaluation of novel 3d printed and conventional thermoplastic stereotactic high precision patient fixation masks for radiotherapy,QV6A5YTS,Evaluation of novel 3D-printed and conventional thermoplastic stereotactic high-precision patient fixation masks for radiotherapy.,1,【原因代码】: 1
analysis of the mandibular canal course using unsupervised machine learning algorithm,TADKGI4W,Analysis of the mandibular canal course using unsupervised machine learning algorithm.,2,【原因代码】: 2
making the most of single sensor information a novel fusion approach for 3d face recognition using region covariance descriptors and gaussian mixture models,M34352PG,Making the Most of Single Sensor Information: A Novel Fusion Approach for 3D Face Recognition Using Region Covariance Descriptors and Gaussian Mixture Models.,1,【原因代码】: 1
assessing the reliability of the oradiii oral radiology artificial intelligence diagnostic version 3 software application in rendering a diagnosis a retrospective study,6HDAVKU9,Assessing the Reliability of the ORADIII (Oral Radiology Artificial Intelligence Diagnostic - Version 3) Software Application in Rendering a Diagnosis: A  Retrospective Study.,3,【原因代码】: 3
microtomography to traditional dental radiograph projecting 3 dimensional initial proximal caries lesion annotations for enhanced radiographic delineation,DVXNMRWM,Microtomography to traditional dental radiograph: projecting 3-dimensional initial proximal caries lesion annotations for enhanced radiographic delineation.,3,【原因代码】: 3
effect of coping materials zirconia or polyetheretherketone with different techniques of fabrication on vertical marginal gap and fracture resistance of posterior crowns with composite veneering,JAQHE7HD,Effect of coping materials zirconia or polyetheretherketone with different techniques of fabrication on vertical marginal gap and fracture resistance of  posterior crowns with composite veneering.,3,【原因代码】: 3
fatigue threshold r curves for dental lithium disilicate glass ceramics,72SRX4TH,Fatigue Threshold R-Curves for Dental Lithium Disilicate Glass-Ceramics.,3,【原因代码】: 3
increased deformations are dispensable for cell mechanoresponse in engineered bone analogs mimicking aging bone marrow,P5U2KFAM,Increased deformations are dispensable for cell mechanoresponse in engineered bone analogs mimicking aging bone marrow.,1,【原因代码】: 1
network toxicology combined with molecular docking technology to explore the molecular mechanism of amatoxin causing liver injury,422HCDHQ,Network toxicology combined with molecular docking technology to explore the molecular mechanism of amatoxin causing liver injury.,1,【原因代码】: 1
accuracy assessment of dynamic navigation during implant placement a systematic review and meta analysis of clinical studies in the last 10 years,3KAXK8L7,Accuracy assessment of dynamic navigation during implant placement: A systematic review and meta-analysis of clinical studies in the last 10 years.,2,【原因代码】: 2
a real time ir navigation system for pleural photodynamic therapy with a 3d surface acquisition system,3FY77IH6,A real-time IR navigation system for pleural photodynamic therapy with a 3D surface acquisition system.,1,【原因代码】: 1
validation of 2d lateral cephalometric analysis using artificial intelligence processed low dose cone beam computed tomography,UEIY9979,Validation of 2D lateral cephalometric analysis using artificial intelligence-processed low-dose cone beam computed tomography.,3,【原因代码】: 3
deep learning based tooth axis estimation from 3d tooth crowns using quaternion representation and multi loss optimization,848LXSQ5,Deep learning-based tooth axis estimation from 3D tooth crowns using quaternion representation and multi-loss optimization.,3,【原因代码】: 3
additively custom made 3d printed subperiosteal implants for the rehabilitation of the severely atrophic maxilla a case report,ZMBXPSMH,Additively custom-made 3D-printed subperiosteal implants for the rehabilitation of the severely atrophic maxilla (a case report).,2,【原因代码】: 2
a 3 dimensional scaffolding system recapitulates the hierarchical osteon structure,H9R2SL24,A 3-Dimensional Scaffolding System Recapitulates the Hierarchical Osteon Structure.,1,【原因代码】: 1
clinical performance of complete arch implant supported rehabilitations using monolithic lithium disilicate restorations bonded to cad cam titanium and zirconia frameworks up to 5 years,36YAPLB7,Clinical Performance of Complete-Arch Implant- Supported Rehabilitations Using Monolithic Lithium Disilicate Restorations Bonded to CAD/CAM Titanium and  Zirconia Frameworks up to 5 Years.,3,【原因代码】: 3
3d markerless tracking of speech movements with submillimeter accuracy,AZVQHWIR,3D markerless tracking of speech movements with submillimeter accuracy.,1,【原因代码】: 1
transformation trees documentation of multimodal image registration,DK5KVWF5,Transformation trees - Documentation of multimodal image registration.,2,【原因代码】: 2
a tri window intraoral scanner tri ios design and evaluation,CUQHU9SX,A Tri-Window Intraoral Scanner (Tri-IOS): design and evaluation.,3,【原因代码】: 3
teeth microcracks research towards multi modal imaging,EIHBUK4U,Teeth Microcracks Research: Towards Multi-Modal Imaging.,2,【原因代码】: 2
aging and fracture resistance of implant supported molar crowns with a cad cam resin composite veneer structure,WM8AMLWP,Aging and Fracture Resistance of Implant-Supported Molar Crowns with a CAD/CAM Resin Composite Veneer Structure.,3,【原因代码】: 3
increased deformations are dispensable for encapsulated cell mechanoresponse in engineered bone analogs mimicking aging bone marrow,TSGCGPQM,Increased deformations are dispensable for encapsulated cell mechanoresponse in engineered bone analogs mimicking aging bone marrow.,1,【原因代码】: 1
three dimensional printing in cardiothoracic surgery workflow and clinical applications,26QBFLTE,Three-Dimensional Printing in Cardiothoracic Surgery: Workflow and Clinical Applications.,1,【原因代码】: 1
three dimensional finite element analysis of quad zygomatic transnasal and pterygoid implants for rehabilitation of patients with a severely atrophic maxilla,AFV4M6TK,"Three-dimensional Finite Element Analysis of Quad Zygomatic, Transnasal and Pterygoid Implants for Rehabilitation of Patients with a Severely Atrophic  Maxilla.",3,【原因代码】: 3
research on non cohesive jet formed by zr based amorphous alloys,RXEJVUD3,Research on non-cohesive jet formed by Zr-based amorphous alloys.,1,【原因代码】: 1
development of an ai model to predict tooth movement during orthodontic treatment,K7GD8SJU,Development of an AI model to predict tooth movement during orthodontic treatment.,2,【原因代码】: 2
evaluating retrieval augmented generation for guideline grounded textual planning in implant dentistry a comparative study,I9QLFBDY,Evaluating retrieval-augmented generation for guideline-grounded textual planning in implant dentistry: A comparative study.,2,【原因代码】: 2
a multi center study of transformer based cnns for multiple sclerosis lesion segmentation on 3d flair mri,V424MXPT,A multi-center study of transformer-based CNNs for multiple sclerosis lesion segmentation on 3D FLAIR MRI.,1,【原因代码】: 1
facial masculinization surgery using polyetheretherketone alloplasty statistical shape modeling based implant designs,GX5AGF6V,Facial Masculinization Surgery Using Polyetheretherketone Alloplasty: Statistical Shape Modeling-based Implant Designs.,3,【原因代码】: 3
ct based three dimensional morphometric analysis of the bony palate and hard palatal mucosa in female orthognathic surgery candidates,CD6KF4YY,CT-based three-dimensional morphometric analysis of the bony palate and hard palatal mucosa in female orthognathic surgery candidates.,3,【原因代码】: 3
telemedicine in maxillofacial traumatology a tertiary referral center 30 month experience,Q5GXKRTX,Telemedicine in maxillofacial traumatology: A tertiary referral center 30-month experience.,2,【原因代码】: 2
segmentation of spinal rootlets across mri contrasts with rootletseg,FS95B6WA,Segmentation of spinal rootlets across MRI contrasts with RootletSeg.,1,【原因代码】: 1
scanning accuracy and scanning area discrepancies of intraoral digital scans acquired at varying scanning distances and angulations among 4 different intraoral scanners,KL633SZT,Scanning accuracy and scanning area discrepancies of intraoral digital scans acquired at varying scanning distances and angulations among 4 different  intraoral scanners.,3,【原因代码】: 3
shaping the 4d frontier in maxillofacial surgery with facemesh evolution,ZP63E7VD,Shaping the 4D frontier in maxillofacial surgery with faceMesh evolution.,2,【原因代码】: 2
computed tomography guided 3d printed patient specific regional anesthesia,5BDCAEWD,Computed tomography-guided 3D printed patient-specific regional anesthesia.,1,【原因代码】: 1
comparison of internal fit of metal ceramic crowns in cad cam and lost wax techniques in all fabrication stages through replica weighting triple scanning and scanning electron microscope,FZ2D9GS2,"Comparison of internal fit of metal-ceramic crowns in CAD/CAM and lost-wax techniques in all fabrication stages through replica weighting, triple scanning,  and scanning electron microscope.",3,【原因代码】: 3
quantitative craniofacial analysis and generation of human induced pluripotent stem cells for muenke syndrome a case report,RN75DXBK,Quantitative Craniofacial Analysis and Generation of Human Induced Pluripotent Stem Cells for Muenke Syndrome: A Case Report.,2,【原因代码】: 2
influence of intraoral scanners operators and data processing on dimensional accuracy of dental casts for unsupervised clinical machine learning an in vitro comparative study,QNT8ENQE,"Influence of Intraoral Scanners, Operators, and Data Processing on Dimensional Accuracy of Dental Casts for Unsupervised Clinical Machine Learning: An In Vitro  Comparative Study.",3,【原因代码】: 3
hybrid prosthesis versus overdenture effect of biohpp prosthetic design rehabilitating edentulous mandible,CW5GQWLK,Hybrid Prosthesis versus Overdenture: Effect of BioHPP Prosthetic Design Rehabilitating Edentulous Mandible.,3,【原因代码】: 3
an unsupervised learning algorithm for the automatic classification of coronary artery lesions,2JEWUFYU,An Unsupervised Learning Algorithm for the Automatic Classification of Coronary Artery Lesions.,1,【原因代码】: 1
dllnet an attention based deep learning method for dental landmark localization on high resolution 3d digital dental models,64V4MY8B,DLLNet: An Attention-Based Deep Learning Method for Dental Landmark Localization on High-Resolution 3D Digital Dental Models.,3,【原因代码】: 3
device trueness in passivity and misfit of cad cam frameworks conventional versus printed casts,DK5FUG8T,Device trueness in passivity and misfit of CAD-CAM frameworks: Conventional versus printed casts.,3,【原因代码】: 3
a simulation based study of 3d printing angle optimization by integrating deep learning and nsga iii for prosthesis and retainer manufacturing,XCNVZAH6,A simulation-based study of 3D printing angle optimization by integrating deep learning and NSGA-III for prosthesis and retainer manufacturing.,3,【原因代码】: 3
rehabilitation strategies and occlusal vertical dimension considerations in the management of worn dentitions consensus statement from ssrd sepes and prosec conference on minimally invasive restorations,WQXIQTTD,"Rehabilitation Strategies and Occlusal Vertical Dimension Considerations in the Management of Worn Dentitions: Consensus Statement From SSRD, SEPES, and PROSEC  Conference on Minimally Invasive Restorations.",2,【原因代码】: 2
3d printed surgical template mucoguide to increase predictability in mucogingival surgery technical note and case report,R9ZAJEYU,3D-Printed Surgical Template 'Mucoguide' to Increase Predictability in Mucogingival Surgery: Technical Note and Case Report.,2,【原因代码】: 2
traditional and artificial intelligent methods in predicting maxillofacial soft tissue morphology after orthognathic surgery a narrative review,CMEY6TXK,Traditional and Artificial Intelligent Methods in Predicting Maxillofacial Soft Tissue Morphology After Orthognathic Surgery: A Narrative Review.,2,【原因代码】: 2
influence of digital technologies and framework design on the load to fracture of co cr posterior fixed partial denture frameworks,N8MVKDJM,Influence of Digital Technologies and Framework Design on the Load to Fracture of Co-Cr Posterior Fixed Partial Denture Frameworks.,3,【原因代码】: 3
effect of a bone flattening drill on the accuracy of fully guided implant surgery an in vitro study,QD7LUPJ3,Effect of a Bone-Flattening Drill on the Accuracy of Fully Guided Implant Surgery: An In?Vitro Study.,3,【原因代码】: 3
dlp printable gelma pvi zn hydrogels with high strength and osteoinductivity for critical sized bone defect repair,88JXQJF3,DLP-printable GelMA-PVI-Zn hydrogels with high strength and osteoinductivity for critical-sized bone defect repair.,1,【原因代码】: 1
translucent monolithic zirconia titanium supported fp1 full arch prosthesis a novel proof of concept to address esthetic functional and biologic challenges,J9YVQLRA,"Translucent monolithic zirconia titanium-supported FP1 full-arch prosthesis: A novel proof of concept to address esthetic, functional, and biologic challenges.",2,【原因代码】: 2
the effect of a convergent transmucosal neck on soft tissues and radiographic outcomes a 1 year follow up randomized controlled trial,VKJI7KQU,The effect of a convergent transmucosal neck on soft tissues and radiographic outcomes: a 1-year follow-up randomized controlled trial.,3,【原因代码】: 3
engineered with tannic acid magnesium metal phenolic frameworks a multifunctional 3d printed pcl tcp scaffold for bone regeneration,D5NYE7V8,Engineered with tannic acid-magnesium metal-phenolic frameworks: A multifunctional 3D-printed PCL/TCP scaffold for bone regeneration.,1,【原因代码】: 1
systematic scoping review of mandibular bone tissue engineering,F92WZXMG,Systematic scoping review of mandibular bone tissue engineering.,2,【原因代码】: 2
polyetheretherketone versus titanium cad cam framework for implant supported fixed complete dentures a retrospective study with up to 5 year follow up,EF2ZZ3Y3,Polyetheretherketone versus titanium CAD-CAM framework for implant-supported fixed complete dentures: a retrospective study with up to 5-year follow-up.,3,【原因代码】: 3
laser induced fluorescence with 2 d hilbert transform edge detection algorithm and 3d fluorescence images for white spot early recognition,VYNX95B3,Laser induced fluorescence with 2-D Hilbert transform edge detection algorithm and 3D fluorescence images for white spot early recognition.,3,【原因代码】: 3
validation of a biomechanical performance assessment platform applying an inertial bpased biosensor and axis vector computation,73ML8M2Z,Validation of a Biomechanical Performance Assessment Platform Applying an Inertial-Bpased Biosensor and Axis Vector Computation.,3,【原因代码】: 3
comparison between cbct superimposition protocol and s t a p method to evaluate the accuracy in implant insertion in guided surgery,HCS47SLF,Comparison between CBCT superimposition protocol and S.T.A.P. method to evaluate the accuracy in implant insertion in guided surgery.,3,【原因代码】: 3
marginal gap and screw loosening in cad cam materials for implant supported fixed partial dentures an in vitro study,NJ8D3IDG,Marginal Gap and Screw Loosening in CAD/CAM Materials for Implant-Supported Fixed Partial Dentures: An In Vitro Study.,3,【原因代码】: 3
artificial intelligence in dentistry a review,2PWCH3UQ,Artificial intelligence in dentistry-A review.,2,【原因代码】: 2
zirconia cad cam machining vibrations related to zirconia blank shape and initial digital nesting,EKHK6Z2C,Zirconia CAD/CAM machining vibrations related to zirconia blank shape and initial digital nesting.,3,【原因代码】: 3
ai driven dynamic orthodontic treatment management personalized progress tracking and adjustments a narrative review,JSX3JNRG,AI-driven dynamic orthodontic treatment management: personalized progress tracking and adjustments-a narrative review.,2,【原因代码】: 2
in vitro comparison of five desktop scanners and an industrial scanner in the evaluation of an intraoral scanner accuracy,ABQTSUVS,In vitro comparison of five desktop scanners and an industrial scanner in the evaluation of an intraoral scanner accuracy.,3,【原因代码】: 3
zygoplanner a three stage graphics based framework for optimal preoperative planning of zygomatic implant placement,9KLIBGLL,ZygoPlanner: A three-stage graphics-based framework for optimal preoperative planning of zygomatic implant placement.,3,【原因代码】: 3
asymmetric mechanical behavior and pre osteoblast differentiation in 3d printed ti6al4v based triply periodic minimal surface bone analogues the role of pore topology,63DMVCZ6,Asymmetric mechanical behavior and pre-osteoblast differentiation in 3D printed Ti6Al4V-based triply periodic minimal surface bone-analogues: the role of pore  topology.,1,【原因代码】: 1
mesoscopic fluorescence imaging of light triggered chemotherapeutic release in cancer spheroid models,CCF5Z5U8,Mesoscopic Fluorescence Imaging of Light-Triggered Chemotherapeutic Release in Cancer Spheroid Models.,1,【原因代码】: 1
3 d markerless tracking of speech movements with submillimeter accuracy,DJV2TRYS,3-D Markerless Tracking of Speech Movements With Submillimeter Accuracy.,1,【原因代码】: 1
rehabilitation of a patient with temporomandibular joint disorder and misocclusion requiring full mouth reconstruction based on the multidisciplinary approach a clinical case,3NXYCN68,"Rehabilitation of a Patient with Temporomandibular Joint Disorder and Misocclusion Requiring Full Mouth Reconstruction, Based on the Multidisciplinary  Approach: A Clinical Case.",2,【原因代码】: 2
suspended tissue open microfluidic patterning stomp,WKLA7YYF,Suspended Tissue Open Microfluidic Patterning (STOMP).,1,【原因代码】: 1
automatic segmentation of the spinal cord nerve rootlets,GXEXPHPL,Automatic segmentation of the spinal cord nerve rootlets.,1,【原因代码】: 1
development of 3d in vitro mineralized bone model to reproduce dental implants osseointegration process,RBJV9U6L,Development of 3D in vitro mineralized bone model to reproduce dental implants osseointegration process.,1,【原因代码】: 1
a novel approach for determining instantaneous centers of rotation of the mandible with an intraoral scanner a preliminary study,7GANPVVG,A novel approach for determining instantaneous centers of rotation of the mandible with an intraoral scanner: A preliminary study.,3,【原因代码】: 3
three dimensional in vitro model of bone metastases of neuroblastoma as a tool for pharmacological evaluations,LXMJULLQ,Three-dimensional in vitro model of bone metastases of neuroblastoma as a tool for pharmacological evaluations.,1,【原因代码】: 1
design and characterization of bioinstructive gold nanocomposite hydrogels for 3d bioprinting,NZE7DVBV,Design and characterization of bioinstructive gold nanocomposite hydrogels for 3D bioprinting.,1,【原因代码】: 1
automated artificial intelligence driven 3 dimensional craniofacial superimposition for clinically useful treatment outcomes in growing patients a multicenter study,I8JFM7AT,Automated artificial intelligence-driven 3-dimensional craniofacial superimposition for clinically useful treatment outcomes in growing patients: A  multicenter study.,3,【原因代码】: 3
automated 3 d computer aided measurement of the bony orbit evaluation of correlations among volume depth and surface area,KR5U5D8V,"Automated 3-D Computer-Aided Measurement of the Bony Orbit: Evaluation of Correlations among Volume, Depth, and Surface Area.",1,【原因代码】: 1
automated detection of dental artifacts for large scale radiomic analysis in radiation oncology,36H4R42E,Automated detection of dental artifacts for large-scale radiomic analysis in radiation oncology.,1,【原因代码】: 1
learn2talk 3d talking face learns from 2d talking face,DTTVRJ3T,Learn2Talk: 3D Talking Face Learns From 2D Talking Face.,1,【原因代码】: 1
