_nt,Title,期刊,Item Type,Key,PassA,PassB,判定,证据,软件,专科,应用场景,研究设计,原始返回
robot assisted augmented reality navigation for osteotomy and personalized guide plate in mandibular reconstruction a preclinical study,Robot-assisted augmented reality navigation for osteotomy and personalized guide-plate in mandibular reconstruction: a preclinical study,BMC ORAL HEALTH,journalArticle,WVD49PF9,INCLUDE,EXCLUDE,INCLUDE,"""the virtual surgical plan was imported into 3-matic software (Materialise, Belgium) to design a 1.5 mm pseudo-titanium plate and a 3 mm reconstruction guide-plate"" 及 ""3-matic software was used to compare virtual surgical reconstruction models with postoperative reconstruction models.""",3-Matic,Oral and Maxillofacial Surgery,Digital design and manufacturing,preclinical,"【判定】: INCLUDE
【证据】: ""the virtual surgical plan was imported into 3-matic software (Materialise, Belgium) to design a 1.5 mm pseudo-titanium plate and a 3 mm reconstruction guide-plate"" 及 ""3-matic software was used to compare virtual surgical reconstruction models with postoperative reconstruction models.""
【软件】: 3-Matic
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Digital design and manufacturing
【研究设计】: preclinical"
the accuracy of a novel image guided hybrid robotic system for dental implant placement an in vitro study,The accuracy of a novel image-guided hybrid robotic system for dental implant placement: An in vitro study.,The international journal of medical robotics + computer assisted surgery : MRCAS,journalArticle,NV8EMBKE,INCLUDE,EXCLUDE,INCLUDE,"""The Cone‐beam Computed Tomography (CBCT) data of a patient with complete dentition, which was acquired using Planmeca ProMax (Planmeca Oy, Helsinki, Södra Finland, Finland), was imported to Geomagic Studio (3D Systems Inc., Rock Hill, South Carolina, USA)."" 以及 ""The preoperative plan was exported in STL format and imported into Brainlab CMF software (BrainLAB AG, Munich, Freistaat Bayern, Germany) along with the preoperative CBCT.""",Geomagic Studio; Brainlab CMF,Implantology,Surgical planning and precise implementation,in_vitro,"【判定】: INCLUDE
【证据】: ""The Cone‐beam Computed Tomography (CBCT) data of a patient with complete dentition, which was acquired using Planmeca ProMax (Planmeca Oy, Helsinki, Södra Finland, Finland), was imported to Geomagic Studio (3D Systems Inc., Rock Hill, South Carolina, USA)."" 以及 ""The preoperative plan was exported in STL format and imported into Brainlab CMF software (BrainLAB AG, Munich, Freistaat Bayern, Germany) along with the preoperative CBCT.""
【软件】: Geomagic Studio; Brainlab CMF
【专科】: Implantology
【应用场景】: Surgical planning and precise implementation
【研究设计】: in_vitro"
ai assisted identification of the medial lingual foramen on cbct a deep learning approach for preoperative implant assessment,AI-Assisted Identification of the Medial Lingual Foramen on CBCT: A Deep Learning Approach for Preoperative Implant Assessment.,"Medicina (Kaunas, Lithuania)",journalArticle,MVGIWU9B,INCLUDE,EXCLUDE,INCLUDE,Manual annotations were performed in 3D Slicer (v4.13.0) on sagittal slices.,3D Slicer,Implant Dentistry,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: Manual annotations were performed in 3D Slicer (v4.13.0) on sagittal slices.
【软件】: 3D Slicer
【专科】: Implant Dentistry
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
oral anatomical knowledge informed semi supervised learning for 3d dental cbct segmentation and lesion detection,Oral-Anatomical Knowledge-Informed Semi-Supervised Learning for 3D Dental CBCT Segmentation and Lesion Detection,IEEE Transactions on Automation Science and Engineering,journalArticle,HCE22CUF,INCLUDE,EXCLUDE,INCLUDE,"""To create labeled images, manual segmentation was obtained using ITK-SNAP, a specialized software tool that provides semi-automatic segmentation.""",ITK-SNAP,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: ""To create labeled images, manual segmentation was obtained using ITK-SNAP, a specialized software tool that provides semi-automatic segmentation.""
【软件】: ITK-SNAP
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
accuracy of a patient 3 dimensional virtual representation obtained from the superimposition of facial and intraoral scans guided by extraoral and intraoral scan body systems,Accuracy of a patient 3-dimensional virtual representation obtained from the superimposition of facial and intraoral scans guided by extraoral and intraoral scan body systems,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,HVA6JLX4,,INCLUDE,EXCLUDE,"证据片段中仅出现 ""using a computer program (Matera 2.4)""，但 Matera 2.4 为牙科专用软件（用于面部/口内扫描叠加的牙科虚拟患者软件），不属于原始开发领域在牙科之外的非牙科3D软件；片段中未出现任何符合纳入标准的具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic、MATLAB 等）被本研究自身使用的表述。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中仅出现 ""using a computer program (Matera 2.4)""，但 Matera 2.4 为牙科专用软件（用于面部/口内扫描叠加的牙科虚拟患者软件），不属于原始开发领域在牙科之外的非牙科3D软件；片段中未出现任何符合纳入标准的具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic、MATLAB 等）被本研究自身使用的表述。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
workflow for guided implant placement based on anatomic landmarks and the cad cam fabrication of a prosthetic framework for an implant supported fixed dental prosthesis,Workflow for guided implant placement based on anatomic landmarks and the CAD-CAM fabrication of a prosthetic framework for an implant-supported fixed dental prosthesis,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,YWYMMHNG,INCLUDE,EXCLUDE,INCLUDE,"""import the Digital Imaging and Communications in Medicine (DICOM) dataset into a medical imaging software program (Mimics; Materialise NV, 3DSlicer; Brigham and Women’s Hospital and Harvard Medical School, or InVesalius; Renato Archer Information Technology Center)"" 及 ""Import the waxing and implant-abutment complex into CAD software program (SpaceClaim; Ansys Inc)""",Mimics; 3D Slicer; InVesalius; SpaceClaim (Ansys),Implantology (Prosthodontics),Surgical planning and precise implementation,technical_note,"【判定】: INCLUDE
【证据】: ""import the Digital Imaging and Communications in Medicine (DICOM) dataset into a medical imaging software program (Mimics; Materialise NV, 3DSlicer; Brigham and Women’s Hospital and Harvard Medical School, or InVesalius; Renato Archer Information Technology Center)"" 及 ""Import the waxing and implant-abutment complex into CAD software program (SpaceClaim; Ansys Inc)""
【软件】: Mimics; 3D Slicer; InVesalius; SpaceClaim (Ansys)
【专科】: Implantology (Prosthodontics)
【应用场景】: Surgical planning and precise implementation
【研究设计】: technical_note"
htcnet hierarchical point graph tooth point cloud completion with image assistance,HTCNet: Hierarchical Point-Graph Tooth Point Cloud Completion with Image Assistance,IEEE Transactions on Circuits and Systems for Video Technology,journalArticle,9SFRR636,INCLUDE,EXCLUDE,EXCLUDE,"证据片段中仅出现 ""The data generation process based on Open3D and MeshLab is illustrated in Figure 5.""，但该研究核心为自研 HTCNet 深度学习网络（""we propose a Hierarchical Tooth Completion Network(HTCNet)""），未以 ""we used / were analysed using / imported into / processed in"" 等表述表明本研究自身使用了具名第三方非牙科3D软件进行3D数据处理、分析、建模或测量；Open3D/MeshLab 仅出现在数据生成流程的泛述中，缺乏本研究自身使用该软件的明确证据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中仅出现 ""The data generation process based on Open3D and MeshLab is illustrated in Figure 5.""，但该研究核心为自研 HTCNet 深度学习网络（""we propose a Hierarchical Tooth Completion Network(HTCNet)""），未以 ""we used / were analysed using / imported into / processed in"" 等表述表明本研究自身使用了具名第三方非牙科3D软件进行3D数据处理、分析、建模或测量；Open3D/MeshLab 仅出现在数据生成流程的泛述中，缺乏本研究自身使用该软件的明确证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
stress distribution of monolithic and veneered three unit zirconia fdps a finite element analysis,STRESS DISTRIBUTION OF MONOLITHIC AND VENEERED THREE-UNIT ZIRCONIA FDPS: A FINITE ELEMENT ANALYSIS,INTERNATIONAL JOURNAL OF PROSTHODONTICS,journalArticle,39AN7GMH,INCLUDE,INCLUDE,INCLUDE,"""All files were then cleaned and converted to a proper (.IGES) format using ANSYS SpaceClaim software (ANSYS company, Canonsburg, PA, USA). The geometries were imported into ANSYS software (ANSYS 18.2, ANSYS company, Canonsburg, PA, USA) to generate the meshing for each model."" 以及 ""The analysis was conducted using ANSYS (ANSYS 18.2, ANSYS company, Canonsburg, PA, USA).""",ANSYS; ANSYS SpaceClaim,Prosthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""All files were then cleaned and converted to a proper (.IGES) format using ANSYS SpaceClaim software (ANSYS company, Canonsburg, PA, USA). The geometries were imported into ANSYS software (ANSYS 18.2, ANSYS company, Canonsburg, PA, USA) to generate the meshing for each model."" 以及 ""The analysis was conducted using ANSYS (ANSYS 18.2, ANSYS company, Canonsburg, PA, USA).""
【软件】: ANSYS; ANSYS SpaceClaim
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
combining coaxial electrospinning and 3d printing design of biodegradable bilayered membranes with dual drug delivery capability for periodontitis treatment,Combining Coaxial Electrospinning and 3D Printing: Design of Biodegradable Bilayered Membranes with Dual Drug Delivery Capability for Periodontitis  Treatment.,ACS applied bio materials,journalArticle,N6CQF3L9,,INCLUDE,INCLUDE,"""a honeycomb-like 3D model with dimensions of 25 mm × 15 mm × 0.5 mm was designed using CAD software before printing, and the nozzle toolpath (G-code) was prepared with the use of Cura 3D software""",Cura,Periodontology,Digital design and manufacturing,in_vitro,"【判定】: INCLUDE
【证据】: ""a honeycomb-like 3D model with dimensions of 25 mm × 15 mm × 0.5 mm was designed using CAD software before printing, and the nozzle toolpath (G-code) was prepared with the use of Cura 3D software""
【软件】: Cura
【专科】: Periodontology
【应用场景】: Digital design and manufacturing
【研究设计】: in_vitro"
performance of rigid and soft transfer templates using viscous and fluid resin based composites in the attachment bonding process of clear aligners,Performance of Rigid and Soft Transfer Templates Using Viscous and Fluid Resin-Based Composites in the Attachment Bonding Process of Clear Aligners.,International journal of dentistry,journalArticle,7ECMK5KU,,INCLUDE,INCLUDE,"""All numerical analysis and data processing have been carried out in Matlab.""",MATLAB,Orthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: ""All numerical analysis and data processing have been carried out in Matlab.""
【软件】: MATLAB
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
skeletal facial asymmetry reliability of manual and artificial intelligence driven analysis,Skeletal facial asymmetry: reliability of manual and artificial intelligence-driven analysis,DENTOMAXILLOFACIAL RADIOLOGY,journalArticle,RFPYNGAN,INCLUDE,EXCLUDE,INCLUDE,"All manual measurements were performed using OsiriX MD v. 13.1 (Pixmeo SARL; Geneva, Switzerland).",OsiriX MD,Oral and Maxillofacial Radiology,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: All manual measurements were performed using OsiriX MD v. 13.1 (Pixmeo SARL; Geneva, Switzerland).
【软件】: OsiriX MD
【专科】: Oral and Maxillofacial Radiology
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
a novel fluoride tray assisted workflow for artificial intelligence driven automated maxillary gingival segmentation on cone beam ct,A novel fluoride tray-assisted workflow for artificial intelligence-driven automated maxillary gingival segmentation on cone beam CT,DENTOMAXILLOFACIAL RADIOLOGY,journalArticle,X4AMPF75,INCLUDE,EXCLUDE,INCLUDE,"""Maxillary gingival segmentation refinement was performed by an oral and maxillofacial radiologist (D.P.) using Mimics software (version 25.0, Materialise, Leuven, Belgium)""；""The AI-segmented gingiva was exported in the stereolithography (STL) format and imported into Mimics""；""This was performed using Mimics and 3-matic software (version 17.0, Materialise, Leuven, Belgium)""",Mimics; 3-matic,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,clinical,"【判定】: INCLUDE
【证据】: ""Maxillary gingival segmentation refinement was performed by an oral and maxillofacial radiologist (D.P.) using Mimics software (version 25.0, Materialise, Leuven, Belgium)""；""The AI-segmented gingiva was exported in the stereolithography (STL) format and imported into Mimics""；""This was performed using Mimics and 3-matic software (version 17.0, Materialise, Leuven, Belgium)""
【软件】: Mimics; 3-matic
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: clinical"
reduced graphene oxide loaded with tetrahedral framework nucleic acids for combating orthodontically induced root resorption,Reduced graphene oxide loaded with tetrahedral framework nucleic acids for combating orthodontically induced root resorption,JOURNAL OF NANOBIOTECHNOLOGY,journalArticle,6LPJ3GYL,INCLUDE,INCLUDE,INCLUDE,Three-dimensional (3D) images were reconstructed by Mimics and Geomagic Wrap 2017 for morphological assessment.,Mimics; Geomagic Wrap,Orthodontics,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: Three-dimensional (3D) images were reconstructed by Mimics and Geomagic Wrap 2017 for morphological assessment.
【软件】: Mimics; Geomagic Wrap
【专科】: Orthodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
jaw morphology and factors associated with upper impacted canines case controlled trial,Jaw Morphology and Factors Associated with Upper Impacted Canines: Case-Controlled Trial,APPLIED SCIENCES-BASEL,journalArticle,GID4YXLX,,INCLUDE,INCLUDE,"""To determine the surface area and volume of the maxilla, we imported the 3D study models in digital form into a customized program for analyzing the morphological features of the jaws based on Rapid Form™ 2006 software (Inus Technology Inc., Seoul, Republic of Korea)."" 以及 ""By defining all these boundaries, the RapidForm™2006 software provided results in terms of mm2 (surface area and projection area) and mm3 (volume).""",RapidForm 2006,Orthodontics,Morphological and phenotypic analysis,clinical,"【判定】: INCLUDE
【证据】: ""To determine the surface area and volume of the maxilla, we imported the 3D study models in digital form into a customized program for analyzing the morphological features of the jaws based on Rapid Form™ 2006 software (Inus Technology Inc., Seoul, Republic of Korea)."" 以及 ""By defining all these boundaries, the RapidForm™2006 software provided results in terms of mm2 (surface area and projection area) and mm3 (volume).""
【软件】: RapidForm 2006
【专科】: Orthodontics
【应用场景】: Morphological and phenotypic analysis
【研究设计】: clinical"
low profile electromagnetic field sensors in the measurement and modelling of three dimensional jaw kinematics and occlusal loading,Low-Profile Electromagnetic Field Sensors in the Measurement and Modelling of Three-Dimensional Jaw Kinematics and Occlusal Loading,ANNALS OF BIOMEDICAL ENGINEERING,journalArticle,ARSEKXEW,INCLUDE,EXCLUDE,INCLUDE,"""constructed from the intra-oral scans using 3-matic 13.0 (Materialise, Leuven, Belgium)"" 及 ""imported into a commercially available finite element modelling package (Abaqus 2017, Dassault Systems, Paris, France)""",3-Matic; ABAQUS,Prosthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""constructed from the intra-oral scans using 3-matic 13.0 (Materialise, Leuven, Belgium)"" 及 ""imported into a commercially available finite element modelling package (Abaqus 2017, Dassault Systems, Paris, France)""
【软件】: 3-Matic; ABAQUS
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
digital dental biometrics for human identification based on automated 3d point cloud feature extraction and registration,Digital Dental Biometrics for Human Identification Based on Automated 3D Point Cloud Feature Extraction and Registration,BIOENGINEERING-BASEL,journalArticle,QY8WZNYX,INCLUDE,EXCLUDE,INCLUDE,"""MeshLab v2020.09 (Visual Computing Lab, ISTI−CNR, Pisa, Italy) combined with the pseudo−inverse quadratic fitting method was utilized to calculate and color−code the average curvature of each point on the tooth model."" 以及 ""the CloudCompare v2.10 point cloud processing software (CloudCompare Team, Bordeaux, France) was employed to extract feature point clouds corresponding to the gingival margin line and its three subregions""",MeshLab; CloudCompare,Forensic Odontology,Morphological and phenotypic analysis,computational,"【判定】: INCLUDE
【证据】: ""MeshLab v2020.09 (Visual Computing Lab, ISTI−CNR, Pisa, Italy) combined with the pseudo−inverse quadratic fitting method was utilized to calculate and color−code the average curvature of each point on the tooth model."" 以及 ""the CloudCompare v2.10 point cloud processing software (CloudCompare Team, Bordeaux, France) was employed to extract feature point clouds corresponding to the gingival margin line and its three subregions""
【软件】: MeshLab; CloudCompare
【专科】: Forensic Odontology
【应用场景】: Morphological and phenotypic analysis
【研究设计】: computational"
development and validation of an automated algorithm for palatal rugae matching in forensic identification,Development and validation of an automated algorithm for palatal rugae matching in forensic identification,JOURNAL OF DENTISTRY,journalArticle,QQWNE6RN,,INCLUDE,EXCLUDE,"证据片段中 CloudCompare 仅出现在对既往研究/现有软件的泛述与对比中（""In the previous paper [7] a manual process has been established... with the help of the CloudCompare Software""、""In contrast to the semi-automated workflow in CloudCompare...""），表明本研究自身提出的是全自动流程（""a fully automated process is proposed that can identify scan similarity without the need for any manual input""），未提供 ""we used / imported into / processed in CloudCompare"" 之类表明本研究自己使用该第三方软件的表述；本研究实际使用的是自研自动化算法（FPFH + ICP），缺乏本研究自身使用具名第三方非牙科3D软件的证据。",-,-,-,-,"【判定】: EXCLUDE
【证据】: 证据片段中 CloudCompare 仅出现在对既往研究/现有软件的泛述与对比中（""In the previous paper [7] a manual process has been established... with the help of the CloudCompare Software""、""In contrast to the semi-automated workflow in CloudCompare...""），表明本研究自身提出的是全自动流程（""a fully automated process is proposed that can identify scan similarity without the need for any manual input""），未提供 ""we used / imported into / processed in CloudCompare"" 之类表明本研究自己使用该第三方软件的表述；本研究实际使用的是自研自动化算法（FPFH + ICP），缺乏本研究自身使用具名第三方非牙科3D软件的证据。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
fully digital versus conventional workflows for fabricating posterior three unit implant supported reconstructions a prospective crossover clinical trial,Fully Digital versus Conventional Workflows for Fabricating Posterior Three-Unit Implant-Supported Reconstructions: A Prospective Crossover Clinical Trial,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,journalArticle,YYC34XSZ,INCLUDE,EXCLUDE,INCLUDE,"""their accuracy was calculated by using the software's best-fit algorithm for detailed 3D data assessment (GOM inspect v 7.5, GOM mbh, Braunschweig, Germany)"" 以及 ""the angle of the tape between the two screwdriver positions was calculated (Figure 3c) and reported in degrees using computer-aided design (CAD) software (AutoCAD software; M.49.0.0 AutoCAD 2016, Autodesk, Inc., San Rafael, CA, USA)""",GOM Inspect; AutoCAD,Implantology,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: ""their accuracy was calculated by using the software's best-fit algorithm for detailed 3D data assessment (GOM inspect v 7.5, GOM mbh, Braunschweig, Germany)"" 以及 ""the angle of the tape between the two screwdriver positions was calculated (Figure 3c) and reported in degrees using computer-aided design (CAD) software (AutoCAD software; M.49.0.0 AutoCAD 2016, Autodesk, Inc., San Rafael, CA, USA)""
【软件】: GOM Inspect; AutoCAD
【专科】: Implantology
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
in vivo assessment of sed a novel biomechanical indicator for periodontal tissue remodeling in clear aligner therapy,In Vivo Assessment of SED: A Novel Biomechanical Indicator for Periodontal Tissue Remodeling in Clear Aligner Therapy,ANNALS OF BIOMEDICAL ENGINEERING,journalArticle,EC9P5DI3,INCLUDE,EXCLUDE,INCLUDE,"""The data were imported into Mimics 20.0 (Materialise, Belgium), where the lower anterior teeth and AB were segmented using thresholding to create mask layers."" / ""Surface optimization was performed using Geomagic Studio 2014 (Raindrop GEOMAGIC, USA)."" / ""A preliminary model was constructed in NX 1911 (Siemens, Germany)"" / ""We assembled all components in ANSYS Workbench 2019 (Ansys, USA)""",Mimics; Geomagic Studio; NX; ANSYS Workbench,Orthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""The data were imported into Mimics 20.0 (Materialise, Belgium), where the lower anterior teeth and AB were segmented using thresholding to create mask layers."" / ""Surface optimization was performed using Geomagic Studio 2014 (Raindrop GEOMAGIC, USA)."" / ""A preliminary model was constructed in NX 1911 (Siemens, Germany)"" / ""We assembled all components in ANSYS Workbench 2019 (Ansys, USA)""
【软件】: Mimics; Geomagic Studio; NX; ANSYS Workbench
【专科】: Orthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
3d printing titanium grid scaffold facilitates osteogenesis in mandibular segmental defects,3D printing titanium grid scaffold facilitates osteogenesis in mandibular segmental defects,NPJ REGENERATIVE MEDICINE,journalArticle,QLSFY6I6,INCLUDE,EXCLUDE,INCLUDE,"3D models of these structures were developed using 3-Matic software (Materialize, Leuven, Belgium).",3-Matic,Oral and Maxillofacial Surgery,Digital design and manufacturing,clinical,"【判定】: INCLUDE
【证据】: 3D models of these structures were developed using 3-Matic software (Materialize, Leuven, Belgium).
【软件】: 3-Matic
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Digital design and manufacturing
【研究设计】: clinical"
3d printed indirect bonding trays transfer accuracy of bar vs shell design in a prospective randomized clinical trial,"3D printed indirect bonding trays: transfer accuracy of bar vs shell design in a prospective, randomized clinical trial",ANGLE ORTHODONTIST,journalArticle,X6MQB5ZG,INCLUDE,INCLUDE,INCLUDE,"""Nominal (with virtual brackets) and actual (scan after IDB) STL models were imported to GOM Inspect open-source software 2018 (GOM GmbH, Braunschweig, Germany)."" 以及 ""Local coordinate systems were established for each bracket in the GOM Inspect program.""",GOM Inspect,Orthodontics,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: ""Nominal (with virtual brackets) and actual (scan after IDB) STL models were imported to GOM Inspect open-source software 2018 (GOM GmbH, Braunschweig, Germany)."" 以及 ""Local coordinate systems were established for each bracket in the GOM Inspect program.""
【软件】: GOM Inspect
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
computational evaluation of stress distribution in endocrown restored immature mandibular molars a finite element approach,Computational Evaluation of Stress Distribution in Endocrown-Restored Immature Mandibular Molars: A Finite Element Approach,APPLIED SCIENCES-BASEL,journalArticle,HSRHKBRU,INCLUDE,EXCLUDE,INCLUDE,"""mathematical models were prepared for analysis using ALTAIR Hypermesh v2024 software (ALTAIR, Troy, MI, USA)"" 及 ""Mathematical models created with ALTAIR Hypermesh software were transferred to the ALTAIR Optistruct v2024 (ALTAIR, Troy, MI, USA) solver for analysis.""",ALTAIR HyperMesh; ALTAIR Optistruct,Pediatric Dentistry,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""mathematical models were prepared for analysis using ALTAIR Hypermesh v2024 software (ALTAIR, Troy, MI, USA)"" 及 ""Mathematical models created with ALTAIR Hypermesh software were transferred to the ALTAIR Optistruct v2024 (ALTAIR, Troy, MI, USA) solver for analysis.""
【软件】: ALTAIR HyperMesh; ALTAIR Optistruct
【专科】: Pediatric Dentistry
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
effect of internal structural design on stress distribution in 3d printed subperiosteal implants under mechanical loading,Effect of Internal Structural Design on Stress Distribution in 3D-Printed Subperiosteal Implants Under Mechanical Loading,BIOENGINEERING-BASEL,journalArticle,9SNK3E6R,INCLUDE,INCLUDE,INCLUDE,"""During modeling, the test environment was virtually reconstructed using Abaqus 2026 FD01 software (Dassault Systèmes SE, Vélizy-Villacoublay, France)"" 以及 ""The acquired projection data were reconstructed using Volume Graphics StudioMax 2025.3 software (Volume Graphics GmbH, Heidelberg, Germany).""",Abaqus; Volume Graphics StudioMax,Oral and Maxillofacial Surgery,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""During modeling, the test environment was virtually reconstructed using Abaqus 2026 FD01 software (Dassault Systèmes SE, Vélizy-Villacoublay, France)"" 以及 ""The acquired projection data were reconstructed using Volume Graphics StudioMax 2025.3 software (Volume Graphics GmbH, Heidelberg, Germany).""
【软件】: Abaqus; Volume Graphics StudioMax
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
mandibular stability and condylar changes following orthognathic surgery in mandibular hypoplasia patients associated with preoperative condylar resorption,Mandibular stability and condylar changes following orthognathic surgery in mandibular hypoplasia patients associated with preoperative condylar resorption,CLINICAL ORAL INVESTIGATIONS,journalArticle,ZPAI37L6,INCLUDE,EXCLUDE,INCLUDE,"""The condyle process located over the C-plane was segmented and imported into Geomagic Studio software to calculate the volume""",Geomagic Studio,Orthodontics,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: ""The condyle process located over the C-plane was segmented and imported into Geomagic Studio software to calculate the volume""
【软件】: Geomagic Studio
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
procedure increasing the accuracy of modelling and the manufacturing of surgical templates with the use of 3d printing techniques applied in planning the procedures of reconstruction of the mandible,"Procedure Increasing the Accuracy of Modelling and the Manufacturing of Surgical Templates with the Use of 3D Printing Techniques, Applied in Planning the Procedures of Reconstruction of the Mandible",JOURNAL OF CLINICAL MEDICINE,journalArticle,6B24QV77,INCLUDE,EXCLUDE,INCLUDE,"""Using the functions of the Geomagic software, the volume of the resected area (Vresect) was determined for each of the 14 examined patients"" 及 ""The analysis of the obtained results was carried out using the GOM Inspect software.""",Geomagic; GOM Inspect,Oral and Maxillofacial Surgery,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: ""Using the functions of the Geomagic software, the volume of the resected area (Vresect) was determined for each of the 14 examined patients"" 及 ""The analysis of the obtained results was carried out using the GOM Inspect software.""
【软件】: Geomagic; GOM Inspect
【专科】: Oral and Maxillofacial Surgery
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
mandibular extracellular vesicles mediate morphogenesis and mineralization of tooth germs in miniature swine through the mir 206 hdac4 signaling axis,Mandibular extracellular vesicles mediate morphogenesis and mineralization of tooth germs in miniature swine through the miR-206/HDAC4 signaling axis,FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY,journalArticle,IJJPZDUJ,INCLUDE,INCLUDE,INCLUDE,"""3D reconstructions and mineralization analyses were performed in Mimics Research 21.0 (Materialise), quantifying surface area, volume, and mineralized volume percentage (MV%).""",Mimics,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,in_vitro,"【判定】: INCLUDE
【证据】: ""3D reconstructions and mineralization analyses were performed in Mimics Research 21.0 (Materialise), quantifying surface area, volume, and mineralized volume percentage (MV%).""
【软件】: Mimics
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: in_vitro"
digital assessment of the accuracy of implant impression techniques in free end saddle partially edentulous patients a controlled clinical trial,Digital assessment of the accuracy of implant impression techniques in free end saddle partially edentulous patients. A controlled clinical trial,BMC ORAL HEALTH,journalArticle,6J23L4DI,INCLUDE,EXCLUDE,INCLUDE,"""Using special 3D inspection and metrology software (Geomagic Control X; 3D systems), the intraoral scanning of the stock abutments tightened over the implants was set as a reference model for all upcoming comparisons. 3D segmentation of the model was carried out to split the model into 2 parts: teeth and abutments.""",Geomagic Control X,Implantology,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: ""Using special 3D inspection and metrology software (Geomagic Control X; 3D systems), the intraoral scanning of the stock abutments tightened over the implants was set as a reference model for all upcoming comparisons. 3D segmentation of the model was carried out to split the model into 2 parts: teeth and abutments.""
【软件】: Geomagic Control X
【专科】: Implantology
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
a digital workflow for the fabrication of a milled removable partial denture,A Digital Workflow for the Fabrication of a Milled Removable Partial Denture,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,journalArticle,2REVVA6Z,INCLUDE,EXCLUDE,INCLUDE,"Import the mandibular cast and RPD components data into a 3D modeling software program (Meshmixer; Autodesk Inc., San Rafael, CA, USA).",Meshmixer,Prosthodontics,Digital design and manufacturing,technical_note,"【判定】: INCLUDE
【证据】: Import the mandibular cast and RPD components data into a 3D modeling software program (Meshmixer; Autodesk Inc., San Rafael, CA, USA).
【软件】: Meshmixer
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【研究设计】: technical_note"
