_nt,Title,期刊,Item Type,原流程原因,判定,判定理由,专科,应用场景,软件,研究设计,原始返回
monitoring the calibration of in office 3d printers,Monitoring the Calibration of In-Office 3D Printers.,Dentistry journal,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明校准试件的设计（刻字）使用了 Meshmixer 软件（Autodesk），属于研究自身方法中使用的非牙科专用3D软件。,Prosthodontics,Digital design and manufacturing,Meshmixer,in_vitro,"【判定】: INCLUDE
【判定理由】: 全文明确说明校准试件的设计（刻字）使用了 Meshmixer 软件（Autodesk），属于研究自身方法中使用的非牙科专用3D软件。
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【软件】: Meshmixer
【研究设计】: in_vitro"
intaglio surface adaptation of removable partial denture framework fabricated by various data acquisition techniques and fabrication approaches,Intaglio Surface Adaptation of Removable Partial Denture Framework Fabricated by Various Data Acquisition Techniques and Fabrication Approaches.,European journal of dentistry,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明使用非牙科专用计量软件 Geomagic Control X 2020 对框架 STL 与参考模型进行叠加和偏差分析。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic Control X,in_vitro,"【判定】: INCLUDE
【判定理由】: 全文明确说明使用非牙科专用计量软件 Geomagic Control X 2020 对框架 STL 与参考模型进行叠加和偏差分析。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Control X
【研究设计】: in_vitro"
fractured full arch tooth supported zirconia bridge thin design surface damage and excessive cement layer thickness,"Fractured Full-Arch Tooth-Supported Zirconia Bridge: Thin Design, Surface Damage, and Excessive Cement Layer Thickness.",Reports (MDPI),journalArticle,Not an original research report,INCLUDE,该病例报告将桥体STL文件导入Rhinoceros CAD软件，用CutPlane命令创建截面以评估修复体厚度与设计。,Prosthodontics,3D data analysis and accuracy assessment,Rhinoceros,case_report,"【判定】: INCLUDE
【判定理由】: 该病例报告将桥体STL文件导入Rhinoceros CAD软件，用CutPlane命令创建截面以评估修复体厚度与设计。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Rhinoceros
【研究设计】: case_report"
influence of splinting scan bodies or incorporating three dimensionally printed scan aids on the trueness of complete arch digital scans,Influence of splinting scan bodies or incorporating three-dimensionally printed scan aids on the trueness of complete arch digital scans.,The Journal of prosthetic dentistry,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中使用 SolidWorks 虚拟设计定制扫描体与辅助装置，并用 Geomagic Control X 进行 3D 比对分析。,Prosthodontics,3D data analysis and accuracy assessment,SolidWorks; Geomagic Control X,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在方法中使用 SolidWorks 虚拟设计定制扫描体与辅助装置，并用 Geomagic Control X 进行 3D 比对分析。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: SolidWorks; Geomagic Control X
【研究设计】: in_vitro"
feasibility study and material selection for powder bed fusion process in printing of denture clasps,Feasibility study and material selection for powder-bed fusion process in printing of denture clasps.,Computers in biology and medicine,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中明确使用非牙科3D软件 Geomagic Studio 2014 进行逆向工程建模（雕刻基牙倒凹、添加圆柱杆）。,Prosthodontics,Digital design and manufacturing,Geomagic Studio,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在方法中明确使用非牙科3D软件 Geomagic Studio 2014 进行逆向工程建模（雕刻基牙倒凹、添加圆柱杆）。
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【软件】: Geomagic Studio
【研究设计】: in_vitro"
age related changes in the parotid gland a computed tomography based radiomics study,Age-related changes in the parotid gland: a computed tomography-based radiomics study.,Quantitative imaging in medicine and surgery,journalArticle,Outside the scope of dentistry,INCLUDE,全文明确说明使用 3D Slicer（version 5.6.2）进行腮腺自动分割及手动复核，属该研究自身方法中使用的非牙科专用3D软件。,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,3D Slicer,clinical,"【判定】: INCLUDE
【判定理由】: 全文明确说明使用 3D Slicer（version 5.6.2）进行腮腺自动分割及手动复核，属该研究自身方法中使用的非牙科专用3D软件。
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【软件】: 3D Slicer
【研究设计】: clinical"
quantitative and qualitative evaluation of precision in dental 3d facial scanning across handheld fixed multicamera and smartphone depth sensing systems,"Quantitative and qualitative evaluation of precision in dental 3D facial scanning across handheld, fixed multicamera, and smartphone depth-sensing systems.",The Journal of prosthetic dentistry,journalArticle,No non-dental 3D software identified,INCLUDE,该研究自身在方法中使用非牙科专用3D软件 Geomagic Control X 进行扫描数据叠加与偏差分析，并用 Meshmixer 设计模具。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic Control X; Meshmixer,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用非牙科专用3D软件 Geomagic Control X 进行扫描数据叠加与偏差分析，并用 Meshmixer 设计模具。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Control X; Meshmixer
【研究设计】: in_vitro"
three dimensional finite element analysis of stress distribution in a tooth restored with full coverage machined polymer crown,Three-Dimensional Finite Element Analysis of Stress Distribution in a Tooth Restored with Full Coverage Machined Polymer Crown,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,INCLUDE,该研究自身在方法中使用 Mimics 13.1 从 micro-CT 图像重建 3D 模型，并用 Hypermesh 进行网格划分，随后进行三维有限元应力分析。,Prosthodontics,Biomechanical analysis and simulation,Mimics; HyperMesh,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 Mimics 13.1 从 micro-CT 图像重建 3D 模型，并用 Hypermesh 进行网格划分，随后进行三维有限元应力分析。
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: Mimics; HyperMesh
【研究设计】: computational"
effects of incremental mandibular advancement on upper airways morphology and anatomical structures a preliminary ct scan study on body donors,Effects of incremental mandibular advancement on upper airways morphology and anatomical structures: a preliminary CT scan study on body donors.,Scientific reports,journalArticle,No non-dental 3D software identified,INCLUDE,摘要及全文明示该研究自身使用 3D Slicer (version 5.8) 对CT数据进行上气道及软组织三维测量分析。,Orthodontics,Morphological and phenotypic analysis,3D Slicer,clinical,"【判定】: INCLUDE
【判定理由】: 摘要及全文明示该研究自身使用 3D Slicer (version 5.8) 对CT数据进行上气道及软组织三维测量分析。
【专科】: Orthodontics
【应用场景】: Morphological and phenotypic analysis
【软件】: 3D Slicer
【研究设计】: clinical"
three dimensional accuracy of in office aligner therapy a retrospective comparison between planned and achieved tooth positions,Three-dimensional accuracy of in-office aligner therapy: a retrospective comparison between planned and achieved tooth positions,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中明确使用 3D Slicer（SlicerCMF 扩展，version 4.11）对 T1/T2 STL 模型进行三维叠加与线角度偏差量化分析。,Orthodontics,3D data analysis and accuracy assessment,3D Slicer,clinical,"【判定】: INCLUDE
【判定理由】: 该研究在方法中明确使用 3D Slicer（SlicerCMF 扩展，version 4.11）对 T1/T2 STL 模型进行三维叠加与线角度偏差量化分析。
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: 3D Slicer
【研究设计】: clinical"
diva a 3d virtual reality platform improves undergraduate craniofacial trauma education,"DIVA, a 3D virtual reality platform, improves undergraduate craniofacial trauma education",JOURNAL OF STOMATOLOGY ORAL AND MAXILLOFACIAL SURGERY,journalArticle,Outside the scope of dentistry,INCLUDE,全文明确说明该研究自身使用 Avizo 对 CT 扫描进行 3D 重建以放置解剖标志点，Avizo 属非牙科专用3D软件。,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,Avizo,educational,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自身使用 Avizo 对 CT 扫描进行 3D 重建以放置解剖标志点，Avizo 属非牙科专用3D软件。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Avizo
【研究设计】: educational"
virtual reality and 3d printing in head and neck cancer an educational experience,Virtual reality and 3D printing in head and neck cancer: an educational experience,FRONTIERS IN ONCOLOGY,journalArticle,No non-dental 3D software identified,INCLUDE,"全文方法部分明确写明""data were segmented with Mimics Innovation Suite (Materialise)""，表明该研究自身在方法中使用了非牙科专用3D软件Mimics进行分割。",Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,Mimics,educational,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确写明""data were segmented with Mimics Innovation Suite (Materialise)""，表明该研究自身在方法中使用了非牙科专用3D软件Mimics进行分割。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Mimics
【研究设计】: educational"
three dimensional facial volume analysis using algorithm based personalized aesthetic templates,Three-dimensional facial volume analysis using algorithm-based personalized aesthetic templates,INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,journalArticle,Outside the scope of dentistry,INCLUDE,方法部分明确说明使用 Meshmixer 3D software 设计标准化美学模板，并使用 MATLAB v2017a 进行三维图像处理。,Oral and Maxillofacial Surgery,3D data analysis and accuracy assessment,Meshmixer; MATLAB,clinical,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明使用 Meshmixer 3D software 设计标准化美学模板，并使用 MATLAB v2017a 进行三维图像处理。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Meshmixer; MATLAB
【研究设计】: clinical"
comparative analysis of five ai platforms for mandibular canal segmentation on cbct images,Comparative analysis of five AI platforms for mandibular canal segmentation on CBCT images,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,该研究自身在方法中使用 3D Slicer 作为五个自动化下颌管分割平台之一，对 120 例 CBCT 进行分割并评估其准确性。,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,3D Slicer,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 3D Slicer 作为五个自动化下颌管分割平台之一，对 120 例 CBCT 进行分割并评估其准确性。
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【软件】: 3D Slicer
【研究设计】: computational"
early stage stability and degradation of patient specific biodegradable 3d printed implants for critical mandibular reconstruction,Early-stage stability and degradation of patient-specific biodegradable 3D-printed implants for critical mandibular reconstruction,DENTAL MATERIALS,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明将 RI-2/RI-3 实体模型导入 ANSYS Workbench v18.2 进行有限元仿真与网格收敛测试，属该研究自身方法中使用非牙科专用3D软件。,Oral and Maxillofacial Surgery,Biomechanical analysis and simulation,ANSYS Workbench,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明将 RI-2/RI-3 实体模型导入 ANSYS Workbench v18.2 进行有限元仿真与网格收敛测试，属该研究自身方法中使用非牙科专用3D软件。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Biomechanical analysis and simulation
【软件】: ANSYS Workbench
【研究设计】: computational"
an in vitro study of the reproducibility of the drilling access of digitalized surgical guides generated via three different implant planning software programs,An In Vitro Study of the Reproducibility of the Drilling Access of Digitalized Surgical Guides Generated via Three Different Implant Planning Software Programs,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明作者使用非牙科专用3D软件 Meshmixer 对 STL 模型进行分割与合并处理以制备研究模型。,Implantology,Digital design and manufacturing,Meshmixer,in_vitro,"【判定】: INCLUDE
【判定理由】: 全文明确说明作者使用非牙科专用3D软件 Meshmixer 对 STL 模型进行分割与合并处理以制备研究模型。
【专科】: Implantology
【应用场景】: Digital design and manufacturing
【软件】: Meshmixer
【研究设计】: in_vitro"
effect of various printing parameters on the accuracy trueness and precision of 3d printed partial denture framework,Effect of various printing parameters on the accuracy (trueness and precision) of 3D-printed partial denture framework,JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中明确使用 Autodesk Meshmixer 清理扫描支撑，并使用 Geomagic Control X 和 MATLAB 2022b 进行对齐与偏差分析。,Prosthodontics,3D data analysis and accuracy assessment,Autodesk Meshmixer; Geomagic Control X; MATLAB,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在方法中明确使用 Autodesk Meshmixer 清理扫描支撑，并使用 Geomagic Control X 和 MATLAB 2022b 进行对齐与偏差分析。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Autodesk Meshmixer; Geomagic Control X; MATLAB
【研究设计】: in_vitro"
suitability and trueness of the removable partial denture framework fabricating by polyether ether ketone with cad cam technology,Suitability and Trueness of the Removable Partial Denture Framework Fabricating by Polyether Ether Ketone with CAD-CAM Technology,POLYMERS,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法部分明确使用 Geomagic Wrap 2017 对扫描数据进行配准、对齐和偏差分析，用于评估 PEEK RPD 支架的适合性和真实度。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic Wrap,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在方法部分明确使用 Geomagic Wrap 2017 对扫描数据进行配准、对齐和偏差分析，用于评估 PEEK RPD 支架的适合性和真实度。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Wrap
【研究设计】: in_vitro"
development and validation of a robotic system for milling individualized jawbone cavities in oral and maxillofacial surgery,Development and validation of a robotic system for milling individualized jawbone cavities in oral and maxillofacial surgery,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明该研究自己使用 Mimics 进行上颌骨与埋伏牙分割、使用 Geomagic Wrap 构建实验模型并设计骨腔。,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,Mimics; Geomagic Wrap,in_vitro,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自己使用 Mimics 进行上颌骨与埋伏牙分割、使用 Geomagic Wrap 构建实验模型并设计骨腔。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Mimics; Geomagic Wrap
【研究设计】: in_vitro"
three dimensional hemisided analysis of the pharyngeal airway a novel technical strategy to evaluate asymmetric remodeling after orthognathic surgery,Three-Dimensional Hemisided Analysis of the Pharyngeal Airway: A Novel Technical Strategy to Evaluate Asymmetric Remodeling After Orthognathic Surgery,JOURNAL OF CRANIOFACIAL SURGERY,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明将气道STL模型导入 Meshmixer 软件进行半侧分割与体积/形态分析，属研究自身方法使用非牙科专用3D软件。,Orthodontics and Dentofacial Orthopedics,Image segmentation and 3D reconstruction,Meshmixer,technical_note,"【判定】: INCLUDE
【判定理由】: 全文明确说明将气道STL模型导入 Meshmixer 软件进行半侧分割与体积/形态分析，属研究自身方法使用非牙科专用3D软件。
【专科】: Orthodontics and Dentofacial Orthopedics
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Meshmixer
【研究设计】: technical_note"
sex and age biological variation of the mandible in a portuguese population a forensic and medico legal approaches with three dimensional analysis,Sex and age biological variation of the mandible in a Portuguese population- a forensic and medico-legal approaches with three-dimensional analysis,SCIENCE & JUSTICE,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明CBCT图像被导入Mimics Innovation Suite 17.0软件并重建生成3D颅面图像，属该研究自身方法中使用非牙科专用3D软件。,Forensic Dentistry,Image segmentation and 3D reconstruction,Mimics,clinical,"【判定】: INCLUDE
【判定理由】: 全文明确说明CBCT图像被导入Mimics Innovation Suite 17.0软件并重建生成3D颅面图像，属该研究自身方法中使用非牙科专用3D软件。
【专科】: Forensic Dentistry
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Mimics
【研究设计】: clinical"
subtractive versus additive indirect manufacturing techniques of digitally designed partial dentures,Subtractive versus additive indirect manufacturing techniques of digitally designed partial dentures,JOURNAL OF ADVANCED PROSTHODONTICS,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中明确使用 Geomagic Control X 软件对扫描框架与初始设计 STL 进行表面匹配和 3D 偏差分析以评估精度。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic Control X,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在方法中明确使用 Geomagic Control X 软件对扫描框架与初始设计 STL 进行表面匹配和 3D 偏差分析以评估精度。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Control X
【研究设计】: in_vitro"
biomechanical effect of implant thickness and screw diameter on cfr peek subperiosteal implants a three dimensional finite element analysis,Biomechanical effect of implant thickness and screw diameter on CFR-PEEK subperiosteal implants: a three-dimensional finite element analysis,SCIENTIFIC REPORTS,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明使用 3D Slicer 对上颌骨 CT 数据进行分割、并用 Blender 进行模型优化处理，属于研究自身方法中使用非牙科专用3D软件。,Prosthodontics,Biomechanical analysis and simulation,3D Slicer; Blender,computational,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明使用 3D Slicer 对上颌骨 CT 数据进行分割、并用 Blender 进行模型优化处理，属于研究自身方法中使用非牙科专用3D软件。
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: 3D Slicer; Blender
【研究设计】: computational"
corticotomy depth as a modulator of orthodontic tooth movement and pdl stress a finite element study,Corticotomy Depth as a Modulator of Orthodontic Tooth Movement and PDL Stress-A Finite Element Study,MATERIALS,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明使用 MIMICS 18.0 进行逐层轮廓分割重建，并使用 Hypermesh 2023 进行网格划分，均为研究自身使用。,Orthodontics,Biomechanical analysis and simulation,Mimics; HyperMesh,computational,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明使用 MIMICS 18.0 进行逐层轮廓分割重建，并使用 Hypermesh 2023 进行网格划分，均为研究自身使用。
【专科】: Orthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: Mimics; HyperMesh
【研究设计】: computational"
effect of palatal vault depth on the trueness of metal laser sintered and cast cobalt chromium removable partial denture frameworks,Effect of Palatal Vault Depth on the Trueness of Metal Laser-Sintered and Cast Cobalt-Chromium Removable Partial Denture Frameworks,JOURNAL OF PROSTHODONTICS-IMPLANT ESTHETIC AND RECONSTRUCTIVE DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中使用非牙科专用3D检测软件 GOM Inspect 进行STL叠加与偏差计算以评估框架真实度。,Prosthodontics,3D data analysis and accuracy assessment,GOM Inspect,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在方法中使用非牙科专用3D检测软件 GOM Inspect 进行STL叠加与偏差计算以评估框架真实度。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: GOM Inspect
【研究设计】: in_vitro"
does printing orientation matter in polyjet 3d printed teeth for endodontics a micro ct analysis,Does Printing Orientation Matter in PolyJet 3D Printed Teeth for Endodontics? A Micro-CT Analysis,JOURNAL OF FUNCTIONAL BIOMATERIALS,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明将STL模型导入MeshLab软件（非牙科专用3D软件）进行根管形态定性分析，属研究自身方法使用。,Endodontics,Morphological and phenotypic analysis,MeshLab,in_vitro,"【判定】: INCLUDE
【判定理由】: 全文明确说明将STL模型导入MeshLab软件（非牙科专用3D软件）进行根管形态定性分析，属研究自身方法使用。
【专科】: Endodontics
【应用场景】: Morphological and phenotypic analysis
【软件】: MeshLab
【研究设计】: in_vitro"
comparing the trueness of 3d printing and conventional casting for removable partial denture metal framework fabrication in different mandibular major connectors designs an in vitro study,Comparing the trueness of 3D printing and conventional casting for removable partial denture metal framework fabrication in different mandibular major connectors designs: An in vitro study,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中使用 Geomagic Control X 软件将框架与石膏模型 STL 文件叠加并测量间隙偏差以评估真实度。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic Control X,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在方法中使用 Geomagic Control X 软件将框架与石膏模型 STL 文件叠加并测量间隙偏差以评估真实度。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Control X
【研究设计】: in_vitro"
usct uncertainty regularized symmetric consistency learning for semi supervised teeth segmentation in cbct,USCT: Uncertainty-regularized symmetric consistency learning for semi-supervised teeth segmentation in CBCT,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,journalArticle,No non-dental 3D software identified,INCLUDE,摘要及全文片段表明作者使用 ITK-SNAP 软件逐层手动勾画 ground truth，属于该研究自身方法中对3D数据的处理。,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,ITK-SNAP,computational,"【判定】: INCLUDE
【判定理由】: 摘要及全文片段表明作者使用 ITK-SNAP 软件逐层手动勾画 ground truth，属于该研究自身方法中对3D数据的处理。
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【软件】: ITK-SNAP
【研究设计】: computational"
an in vitro evaluation of bond strength and failure behavior between 3d printed cobalt chromium alloy and different types of denture base resins,An in vitro evaluation of bond strength and failure behavior between 3D-printed cobalt-chromium alloy and different types of denture base resins,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明使用 Autodesk Meshmixer version 3.5 设计圆盘状试样，属该研究自身方法中使用的非牙科专用3D软件。,Prosthodontics,Digital design and manufacturing,Autodesk Meshmixer,in_vitro,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明使用 Autodesk Meshmixer version 3.5 设计圆盘状试样，属该研究自身方法中使用的非牙科专用3D软件。
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【软件】: Autodesk Meshmixer
【研究设计】: in_vitro"
augmented reality assisted surgical exposure of an impacted tooth a pilot study,Augmented Reality-Assisted Surgical Exposure of an Impacted Tooth: A Pilot Study,APPLIED SCIENCES-BASEL,journalArticle,Not an original research report,INCLUDE,作者在方法中明确使用开源CAD软件 Meshmixer 编辑口扫模型，并使用开源医学软件 InVesalius 对CBCT进行分割并导出STL。,Oral and Maxillofacial Surgery,Surgical planning and precise implementation,Meshmixer; InVesalius,clinical,"【判定】: INCLUDE
【判定理由】: 作者在方法中明确使用开源CAD软件 Meshmixer 编辑口扫模型，并使用开源医学软件 InVesalius 对CBCT进行分割并导出STL。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Surgical planning and precise implementation
【软件】: Meshmixer; InVesalius
【研究设计】: clinical"
trueness and marginal fit of implant supported complete arch fixed prosthesis frameworks made of high performance polymers and titanium an explorative in vitro study,Trueness and marginal fit of implant-supported complete-arch fixed prosthesis frameworks made of high-performance polymers and titanium: An explorative in-vitro study,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中使用非牙科专用计量软件 GOM Inspect V8 SR1 进行 STL 文件叠加和偏差分析。,Prosthodontics,3D data analysis and accuracy assessment,GOM Inspect,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在方法中使用非牙科专用计量软件 GOM Inspect V8 SR1 进行 STL 文件叠加和偏差分析。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: GOM Inspect
【研究设计】: in_vitro"
automatic three dimensional facial symmetry reference plane construction based on facial planar reflective symmetry net,Automatic three-dimensional facial symmetry reference plane construction based on facial planar reflective symmetry net,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确说明临床医生使用 Geomagic Wrap 2021 软件手动调整三维面部数据并确定SRP，属于研究自身方法中使用非牙科专用3D软件。,Orthodontics,Morphological and phenotypic analysis,Geomagic Wrap,computational,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明临床医生使用 Geomagic Wrap 2021 软件手动调整三维面部数据并确定SRP，属于研究自身方法中使用非牙科专用3D软件。
【专科】: Orthodontics
【应用场景】: Morphological and phenotypic analysis
【软件】: Geomagic Wrap
【研究设计】: computational"
2d to 3d predicting three dimensional 3d cephalometric measurements from two conventional x ray images,2D-to-3D: Predicting three-dimensional (3D) cephalometric measurements from two conventional X-ray images,JOURNAL OF OROFACIAL ORTHOPEDICS-FORTSCHRITTE DER KIEFERORTHOPADIE,journalArticle,No non-dental 3D software identified,INCLUDE,该研究自身在方法中使用 MATLAB 进行图像配准与3D标志点预测，并使用 3D Slicer 在CT图像上绘制3D头影测量标志点以验证准确性。,Orthodontics,Image segmentation and 3D reconstruction,MATLAB; 3D Slicer,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 MATLAB 进行图像配准与3D标志点预测，并使用 3D Slicer 在CT图像上绘制3D头影测量标志点以验证准确性。
【专科】: Orthodontics
【应用场景】: Image segmentation and 3D reconstruction
【软件】: MATLAB; 3D Slicer
【研究设计】: computational"
a three year prospective study comparing stereolithography printed models to classical impression and plaster cast models in orthodontic therapy a 3d objectification approach,A Three-Year Prospective Study Comparing Stereolithography Printed Models to Classical Impression and Plaster Cast Models in Orthodontic Therapy: A 3D Objectification Approach,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明该研究自身使用 Autodesk Meshmixer 3.5 进行 best-fit 对齐、CloudCompare 2.13 进行 ICP 精细配准与点云-网格距离计算。,Orthodontics,3D data analysis and accuracy assessment,Autodesk Meshmixer; CloudCompare,clinical,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自身使用 Autodesk Meshmixer 3.5 进行 best-fit 对齐、CloudCompare 2.13 进行 ICP 精细配准与点云-网格距离计算。
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Autodesk Meshmixer; CloudCompare
【研究设计】: clinical"
accuracy of face scan based virtual facebow records a comparison between two registration methods,Accuracy of face scan-based virtual facebow records: A comparison between two registration methods,JOURNAL OF PROSTHODONTICS-IMPLANT ESTHETIC AND RECONSTRUCTIVE DENTISTRY,journalArticle,No non-dental 3D software identified,INCLUDE,方法中明确将扫描数据导入开源3D软件 Blender（version 2.80）放置参考点，属研究自身使用非牙科专用3D软件处理3D数据。,Prosthodontics,3D data analysis and accuracy assessment,Blender,in_vitro,"【判定】: INCLUDE
【判定理由】: 方法中明确将扫描数据导入开源3D软件 Blender（version 2.80）放置参考点，属研究自身使用非牙科专用3D软件处理3D数据。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Blender
【研究设计】: in_vitro"
modeling fracture in multilayered teeth using the finite volume based phase field method,Modeling fracture in multilayered teeth using the finite volume-based phase field method,JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明该研究自己使用 Mimics 进行CBCT分割重建、Geomagic Wrap 进行形态优化、SolidWorks 进行实体装配建模。,Endodontics,Biomechanical analysis and simulation,Mimics; Geomagic Wrap; SolidWorks,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自己使用 Mimics 进行CBCT分割重建、Geomagic Wrap 进行形态优化、SolidWorks 进行实体装配建模。
【专科】: Endodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: Mimics; Geomagic Wrap; SolidWorks
【研究设计】: computational"
