_nt,Title,期刊,Item Type,Key,PDF,判定,判定理由,软件,专科,应用场景,研究设计,原始返回
use of individually designed cad cam suprastructures for dental reconstruction in patients with cleft lip and palate,Use of Individually Designed CAD/CAM Suprastructures for Dental Reconstruction in Patients with Cleft Lip and Palate.,Dentistry journal,journalArticle,HXCMADLS,Mäntynen 等 - 2023 - Use of Individually Designed CADCAM Suprastructures for Dental Reconstruction in Patients with Clef.pdf,EXCLUDE,"证据片段中仅提及牙科专用系统 ""Atlantis 2in1 system"" 和 ""Createch removable telescope structures""，未出现任何该研究自身使用的具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中仅提及牙科专用系统 ""Atlantis 2in1 system"" 和 ""Createch removable telescope structures""，未出现任何该研究自身使用的具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
new approach to dental morphometric research based on 3d imaging techniques,New Approach to Dental Morphometric Research Based on 3D Imaging Techniques.,Journal of imaging,journalArticle,JXPNURLI,Gaboutchian 等 - 2021 - New Approach to Dental Morphometric Research Based on 3D Imaging Techniques..pdf,EXCLUDE,"抽取的证据片段仅泛泛提及""3D reconstructions""""image processing""""micro computed tomography (µCT)""等，未出现该研究自身在材料与方法中使用的任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic 等）。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 抽取的证据片段仅泛泛提及""3D reconstructions""""image processing""""micro computed tomography (µCT)""等，未出现该研究自身在材料与方法中使用的任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic 等）。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
potential applicability of virtual reality in implant dentistry a narrative review,Potential applicability of virtual reality in implant dentistry: a narrative review.,Frontiers in dental medicine,journalArticle,Y85SAQ5F,Alasiri - 2024 - Potential applicability of virtual reality in implant dentistry a narrative review..pdf,EXCLUDE,"该文献为叙述性综述（题名明确为 ""a narrative review""），不符合原创研究/技术说明/病例报告的纳入类型要求；且证据片段中提及的软件均为被引他人研究或泛泛讨论，未体现该研究自身使用具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该文献为叙述性综述（题名明确为 ""a narrative review""），不符合原创研究/技术说明/病例报告的纳入类型要求；且证据片段中提及的软件均为被引他人研究或泛泛讨论，未体现该研究自身使用具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
evaluation of the marginal fit of computer aided design cad and computer aided manufacturing cam zirconia bridges fabricated with different firing cycles of veneering porcelain an in vitro study,Evaluation of the Marginal Fit of Computer-Aided Design (CAD) and Computer-Aided Manufacturing (CAM) Zirconia Bridges Fabricated With Different Firing Cycles of  Veneering Porcelain: An In Vitro Study.,Cureus,journalArticle,CC4C93VB,Chokr 等 - 2023 - Evaluation of the Marginal Fit of Computer-Aided Design (CAD) and Computer-Aided Manufacturing (CAM).pdf,EXCLUDE,"证据片段中仅泛泛提及""designed by CAD/CAM""，未出现任何具名的第三方非牙科3D软件（如Mimics、3D Slicer、Geomagic等）被该研究自己使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中仅泛泛提及""designed by CAD/CAM""，未出现任何具名的第三方非牙科3D软件（如Mimics、3D Slicer、Geomagic等）被该研究自己使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
rat tongue kinematics with markerless xromm using deeplabcut and marker masking,Rat Tongue Kinematics with Markerless XROMM Using DeepLabCut and Marker Masking.,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International  Conference,journalArticle,R32WAMDT,Flotho 等 - 2024 - Rat Tongue Kinematics with Markerless XROMM Using DeepLabCut and Marker Masking..pdf,EXCLUDE,"该研究主题为啮齿动物舌运动学（XROMM），属于基础生物学/神经行为研究，而非口腔医学任一学科；且所用工具为 DeepLabCut、XMALab 等，证据中仅见 ""Each marker's ... 3D coordinates were read in MATLAB"" 用于坐标读取，未体现具名第三方非牙科3D软件用于口腔医学3D数据处理。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究主题为啮齿动物舌运动学（XROMM），属于基础生物学/神经行为研究，而非口腔医学任一学科；且所用工具为 DeepLabCut、XMALab 等，证据中仅见 ""Each marker's ... 3D coordinates were read in MATLAB"" 用于坐标读取，未体现具名第三方非牙科3D软件用于口腔医学3D数据处理。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
efficient complete denture metal base design via a dental feature driven segmentation network,Efficient complete denture metal base design via a dental feature-driven segmentation network.,Computers in biology and medicine,journalArticle,4X2TJXXU,Li 等 - 2024 - Efficient complete denture metal base design via a dental feature-driven segmentation network..pdf,EXCLUDE,"该研究仅开发并使用自研的分割网络框架 CDMB-SegNet（""we develop a computer-aided Segmentation Network-driven CDMB design framework, called CDMB-SegNet""），证据片段中未出现任何具名的第三方非牙科3D软件被该研究自己使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究仅开发并使用自研的分割网络框架 CDMB-SegNet（""we develop a computer-aided Segmentation Network-driven CDMB design framework, called CDMB-SegNet""），证据片段中未出现任何具名的第三方非牙科3D软件被该研究自己使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
comparison of 3d accuracy of conventional cast metal to milled zirconia implant supported full arch fixed dental prosthesis frameworks,Comparison of 3D Accuracy of Conventional Cast Metal to Milled Zirconia Implant-Supported Full-Arch Fixed Dental Prosthesis Frameworks.,The International journal of oral & maxillofacial implants,journalArticle,SISAMUSA,Lua 等 - 2025 - Comparison of Three-Dimensional Accuracy of Conventional Cast Metal to Milled Zirconia Implant Full-.pdf,EXCLUDE,证据片段中仅提及 CAD/CAM 和 CMM 配套的计量软件（PC-DMIS），未出现任何具名的第三方非牙科三维软件被该研究自身用于3D数据处理、分析或建模。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中仅提及 CAD/CAM 和 CMM 配套的计量软件（PC-DMIS），未出现任何具名的第三方非牙科三维软件被该研究自身用于3D数据处理、分析或建模。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
virtual articulator software accuracy usability and clinical applicability a systematic review,"Virtual Articulator Software: Accuracy, Usability, and Clinical Applicability: A Systematic Review.",International dental journal,journalArticle,U5BR4J6Y,"Saini 等 - 2025 - Virtual Articulator Software Accuracy, Usability, and Clinical Applicability A Systematic Review.pdf",EXCLUDE,"该文献为系统综述（""A Systematic Review""），且证据片段中提及的 MATLAB 等软件仅出现在对纳入研究的汇总描述中（""including Panadent, Ortho CADTM, CT, CAD/CAM, PAN 300, and MATLAB program""），并非该研究自身在材料与方法中使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该文献为系统综述（""A Systematic Review""），且证据片段中提及的 MATLAB 等软件仅出现在对纳入研究的汇总描述中（""including Panadent, Ortho CADTM, CT, CAD/CAM, PAN 300, and MATLAB program""），并非该研究自身在材料与方法中使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
accuracy of implant placement with a combined use of static and dynamic computer assisted implant surgery in single tooth space a randomized controlled trial,Accuracy of implant placement with a combined use of static and dynamic computer-assisted implant surgery in single tooth space: A randomized controlled  trial.,Clinical oral implants research,journalArticle,UYNICMWQ,Yotpibulwong 等 - 2023 - Accuracy of implant placement with a combined use of static and dynamic computer-assisted implant su.pdf,EXCLUDE,证据片段中出现的具名软件为 Iris-100（动态导航软件）和 coDiagnostiX（牙科专用种植规划软件），前者属牙科导航系统，后者为牙科专用软件；G*Power 仅用于样本量计算而非3D数据处理，故该研究未使用具名的第三方非牙科3D软件。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中出现的具名软件为 Iris-100（动态导航软件）和 coDiagnostiX（牙科专用种植规划软件），前者属牙科导航系统，后者为牙科专用软件；G*Power 仅用于样本量计算而非3D数据处理，故该研究未使用具名的第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
tablet based augmented reality and 3d printed templates in fully guided microtia reconstruction a clinical workflow,Tablet-based Augmented reality and 3D printed templates in fully guided Microtia Reconstruction: a clinical workflow.,3D printing in medicine,journalArticle,EJE3LUQJ,Díez-Montiel 等 - 2024 - Tablet-based Augmented reality and 3D printed templates in fully guided Microtia Reconstruction a c.pdf,EXCLUDE,"证据片段显示该研究""developed an in-house AR application""，即使用自研应用程序，未提及任何具名的第三方非牙科3D软件（如 Mimics、3D Slicer 等）被该研究自身使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段显示该研究""developed an in-house AR application""，即使用自研应用程序，未提及任何具名的第三方非牙科3D软件（如 Mimics、3D Slicer 等）被该研究自身使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
automatic real time space registration application for simulating dental and maxillofacial surgery,Automatic Real-Time Space Registration Application for Simulating Dental and Maxillofacial Surgery.,The Journal of craniofacial surgery,journalArticle,4RXVW5LA,Bai 等 - 2022 - Automatic Real-Time Space Registration Application for Simulating Dental and Maxillofacial Surgery..pdf,EXCLUDE,"证据片段仅描述了作者自研的""weighted iterative closest point (ICP) algorithm""及其改进，未提及任何具名的第三方非牙科3D软件被该研究自身使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅描述了作者自研的""weighted iterative closest point (ICP) algorithm""及其改进，未提及任何具名的第三方非牙科3D软件被该研究自身使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
efficacy of metal artifact reduction algorithm of cone beam computed tomography for detection of fenestration and dehiscence around dental implants,Efficacy of Metal Artifact Reduction Algorithm of Cone-Beam Computed Tomography for Detection of Fenestration and Dehiscence around Dental Implants.,Journal of biomedical physics & engineering,journalArticle,KVLBJQPE,Salemi 等 - 2021 - Efficacy of Metal Artifact Reduction Algorithm of Cone-Beam Computed Tomography for Detection of Fen.pdf,EXCLUDE,证据片段中仅出现 Romexis、On Demand 等牙科专用软件及 SPSS 统计软件，未使用任何具名的第三方非牙科三维软件进行3D数据处理。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中仅出现 Romexis、On Demand 等牙科专用软件及 SPSS 统计软件，未使用任何具名的第三方非牙科三维软件进行3D数据处理。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
concurrent computed tomography based evaluation of nasal morphology airway volume and skeletal changes following craniofacial distraction osteogenesis a pilot retrospective case series,"Concurrent computed tomography-based evaluation of nasal morphology, airway volume, and skeletal changes following craniofacial distraction osteogenesis: A  pilot retrospective case series.","Journal of stomatology, oral and maxillofacial surgery",journalArticle,LQCXZNNJ,"Julia 等 - 2026 - Concurrent computed tomography-based evaluation of nasal morphology, airway volume, and skeletal cha.pdf",INCLUDE,"全文证据明确显示该研究自身使用具名第三方非牙科3D软件：""Nasal soft tissue index measurement was calculated based on nasal height and nasal width using the Mimics three-dimensional analysis software"" 以及 ""condylar volume was calculated using Mimics software""。",Mimics,Oral and Maxillofacial Surgery,Morphological and phenotypic analysis,clinical,"【判定】: INCLUDE
【判定理由】: 全文证据明确显示该研究自身使用具名第三方非牙科3D软件：""Nasal soft tissue index measurement was calculated based on nasal height and nasal width using the Mimics three-dimensional analysis software"" 以及 ""condylar volume was calculated using Mimics software""。
【软件】: Mimics
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Morphological and phenotypic analysis
【研究设计】: clinical"
a novel solution of using mixed reality in bowel and oral and maxillofacial surgical telepresence 3d mean value cloning algorithm,A Novel Solution of Using Mixed Reality in Bowel and Oral and Maxillofacial Surgical Telepresence: 3D Mean Value Cloning algorithm.,The international journal of medical robotics + computer assisted surgery : MRCAS,journalArticle,VTPCDERE,Maharjan 等 - 2020 - A Novel Solution of Using Mixed Reality in Bowel and Oral and Maxillofacial Surgical Telepresence 3.pdf,EXCLUDE,证据片段中提及的软件/算法（如 ICP、TLD、mean value cloning）均为该研究自研或通用算法，且相关软件名仅出现在被引他人研究（如 Henry & Lee [5]、Fan et al. [17]）的讨论中，未见该研究自身使用任何具名第三方非牙科3D软件。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中提及的软件/算法（如 ICP、TLD、mean value cloning）均为该研究自研或通用算法，且相关软件名仅出现在被引他人研究（如 Henry & Lee [5]、Fan et al. [17]）的讨论中，未见该研究自身使用任何具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
patient specific gingival recession system based on periodontal disease prediction,Patient-specific gingival recession system based on periodontal disease prediction.,International journal of computerized dentistry,journalArticle,VXPM8E6R,2025 - Patient-specific gingival recession system based on periodontal disease prediction.pdf,EXCLUDE,"该研究自行开发了""PDP software program""，使用自研算法（Dijkstra's algorithm、K means clustering），证据中仅提及自编程序与Microsoft Excel，未使用任何具名的第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究自行开发了""PDP software program""，使用自研算法（Dijkstra's algorithm、K means clustering），证据中仅提及自编程序与Microsoft Excel，未使用任何具名的第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
an in vitro analysis of implant site preparation and placement protocols on implant accuracy in robot assisted procedures,An In Vitro Analysis of Implant Site Preparation and Placement Protocols on Implant Accuracy in Robot-Assisted Procedures.,Dentistry journal,journalArticle,JYU5QBGN,Wang 等 - 2025 - An In Vitro Analysis of Implant Site Preparation and Placement Protocols on Implant Accuracy in Robo.pdf,EXCLUDE,"证据片段中仅提及""3D reconstruction techniques""和""3D printed""等泛化描述，未出现任何具名的第三方非牙科3D软件（如Mimics、3D Slicer、Geomagic等）被该研究自己使用；CBCT为影像设备，3D打印机为制造设备，均非3D数据处理软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中仅提及""3D reconstruction techniques""和""3D printed""等泛化描述，未出现任何具名的第三方非牙科3D软件（如Mimics、3D Slicer、Geomagic等）被该研究自己使用；CBCT为影像设备，3D打印机为制造设备，均非3D数据处理软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
development of an experimental model for assessment of palatal tissue decomposition by intraoral scanner,Development of an experimental model for assessment of palatal tissue decomposition by intraoral scanner.,Forensic science international,journalArticle,QX8DEXZK,Mikó 等 - 2025 - Development of an experimental model for assessment of palatal tissue decomposition by intraoral sca.pdf,EXCLUDE,证据片段中仅提及使用 Emerald S 口内扫描仪（Planmeca，牙科专用设备/软件）及迭代最近点算法（iterative closest point algorithm），未出现任何具名的第三方非牙科3D软件被该研究自己使用。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中仅提及使用 Emerald S 口内扫描仪（Planmeca，牙科专用设备/软件）及迭代最近点算法（iterative closest point algorithm），未出现任何具名的第三方非牙科3D软件被该研究自己使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
advances in digital restorative dentistry evaluation of clinical outcome parameters of cad cam and 3d printed inlays onlays and veneers scoping review,"Advances in Digital Restorative Dentistry: Evaluation of Clinical Outcome Parameters of CAD/CAM and 3D-Printed Inlays, Onlays, and Veneers-Scoping Review.",International journal of dentistry,journalArticle,LIQ8K4QS,Basheer和Peeran - 2026 - Advances in Digital Restorative Dentistry Evaluation of Clinical Outcome Parameters of CADCAM and.pdf,EXCLUDE,"该文献为 scoping review（""This scoping review aimed to map and synthesize current evidence""），属于综述类型，不符合原创研究/技术说明/病例报告的纳入要求；且证据片段中未出现该研究自身使用的具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该文献为 scoping review（""This scoping review aimed to map and synthesize current evidence""），属于综述类型，不符合原创研究/技术说明/病例报告的纳入要求；且证据片段中未出现该研究自身使用的具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
predicting site specific alveolar bone remodeling in class iii decompensation a preliminary study based on a data driven rbf framework,Predicting site-specific alveolar bone remodeling in class III decompensation: a preliminary study based on a data-driven RBF framework.,BMC oral health,journalArticle,WY9YT5C5,Li 等 - 2026 - Predicting site-specific alveolar bone remodeling in class III decompensation a preliminary study b.pdf,EXCLUDE,"证据片段仅显示该研究使用自研的 RBF 神经网络框架（""a data-driven framework using a radial basis function (RBF) neural network""），未出现任何具名的第三方非牙科3D软件被该研究自己使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅显示该研究使用自研的 RBF 神经网络框架（""a data-driven framework using a radial basis function (RBF) neural network""），未出现任何具名的第三方非牙科3D软件被该研究自己使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
effect of distal cantilever and anterior implant diameter on framework and cortical bone stress in a peek based all on four mandibular prosthesis,Effect of distal cantilever and anterior implant diameter on framework and cortical bone stress in a PEEK-based All-on-Four mandibular prosthesis.,Frontiers in dental medicine,journalArticle,BG353LUQ,Rodrigues 等 - 2026 - Effect of distal cantilever and anterior implant diameter on framework and cortical bone stress in a.pdf,INCLUDE,"该研究自身在材料与方法中使用具名第三方非牙科3D软件进行有限元分析，原文明确写道""A meshless multi-pass adaptive analysis approach was employed using Sim Solid software (24, 25)""。",SimSolid,Implantology,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用具名第三方非牙科3D软件进行有限元分析，原文明确写道""A meshless multi-pass adaptive analysis approach was employed using Sim Solid software (24, 25)""。
【软件】: SimSolid
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
role of 3d printing in post op rehabilitation of palatal bone loss by mucormycosis a survey,Role of 3D Printing in Post-op Rehabilitation of Palatal Bone Loss by Mucormycosis: A Survey.,Cureus,journalArticle,6VNYBPW6,Gaikwad 等 - 2022 - Role of 3D Printing in Post-op Rehabilitation of Palatal Bone Loss by Mucormycosis A Survey.pdf,EXCLUDE,"该文献为问卷调查（survey），研究自身未使用任何具名第三方非牙科3D软件，证据片段仅泛泛提及""3D printing""及""3D modeling, printing, and manufacturing""，无具体软件名。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该文献为问卷调查（survey），研究自身未使用任何具名第三方非牙科3D软件，证据片段仅泛泛提及""3D printing""及""3D modeling, printing, and manufacturing""，无具体软件名。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
detecting mandible fractures in cbct scans using a 3 stage neural network,Detecting Mandible Fractures in CBCT Scans Using a 3-Stage Neural Network.,Journal of dental research,journalArticle,UVGSTG9C,van Nistelrooij 等 - 2024 - Detecting Mandible Fractures in CBCT Scans Using a 3-Stage Neural Network..pdf,INCLUDE,"证据片段显示该研究自身在数据标注中使用具名第三方非牙科3D软件：""segmented slice by slice ... using ITK-SNAP (version 3.6.0)""。",ITK-SNAP,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【判定理由】: 证据片段显示该研究自身在数据标注中使用具名第三方非牙科3D软件：""segmented slice by slice ... using ITK-SNAP (version 3.6.0)""。
【软件】: ITK-SNAP
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
electrical impedance myography method of measuring anisotropic tongue tissue,Electrical impedance myography method of measuring anisotropic tongue tissue.,Physiological measurement,journalArticle,A2PX5EWK,Luo 等 - 2023 - Electrical impedance myography method of measuring anisotropic tongue tissue.pdf,EXCLUDE,"证据片段仅提及""Finite-element method (FEM) simulations""，未出现任何具名的第三方非牙科3D软件（如 COMSOL、ANSYS 等），无法确认该研究自身使用了具名软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅提及""Finite-element method (FEM) simulations""，未出现任何具名的第三方非牙科3D软件（如 COMSOL、ANSYS 等），无法确认该研究自身使用了具名软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
fit and retention of complete denture bases part ii conventional impressions versus digital scans a clinical controlled crossover study,Fit and retention of complete denture bases: Part II - conventional impressions versus digital scans: A clinical controlled crossover study.,The Journal of prosthetic dentistry,journalArticle,W29E6BQZ,Chebib 等 - 2024 - Fit and retention of complete denture bases Part II - conventional impressions versus digital scans.pdf,INCLUDE,"该研究自身在材料与方法中使用具名第三方非牙科3D软件进行3D数据分析，证据片段明确提到""The scans of each denture base were imported into an analytic software program (Geomagic Control X 2020; 3D systems)""。",Geomagic Control X,Prosthodontics,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用具名第三方非牙科3D软件进行3D数据分析，证据片段明确提到""The scans of each denture base were imported into an analytic software program (Geomagic Control X 2020; 3D systems)""。
【软件】: Geomagic Control X
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
guided full mouth implant rehabilitation in atrophic alveolar ridges using ttphil all tilt protocol a case report with three years follow up,Guided Full Mouth Implant Rehabilitation in Atrophic Alveolar Ridges Using TTPHIL ALL TILT? Protocol: A Case Report With Three Years Follow-Up.,Cureus,journalArticle,V32JAIQC,Nag 等 - 2023 - Guided Full Mouth Implant Rehabilitation in Atrophic Alveolar Ridges Using TTPHIL ALL TILT® Protocol.pdf,EXCLUDE,"证据片段仅泛泛提及""digital implant planning software""和""CAD/CAM""，未给出任何具名的第三方非牙科3D软件名称，无法确认该研究自身使用了符合标准的软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅泛泛提及""digital implant planning software""和""CAD/CAM""，未给出任何具名的第三方非牙科3D软件名称，无法确认该研究自身使用了符合标准的软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
a novel technique to retrieve cement retained implant supported prosthesis with digital imaging a technical report,A Novel Technique to Retrieve Cement Retained Implant Supported Prosthesis with Digital Imaging: A Technical Report.,"Journal of dentistry (Shiraz, Iran)",journalArticle,6MA2TRFI,Raju 等 - 2025 - A Novel Technique to Retrieve Cement Retained Implant Supported Prosthesis with Digital Imaging A T.pdf,EXCLUDE,"证据片段中唯一具名的软件为 ""Exocad software (Dental CAD 3.0 Galway)""，属于牙科专用软件；其余提及的 TRIOS、Medit I700、Shining 3D 均为扫描仪/打印机硬件，未使用任何具名的第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中唯一具名的软件为 ""Exocad software (Dental CAD 3.0 Galway)""，属于牙科专用软件；其余提及的 TRIOS、Medit I700、Shining 3D 均为扫描仪/打印机硬件，未使用任何具名的第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
biologic and esthetic outcome of cad cam custom ceramic implant abutment a clinical report,Biologic and Esthetic Outcome of CAD/CAM Custom Ceramic Implant Abutment: A Clinical Report.,Maedica,journalArticle,6HK2FTWY,Valsan 等 - 2021 - Biologic and Esthetic Outcome of CADCAM Custom Ceramic Implant Abutment A Clinical Report..pdf,EXCLUDE,"证据片段显示该研究仅使用了牙科专用软件""exocad design soft (exocad GmbH)""进行设计，未使用任何具名的第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段显示该研究仅使用了牙科专用软件""exocad design soft (exocad GmbH)""进行设计，未使用任何具名的第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
comparison of the accuracy of implant position for two implants supported fixed dental prosthesis using static and dynamic computer assisted implant surgery a randomized controlled clinical trial,Comparison of the accuracy of implant position for two-implants supported fixed dental prosthesis using static and dynamic computer-assisted implant surgery: A  randomized controlled clinical trial.,Clinical implant dentistry and related research,journalArticle,D4M6PMD4,Yimarj 等 - 2020 - Comparison of the accuracy of implant position for two-implants supported fixed dental prosthesis us.pdf,EXCLUDE,该研究使用的软件为 coDiagnostiX（牙科专用种植规划软件）和 Iris-100（动态CAIS专用软件），均属牙科专用软件；文中仅提及 G*Power 统计软件，不属于用于3D数据处理/分析/建模/测量的非牙科3D软件。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究使用的软件为 coDiagnostiX（牙科专用种植规划软件）和 Iris-100（动态CAIS专用软件），均属牙科专用软件；文中仅提及 G*Power 统计软件，不属于用于3D数据处理/分析/建模/测量的非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
dual scalable osteogenic microtissue engineering via gelma microsphere inspired mechanical training and autonomous assembling of dental pulp stem cell,Dual scalable osteogenic microtissue engineering via GelMA microsphere-inspired mechanical training and autonomous assembling of dental pulp stem cell.,International journal of biological macromolecules,journalArticle,B7MT2857,Wang 等 - 2024 - Dual scalable osteogenic microtissue engineering via GelMA microsphere-inspired mechanical training.pdf,EXCLUDE,"抽取的证据片段中仅出现 CRediT 作者贡献声明中的 ""Software"" 一词（如 ""Zhuoran Wang: ... Software, Formal analysis""），并非该研究在材料与方法中使用某个具名第三方非牙科3D软件的描述，无任何具名软件被该研究自身使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 抽取的证据片段中仅出现 CRediT 作者贡献声明中的 ""Software"" 一词（如 ""Zhuoran Wang: ... Software, Formal analysis""），并非该研究在材料与方法中使用某个具名第三方非牙科3D软件的描述，无任何具名软件被该研究自身使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
cad cam denture teeth made on cast metal removable partial denture frameworks,CAD-CAM denture teeth made on cast metal removable partial denture frameworks.,The Journal of prosthetic dentistry,journalArticle,YY79UAZM,Muralidharan 等 - 2024 - CAD-CAM denture teeth made on cast metal removable partial denture frameworks.pdf,EXCLUDE,"证据片段中出现的具名软件为""design software program (3Shape A/S)""，属于牙科专用软件，不符合""第三方非牙科3D软件""的纳入标准。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中出现的具名软件为""design software program (3Shape A/S)""，属于牙科专用软件，不符合""第三方非牙科3D软件""的纳入标准。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
assessment of 3d facial scan integration in 3d digital workflows using radiographic markers and the iterative closest point algorithm,Assessment of 3D facial scan integration in 3D digital workflows using radiographic markers and the iterative closest point algorithm.,Journal of prosthodontics : official journal of the American College of Prosthodontists,journalArticle,P4CN4M7Y,Elshewy 等 - 2026 - Assessment of 3D facial scan integration in 3D digital workflows using radiographic markers and the.pdf,EXCLUDE,"证据片段显示该研究仅使用牙科专用软件 Exocad（""integrated with the standard tessellation language (STL) files from the facial scans in Exocad software""），未使用任何具名的第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段显示该研究仅使用牙科专用软件 Exocad（""integrated with the standard tessellation language (STL) files from the facial scans in Exocad software""），未使用任何具名的第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
oral cancer diagnosis using an optimized inceptionv3 model powered by the aquila metaheuristic algorithm,Oral Cancer Diagnosis Using an Optimized InceptionV3 Model Powered by the Aquila Metaheuristic Algorithm.,Asian Pacific journal of cancer prevention : APJCP,journalArticle,VBYALYIQ,journal.pdf.pdf,EXCLUDE,该研究使用自研/自建的 InceptionV3 深度学习模型与 Aquila 优化算法，未使用任何具名第三方非牙科3D软件；抽取的软件证据片段仅为 AHRQ 患者结局登记指南的无关文本。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究使用自研/自建的 InceptionV3 深度学习模型与 Aquila 优化算法，未使用任何具名第三方非牙科3D软件；抽取的软件证据片段仅为 AHRQ 患者结局登记指南的无关文本。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
