_nt,Key,Title,排除原因
dentalarch ai based arch shape detection in orthodontics,EZJLMVRU,DentalArch: AI-Based Arch Shape Detection in Orthodontics,未使用非牙科专用3D软件
the role of patient specific implants in the oral and maxillofacial region,GNTHJANG,The role of patient specific implants in the oral and maxillofacial region.,文献类型不符（综述/社论/会议摘要等）
from digital planning to surgical precision assessing the accuracy of nemofab in orthognathic surgery,Y3YC87XA,From Digital Planning to Surgical Precision: Assessing the Accuracy of NemoFAB in Orthognathic Surgery,未使用非牙科专用3D软件
few sampling meshes based 3d tooth segmentation via region aware graph convolutional network,R74WTZGY,Few sampling meshes-based 3D tooth segmentation via region-aware graph convolutional network,未使用非牙科专用3D软件
artificial intelligence in dentistry a review,2PWCH3UQ,Artificial intelligence in dentistry-A review.,文献类型不符（综述/社论/会议摘要等）
tooth segmentation and gingival tissue deformation framework for 3d orthodontic treatment planning and evaluating,UCAQGWW6,Tooth segmentation and gingival tissue deformation framework for 3D orthodontic treatment planning and evaluating,未使用非牙科专用3D软件
mechanical and functional validation of a perfused robot assisted partial nephrectomy simulation platform using a combination of 3d printing and hydrogel casting,LT8NWYEJ,"Mechanical and functional validation of a perfused, robot-assisted partial nephrectomy simulation platform using a combination of 3D printing and hydrogel  casting.",不属于口腔医学范畴
accuracy of the yakebot dental implant robotic system versus fully guided static computer assisted implant surgery template in edentulous jaw implantation a preliminary clinical study,KJX5QUTN,Accuracy of the Yakebot dental implant robotic system versus fully guided static computer-assisted implant surgery template in edentulous jaw implantation: A preliminary clinical study,未使用非牙科专用3D软件
translation of sign language into nepali speech using a context aware neural network framework,UR3DAMEK,Translation of Sign Language into Nepali Speech Using a Context-Aware Neural Network Framework,不属于口腔医学范畴
mechanical performance of chairside ceramic cad cam restorations and zirconia abutments with different internal implant connections in vitro study and finite element analysis,KLM4ETUM,Mechanical Performance of Chairside Ceramic CAD/CAM Restorations and Zirconia Abutments with Different Internal Implant Connections: In Vitro Study and Finite Element Analysis,未使用非牙科专用3D软件
influence of prosthesis type and intraoral scanner based extraoral scanning protocol on the passive fit of cad cam verification devices,E9XPV3EJ,Influence of prosthesis type and intraoral scanner-based extraoral scanning protocol on the passive fit of CAD-CAM verification devices,未使用非牙科专用3D软件
oral ct image processing based on oral ct image filtering algorithm,J5XU7G3J,Oral CT Image Processing Based on Oral CT Image Filtering Algorithm,未使用非牙科专用3D软件
fully digital versus conventional workflows for fabricating posterior three unit implant supported reconstructions a prospective crossover clinical trial,YYC34XSZ,Fully Digital versus Conventional Workflows for Fabricating Posterior Three-Unit Implant-Supported Reconstructions: A Prospective Crossover Clinical Trial,未使用非牙科专用3D软件
automatic segmentation of the carotid artery and internal jugular vein from 2d ultrasound images for 3d vascular reconstruction,8F7GPG9S,Automatic segmentation of the carotid artery and internal jugular vein from 2D ultrasound images for 3D vascular reconstruction,不属于口腔医学范畴
a modified protocol to evaluate masseter morphology based on automatic segmentation and registration,CT63NU2A,A Modified Protocol to Evaluate Masseter Morphology Based on Automatic Segmentation and Registration,未使用非牙科专用3D软件
integrating local and global attention mechanisms for enhanced oral cancer detection and explainability,ZF2YLA3S,Integrating local and global attention mechanisms for enhanced oral cancer detection and explainability.,不属于口腔医学范畴
digitally guided corticotomy using a customized surgical template suya corticotomy utility template a technique report,UBY7Q3RD,Digitally guided corticotomy using a customized surgical template (Suya corticotomy utility template): A technique report.,文献类型不符（综述/社论/会议摘要等）
three dimensional hemisided analysis of the pharyngeal airway a novel technical strategy to evaluate asymmetric remodeling after orthognathic surgery,E84ZXP9F,Three-Dimensional Hemisided Analysis of the Pharyngeal Airway: A Novel Technical Strategy to Evaluate Asymmetric Remodeling After Orthognathic Surgery,未使用非牙科专用3D软件
bayesian prediction of multivariate ecology from phenotypic data yields new insights into the diets of extant and extinct taxa,GCESDLZC,Bayesian Prediction of Multivariate Ecology from Phenotypic Data Yields New Insights into the Diets of Extant and Extinct Taxa,不属于口腔医学范畴
pioneering fully automated bony orbit segmentation an in silico nnu net multicentre approach,YFK7UAPN,Pioneering fully automated bony orbit segmentation: an in silico nnU-Net multicentre approach.,不属于口腔医学范畴
accuracy and patient centered results of marker based and marker free registrations for dynamic computer assisted implant surgery a randomized controlled trial,2ZAPP9FD,Accuracy and patient-centered results of marker-based and marker-free registrations for dynamic computer-assisted implant surgery: A randomized  controlled trial.,未使用非牙科专用3D软件
a modified scan technique for multiple abutment teeth using the trim and lock function,32PVXFTI,A modified scan technique for multiple abutment teeth using the trim and lock function.,未使用非牙科专用3D软件
autonomous closed loop control for robotic soft tissue electrosurgery using rgb d image guidance,G6T3U2C5,Autonomous Closed-Loop Control for Robotic Soft Tissue Electrosurgery Using RGB-D Image Guidance,未使用非牙科专用3D软件
the effects of different implant crown restorative materials on the detection of proximal caries of adjacent teeth in cone beam computed tomography cbct scans using various machines metal artifact reduction mar algorithm and exposure protocols,IUPVDC4R,"The effects of different implant crown restorative materials on the detection of proximal caries of adjacent teeth in cone-beam computed tomography (CBCT) scans  using various machines, metal artifact-reduction (MAR) algorithm, and exposure  protocols.",未使用非牙科专用3D软件
chairside vs prefabricated sealing socket abutments for posterior immediate implants a randomized clinical trial,QM47ETB9,Chairside vs Prefabricated Sealing Socket Abutments for Posterior Immediate Implants: A Randomized Clinical Trial,未使用非牙科专用3D软件
patient specific virtual surgical planning for tongue reconstruction evaluating hyperelastic inverse fem with four simulated tongue cancer cases,5GKX37T6,Patient-specific virtual surgical planning for tongue reconstruction: evaluating hyperelastic inverse FEM with four simulated tongue cancer cases,未使用非牙科专用3D软件
enhanced osteogenic differentiation of hmscs using bmp zif 8 loaded gelma nanocomposite hydrogels with controlled bmp 2 release,96RWRVSA,Enhanced Osteogenic Differentiation of hMSCs Using BMP@ZIF-8-Loaded GelMA Nanocomposite Hydrogels with Controlled BMP-2 Release.,未使用非牙科专用3D软件
validation of a biomechanical performance assessment platform applying an inertial bpased biosensor and axis vector computation,73ML8M2Z,Validation of a Biomechanical Performance Assessment Platform Applying an Inertial-Bpased Biosensor and Axis Vector Computation.,未使用非牙科专用3D软件
accuracy of indirect bonding trays a measurement algorithm,2F689GX9,Accuracy of indirect bonding trays - a measurement algorithm,未使用非牙科专用3D软件
a 3 dimensional scaffolding system recapitulates the hierarchical osteon structure,H9R2SL24,A 3-Dimensional Scaffolding System Recapitulates the Hierarchical Osteon Structure.,不属于口腔医学范畴
effect of drill handle force applied to digital surgical guides on implant deviation an in vitro study,ANWLRCES,Effect of Drill Handle Force Applied to Digital Surgical Guides on Implant Deviation: An In Vitro Study,未使用非牙科专用3D软件
accuracy of digital impressions for three unit and four unit implant supported fixed dental prostheses using a novel device,KJCSZZKL,Accuracy of digital impressions for three- unit and four-unit implant supported fixed dental prostheses using a novel device,未使用非牙科专用3D软件
comparing the trueness of 3d printing and conventional casting for removable partial denture metal framework fabrication in different mandibular major connectors designs an in vitro study,8F9WEIIK,Comparing the trueness of 3D printing and conventional casting for removable partial denture metal framework fabrication in different mandibular major connectors designs: An in vitro study,未使用非牙科专用3D软件
3d engineered human gingiva fabricated with electrospun collagen scaffolds provides a platform for in vitro analysis of gingival seal to abutment materials,GEREGG8M,3D engineered human gingiva fabricated with electrospun collagen scaffolds provides a platform for in vitro analysis of gingival seal to abutment materials,未使用非牙科专用3D软件
repair of infected bone defect with clindamycin tetrahedral dna nanostructure complex loaded 3d bioprinted hybrid scaffold,TMSIYDP5,Repair of infected bone defect with Clindamycin-Tetrahedral DNA nanostructure Complex-loaded 3D bioprinted hybrid scaffold,不属于口腔医学范畴
use of continuous glucose monitoring to stratify individuals without diabetes,QHVZQG93,Use of continuous glucose monitoring to stratify individuals without diabetes.,不属于口腔医学范畴
chairside applicable ms fgelma hydrogel with enhanced osteogenesis and mechanical adaptability for alveolar ridge preservation,U9JDHKQD,Chairside-applicable MS/FGelMA hydrogel with enhanced osteogenesis and mechanical adaptability for alveolar ridge preservation,未使用非牙科专用3D软件
influence of framework material on the global and region specific fabrication accuracy and fit of 3 unit screw retained implant frameworks,27MWKWPV,Influence of framework material on the global and region-specific fabrication accuracy and fit of 3-unit screw-retained implant frameworks,未使用非牙科专用3D软件
a novel mixed reality guided dental implant placement navigation system based on virtual actual registration,ZNFMJ2ER,A novel mixed reality-guided dental implant placement navigation system based on virtual-actual registration,未使用非牙科专用3D软件
2d to 3d predicting three dimensional 3d cephalometric measurements from two conventional x ray images,Q3UWJ9BC,2D-to-3D: Predicting three-dimensional (3D) cephalometric measurements from two conventional X-ray images,未使用非牙科专用3D软件
generative ai for text to speech and sign language translation,JZFZNDHC,Generative AI for Text to Speech and Sign Language Translation,不属于口腔医学范畴
mastery learning in preclinical endodontics using customized 3d printed tooth models for deliberate practice an application of educational design research,JZW3UU8Y,Mastery Learning in Preclinical Endodontics Using Customized 3D-Printed Tooth Models for Deliberate Practice: An Application of Educational Design Research,未使用非牙科专用3D软件
ai assisted fusion technique for orthodontic diagnosis between cone beam computed tomography and face scan data,X26HCEJR,AI-Assisted Fusion Technique for Orthodontic Diagnosis Between Cone-Beam Computed Tomography and Face Scan Data,未使用非牙科专用3D软件
development of an automatic computer program to determine the optimal dental implant size and position for fibula free flap surgery,7M8ERVJ3,Development of an Automatic Computer Program to Determine the Optimal Dental Implant Size and Position for Fibula Free Flap Surgery.,未使用非牙科专用3D软件
biomechanical analysis of all on 4 implant supported framework using different materials across various clinical practice,ZMQU8EMV,Biomechanical analysis of All-on-4 implant supported framework using different materials across various clinical practice,未使用非牙科专用3D软件
cad cam resin composites effective components for further development,A8D7MDVM,CAD-CAM resin composites: Effective components for further development,文献类型不符（综述/社论/会议摘要等）
evaluation of osteogenic potential for rat adipose derived stem cells under xeno free environment,FB2S72TH,Evaluation of Osteogenic Potential for Rat Adipose-Derived Stem Cells under Xeno-Free Environment,未使用非牙科专用3D软件
skin viscoelasticity as a predictor of optimal facial prosthesis design using 4d facial expression modeling,NFEQYJAL,Skin viscoelasticity as a predictor of optimal facial prosthesis design using 4D facial expression modeling,未使用非牙科专用3D软件
identifying sources of error in computer navigated total knee arthroplasty using sensitivity analyses in knee models,KJI2CQKC,Identifying Sources of Error in Computer-Navigated Total Knee Arthroplasty Using Sensitivity Analyses in Knee Models,不属于口腔医学范畴
3d printing for tissue organ regeneration in china,6FE3CE5K,3D printing for tissue/organ regeneration in China,不属于口腔医学范畴
on 2d 3d image feature detections for image to geometry registration in virtual dental model,LKB7H5FV,On 2D-3D Image Feature Detections for Image-To-Geometry Registration in Virtual Dental Model,未使用非牙科专用3D软件
polyetheretherketone versus titanium cad cam framework for implant supported fixed complete dentures a retrospective study with up to 5 year follow up,EF2ZZ3Y3,Polyetheretherketone versus titanium CAD-CAM framework for implant-supported fixed complete dentures: a retrospective study with up to 5-year follow-up.,未使用非牙科专用3D软件
accuracy of maxillary positioning during orthognathic surgery a comparison of web based 3 dimensional virtual surgical planning and actual outcomes,7ABNVPGL,Accuracy of Maxillary Positioning During Orthognathic Surgery: A Comparison of Web-based 3-Dimensional Virtual Surgical Planning and Actual Outcomes,未使用非牙科专用3D软件
fepse 3 nanosheets integrated cryogenic 3d printed multifunctional calcium phosphate scaffolds for synergistic therapy of osteosarcoma,CF4DWYCA,FePSe(3) -Nanosheets-Integrated Cryogenic-3D-Printed Multifunctional Calcium Phosphate Scaffolds for Synergistic Therapy of Osteosarcoma.,不属于口腔医学范畴
transformation trees documentation of multimodal image registration,DK5KVWF5,Transformation trees - Documentation of multimodal image registration.,文献类型不符（综述/社论/会议摘要等）
estimation of coronary artery movement using a non rigid registration with global local structure preservation,SWW7KEJ8,Estimation of coronary artery movement using a non-rigid registration with global-local structure preservation,不属于口腔医学范畴
learning disentangled features for nerf based face reconstruction,QNTVYNKA,Learning Disentangled Features for Nerf-Based Face Reconstruction,不属于口腔医学范畴
ginger extract release from 3d printed calcium phosphate scaffolds for bone regeneration,FEHPJQNB,Ginger extract release from 3D printed calcium phosphate scaffolds for bone regeneration,不属于口腔医学范畴
mimicking the biology of engineered protein and mrna nanoparticle delivery using a versatile microfluidic platform,7MPMH7WD,Mimicking the Biology of Engineered Protein and mRNA Nanoparticle Delivery Using a Versatile Microfluidic Platform,不属于口腔医学范畴
flexible allyl modified gelatin photoclick resin tailored for volumetric bioprinting of matrices for soft tissue engineering,NY8FFRL4,Flexible Allyl-Modified Gelatin Photoclick Resin Tailored for Volumetric Bioprinting of Matrices for Soft Tissue Engineering,不属于口腔医学范畴
remedying infectious bone defects via 3d printing technology,M9JXA2JA,Remedying infectious bone defects via 3D printing technology,不属于口腔医学范畴
assessment of the inner surface roughness of 3d printed dental crowns via optical coherence tomography using a roughness quantification algorithm,V85M8FZ4,Assessment of the Inner Surface Roughness of 3D Printed Dental Crowns via Optical Coherence Tomography Using a Roughness Quantification Algorithm,未使用非牙科专用3D软件
inceptionnet based ai approach for precise classification and diagnosis of mouth ulcers leveraging clinical data,82MAT4SG,InceptionNet-Based AI Approach for Precise Classification and Diagnosis of Mouth Ulcers Leveraging Clinical Data,未使用非牙科专用3D软件
