样本,编号,Key,标题,原流程排除原因,复核证据等级,复核结论,复核所见非牙科3D软件,关键依据（原文片段）,复核理由,复核方式
A 排除抽样,60,3H84KYQG,A modular phantom and software to characterize 3D geometric distortion in MRI,不属于口腔医学范畴,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,61,9QILX753,The effect of common dental fixtures on treatment planning and delivery for head and neck intensity modulated proton therapy,不属于口腔医学范畴,全文,维持排除,,,研究主题不属于口腔医学范畴（标题与全文可见其学科归属为其他医学或非医学领域）；即便方法中调用了非牙科 3D 软件，也不满足“口腔医学领域”这一纳入限定，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,62,YKE5IFLZ,Prosthetic rehabilitation of untailored defects using patient-specific implants.,文献类型不符（综述/社论/会议摘要等）,全文,维持排除,,,该文献为综述、述评或非原创研究报告，不符合本综述对原创研究、技术报告或病例报告的文献类型要求，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,63,KD6XD5UU,Bioimpedance Sensing Surgical Drill – Computational Modelling and Experimental Validation,未使用非牙科专用3D软件,全文,维持排除,MATLAB,"MATLAB :: wnloaded on September 03,2020 at 19:22:45 UTC from IEEE Xplore. Restrictions apply. impedance near the high impedance boundary was large. The experimental setup was automated to move the sensing electrode using the linear stage and record impedances using the LCR meter by means of a custom MATLAB (Mathworks, MA) program. TABLE I. SOLUTION RESISTIVITIES Resistivities of Solution (x10-1 ohms m) 963 870 780 677 564 358 303 185 102 TABLE II. SENSING ELECTRODE POSITIONS Distance to High Impedance Boundary (mm) Step Sizes (mm) 0.2-3 0.2 3.2-10 1 B. 3D Modelli",文中出现的 MATLAB 在本研究中仅承担统计分析、数值计算或流程脚本功能，不是用于三维几何处理的软件环境，故不构成本综述所界定的非牙科 3D 软件，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,64,38YNWRV5,Assessment of The Expressions of Facial Paralysis Using PointNet: A Deep Learning Approach for 3D Facial Point Cloud Analysis,不属于口腔医学范畴,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,65,9748Z4FC,Evaluation of the marginal gap and the three-dimensional trueness of suprastructures generated from scanning two different substructure framework materials for full arch implant-supported restorations,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,66,RXN9D6EM,Position of digitally guided implants in completely edentulous maxillae by using a modified double-scan and overlap of three digital surface protocol.,未使用非牙科专用3D软件,全文,维持排除,MSC,"MSC :: CLINICAL RESEARCH Position of digitally guided implants in completely edentulous maxillae by using a modiﬁed double-scan and overlap of three digital surface protocol Jorge Troncoso-Pazos, DDS,a Pablo Matamala, DDS,b María Francisca Jusari, DDS,c Keila Risco, DDS,d Felipe-Rodrigo Aguilera, DDS, MSC,e and Pedro Christian Aravena, DDS, PhDf Static computer-aided implant surgery (SCAIS) is a tool used to install dental implants by using 3-dimensional (3D) volumetric ﬁles provided by cone beam computed tomog- raphy (CBCT) and desktop optical scanners and intraoral scans.1 SCAIS has reduced",文中出现的 MSC 在本研究中仅承担统计分析、数值计算或流程脚本功能，不是用于三维几何处理的软件环境，故不构成本综述所界定的非牙科 3D 软件，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,67,HUMYEQ95,Optimizing resin shrinkage in additive manufacturing through supervised pathways: Leveraging machine learning in dentistry,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,68,D9PVWCIA,Prostate Cancer Volume Segmentation in Multiparametric MRI Scans Using Optimized 3D Dense CNN Architectures,不属于口腔医学范畴,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,69,X5I9XSAI,"Engineering function in lung biology: integrating imaging, regenerative constructs, and functional biodesign",不属于口腔医学范畴,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,70,UPIIQ5SQ,Removable complete denture with a metal base: Integration of digital design and conventional fabrication techniques,未使用非牙科专用3D软件,全文,维持排除,,,通读全文未检出任何具名的非牙科 3D 软件；文中三维处理由牙科专用软件、设备随附软件或未具名流程完成，不满足“具名非牙科软件”这一纳入要件，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,71,AZVQHWIR,3D markerless tracking of speech movements with submillimeter accuracy.,不属于口腔医学范畴,全文,维持排除,MATLAB、Python,"Python :: ens), one of the most reliable and accurate electromagnetic systems [39]. Importantly, lip tracking was examined in both adults and young children to test the feasibility for a diverse population. II. MATERIALS AND METHODS . A. Software Design All code written in our pipeline was written in Bash or Python (version 3.10.12, [42]) and is publicly available [43]. 1) Preprocessing: The left and right videos were time- synchronized using a clapboard sound (see “Time Sync Stereo Videos” in Fig. 1) and calibrated using OpenCV [40]. We ﬁrst determined the timing of the sound of the clapboard",研究主题不属于口腔医学范畴（标题与全文可见其学科归属为其他医学或非医学领域）；即便方法中调用了非牙科 3D 软件，也不满足“口腔医学领域”这一纳入限定，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,72,26QBFLTE,Three-Dimensional Printing in Cardiothoracic Surgery: Workflow and Clinical Applications.,不属于口腔医学范畴,全文,维持排除,3D Slicer、ITK-SNAP、Blender、MeshLab、Slicer、Horos、ITK,"3D Slicer :: on MacOS 15 Sequoia (version 15.4.1, Apple Inc., Cupertino, CA, USA, 2025) is used to review CT images stored in DICOM format for technical quality and allows the images to be stripped of any identifying metadata. This ensures patient privacy in the future. An alternative cross-platform solution is 3D Slicer (http://www.slicer.org) [13]. Segmentation For segmentation of bone or contrast within blood vessels, ITK-SNAP (version 4.2.2, University of Pennsylvania, Philadelphia, PA, USA, https://www.itksnap.org, 2024) is a cross-platform, free, and open- source software (FOSS) package",研究主题不属于口腔医学范畴（标题与全文可见其学科归属为其他医学或非医学领域）；即便方法中调用了非牙科 3D 软件，也不满足“口腔医学领域”这一纳入限定，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,73,4AC7V4HM,Dexamethasone Long-Term Controlled Release from Injectable Dual-Network Hydrogels with Porous Microspheres Immunomodulation Promotes Bone Regeneration,不属于口腔医学范畴,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,74,M6X88YQR,Increased rate of pseudarthrosis in the anterior intersegmental gap after mandibular reconstruction with fibula free flaps: a volumetric analysis,未使用非牙科专用3D软件,全文,纠正为纳入,Analyze、ImageJ,"ImageJ :: ographic Solutions GmbH, Aschaffenburg, Germany) and same adjustments (isotropic voxel edge length of 0.4 mm in all directions). There was no specific artefact reduction adjustment. Determination of gap volume and width DICOM files of CBCT scans were imported into the image processing software ImageJ (ImageJ for Java 8, version 1.53f, National Institute of Health, Bethesda, Maryland, USA). Volume and gap width analyses were performed exclusively for the anterior and poste- rior intersegmental gap between fibula and the native mandible (Figure 2). Interactive stack rotation w",全文方法与结果部分可确证该研究实际调用了非牙科专用 3D 软件（Analyze、ImageJ），用于三维数据的分割、建模、配准或力学分析。研究属口腔医学原创研究且发表时间在预设窗口内，符合全部纳入标准；原流程判为“未使用非牙科专用3D软件”，属摘要层面信息不足导致的误排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,75,NI6YYPE6,Spatiotemporal transcriptomic maps of whole mouse embryos at the onset of organogenesis,不属于口腔医学范畴,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,76,XW74K3B8,Computer-guided surgical exposure of palatally displaced canines: a technical note,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,77,ZGNKACFT,Towards Stem Cell Therapy for Critical-Sized Segmental Bone Defects: Current Trends and Challenges on the Path to Clinical Translation,不属于口腔医学范畴,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,78,A8LE7ALK,Efficient ToothAR: Cascade Autoregressive Orthodontic Treatment Planning,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,79,KVJZEMMH,3D Surface-Closed Mesh Clipping Based on Polygonal Partitioning for Surgical Planning,未使用非牙科专用3D软件,全文,维持排除,Materialise、Magics、ITK、VTK、NX,VTK :: . 4). 5 EXPERIMENTAL VALIDATION 5.1 Module Development An interactive surgical planning software called SmartClip- per (see Fig. 5) is developed based on some open-source toolkits. QT (https://www.qt.io) can be used as the applica- tion framework to support the creation of graphical user interface. VTK (https://www.vtk.org) and ITK (https://itk. org) are applied for graphics and image algorithm Fig. 4. A case for residual region partitioning. The connective edges are constructed to transform a polygon with a hole into a simple polygon. (a-h) Eight levels of convex regions created in seq,文中虽有软件名称出现，但经核对上下文，Materialise、Magics、ITK 系仅被引述、作为参考文献条目或并非本研究实际使用的三维处理工具，未形成可确证的软件使用证据，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,80,G7XDUFQV,Maxillary Sinus Disease Detection and Analysis Approaches in Deep Learning: Survey,文献类型不符（综述/社论/会议摘要等）,全文,维持排除,Radiant、Analyze、Python、VTK,"VTK :: tomated algorithm applied to CBCT datasets. The segmentation steps concerned the spread from beginning point of sinus right side and sinus left side, to envelop the algorithm to complete sinuses region. The approach used distributions of voxel intensity and nasal cavity anatomic structures. C++ and VTK languages were used to write and demonstrate program to express the segmented maxillary sinuses topological shapes in the surface. Kuo Feng Hung, et al., [16] presented maxillary sinus mucosa thickening and retention cysts detection and segmentation based on CNN algorithm, utilizing the",文中虽有软件名称出现，但经核对上下文，Radiant、Analyze、Python 系仅被引述、作为参考文献条目或并非本研究实际使用的三维处理工具，未形成可确证的软件使用证据，维持排除。 该文献本身亦属综述类，文献类型即不满足要求。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,81,L9XBQG6L,Predicting 3D Post-Orthodontic Facial Outcomes With a Diffusion Model Trained on Unpaired Datasets,未使用非牙科专用3D软件,全文,纠正为纳入,CloudCompare、3D Slicer、Slicer、Python、Open3D、Fiji,"3D Slicer :: al trauma or scarring; (3) history of orthognathic surgery; (4) severe mandibular asymmetry. Data preprocessing The data preprocessing pipeline involved several steps to convert raw DICOM data into standardized 3D mesh inputs for the model (as shown in Figure 1). First, DICOM data were loaded using 3D Slicer software (version 5.6.2; http://www. slicer.org), and the facial soft tissues from the chin to the forehead were segmented. The resulting segmentation was exported as mesh data. Subsequently, CloudCompare soft- ware (version 2.14; https://www.cloudcompare.org/) was employed to",全文方法与结果部分可确证该研究实际调用了非牙科专用 3D 软件（CloudCompare、3D Slicer、Slicer），用于三维数据的分割、建模、配准或力学分析。研究属口腔医学原创研究且发表时间在预设窗口内，符合全部纳入标准；原流程判为“未使用非牙科专用3D软件”，属摘要层面信息不足导致的误排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,82,AT4W22NR,Deep learning-based dental implant recognition using synthetic X-ray images,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,83,UYLQDFMZ,Correlation of sectoral choroidal vascularity with angiographic leakage in central serous chorioretinopathy.,不属于口腔医学范畴,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,84,57ACGEMQ,How to Avoid Errors When Using Navigation to Place Implants - A Narrative Review.,文献类型不符（综述/社论/会议摘要等）,全文,维持排除,,,该文献为综述、述评或非原创研究报告，不符合本综述对原创研究、技术报告或病例报告的文献类型要求，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,85,6V6YHWRX,Optimized design of a tooth-simulating screw for enhanced accuracy in robot-assisted implant placement in completely edentulous jaws,未使用非牙科专用3D软件,全文,维持排除,Analyze,"Analyze :: eotomy in accordance with a standard implant placement protocol,17 and a 4.1×12-mm bone-level implant was inserted under full robotic assistance at all implant sites using the au­ tonomous dental implant robotic system (YakeRobot Technology Ltd). The overall workflow is depicted in Figure 1. To analyze the positional accuracy of the implants placed by robots with different tooth-simulating screw settings, postoperative scanning was carried out once implant placement had been finalized in accordance with a prior study.17 The mandible model was removed from the stand and CBCT",文中虽有软件名称出现，但经核对上下文，Analyze 系仅被引述、作为参考文献条目或并非本研究实际使用的三维处理工具，未形成可确证的软件使用证据，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,86,J59JBZ9K,Artificial intelligence performance in maxillary canine impaction: a systematic review,文献类型不符（综述/社论/会议摘要等）,全文,维持排除,,,该文献为综述、述评或非原创研究报告，不符合本综述对原创研究、技术报告或病例报告的文献类型要求，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,87,U5MCISR3,Speech Motion Anomaly Detection via Cross-Modal Translation of 4D Motion Fields from Tagged MRI.,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,88,6FS76PG8,A digital workflow for designing and manufacturing metal frameworks and removable partial dentures: A novel dental technique,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,89,EIHBUK4U,Teeth Microcracks Research: Towards Multi-Modal Imaging.,文献类型不符（综述/社论/会议摘要等）,全文,维持排除,TensorFlow、Analyze,"TensorFlow :: ponents on Multilabel 3D and 2D Images. Available online: https://zenodo.org/record/55 35251 (accessed on 11 November 2023). 49. Dragonﬂy 2022.2 [Computer Software]. Comet Technologies Canada Inc. Available online: https://www.theobjects.com/ dragonﬂy (accessed on 11 November 2023). 50. Developers. TensorFlow. Available online: https://zenodo.org/records/6574269 (accessed on 11 November 2023). 51. Chen, L.C.; Zhu, Y.; Papandreou, G.; Schroff, F.; Adam, H. Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation. arXiv 2018, arXiv:1802.02611. [CrossRef]. 5",文中虽有软件名称出现，但经核对上下文，TensorFlow、Analyze 系仅被引述、作为参考文献条目或并非本研究实际使用的三维处理工具，未形成可确证的软件使用证据，维持排除。 该文献本身亦属综述类，文献类型即不满足要求。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,90,BG353LUQ,Effect of distal cantilever and anterior implant diameter on framework and cortical bone stress in a PEEK-based All-on-Four mandibular prosthesis.,未使用非牙科专用3D软件,全文,维持排除,,,通读全文未检出任何具名的非牙科 3D 软件；文中三维处理由牙科专用软件、设备随附软件或未具名流程完成，不满足“具名非牙科软件”这一纳入要件，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,91,WS5IQGA2,Baicalein-Loaded Chitosan Films for Local Treatment of Oral Infections,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,92,GCV28PD9,Intraoral 3-D Measurement by Means of Group Coding Combined With Consistent Enhancement for Fringe Projection Pattern,未使用非牙科专用3D软件,全文,维持排除,NX,"NX :: tny = f (x0, y0) +N fx, fy T + 1 2 N H(x, y)NT . (12) Authorized licensed use limited to: National Univ of Defense Tech. Downloaded on October 02,2025 at 09:49:00 UTC from IEEE Xplore. Restrictions apply. CHEN: INTRAORAL 3-D MEASUREMENT BY MEANS OF GROUP CODING COMBINED 5018512 Among them, (nx, ny) represents the unit vector in the normal direction of the stripe, and N = (tnx, tny). From (∂f/∂t) = 0, can be obtained t = − nx fx + ny fy n2x fxx + 2nxny fxy + n2y fyy . (13) Then the sub-pixel coordinates of the fringe center are (ui, vi) = (x0 +tnx, y0 +tny). And they are used to c",文中虽有软件名称出现，但经核对上下文，NX 系仅被引述、作为参考文献条目或并非本研究实际使用的三维处理工具，未形成可确证的软件使用证据，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,93,GST7YSMC,Mandibular ramus height and condyle distance asymmetries in individuals with different facial growth patterns: a cone-beam computed tomography study,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,94,H9AU3UZX,Influence of 3D printing orientations on physico-mechanical properties and accuracy of additively manufactured dental ceramics,文献类型不符（综述/社论/会议摘要等）,全文,维持排除,,,该文献为综述、述评或非原创研究报告，不符合本综述对原创研究、技术报告或病例报告的文献类型要求，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,95,GGSBLKGA,Tri-Stage Deep Learning Model for Mandibular Condyle Segmentation and Osteoarthritis Identification,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,96,XNBZP7KT,Novel bisphosphonate-based cathepsin K-triggered compound targets the enthesis without impairing soft tissue-to-bone healing,不属于口腔医学范畴,全文,维持排除,MATLAB,"MATLAB :: citation wavelength of 830 nm at 400 mW (20% of maximum laser power). Tile scans were taken and cropped into regions of interest of ~150 × 150 microns. Three regions of interest per mouse in each treatment group were used for the analysis. Collagen ﬁber alignment was assessed using the open-source, MATLAB-based software tools CurveAlign version 5.0 (University of Wisconsin-Madison, Madison, WI) and CT-FIRE version 3.0 (University of Wisconsin-Madison, Madison, WI) for curvelet transform-based ﬁbrillar collagen quantiﬁcation (Liu et al., 2017; Liu et al., 2020). Absolute angles measur",研究主题不属于口腔医学范畴（标题与全文可见其学科归属为其他医学或非医学领域）；即便方法中调用了非牙科 3D 软件，也不满足“口腔医学领域”这一纳入限定，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,97,3SRFQXMZ,"Quantitative and qualitative evaluation of precision in dental 3D facial scanning across handheld, fixed multicamera, and smartphone depth-sensing systems.",未使用非牙科专用3D软件,全文,纠正为纳入,Geomagic Control X、Geomagic Control、Meshmixer、Geomagic、Artec,"Artec :: n vitro study was to compare and evaluate the 3D data precision of 3 clinically used facial scanners. Material and methods. A mannequin replicating human facial features was created, with Ø4-cm spheres attached to the forehead and bilateral lateral regions. The industrial handheld scanner (IHS) (Artec Space Spider), stationary facial scanner (SFS) (Arc-4), and smartphone with depth camera (SDC) (iPhone) were used to scan the mannequin’s head. Scan data were superimposed using the best-fit algorithm in reverse engineering software program (Geomagic control X) to calculate the roo",全文方法与结果部分可确证该研究实际调用了非牙科专用 3D 软件（Geomagic Control X、Geomagic Control、Meshmixer），用于三维数据的分割、建模、配准或力学分析。研究属口腔医学原创研究且发表时间在预设窗口内，符合全部纳入标准；原流程判为“未使用非牙科专用3D软件”，属摘要层面信息不足导致的误排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,98,ZRP4E5TI,A computational modeling method for root canal endoscopy using a specific CBCT filter: A new era in the metaverse of endodontics begins.,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
