样本,编号,Key,Title,流程记录原因,证据等级,PDF,命中非牙科软件,命中牙科专用软件,全文长度,证据片段,摘要
A_排除抽样,86,J59JBZ9K,Artificial intelligence performance in maxillary canine impaction: a systematic review,文献类型不符（综述/社论/会议摘要等）,全文,Assiri 等 - 2026 - Artificial intelligence performance in maxillary canine impaction a systematic review.pdf,,,34657,,"ObjectivesThis systematic review evaluates the literature to determine the usefulness and rules of artificial intelligence (AI) in the diagnosis and prediction of maxillary canine impaction (MCI).Materials and methodsThe search was performed through four electronic databases (PubMed, Scopus, and Web of Science, with Google Scholar). The protocol was registered at the International Platform of Registered Systematic Review and Meta-analysis Protocols (INPLASY202550102). Original English-language research articles utilizing AI in MCI were included. The diagnostic accuracy studies were evaluated using the QUADAS-2 tool, while the predictive studies were evaluated using the PROBASST tool.ResultsThe research strategy yielded seven articles deemed suitable for data extraction and quality assessment. Of these, five were diagnostic accuracy studies, and two were predictive studies. Overall, the s"
A_排除抽样,87,U5MCISR3,Speech Motion Anomaly Detection via Cross-Modal Translation of 4D Motion Fields from Tagged MRI.,未使用非牙科专用3D软件,摘要,,,,0,,
A_排除抽样,88,6FS76PG8,A digital workflow for designing and manufacturing metal frameworks and removable partial dentures: A novel dental technique,未使用非牙科专用3D软件,摘要,,,,0,,
A_排除抽样,89,EIHBUK4U,Teeth Microcracks Research: Towards Multi-Modal Imaging.,文献类型不符（综述/社论/会议摘要等）,全文,Dumbryte 等 - 2023 - Teeth Microcracks Research Towards Multi-Modal Imaging..pdf,TensorFlow；Analyze,,47825,"TensorFlow :: ponents on Multilabel 3D and 2D Images. Available online: https://zenodo.org/record/55 35251 (accessed on 11 November 2023). 49. Dragonﬂy 2022.2 [Computer Software]. Comet Technologies Canada Inc. Available online: https://www.theobjects.com/ dragonﬂy (accessed on 11 November 2023). 50. Developers. TensorFlow. Available online: https://zenodo.org/records/6574269 (accessed on 11 November 2023). 51. Chen, L.C.; Zhu, Y.; Papandreou, G.; Schroff, F.; Adam, H. Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation. arXiv 2018, arXiv:1802.02611. [CrossRef]. 52. He, K.; Zhang, X.; Re || Analyze :: r ability to measure various cracks parameters. DEJ—dentin–enamel junction, OS—optical stereomicroscope, SEM—scanning electron microscope, COP—confocal optical proﬁlometer, OCT—optical coherence tomography, X-ray 휇CT—X-ray micro-computed tomography. Due to the ","This perspective is an overview of the recent advances in teeth microcrack (MC) research, where there is a clear tendency towards a shift from two-dimensional  (2D) to three-dimensional (3D) examination techniques, enhanced with artificial  intelligence models for data processing and image acquisition. X-ray  micro-computed tomography combined with machine learning allows 3D  characterization of all spatially resolved cracks, despite the locations within  the tooth in which they begin and extend, and the arrangement of MCs and their  structural properties. With photoluminescence and micro-/nano-Raman spectroscopy,  optical properties and chemical and elemental composition of the material can be  evaluated, thus helping to assess the structural integrity of the tooth at the MC  site. Approaching tooth samples having cracks from different perspectives and  using complementary laboratory te"
A_排除抽样,90,BG353LUQ,Effect of distal cantilever and anterior implant diameter on framework and cortical bone stress in a PEEK-based All-on-Four mandibular prosthesis.,未使用非牙科专用3D软件,全文,Rodrigues 等 - 2026 - Effect of distal cantilever and anterior implant diameter on framework and cortical bone stress in a.pdf,,,44095,,"BACKGROUND: Polyetheretherketone (PEEK) has been proposed as an alternative framework material for full-arch implant-supported prostheses due to its lower  elastic modulus relative to metallic frameworks. However, quantitative data  regarding the combined biomechanical influence of distal cantilever extension and  anterior implant diameter in PEEK-based mandibular All-on-Four rehabilitations  remain limited. PURPOSE: To quantify the effects of distal cantilever presence  and anterior implant diameter (3.5?mm vs. 4.5?mm) on framework stress and  peri-implant cortical bone response in a PEEK-based mandibular All-on-Four  prosthesis using three-dimensional finite element analysis. METHODS: Four implant  configurations were modeled: Standard-NC (4.5?mm anterior, no cantilever),  Mixed-NC (3.5/4.5?mm anterior, no cantilever), Standard-C (4.5?mm anterior, with  cantilever), and Mixed-C (3.5/4."
A_排除抽样,91,WS5IQGA2,Baicalein-Loaded Chitosan Films for Local Treatment of Oral Infections,未使用非牙科专用3D软件,摘要,,,,0,,
A_排除抽样,92,GCV28PD9,Intraoral 3-D Measurement by Means of Group Coding Combined With Consistent Enhancement for Fringe Projection Pattern,未使用非牙科专用3D软件,全文,Chen - 2022 - Intraoral 3-D Measurement by Means of Group Coding Combined With Consistent Enhancement for Fringe P.pdf,NX,Dental System；CEREC,54241,"NX ::  tny  = f (x0, y0) +N  fx, fy T + 1 2 N H(x, y)NT . (12) Authorized licensed use limited to: National Univ of Defense Tech. Downloaded on October 02,2025 at 09:49:00 UTC from IEEE Xplore. Restrictions apply.   CHEN: INTRAORAL 3-D MEASUREMENT BY MEANS OF GROUP CODING COMBINED 5018512 Among them, (nx, ny) represents the unit vector in the normal direction of the stripe, and N = (tnx, tny). From (∂f/∂t) = 0, can be obtained t = − nx fx + ny fy n2x fxx + 2nxny fxy + n2y fyy . (13) Then the sub-pixel coordinates of the fringe center are (ui, vi) = (x0 +tnx, y0 +tny). And they are used to computed ","Intraoral 3-D measurement can obtain digital impressions in real-time. However, owing to saliva, enamel, metallic denture, etc., the quality of the captured 2-D image using the intraoral equipment, which is used for feature measurement and 3-D reconstruction, is usually degraded. In this article, we propose an equipment with high performance for intraoral 3-D measurement. First, group-multiline coding algorithm instead of sinusoidal or gray code for fringe projection profilometry (FPP) was applied for stripe pattern decoding. The distance between adjacent stripes was large enough to avoid the scatter of the tooth. It can also overcome the shortcoming of sinusoidal-based phase computing, leading to accuracy degradation owing to scanner jittering. Second, a consistent stripe feature enhancement (CSFE) method is proposed. The stripe feature in the mirror, exposure, and low-contrast area was"
A_排除抽样,93,GST7YSMC,Mandibular ramus height and condyle distance asymmetries in individuals with different facial growth patterns: a cone-beam computed tomography study,未使用非牙科专用3D软件,摘要,,,,0,,
A_排除抽样,94,H9AU3UZX,Influence of 3D printing orientations on physico-mechanical properties and accuracy of additively manufactured dental ceramics,文献类型不符（综述/社论/会议摘要等）,全文,Alghauli 等 - 2025 - Influence of 3D printing orientations on physico-mechanical properties and accuracy of additively ma.pdf,,,103079,,"Purpose: This systematic review aims to assess the impact of different 3D printing orientations on the physico-mechanical properties, volumetric change, and accuracy of additively manufactured ceramic specimens, as well as their restorations. Study selection: The web database containing records for building orientation of 3D-printed ceramics until January 2024 was searched, with no language limitations. PRISMA 2020 guidelines were followed, and the risk of bias was evaluated using the modified CONSORT checklist for laboratory studies on dental materials. The RevMan 5.4 of Cochrane collaboration was used for the meta-analysis with alpha<0.05. Results: In this systematic review, 35 out of 2967 records were considered. The printing orientations had a significant influence on the mechanical properties of the additively manufactured specimens (P < 0.05), specifically, the horizontally printed"
A_排除抽样,95,GGSBLKGA,Tri-Stage Deep Learning Model for Mandibular Condyle Segmentation and Osteoarthritis Identification,未使用非牙科专用3D软件,摘要,,,,0,,
A_排除抽样,96,XNBZP7KT,Novel bisphosphonate-based cathepsin K-triggered compound targets the enthesis without impairing soft tissue-to-bone healing,不属于口腔医学范畴,全文,Shi 等 - 2024 - Novel bisphosphonate-based cathepsin K-triggered compound targets the enthesis without impairing sof.pdf,MATLAB,,54310,"MATLAB :: citation wavelength of 830 nm at 400 mW (20% of maximum laser power). Tile scans were taken and cropped into regions of interest of ~150 × 150 microns. Three regions of interest per mouse in each treatment group were used for the analysis. Collagen ﬁber alignment was assessed using the open-source, MATLAB-based software tools CurveAlign version 5.0 (University of Wisconsin-Madison, Madison, WI) and CT-FIRE version 3.0 (University of Wisconsin-Madison, Madison, WI) for curvelet transform-based ﬁbrillar collagen quantiﬁcation (Liu et al., 2017; Liu et al., 2020). Absolute angles measured between the ﬁ","Background: Osteoadsorptive fluorogenic sentinel 3 (OFS-3) is a recently described compound that contains a bone-targeting bisphosphonate (BP) and cathepsin K (Ctsk)-triggered fluorescence signal. A prior study in a murine Achilles repair model demonstrated its effectiveness at targeting the site of tendon-to-bone repair, but the intrinsic effect of this novel bisphosphonate chaperone on tendon-to-bone healing has not been previously explored. We hypothesized that application of this bisphosphonate-fluorophore cargo conjugate would not affect the biomechanical properties or histologic appearance of tendon-bone repairs.Materials and Methods: Right hindlimb Achilles tendon-to-bone repair was performed on 12-week old male mice. Animals were divided into 2 groups of 18 each: 1) Achilles repair with OFS-3 applied directly to the repair site prior to closure, and 2) Achilles repair with saline"
A_排除抽样,97,3SRFQXMZ,"Quantitative and qualitative evaluation of precision in dental 3D facial scanning across handheld, fixed multicamera, and smartphone depth-sensing systems.",未使用非牙科专用3D软件,全文,"Hwang 等 - 2026 - Quantitative and qualitative evaluation of precision in dental 3D facial scanning across handheld, f.pdf",Geomagic Control X；Geomagic Control；Meshmixer；Geomagic；Artec,,34435,"Artec :: n vitro study was to compare and evaluate the 3D data precision of  3 clinically used facial scanners. Material and methods. A mannequin replicating human facial features was created, with Ø4-cm  spheres attached to the forehead and bilateral lateral regions. The industrial handheld scanner  (IHS) (Artec Space Spider), stationary facial scanner (SFS) (Arc-4), and smartphone with depth  camera (SDC) (iPhone) were used to scan the mannequin’s head. Scan data were superimposed  using the best-fit algorithm in reverse engineering software program (Geomagic control X) to  calculate the root mean square  || Meshmixer :: easurement from nasion. 1.e2  Volume xxx Issue xx  THE JOURNAL OF PROSTHETIC DENTISTRY  Hwang et al   interfering with the facial surface. A mannequin head  replicating human facial geometry, texture, and skin  color was fabricated. For this purpose, a mold was de­ sig","STATEMENT OF PROBLEM: Although various 3-dimensional (3D) facial scanners have been used in clinical practice, comparative data on their precision and clinical  acceptability remain limited. In particular, quantitative and qualitative  evaluations comparing industrial handheld, stationary, and smartphone-based  scanners, essential for evidence-based device selection, are lacking. PURPOSE:  The purpose of this in vitro study was to compare and evaluate the 3D data  precision of 3 clinically used facial scanners. MATERIAL AND METHODS: A mannequin  replicating human facial features was created, with ?4-cm spheres attached to the  forehead and bilateral lateral regions. The industrial handheld scanner (IHS)  (Artec Space Spider), stationary facial scanner (SFS) (Arc-4), and smartphone  with depth camera (SDC) (iPhone) were used to scan the mannequin's head. Scan  data were superimposed using"
A_排除抽样,98,ZRP4E5TI,A computational modeling method for root canal endoscopy using a specific CBCT filter: A new era in the metaverse of endodontics begins.,未使用非牙科专用3D软件,摘要,,,,0,,
A_排除抽样,99,Q5HUNS56,Dental X-ray Segmentation and Auto Implant Design Based on Convolutional Neural Network,未使用非牙科专用3D软件,全文,Xing 等 - 2024 - Dental X-ray Segmentation and Auto Implant Design Based on Convolutional Neural Network.pdf,Analyze,,22584,"Analyze :: d comprehensive view of the entire oral and maxillofacial region, including the teeth, jaws, sinus, bone, and other com- ponents. However, detecting and extracting information about each tooth often requires a detailed diagnosis and extensive clinical experience. Before deep learning was applied to analyze oral images, some expert systems were used which were proved very biased when dealing with large datasets where variations increase [2]. Reference [3] used CBCT images and developed the TSegNet architecture for tooth segmentation based on that. Reference [4] built a process to segment teeth out by ","Panoramic radiographs serve as valuable resources in terms of dental diagnostics and implant planning and require dedicated and time-consuming analysis. Lots of studies applying panoramic radiographs on segmentation tasks using deep learning methods have been conducted. However, few works consider the post-processing part after getting the output of the segmentation. This paper introduces a pipeline that provides end-to-end application of segmenting tooth and other oral structures from X-rays and uses an edge detection algorithm to extract the contours of the tooth and use PCA and linear regression to predict implant planning locations based on the contours. The methodology presented in this article entails the development of a CNN model based on ResUNet designed for segmentation tasks from both panoramic and tangential oral images. These segmented images including teeth, restorations, a"
A_排除抽样,100,6RQD493M,Quantification of facial symmetry in orthognathic surgery: A novel approach integrating 3D contour maps and hyper-dimensional computing.,未使用非牙科专用3D软件,全文,Ho 等 - 2024 - Quantification of facial symmetry in orthognathic surgery A novel approach integrating 3D contour m.pdf,Materialise；Analyze；MATLAB,ProPlan,54722,"MATLAB :: ementioned coronal plane (EX_hor).  These points automatically formed a curve (red), serving as the  boundary for noise in the upper area. After the noise in the upper area  was eliminated, the 3D facial ROI was extracted (Fig. 7C). • 3D contour image extraction Facial ROI images were imported into MATLAB (MathWorks, Natick,  Fig. 3. The alignment of 3D soft-tissue images reconstructed using five different thresholds is evenly distributed. Fig. 4. The root mean squared (RMS) error calculated post-image overlay is well below the clinically acceptable error threshold of 0.5 mm. C.T. Ho et al.  Compute || Materialise :: e machine  learning model. After CBCT scanning, the resulting image data were  stored in the Digital Imaging and Communications in Medicine (DICOM)  format and processed with a slice thickness of 0.4 mm. 2.2. Image preprocessing After the 3D CBCT images were import","This study aimed to enhance the evaluation of facial symmetry crucial for planning and assessing outcomes of orthognathic surgery (OGS). An innovative  approach combining three-dimensional (3D) facial contour lines with  hyperdimensional (HD) computing was developed for this purpose. Data were  collected using 3D cone beam computed tomography (CBCT) at Chang Gung Memorial  Hospital from 2016 to 2021. A comprehensive dataset was compiled, including  images from 150 normal individuals and 2500 patients, totaling 5150 preoperative  and postoperative facial images. A machine learning model was trained to analyze  these images, and 3D contour data were used to create a facial symmetry  quantification system with HD computing. Additionally, 3D CBCT data from 200  patients before and after OGS were retrospectively reviewed for clinical  application. The developed facial symmetry algorithm demon"
A_排除抽样,101,PMW9788C,A Systematic Approach of Data Collection and Analysis in Medical Imaging Research.,文献类型不符（综述/社论/会议摘要等）,全文,K N 等 - 2021 - A Systematic Approach of Data Collection and Analysis in Medical Imaging Research..pdf,MITK,,37424,"MITK :: tware has been developed  that has the basic features of medical image processing  applications (Manjunath et al., 2017). In addition to  testing the images in the prototype software, the images  were checked syngoFastView from SIEMENS (Siemens,  2019), DicomViewer from Philips (Philips, 2020) and  MITK software from dkfz (GCRF, 2020), Germany for the  viewing the images of the patient. These software provides  basic features like windowing, MPR visualization, and  surface rendering techniques. E.2. Classification After finalizing the total number of datasets, based on  essential parameters, a hom",BACKGROUND: Obtaining the right image dataset for the medical image research systematically is a tedious task. Anatomy segmentation is the key step before  extracting the radiomic features from these images. OBJECTIVE: The purpose of the  study was to segment the 3D colon from CT images and to measure the smaller  polyps using image processing techniques. This require huge number of samples for  statistical analysis. Our objective was to systematically classify and arrange  the dataset based on the parameters of interest so that the empirical testing  becomes easier in medical image research. MATERIALS AND METHODS: This paper  discusses a systematic approach of data collection and analysis before using it  for empirical testing. In this research the image were considered from National  Cancer Institute (NCI). TCIA from NCI has a vast collection of diagnostic quality  images for the resea
A_排除抽样,102,PV2RKASC,Primary Exploration of the Clinical Application of 3D-Printed Complete Dentures,未使用非牙科专用3D软件,全文,Liu 等 - 2022 - Primary Exploration of the Clinical Application of 3D-Printed Complete Dentures.pdf,Analyze,3Shape；Dental System,21484,"Analyze :: ate denture technique were used to fabricate the dentures.  A single-blinded method was used. Patient satisfaction was measured with a 0–10 visual analog scale (VAS)  at four time points: immediately and 1 month, 3 months, and 6 months after denture delivery. SPSS version  22.0 software was used to analyze the data. Results: The ability to speak, ability to chew, and comfort in  the two groups gradually improved at the first three time points. VAS scores increased to a satisfactory level  after 3 months. The esthetics and stability of the two groups were scored high after the initial delivery. The  V","Purpose: To explore the applications of 3D scanning and 3D printing techniques in the restorative treatment of edentulous patients. Materials and Methods: A total of 30 edentulous patients (Atwood classes 1 to 4) who visited The 960th Hospital of the People's Liberation Army, Jinan, China, from March 1, 2018 to May 1, 2020 were selected, and the patients were randomly divided into two groups: a traditional complete denture group (group A) and a 3D-printed complete denture group (group B). Each group comprised 15 patients. In group A, the traditional method was used to fabricate complete dentures. In group B, 3D scanning, computeraided design (CAD), 3D printing, and the duplicate denture technique were used to fabricate the dentures. A single-blinded method was used. Patient satisfaction was measured with a 0-10 visual analog scale (VAS) at four time points: immediately and 1 month, 3 mon"
A_排除抽样,103,SE8L9A5N,"Effect of implant number, attachment type, and framework material on stress distribution in mandibular overdentures: a finite element analysis",未使用非牙科专用3D软件,全文,"Saip和Yesil - 2026 - Effect of implant number, attachment type, and framework material on stress distribution in mandibul.pdf",ANSYS Workbench；SpaceClaim；3D Slicer；LS-DYNA；Slicer；ANSYS,,41664,"3D Slicer :: Modelling of bone and mucosa The mandibular bone model was derived from cone- beam computed tomography (CBCT) data of a com­ pletely edentulous adult. The scans were reconstructed  with a slice thickness of 0.1  mm and Digital Imaging  and Communications in Medicine (DICOM) data were  imported into 3D Slicer (Slicer Community, 2023). Dur­ ing segmentation, appropriate Hounsfield unit thresh­ olds were applied to separate cortical and trabecular  bone, and the three-dimensional anatomical model was  exported in stereolithography (STL) format. The STL  mandible was then imported into ANSYS SpaceClaim  so || LS-DYNA :: ts (mesh). In this study,  fine triangular (tria) surface elements with sizes ranging  0.1–0.25 mm were used. All model surfaces were meshed  with tria elements, and the volumes were meshed with  tetrahedral solid elements. The meshes prepared in  ANSYS Workbench","Background Using finite element analysis, we evaluated the effects of implant number, attachment type, and framework material on stress distribution in bone and in implant and prosthetic components of mandibular overdentures in completely edentulous mandibles. Methods Straumann implants (4.1 mm diameter and 12 mm length) were placed in a completely edentulous mandible in two configurations. For the two-implant models, implants were positioned axially in the lateral-canine region while for the three-implant models, one implant was placed at the midline and two were positioned bilaterally in the canine regions. Overdentures were retained with ball or locator attachments and fabricated with either a cobalt-chromium (Co-Cr) framework, a polyether-ether-ketone (PEEK) framework, or no framework (acrylic base only). Three-dimensional finite element analysis was performed for 12 models in total."
A_排除抽样,104,W9HL9DUR,Hydrophilic Polymer-Modified Poly(ε-caprolactone)/Hydroxyapatite Three-dimensional-Printed Scaffolds with Enhanced Hydrophilicity and  Biodegradability for Regenerative Endodontic Applications.,不属于口腔医学范畴,摘要,,,,0,,
A_排除抽样,105,LH8UPF46,Automated micro-CT quantification of clear aligner fit: a pilot comparison of manufacturing processes.,未使用非牙科专用3D软件,全文,Liu 等 - 2026 - Automated micro-CT quantification of clear aligner fit a pilot comparison of manufacturing processe.pdf,Materialise；Mimics；Python,3Shape,73061,"Python :: per  group):  direct  DLP  3D-printing  (LuxCreo  Inc.,  Chicago,  US),  Invisalign  (SmartTrack™), and Angelalign (Angel Pro™). Each aligner was scanned using a  Xradia 610 Versa micro-CT (ZEISS, Oberkochen, Germany) at 58.82 μm voxel  resolution. An automated flood-fill algorithm was developed in Python to segment  and quantify aligner-tooth gap widths from reconstructed volumes, and validated  against manual segmentation using Dice similarity coefficient, sensitivity, and  specificity. Group differences in gap width were assessed using the Kruskal-Wallis  test with Mann-Whitney post-hoc compariso || Mimics :: ly  three-dimensional gap quantification. For validation purposes, every fifth slice  from each aligner scan was systematically selected (interval sampling, 1/5 of total  slices per aligner), ensuring uniform spatial coverage across the full scanning  extent. Manual seg","BACKGROUND: Clear aligner fit accuracy significantly influences treatment efficacy. Micro-computed tomography (micro-CT) enables precise three-dimensional  quantification of aligner-tooth adaptation, but manual measurement is  time-intensive and operator-dependent. OBJECTIVE: To develop and validate an  automated flood-fill algorithm for micro-CT gap quantification and compare fit  accuracy across three aligner manufacturing processes: in-house 3D-printing,  Invisalign (thermoformed), and Angelalign (thermoformed). METHODS: This in vitro  pilot study used a standardized maxillary dental model to fabricate nine aligners  across three manufacturing groups (three aligners per group): direct DLP  3D-printing (LuxCreo Inc., Chicago, US), Invisalign (SmartTrack?), and Angelalign  (Angel Pro?). Each aligner was scanned using a Xradia 610 Versa micro-CT (ZEISS,  Oberkochen, Germany) at 58.82?μm "
A_排除抽样,106,4FW75KRW,High-precision teeth reconstruction based on automatic multimodal fusion with CBCT and IOS,未使用非牙科专用3D软件,全文,Ren 等 - 2024 - High-precision teeth reconstruction based on automatic multimodal fusion with CBCT and IOS.pdf,Meshmixer,,49018,"Meshmixer :: omatic tooth reconstruction method based on multimodal data. J. Vis. 24, 205–221. Rusu, R.B., Blodow, N., Beetz, M., 2009. Fast point feature histograms (fpfh) for 3d registration. In: 2009 IEEE International Conference on Robotics and Automation.  IEEE, pp. 3212–3217. Schmidt, R., Singh, K., 2010. Meshmixer: an interface for rapid mesh composition. In: ACM SIGGRAPH 2010 Talks, p. 1. Schulze, R., Heil, U., Groß, D., Bruellmann, D.D., Dranischnikow, E., Schwanecke, U., Schoemer, E., 2011. Artefacts in cbct: a review. Dentomaxillofacial Radiol. 40,  265–273. Shah, S., Abaza, A., Ross, A., Ammar, H., 2006","In digital orthodontic treatment, the high -precision reconstruction of complete teeth, encompassing both the crown and the actual root, plays a pivotal role. Current mainstream techniques, prioritizing the high resolution of intraoral scanned models (IOS), are confined to using IOS data for orthodontic treatments. However, the lack of root information in the IOS data may lead to complications such as dehiscence. In contrast, Cone Beam Computed Tomography (CBCT) data encompasses comprehensive dental information with roots. Nonetheless, the radiative character of CBCT scans renders patients unsuitable for repeated examinations in a short time. In addition, lower scanning precision of CBCT leads to suboptimal teeth segmentation outcomes, hindering the accurate representation of dental occlusal relationships. Therefore, in order to fully utilize the complementarity between dental multimodal"
A_排除抽样,107,WQNENHUP,Transoral Endoscopic Plating for Orbital Blowout Fractures,未使用非牙科专用3D软件,摘要,,,,0,,
A_排除抽样,108,JX7Z45RP,ViT-NeBLa: A Hybrid Vision Transformer and Neural Beer–Lambert Framework for Single-View 3D Reconstruction of Oral Anatomy From Panoramic Radiographs,未使用非牙科专用3D软件,全文,Keshari Parida 等 - 2025 - ViT-NeBLa A Hybrid Vision Transformer and Neural Beer–Lambert Framework for Single-View 3D Reconstr.pdf,,Planmeca,86356,,"Panoramic radiography (PX) is widely used in dentistry but provides only a flattened 2D view; Cone Beam Computed Tomography CT (CBCT) recovers 3D anatomy at higher dose and cost. We tackle full 3D reconstruction from a single real-world PX for varying patients. We propose ViT–NeBLa (Vision-Transformer Neural Beer–Lambert), a physics-guided framework that estimates a continuous 3D dentoalveolar density field directly from single PX. The design mirrors panoramic acquisition while simplifying the inverse problem: we parameterize projection-ray directions by tangency to a patient-adaptive elliptical path and independently restrict sampling to a jaw-focused horseshoe (focal trough) in which the projection rays do not intersect. This removes the intermediate density-aggregation step used by overlapping-ray methods and reduces per-ray samples by about 52%, lowering memory and compute. A hybrid "
A_排除抽样,109,QYXA5YVP,Three-dimensional finite element analysis of zygomatic and pterygoid implants for the rehabilitation of severely atrophic maxilla,未使用非牙科专用3D软件,全文,Mostafa 等 - 2026 - Three-dimensional finite element analysis of zygomatic and pterygoid implants for the rehabilitation.pdf,Geomagic Design X；ANSYS Mechanical；Materialise；SolidWorks；Geomagic；Analyze；Mimics；ANSYS,exocad；DentalCAD；Blue Sky Plan,40452,"ANSYS :: e digitally designed using Exocad DentalCAD v3.1  (exocad GmbH, Hessen, Germany), ensuring proper fit and alignment  with the prosthetic framework and implant interfaces. They were then  exported in STL format and integrated into the complete 3D assembly. Finite element analysis was performed using ANSYS Mechanical  APDL v18.2 (ANSYS Inc., Canonsburg, Pennsylvania, USA) to assess  the biomechanical performance of zygomatic and pterygoid implants in  the atrophic maxilla. A 10-node tetrahedral element mesh (Solid 187)  was used to represent the geometry and material properties of the bone,  implants || Mimics :: ith a density ranging between D3 and D4. Thresholding and segmentation were crucial steps in accurately  reconstructing the atrophic maxilla and adjacent structures from the  DICOM (Digital Imaging and Communications in Medicine) data ob­ tained from CBCT scans. These DIC","It remains uncertain whether replacing posterior zygomatic implants with pterygoid implants reduces the stress exerted on anterior zygomatic implants in the canine region. This three-dimensional finite element analysis (FEA) study aims to compare stress and strain patterns between two implant configurations under the influence of masticatory muscle forces. A 3D (FEM) model of an edentulous, atrophic maxilla was developed using data from a cone-beam computed tomography (CBCT) scan. Two configurations were examined: Model A, which included bilateral zygomatic implants, and Model B, featuring one zygomatic and one pterygoid implant. Virtual implant placement was carried out, and corresponding prosthetic superstructures were designed for each model. The simulation assessed stress distribution within the bone, implants, and prosthetic components under three loading conditions: a 150 N vertica"
A_排除抽样,110,MEMRQFFZ,Multi-Resolution Transformer-Augmented Efficientnet for Explainable Breast Cancer Histopathology Analysis,不属于口腔医学范畴,摘要,,,,0,,
A_排除抽样,111,VXAWF8VH,"Self-Powered Triboelectric Sensor for Real-Time, Intelligent Occlusal Force Monitoring",未使用非牙科专用3D软件,摘要,,,,0,,
A_排除抽样,112,GN696GRG,An automatic facial landmarking for children with rare diseases.,不属于口腔医学范畴,摘要,,,,0,,
A_排除抽样,113,4LIEPYNX,Clinical Performance of Partial and Full-Coverage Fixed Dental Restorations Fabricated from Hybrid Polymer and Ceramic CAD/CAM Materials: A Systematic Review and Meta-Analysis,文献类型不符（综述/社论/会议摘要等）,摘要,,,,0,,
A_排除抽样,114,YZQT6Z4B,Monitoring the Calibration of In-Office 3D Printers.,未使用非牙科专用3D软件,全文,Mukherjee 等 - 2023 - Monitoring the Calibration of In-Office 3D Printers..pdf,Meshmixer；Autodesk；PreForm,,41351,"PreForm :: dge was inserted, there were no more noticeable distortions. The ﬁnal dimensions of the coupon were set as 24 mm × 24 mm × 2 mm. The inner diameter was 4 mm and the outer diameter was 16 mm (Figure 1).   Figure 2. The layout of the designed coupons on the build platform of the 3D printing software (PreForm software, Formlabs, Somerville, MA, USA). Numbers were added using Microsoft Power- Point software (Microsoft Corporation, Redmond, WA, USA).   Figure 3. Distorted calibration coupons during the experimental study on the SLA 3D printer. The coupon on the far left shows incomplete printing of the to || Autodesk :: t. J. 2023, 11, 20 5 of 13 Figure 4. Heat map feature on the dashboard of 3D printing account (Formlabs, Somerville, MA, USA) showing placement of the previously printed objects on the build platform. To help with the orientation of the coupon for measurement, desig","Most desktop 3D printers lack features that allow manual calibration of printer parameters. It is crucial to assess the accuracy of printing to minimize the  margin of error and variance between each print. Therefore, this study aimed to  develop a method for monitoring the calibration of in-office 3D printers. A  calibration coupon was designed to have a tolerance and dimensions that define  nominal geometry and allow the measurement of variances occurring in X?Y axes and  curvature. Ten printing cycles were run on two stereolithography (SLA) 3D  printers with two different resins. Additionally, the coupons were positioned in  five positions on the build platform to assess errors caused by differences in  positioning. Measurements were made on the X and Y axes. No statistical  difference was noted between the coupons being printed in different positions on  the build platform and betwee"
A_排除抽样,115,BIUPRBSD,In-fiber Bragg sensor measurements assess fluid effects on strain in the periodontal space of an ex-vivo swine incisor complex under mechanical loading,未使用非牙科专用3D软件,全文,Armijo 等 - 2023 - In-fiber Bragg sensor measurements assess fluid effects on strain in the periodontal space of an ex-.pdf,MATLAB,,46734,"MATLAB :: Wavelength data were collected at  250 Hz using a 4th order Butterworth filter with a cutoff frequency of 50  Hz. The FBG SmartFiber software and MTS Testworks software were  used to collect wavelength and force data, respectively, using a macro to  standardize the time delay in program activation. Matlab (MathWorks,  Natick, MA) software was used to convert shifts in Bragg wavelength to  microstrain with a gauge factor of −1.21 pm/με and identify the peak  strain and force values (Measures, 2001). A negative gauge factor was  used for ease of comparison of outputs with previous studies (Houg  L. Ar","The purpose of this study is to determine whether in-fiber Bragg grating (FBG) sensors detect changes within the periodontal ligament (PDL) of ex-vivo swine tooth-PDL-bone complex (TPBC) when manipulating fluid content. Recording strain will allow for a better understanding of the biomechanics of viscoelastic load transfer from the tooth to the PDL during chewing and/or orthodontic tooth movement, as well as replication of these dynamics in regenerated PDL tissues. FBG sensors placed within the PDL of swine incisor teeth were used to measure strain resulting from an intrusive load. Specimens were mounted in a custom platform within an MTS machine and a compressive load was applied at 0.3 mm/s to a depth of 0.5 mm and held for 10 s. Median peak strain and load and median absolute deviation (MAD) were compared: dry vs. saline (n = 19) with bias-corrected bootstrap 95% CI. Dry vs. saline co"
