record_id,Key,Title,DOI,Journal,Item Type,Date,Year,Dental Specialty,Software Used,Application Scenario,Region,ai_original_label,decision,decision_reason,_n,decision_2,decision_2_reason,ID,ai_majority_label,_year,_month,Half,_spec,_scen,_soft,Half2,_soft2,Software Used (fixed),decision_3,decision_3_reason,study_type,Archetype,_nt,_source
173,ZE3WQLXI,Comparison Study of Extraction Accuracy of 3D Facial Anatomical Landmarks Based on Non-Rigid Registration of Face Template,10.3390/diagnostics13061086,Diagnostics (Basel),journalArticle,2023/03,2023,Oral and Maxillofacial Surgery,MeshLab;Geomagic Studio,Morphological and Phenotypic Analysis,CHN,include,保留,未发现纳排问题,comparisonstudyofextractionaccuracyof3dfacialanatomicallandmarksbasedonnonrigidregistrationoffacetemplate,保留,,10.3390/diagnostics13061086,include,2023,3.0,2023-H1,['Oral and Maxillofacial Surgery'],['Morphological and Phenotypic Analysis'],"['MeshLab', 'Geomagic Studio']",2023-H1,"['MeshLab', 'Geomagic Studio']",MeshLab;Geomagic Studio,保留,,computational,1,comparison study of extraction accuracy of 3d facial anatomical landmarks based on non rigid registration of face template,原始筛查
174,KZIYILZU,Artificial Intelligence for 3D Reconstruction from 2D Panoramic X-rays to Assess Maxillary Impacted Canines,10.3390/diagnostics14020196,Diagnostics (Basel),journalArticle,2024/01,2024,Orthodontics;Periodontics;Oral and Maxillofacial Surgery,3D Slicer,Image Segmentation and 3D Reconstruction,USA,exclude,保留,未发现纳排问题,artificialintelligencefor3dreconstructionfrom2dpanoramicxraystoassessmaxillaryimpactedcanines,保留,,10.3390/diagnostics14020196,unsure,2024,1.0,2024-H1,"['Orthodontics', 'Periodontics', 'Oral and Maxillofacial Surgery']",['Image Segmentation and 3D Reconstruction'],['3D Slicer'],2024-H1,['3D Slicer'],3D Slicer,保留,,computational,1,artificial intelligence for 3d reconstruction from 2d panoramic x rays to assess maxillary impacted canines,原始筛查
175,IPRIVZUP,Developing an Artificial Intelligence Solution to Autosegment the Edentulous Mandibular Bone for Implant Planning.,10.1055/s-0043-1764425,Eur J Dent,journalArticle,2023/10,2023,Oral and Maxillofacial Surgery,ITK-SNAP,Image Segmentation and 3D Reconstruction,ARE,include,保留,未发现纳排问题,developinganartificialintelligencesolutiontoautosegmenttheedentulousmandibularboneforimplantplanning,保留,,10.1055/s-0043-1764425,include,2023,10.0,2023-H2,['Oral and Maxillofacial Surgery'],['Image Segmentation and 3D Reconstruction'],['ITK-SNAP'],2023-H2,['ITK-SNAP'],ITK-SNAP,保留,,computational,1,developing an artificial intelligence solution to autosegment the edentulous mandibular bone for implant planning,原始筛查
176,GMQCCFR9,Developing an Artificial Intelligence Solution to Autosegment the Edentulous Maxillary Bone for Implant Planning.,10.1055/s-0046-1818558,Eur J Dent,journalArticle,2026/04,2026,Oral Implantology;Oral and Maxillofacial Radiology,3D Slicer,Image Segmentation and 3D Reconstruction,ARE,include,保留,未发现纳排问题,developinganartificialintelligencesolutiontoautosegmenttheedentulousmaxillaryboneforimplantplanning,保留,,10.1055/s-0046-1818558,include,2026,4.0,2026-H1,"['Oral Implantology', 'Oral and Maxillofacial Radiology']",['Image Segmentation and 3D Reconstruction'],['3D Slicer'],2026-H1,['3D Slicer'],3D Slicer,保留,,computational,1,developing an artificial intelligence solution to autosegment the edentulous maxillary bone for implant planning,原始筛查
177,P3IE33LP,Evaluation of the Influence of Build Orientation on the Surface Roughness and Flexural Strength of 3D-Printed Denture Base Resin and Its Comparison with  CAD-CAM Milled Denture Base Resin.,10.1055/s-0043-1768972,Eur J Dent,journalArticle,2024/02,2024,Prosthodontics,MOI,Biomechanical Analysis and Simulation,SAU,exclude,保留,未发现纳排问题,evaluationoftheinfluenceofbuildorientationonthesurfaceroughnessandflexuralstrengthof3dprinteddenturebaseresinanditscomparisonwithcadcammilleddenturebaseresin,保留,,10.1055/s-0043-1768972,unsure,2024,2.0,2024-H1,['Prosthodontics'],['Biomechanical Analysis and Simulation'],['MOI'],2024-H1,['MOI'],MOI,保留,,in_vitro,3,evaluation of the influence of build orientation on the surface roughness and flexural strength of 3d printed denture base resin and its comparison with cad cam milled denture base resin,原始筛查
178,S4MRIA3P,Mechanical Response of PEKK and PEEK As Frameworks for Implant-Supported Full-Arch Fixed Dental Prosthesis: 3D Finite Element Analysis.,10.1055/s-0041-1731833,Eur J Dent,journalArticle,2022/02,2022,Prosthodontics,Rhinoceros;ANSYS;3D Slicer,Surgical Planning and Precise Implementation / Biomechanical Analysis and Simulation,BRA,include,保留,未发现纳排问题,mechanicalresponseofpekkandpeekasframeworksforimplantsupportedfullarchfixeddentalprosthesis3dfiniteelementanalysis,保留,,10.1055/s-0041-1731833,unsure,2022,2.0,2022-H1,['Prosthodontics'],"['Surgical Planning and Precise Implementation', 'Biomechanical Analysis and Simulation']","['Rhinoceros', 'ANSYS', '3D Slicer']",2022-H1,"['Rhinoceros', 'ANSYS', '3D Slicer']",Rhinoceros;ANSYS;3D Slicer,保留,,computational,3,mechanical response of pekk and peek as frameworks for implant supported full arch fixed dental prosthesis 3d finite element analysis,原始筛查
179,3ZVZI7FS,Design of an interactive system for access cavity assessment: A novel feedback tool for preclinical endodontics,10.1111/eje.12895,Eur J Dent Educ,journalArticle,2023/11,2023,Endodontics,3D Slicer,3D Data Analysis and Accuracy Assessment,AUS,include,保留,未发现纳排问题,designofaninteractivesystemforaccesscavityassessmentanovelfeedbacktoolforpreclinicalendodontics,保留,,10.1111/eje.12895,unsure,2023,11.0,2023-H2,['Endodontics'],['3D Data Analysis and Accuracy Assessment'],['3D Slicer'],2023-H2,['3D Slicer'],3D Slicer,保留,,educational,2,design of an interactive system for access cavity assessment a novel feedback tool for preclinical endodontics,原始筛查
180,AIZ65U9H,Integrating Digital Feedback Into Competency-Based Medical Education for Crown Preparation Skill Acquisition: A Pre-Post Study of Dental Interns in Taiwan,10.1111/eje.70215,Eur J Dent Educ,journalArticle,2026/06,2026,Prosthodontics;Dental Education,Mimics,3D Data Analysis and Accuracy Assessment,CHN,unsure,保留,未发现纳排问题,integratingdigitalfeedbackintocompetencybasedmedicaleducationforcrownpreparationskillacquisitionaprepoststudyofdentalinternsintaiwan,保留,,10.1111/eje.70215,unsure,2026,6.0,2026-H1,"['Prosthodontics', 'Dental Education']",['3D Data Analysis and Accuracy Assessment'],['Mimics'],2026-H1,['Mimics'],Mimics,保留,,educational,2,integrating digital feedback into competency based medical education for crown preparation skill acquisition a pre post study of dental interns in taiwan,原始筛查
181,KYG8D3UF,Development of a Quantitative Method to Assess Dental Students' Manual Dexterity in Tooth Cavity Preparation,10.1111/eje.70057,Eur J Dent Educ,journalArticle,2025/10,2025,Dental Education;Prosthodontics;Endodontics,Meshmixer;GOM Inspect;Blender,3D Data Analysis and Accuracy Assessment,KOR,include,保留,未发现纳排问题,developmentofaquantitativemethodtoassessdentalstudentsmanualdexterityintoothcavitypreparation,保留,,10.1111/eje.70057,include,2025,10.0,2025-H2,"['Dental Education', 'Prosthodontics', 'Endodontics']",['3D Data Analysis and Accuracy Assessment'],"['Meshmixer', 'GOM Inspect', 'Blender']",2025-H2,"['Meshmixer', 'GOM Inspect', 'Blender']",Meshmixer;GOM Inspect;Blender,保留,,educational,2,development of a quantitative method to assess dental students manual dexterity in tooth cavity preparation,原始筛查
182,TWGZIE88,The accuracy of automated facial landmarking - a comparative study between Cliniface software and patch-based Convoluted Neural Network algorithm.,10.1093/ejo/cjaf009,Eur J Orthod,journalArticle,2025/02,2025,Orthodontics;Oral and Maxillofacial Surgery,Cliniface,Morphological and Phenotypic Analysis,QAT,include,保留,未发现纳排问题,theaccuracyofautomatedfaciallandmarkingacomparativestudybetweenclinifacesoftwareandpatchbasedconvolutedneuralnetworkalgorithm,保留,,10.1093/ejo/cjaf009,include,2025,2.0,2025-H1,"['Orthodontics', 'Oral and Maxillofacial Surgery']",['Morphological and Phenotypic Analysis'],['Cliniface'],2025-H1,['Cliniface'],Cliniface,保留,,computational,1,the accuracy of automated facial landmarking a comparative study between cliniface software and patch based convoluted neural network algorithm,原始筛查
183,5V4M8IQL,A 3-D Finite Element Analysis of a Single Implant Retained Overdenture Reinforced with Short Versus Long Frameworks.,10.1922/EJPRD_2049AbouNeel09,Eur J Prosthodont Restor Dent,journalArticle,2021/05,2021,Prosthodontics,Inventor;ANSYS,Biomechanical Analysis and Simulation,EGY,include,保留,未发现纳排问题,a3dfiniteelementanalysisofasingleimplantretainedoverdenturereinforcedwithshortversuslongframeworks,保留,,10.1922/ejprd_2049abouneel09,unsure,2021,5.0,2021-H1,['Prosthodontics'],['Biomechanical Analysis and Simulation'],"['Inventor', 'ANSYS']",2021-H1,"['Inventor', 'ANSYS']",Inventor;ANSYS,保留,,computational,3,a 3 d finite element analysis of a single implant retained overdenture reinforced with short versus long frameworks,原始筛查
184,8ZIRPRCJ,Secondary Mandible Reconstruction with Computer-Assisted-Surgical Simulation and Patient-Specific Pre-Bent Plates: The Algorithm of Virtual Planning and Limitations Revisited,10.3390/app12094672,Eur J Dent Educ,journalArticle,2022/05,2022,Oral and Maxillofacial Surgery,Brainlab,Surgical Planning and Precise Implementation,NPL,include,保留,未发现纳排问题,secondarymandiblereconstructionwithcomputerassistedsurgicalsimulationandpatientspecificprebentplatesthealgorithmofvirtualplanningandlimitationsrevisited,保留,,10.3390/app12094672,unsure,2022,5.0,2022-H1,['Oral and Maxillofacial Surgery'],['Surgical Planning and Precise Implementation'],['Brainlab'],2022-H1,['Brainlab'],Brainlab,保留,,clinical,1,secondary mandible reconstruction with computer assisted surgical simulation and patient specific pre bent plates the algorithm of virtual planning and limitations revisited,原始筛查
185,8LJI9ZZH,Effect of Mandibular Advancement on Condylar Remodelling of Class II Malocclusion Adolescent Patients With or Without Anterior Disc Displacement: A Retrospective Study,10.1111/joor.13967,Eur J Dent,journalArticle,2025/07,2025,Orthodontics;Temporomandibular Joint Disorders;Oral and Maxillofacial Radiology,3D Slicer,Morphological and Phenotypic Analysis / 3D Data Analysis and Accuracy Assessment,CHN,include,保留,未发现纳排问题,effectofmandibularadvancementoncondylarremodellingofclassiimalocclusionadolescentpatientswithorwithoutanteriordiscdisplacementaretrospectivestudy,保留,,10.1111/joor.13967,include,2025,7.0,2025-H2,"['Orthodontics', 'Temporomandibular Joint Disorders', 'Oral and Maxillofacial Radiology']","['Morphological and Phenotypic Analysis', '3D Data Analysis and Accuracy Assessment']",['3D Slicer'],2025-H2,['3D Slicer'],3D Slicer,保留,,clinical,2,effect of mandibular advancement on condylar remodelling of class ii malocclusion adolescent patients with or without anterior disc displacement a retrospective study,原始筛查
186,9DHRAUNV,Precision and Efficacy of Digital Technology in Orthognathic Surgery for Facial Asymmetry Correction: A Quantitative Analysis,10.1007/s00266-025-04974-x,Eur J Med Res,journalArticle,2025/08,2025,Oral and Maxillofacial Surgery;Orthodontics,Mimics,Surgical Planning and Precise Implementation / 3D Data Analysis and Accuracy Assessment,CHN,include,保留,未发现纳排问题,precisionandefficacyofdigitaltechnologyinorthognathicsurgeryforfacialasymmetrycorrectionaquantitativeanalysis,保留,,10.1007/s00266-025-04974-x,include,2025,8.0,2025-H2,"['Oral and Maxillofacial Surgery', 'Orthodontics']","['Surgical Planning and Precise Implementation', '3D Data Analysis and Accuracy Assessment']",['Mimics'],2025-H2,['Mimics'],Mimics,保留,,clinical,2,precision and efficacy of digital technology in orthognathic surgery for facial asymmetry correction a quantitative analysis,原始筛查
187,6WML986Q,Digital Hybrid Model Preparation for Virtual Planning of Reconstructive Dentoalveolar Surgical Procedures,10.3791/62743,Eur J Orthod,journalArticle,2021/08,2021,Oral and Maxillofacial Surgery;Periodontics;Oral Implantology,3D Slicer,Surgical Planning and Precise Implementation / Image Segmentation and 3D Reconstruction,HUN,include,保留,未发现纳排问题,digitalhybridmodelpreparationforvirtualplanningofreconstructivedentoalveolarsurgicalprocedures,保留,,10.3791/62743,unsure,2021,8.0,2021-H2,"['Oral and Maxillofacial Surgery', 'Periodontics', 'Oral Implantology']","['Surgical Planning and Precise Implementation', 'Image Segmentation and 3D Reconstruction']",['3D Slicer'],2021-H2,['3D Slicer'],3D Slicer,保留,,technical_note,1,digital hybrid model preparation for virtual planning of reconstructive dentoalveolar surgical procedures,原始筛查
188,2MUY3JET,Automated reconstruction: Predictive models based on facial morphology matrices.,10.1016/j.forsciint.2024.112026,Forensic Sci Int,journalArticle,2024/06,2024,Forensic Odontology,MeViSLab,Morphological and Phenotypic Analysis,ZAF,include,保留,未发现纳排问题,automatedreconstructionpredictivemodelsbasedonfacialmorphologymatrices,保留,,10.1016/j.forsciint.2024.112026,unsure,2024,6.0,2024-H1,['Forensic Odontology'],['Morphological and Phenotypic Analysis'],['MeViSLab'],2024-H1,['MeViSLab'],MeViSLab,保留,,computational,1,automated reconstruction predictive models based on facial morphology matrices,原始筛查
189,64V3G83K,Three-dimensional superimposition of digital models for individual identification,10.1016/j.forsciint.2020.110597,Forensic Sci Int,journalArticle,2021/01,2021,Forensic Odontology,Geomagic Wrap;Geomagic Design X,3D Data Analysis and Accuracy Assessment / Morphological and Phenotypic Analysis,CHN,include,保留,未发现纳排问题,threedimensionalsuperimpositionofdigitalmodelsforindividualidentification,保留,,10.1016/j.forsciint.2020.110597,unsure,2021,1.0,2021-H1,['Forensic Odontology'],"['3D Data Analysis and Accuracy Assessment', 'Morphological and Phenotypic Analysis']","['Geomagic Wrap', 'Geomagic Design X']",2021-H1,"['Geomagic Wrap', 'Geomagic Design X']",Geomagic Wrap;Geomagic Design X,保留,,computational,2,three dimensional superimposition of digital models for individual identification,原始筛查
190,7D8C3IE9,3D imaging for dental identification: a pilot investigation of a novel segmentation method using an intra oral scanning device,10.1007/s12024-025-00992-y,Forensic Sci Med Pathol,journalArticle,2025/09,2025,Forensic Odontology,Meshmixer;CloudCompare,Image Segmentation and 3D Reconstruction / 3D Data Analysis and Accuracy Assessment,AUS,exclude,保留,未发现纳排问题,3dimagingfordentalidentificationapilotinvestigationofanovelsegmentationmethodusinganintraoralscanningdevice,保留,,10.1007/s12024-025-00992-y,unsure,2025,9.0,2025-H2,['Forensic Odontology'],"['Image Segmentation and 3D Reconstruction', '3D Data Analysis and Accuracy Assessment']","['Meshmixer', 'CloudCompare']",2025-H2,"['Meshmixer', 'CloudCompare']",Meshmixer;CloudCompare,保留,,in_vitro,2,3d imaging for dental identification a pilot investigation of a novel segmentation method using an intra oral scanning device,原始筛查
191,3UIJFW4V,An innovative additively manufactured implant for mandibular injuries: Design and preparation processes based on simulation model.,10.3389/fbioe.2022.1065971,Front Bioeng Biotechnol,journalArticle,2022,2022,Oral and Maxillofacial Surgery,Mimics;3-Matic;ANSYS,Surgical Planning and Precise Implementation / Digital Design and Manufacturing,CHN,include,保留,未发现纳排问题,aninnovativeadditivelymanufacturedimplantformandibularinjuriesdesignandpreparationprocessesbasedonsimulationmodel,保留,,10.3389/fbioe.2022.1065971,include,2022,,2022-?,['Oral and Maxillofacial Surgery'],"['Surgical Planning and Precise Implementation', 'Digital Design and Manufacturing']","['Mimics', '3-Matic', 'ANSYS']",unknown,"['Mimics', '3-Matic', 'ANSYS']",Mimics;3-Matic;ANSYS,保留,,computational,1,an innovative additively manufactured implant for mandibular injuries design and preparation processes based on simulation model,原始筛查
192,PRQRZMAW,The effect of mandibular flexure on the design of implant-supported fixed restorations of different facial types under two loading conditions by three-dimensional finite element analysis,10.3389/fbioe.2022.928656,Front Bioeng Biotechnol,journalArticle,2022/08,2022,Prosthodontics,Mimics;Siemens NX (UG);ANSYS;Geomagic Studio,Biomechanical Analysis and Simulation,CHN,include,保留,未发现纳排问题,theeffectofmandibularflexureonthedesignofimplantsupportedfixedrestorationsofdifferentfacialtypesundertwoloadingconditionsbythreedimensionalfiniteelementanalysis,保留,,10.3389/fbioe.2022.928656,include,2022,8.0,2022-H2,['Prosthodontics'],['Biomechanical Analysis and Simulation'],"['Mimics', 'Siemens NX (UG)', 'ANSYS', 'Geomagic Studio']",2022-H2,"['Mimics', 'Siemens NX (UG)', 'ANSYS', 'Geomagic Studio']",Mimics;Siemens NX (UG);ANSYS;Geomagic Studio,保留,,computational,3,the effect of mandibular flexure on the design of implant supported fixed restorations of different facial types under two loading conditions by three dimensional finite element analysis,原始筛查
193,3DULHY4P,"In-House, Open-Source 3D-Software-Based, CAD/CAM-Planned Mandibular Reconstructions in 20 Consecutive Free Fibula Flap Cases: An Explorative Cross-Sectional Study With Three-Dimensional Performance Analysis",10.3389/fonc.2021.731336,Front Oncol,journalArticle,2021/09,2021,Oral and Maxillofacial Surgery,Blender;MeshLab,Surgical Planning and Precise Implementation,DEU,include,保留,未发现纳排问题,inhouseopensource3dsoftwarebasedcadcamplannedmandibularreconstructionsin20consecutivefreefibulaflapcasesanexplorativecrosssectionalstudywiththreedimensionalperformanceanalysis,保留,,10.3389/fonc.2021.731336,include,2021,9.0,2021-H2,['Oral and Maxillofacial Surgery'],['Surgical Planning and Precise Implementation'],"['Blender', 'MeshLab']",2021-H2,"['Blender', 'MeshLab']",Blender;MeshLab,保留,,clinical,1,in house open source 3d software based cad cam planned mandibular reconstructions in 20 consecutive free fibula flap cases an explorative cross sectional study with three dimensional performance analysis,原始筛查
194,K7USC6AL,A Comparative Study on a Novel Fibula Malleolus Cap to Increase the Accuracy of Oncologic Jaw Reconstruction,10.3389/fonc.2021.743389,Front Oncol,journalArticle,2022/01,2022,Oral and Maxillofacial Surgery,3-Matic,Surgical Planning and Precise Implementation,CHN,include,保留,未发现纳排问题,acomparativestudyonanovelfibulamalleoluscaptoincreasetheaccuracyofoncologicjawreconstruction,保留,,10.3389/fonc.2021.743389,unsure,2022,1.0,2022-H1,['Oral and Maxillofacial Surgery'],['Surgical Planning and Precise Implementation'],['3-Matic'],2022-H1,['3-Matic'],3-Matic,保留,,clinical,1,a comparative study on a novel fibula malleolus cap to increase the accuracy of oncologic jaw reconstruction,原始筛查
195,3KLNEKRB,Realizing in-house algorithm-driven free fibula flap set up within 24 hours: a pilot study evaluating accuracy with open-source tools,10.3389/fsurg.2023.1321217,Front Surg,journalArticle,2023/12,2023,Oral and Maxillofacial Surgery,Blender;3D Slicer,Surgical Planning and Precise Implementation,DEU,include,保留,未发现纳排问题,realizinginhousealgorithmdrivenfreefibulaflapsetupwithin24hoursapilotstudyevaluatingaccuracywithopensourcetools,保留,,10.3389/fsurg.2023.1321217,include,2023,12.0,2023-H2,['Oral and Maxillofacial Surgery'],['Surgical Planning and Precise Implementation'],"['Blender', '3D Slicer']",2023-H2,"['Blender', '3D Slicer']",Blender;3D Slicer,保留,,clinical,1,realizing in house algorithm driven free fibula flap set up within 24 hours a pilot study evaluating accuracy with open source tools,原始筛查
196,HTRWWCZV,Virtual surgical planning for maxillary reconstruction with the scapular free flap: An evaluation of a simple cutting guide design,10.1002/hed.27214,Head & Neck,journalArticle,2023/01,2023,Oral and Maxillofacial Surgery,3D Slicer;Artisynth,Surgical Planning and Precise Implementation / Image Segmentation and 3D Reconstruction,CAN,include,保留,未发现纳排问题,virtualsurgicalplanningformaxillaryreconstructionwiththescapularfreeflapanevaluationofasimplecuttingguidedesign,保留,,10.1002/hed.27214,include,2023,1.0,2023-H1,['Oral and Maxillofacial Surgery'],"['Surgical Planning and Precise Implementation', 'Image Segmentation and 3D Reconstruction']","['3D Slicer', 'Artisynth']",2023-H1,"['3D Slicer', 'Artisynth']",3D Slicer;Artisynth,保留,,clinical,1,virtual surgical planning for maxillary reconstruction with the scapular free flap an evaluation of a simple cutting guide design,原始筛查
197,R8BYGXA2,Developing an Interactive Computer Program for Integrated Dental Education.,10.4258/hir.2021.27.4.335,Healthc Inform Res,journalArticle,2021/10,2021,Dental Education,Blender;Unity,Digital Design and Manufacturing,CAN,exclude,保留,未发现纳排问题,developinganinteractivecomputerprogramforintegrateddentaleducation,保留,,10.4258/hir.2021.27.4.335,include,2021,10.0,2021-H2,['Dental Education'],['Digital Design and Manufacturing'],"['Blender', 'Unity']",2021-H2,"['Blender', 'Unity']",Blender;Unity,保留,,educational,4,developing an interactive computer program for integrated dental education,原始筛查
198,2N5V8KH4,Validation of three-dimensional facial imaging captured with smartphone-based photogrammetry application in comparison to stereophotogrammetry system,10.1016/j.heliyon.2023.e15834,Heliyon,journalArticle,2023/05,2023,Orthodontics,Geomagic Control X,Morphological and Phenotypic Analysis,CAN,include,保留,未发现纳排问题,validationofthreedimensionalfacialimagingcapturedwithsmartphonebasedphotogrammetryapplicationincomparisontostereophotogrammetrysystem,保留,,10.1016/j.heliyon.2023.e15834,include,2023,5.0,2023-H1,['Orthodontics'],['Morphological and Phenotypic Analysis'],['Geomagic Control X'],2023-H1,['Geomagic Control X'],Geomagic Control X,保留,,clinical,1,validation of three dimensional facial imaging captured with smartphone based photogrammetry application in comparison to stereophotogrammetry system,原始筛查
199,3TBNKUQA,Initial implementation of surgical guide design utilizing digital medicine for lateral orbital decompression surgery,10.1016/j.jcms.2024.02.025,Heliyon,journalArticle,2024/04,2024,Oral and Maxillofacial Surgery,Mimics;3-Matic;Geomagic Wrap,Surgical Planning and Precise Implementation / Digital Design and Manufacturing,CHN,include,保留,未发现纳排问题,initialimplementationofsurgicalguidedesignutilizingdigitalmedicineforlateralorbitaldecompressionsurgery,保留,,10.1016/j.jcms.2024.02.025,include,2024,4.0,2024-H1,['Oral and Maxillofacial Surgery'],"['Surgical Planning and Precise Implementation', 'Digital Design and Manufacturing']","['Mimics', '3-Matic', 'Geomagic Wrap']",2024-H1,"['Mimics', '3-Matic', 'Geomagic Wrap']",Mimics;3-Matic;Geomagic Wrap,保留,,clinical,1,initial implementation of surgical guide design utilizing digital medicine for lateral orbital decompression surgery,原始筛查
200,75U924X7,Esthetic rehabilitation for a Kennedy Class IV patient using detachable 3D printing diagnostic denture and removable partial denture with polyetheretherketone framework,10.1016/j.heliyon.2022.e10834,Heliyon,journalArticle,2022/10,2022,Prosthodontics,Geomagic Qualify,3D Data Analysis and Accuracy Assessment,CHN,exclude,保留,未发现纳排问题,estheticrehabilitationforakennedyclassivpatientusingdetachable3dprintingdiagnosticdentureandremovablepartialdenturewithpolyetheretherketoneframework,保留,,10.1016/j.heliyon.2022.e10834,unsure,2022,10.0,2022-H2,['Prosthodontics'],['3D Data Analysis and Accuracy Assessment'],['Geomagic Qualify'],2022-H2,['Geomagic Qualify'],Geomagic Qualify,保留,,case_report,2,esthetic rehabilitation for a kennedy class iv patient using detachable 3d printing diagnostic denture and removable partial denture with polyetheretherketone framework,原始筛查
201,ZRTG4C5T,A Framework to Enhance the Experience of CBCT Data in Real-Time Using Immersive Virtual Reality: Impacting Dental Pre-Surgical Planning,10.1109/ACCESS.2024.3375770,IEEE Access,journalArticle,2024,2024,Oral and Maxillofacial Surgery;Oral and Maxillofacial Radiology,Unity,Image Segmentation and 3D Reconstruction / Surgical Planning and Precise Implementation,IND,include,保留,未发现纳排问题,aframeworktoenhancetheexperienceofcbctdatainrealtimeusingimmersivevirtualrealityimpactingdentalpresurgicalplanning,保留,,10.1109/access.2024.3375770,include,2024,,2024-?,"['Oral and Maxillofacial Surgery', 'Oral and Maxillofacial Radiology']","['Image Segmentation and 3D Reconstruction', 'Surgical Planning and Precise Implementation']",['Unity'],unknown,['Unity'],Unity,保留,,computational,1,a framework to enhance the experience of cbct data in real time using immersive virtual reality impacting dental pre surgical planning,原始筛查
202,3C3LWSIA,Automated Dental Landmarks Recognition in Special Models via Neural Network,10.1109/TCSS.2025.3590442,IEEE Trans. Comput. Soc. Syst.,journalArticle,2026/02,2026,Orthodontics,MeshLab,Image Segmentation and 3D Reconstruction / Morphological and Phenotypic Analysis,CHN,include,保留,未发现纳排问题,automateddentallandmarksrecognitioninspecialmodelsvianeuralnetwork,保留,,10.1109/tcss.2025.3590442,include,2026,2.0,2026-H1,['Orthodontics'],"['Image Segmentation and 3D Reconstruction', 'Morphological and Phenotypic Analysis']",['MeshLab'],2026-H1,['MeshLab'],MeshLab,保留,,computational,1,automated dental landmarks recognition in special models via neural network,原始筛查
203,6L7WJ4MX,Effects of the cone-beam computed tomography protocol on the accuracy and image quality of root surface area measurements: An in vitro study.,10.5624/isd.20230090,Imaging Sci Dent,journalArticle,2023/12,2023,Orthodontics,Mimics;3-Matic,Morphological and Phenotypic Analysis,THA,exclude,保留,未发现纳排问题,effectsoftheconebeamcomputedtomographyprotocolontheaccuracyandimagequalityofrootsurfaceareameasurementsaninvitrostudy,保留,,10.5624/isd.20230090,unsure,2023,12.0,2023-H2,['Orthodontics'],['Morphological and Phenotypic Analysis'],"['Mimics', '3-Matic']",2023-H2,"['Mimics', '3-Matic']",Mimics;3-Matic,保留,,in_vitro,1,effects of the cone beam computed tomography protocol on the accuracy and image quality of root surface area measurements an in vitro study,原始筛查
204,MH77VGXZ,Optimization of forensic identification through 3-dimensional imaging analysis of labial tooth surface using open-source software.,10.5624/isd.20230218,Imaging Sci Dent,journalArticle,2024/03,2024,Forensic Odontology,CloudCompare;Geomagic Design X,Morphological and Phenotypic Analysis,IDN,include,保留,未发现纳排问题,optimizationofforensicidentificationthrough3dimensionalimaginganalysisoflabialtoothsurfaceusingopensourcesoftware,保留,,10.5624/isd.20230218,include,2024,3.0,2024-H1,['Forensic Odontology'],['Morphological and Phenotypic Analysis'],"['CloudCompare', 'Geomagic Design X']",2024-H1,"['CloudCompare', 'Geomagic Design X']",CloudCompare;Geomagic Design X,保留,,computational,1,optimization of forensic identification through 3 dimensional imaging analysis of labial tooth surface using open source software,原始筛查
205,6SHXRW5Z,Volumetric analysis of mucous retention cysts in the maxillary sinus: A retrospective study using cone-beam computed tomography.,10.5624/isd.20200267,Imaging Sci Dent,journalArticle,2021/06,2021,Oral and Maxillofacial Radiology,3D Slicer,Surgical Planning and Precise Implementation / Morphological and Phenotypic Analysis,CHN,include,保留,未发现纳排问题,volumetricanalysisofmucousretentioncystsinthemaxillarysinusaretrospectivestudyusingconebeamcomputedtomography,保留,,10.5624/isd.20200267,include,2021,6.0,2021-H1,['Oral and Maxillofacial Radiology'],"['Surgical Planning and Precise Implementation', 'Morphological and Phenotypic Analysis']",['3D Slicer'],2021-H1,['3D Slicer'],3D Slicer,保留,,clinical,1,volumetric analysis of mucous retention cysts in the maxillary sinus a retrospective study using cone beam computed tomography,原始筛查
206,N6477A2Z,Effect of posterior span length on the trueness and precision of 3 intraoral digital scanners: A comparative 3-dimensional in vitro study.,10.5624/isd.20210076,Imaging Sci Dent,journalArticle,2021/12,2021,Prosthodontics,Geomagic Control X,3D Data Analysis and Accuracy Assessment,EGY,exclude,保留,未发现纳排问题,effectofposteriorspanlengthonthetruenessandprecisionof3intraoraldigitalscannersacomparative3dimensionalinvitrostudy,保留,,10.5624/isd.20210076,unsure,2021,12.0,2021-H2,['Prosthodontics'],['3D Data Analysis and Accuracy Assessment'],['Geomagic Control X'],2021-H2,['Geomagic Control X'],Geomagic Control X,保留,,in_vitro,2,effect of posterior span length on the trueness and precision of 3 intraoral digital scanners a comparative 3 dimensional in vitro study,原始筛查
207,YFI6KQ92,Three-Dimensional Volumetric Investigation of Onodi Cells: A Multi-Slice Computed Tomography Study.,10.1055/s-0043-1773762,Int Arch Otorhinolaryngol,journalArticle,2024/04,2024,Oral and Maxillofacial Radiology,ITK-SNAP,Image Segmentation and 3D Reconstruction / Morphological and Phenotypic Analysis,BRA,exclude,保留,未发现纳排问题,threedimensionalvolumetricinvestigationofonodicellsamultislicecomputedtomographystudy,保留,,10.1055/s-0043-1773762,include,2024,4.0,2024-H1,['Oral and Maxillofacial Radiology'],"['Image Segmentation and 3D Reconstruction', 'Morphological and Phenotypic Analysis']",['ITK-SNAP'],2024-H1,['ITK-SNAP'],ITK-SNAP,保留,,clinical,1,three dimensional volumetric investigation of onodi cells a multi slice computed tomography study,原始筛查
