_nt,Title,期刊,Item Type,流程原因,命中软件,判定,理由,原始返回
influence of different education approaches on the implantation performance of dental practitioners in aesthetic zone,Influence of different education approaches on the implantation performance of dental practitioners in aesthetic zone.,Journal of dental education,journalArticle,Not an original research report,Geomagic Studio,E1,该研究属口腔教育/种植领域原创研究，且全文明确使用非牙科3D软件Geomagic Studio进行种植体位置的三维叠加分析。,"【判定】: E1
【理由】: 该研究属口腔教育/种植领域原创研究，且全文明确使用非牙科3D软件Geomagic Studio进行种植体位置的三维叠加分析。"
fractured full arch tooth supported zirconia bridge thin design surface damage and excessive cement layer thickness,"Fractured Full-Arch Tooth-Supported Zirconia Bridge: Thin Design, Surface Damage, and Excessive Cement Layer Thickness.",Reports (MDPI),journalArticle,Not an original research report,Rhinoceros,E1,该病例报告属口腔修复学，且全文明确将STL文件导入非牙科专用软件Rhinoceros进行桥体设计厚度分析，符合原创病例报告纳入标准。,"【判定】: E1
【理由】: 该病例报告属口腔修复学，且全文明确将STL文件导入非牙科专用软件Rhinoceros进行桥体设计厚度分析，符合原创病例报告纳入标准。"
monitoring the calibration of in office 3d printers,Monitoring the Calibration of In-Office 3D Printers.,Dentistry journal,journalArticle,No non-dental 3D software identified,Meshmixer,E1,该研究属口腔医学（牙科3D打印校准），为原创研究，且全文明确使用非牙科专用软件Meshmixer（Autodesk）设计校准试件，符合纳入标准。,"【判定】: E1
【理由】: 该研究属口腔医学（牙科3D打印校准），为原创研究，且全文明确使用非牙科专用软件Meshmixer（Autodesk）设计校准试件，符合纳入标准。"
age related changes in the parotid gland a computed tomography based radiomics study,Age-related changes in the parotid gland: a computed tomography-based radiomics study.,Quantitative imaging in medicine and surgery,journalArticle,Outside the scope of dentistry,3D Slicer,E1,该研究属口腔医学（唾液腺/口腔颌面放射）范畴，全文明确使用非牙科专用3D软件3D Slicer进行腮腺CT图像分割与三维影像组学分析，且为原创研究、英文、发表于2020-2026年间。,"【判定】: E1
【理由】: 该研究属口腔医学（唾液腺/口腔颌面放射）范畴，全文明确使用非牙科专用3D软件3D Slicer进行腮腺CT图像分割与三维影像组学分析，且为原创研究、英文、发表于2020-2026年间。"
feasibility study and material selection for powder bed fusion process in printing of denture clasps,Feasibility study and material selection for powder-bed fusion process in printing of denture clasps.,Computers in biology and medicine,journalArticle,No non-dental 3D software identified,Geomagic Studio; Magics,E1,该研究为口腔修复学原创研究，全文明确使用非牙科专用3D软件 Geomagic Studio 2014 和 Magics 21.0 进行数字化建模与数据处理。,"【判定】: E1
【理由】: 该研究为口腔修复学原创研究，全文明确使用非牙科专用3D软件 Geomagic Studio 2014 和 Magics 21.0 进行数字化建模与数据处理。"
influence of splinting scan bodies or incorporating three dimensionally printed scan aids on the trueness of complete arch digital scans,Influence of splinting scan bodies or incorporating three-dimensionally printed scan aids on the trueness of complete arch digital scans.,The Journal of prosthetic dentistry,journalArticle,No non-dental 3D software identified,Geomagic Control X; SolidWorks,E1,该体外研究属口腔修复/种植领域，全文明确使用非牙科专用软件 SolidWorks 进行扫描体与辅助装置的三维设计，并用 Geomagic Control X 进行三维偏差分析，符合原创研究纳入标准。,"【判定】: E1
【理由】: 该体外研究属口腔修复/种植领域，全文明确使用非牙科专用软件 SolidWorks 进行扫描体与辅助装置的三维设计，并用 Geomagic Control X 进行三维偏差分析，符合原创研究纳入标准。"
intaglio surface adaptation of removable partial denture framework fabricated by various data acquisition techniques and fabrication approaches,Intaglio Surface Adaptation of Removable Partial Denture Framework Fabricated by Various Data Acquisition Techniques and Fabrication Approaches.,European journal of dentistry,journalArticle,No non-dental 3D software identified,Geomagic,E1,该研究为口腔修复学原创研究，全文明确使用非牙科专用3D软件Geomagic Control X 2020进行框架与参考模型的3D叠加比对分析。,"【判定】: E1
【理由】: 该研究为口腔修复学原创研究，全文明确使用非牙科专用3D软件Geomagic Control X 2020进行框架与参考模型的3D叠加比对分析。"
quantitative and qualitative evaluation of precision in dental 3d facial scanning across handheld fixed multicamera and smartphone depth sensing systems,"Quantitative and qualitative evaluation of precision in dental 3D facial scanning across handheld, fixed multicamera, and smartphone depth-sensing systems.",The Journal of prosthetic dentistry,journalArticle,No non-dental 3D software identified,Geomagic control X; Meshmixer,E1,该原创研究在口腔修复领域自身使用了非牙科3D软件 Geomagic control X 进行扫描数据叠加与偏差分析，并用 Meshmixer 设计模具，符合全部纳入标准。,"【判定】: E1
【理由】: 该原创研究在口腔修复领域自身使用了非牙科3D软件 Geomagic control X 进行扫描数据叠加与偏差分析，并用 Meshmixer 设计模具，符合全部纳入标准。"
effects of incremental mandibular advancement on upper airways morphology and anatomical structures a preliminary ct scan study on body donors,Effects of incremental mandibular advancement on upper airways morphology and anatomical structures: a preliminary CT scan study on body donors.,Scientific reports,journalArticle,No non-dental 3D software identified,3D Slicer,E1,该研究属口腔睡眠医学领域，全文明确使用非牙科专用3D软件3D Slicer（version 5.8）进行上气道及软组织CT三维测量分析，为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔睡眠医学领域，全文明确使用非牙科专用3D软件3D Slicer（version 5.8）进行上气道及软组织CT三维测量分析，为原创研究，符合全部纳入标准。"
virtual reality and 3d printing in head and neck cancer an educational experience,Virtual reality and 3D printing in head and neck cancer: an educational experience,FRONTIERS IN ONCOLOGY,journalArticle,No non-dental 3D software identified,Mimics,E1,该研究属口腔颌面外科教育领域，全文明确使用非牙科专用软件Mimics Innovation Suite进行CT数据分割建模，且为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔颌面外科教育领域，全文明确使用非牙科专用软件Mimics Innovation Suite进行CT数据分割建模，且为原创研究，符合全部纳入标准。"
three dimensional finite element analysis of stress distribution in a tooth restored with full coverage machined polymer crown,Three-Dimensional Finite Element Analysis of Stress Distribution in a Tooth Restored with Full Coverage Machined Polymer Crown,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,HyperWorks; Hypermesh; Mimics,E1,该研究为口腔修复领域的三维有限元原创研究，全文明确使用非牙科软件 Mimics 13.1 重建3D模型、Hypermesh（HyperWorks）生成网格，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为口腔修复领域的三维有限元原创研究，全文明确使用非牙科软件 Mimics 13.1 重建3D模型、Hypermesh（HyperWorks）生成网格，符合全部纳入标准。"
diva a 3d virtual reality platform improves undergraduate craniofacial trauma education,"DIVA, a 3D virtual reality platform, improves undergraduate craniofacial trauma education",JOURNAL OF STOMATOLOGY ORAL AND MAXILLOFACIAL SURGERY,journalArticle,Outside the scope of dentistry,Avizo; RadiAnt,E1,"该原创研究在口腔颌面创伤教育中自身使用了非牙科3D软件 Avizo 进行CT三维重建（""3D reconstructions from CT-scan using Avizo""），符合全部纳入标准。","【判定】: E1
【理由】: 该原创研究在口腔颌面创伤教育中自身使用了非牙科3D软件 Avizo 进行CT三维重建（""3D reconstructions from CT-scan using Avizo""），符合全部纳入标准。"
three dimensional accuracy of in office aligner therapy a retrospective comparison between planned and achieved tooth positions,Three-dimensional accuracy of in-office aligner therapy: a retrospective comparison between planned and achieved tooth positions,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,3D Slicer,E1,该研究为口腔正畸原创研究，全文明确使用非牙科专用3D软件3D Slicer（SlicerCMF扩展）进行三维模型叠加与偏差分析。,"【判定】: E1
【理由】: 该研究为口腔正畸原创研究，全文明确使用非牙科专用3D软件3D Slicer（SlicerCMF扩展）进行三维模型叠加与偏差分析。"
three dimensional facial volume analysis using algorithm based personalized aesthetic templates,Three-dimensional facial volume analysis using algorithm-based personalized aesthetic templates,INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,journalArticle,Outside the scope of dentistry,MATLAB; Meshmixer,E1,该研究属口腔颌面外科领域，全文明确使用非牙科3D软件Meshmixer设计面部美学模板并用MATLAB进行3D图像分析，为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔颌面外科领域，全文明确使用非牙科3D软件Meshmixer设计面部美学模板并用MATLAB进行3D图像分析，为原创研究，符合全部纳入标准。"
comparative analysis of five ai platforms for mandibular canal segmentation on cbct images,Comparative analysis of five AI platforms for mandibular canal segmentation on CBCT images,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,3-Matic; 3D Slicer,E1,该研究属口腔颌面放射领域，自身明确使用非牙科专用3D软件3D Slicer（及3-Matic）进行下颌管分割分析，为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔颌面放射领域，自身明确使用非牙科专用3D软件3D Slicer（及3-Matic）进行下颌管分割分析，为原创研究，符合全部纳入标准。"
early stage stability and degradation of patient specific biodegradable 3d printed implants for critical mandibular reconstruction,Early-stage stability and degradation of patient-specific biodegradable 3D-printed implants for critical mandibular reconstruction,DENTAL MATERIALS,journalArticle,No non-dental 3D software identified,ANSYS,E1,该原创研究属口腔颌面外科主题，全文明确将模型导入ANSYS Workbench进行有限元仿真，属本研究自身使用非牙科3D软件。,"【判定】: E1
【理由】: 该原创研究属口腔颌面外科主题，全文明确将模型导入ANSYS Workbench进行有限元仿真，属本研究自身使用非牙科3D软件。"
an in vitro study of the reproducibility of the drilling access of digitalized surgical guides generated via three different implant planning software programs,An In Vitro Study of the Reproducibility of the Drilling Access of Digitalized Surgical Guides Generated via Three Different Implant Planning Software Programs,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,Meshmixer,E1,该体外研究属口腔种植领域，且全文明确将 Meshmixer（非牙科专用3D软件）用于研究模型的截面与合并建模处理。,"【判定】: E1
【理由】: 该体外研究属口腔种植领域，且全文明确将 Meshmixer（非牙科专用3D软件）用于研究模型的截面与合并建模处理。"
subtractive versus additive indirect manufacturing techniques of digitally designed partial dentures,Subtractive versus additive indirect manufacturing techniques of digitally designed partial dentures,JOURNAL OF ADVANCED PROSTHODONTICS,journalArticle,No non-dental 3D software identified,Geomagic; Geomagic Control; Geomagic Control X,E1,该原创研究在口腔修复学领域，自身使用非牙科专用3D软件 Geomagic Control X 进行框架精度的3D比较分析（全文方法部分明确描述）。,"【判定】: E1
【理由】: 该原创研究在口腔修复学领域，自身使用非牙科专用3D软件 Geomagic Control X 进行框架精度的3D比较分析（全文方法部分明确描述）。"
suitability and trueness of the removable partial denture framework fabricating by polyether ether ketone with cad cam technology,Suitability and Trueness of the Removable Partial Denture Framework Fabricating by Polyether Ether Ketone with CAD-CAM Technology,POLYMERS,journalArticle,No non-dental 3D software identified,Geomagic; Geomagic Wrap,E1,该原创研究在口腔修复学领域，全文明确使用非牙科3D软件Geomagic Wrap 2017对RPD框架扫描数据进行配准和偏差分析，符合纳入标准。,"【判定】: E1
【理由】: 该原创研究在口腔修复学领域，全文明确使用非牙科3D软件Geomagic Wrap 2017对RPD框架扫描数据进行配准和偏差分析，符合纳入标准。"
biomechanical effect of implant thickness and screw diameter on cfr peek subperiosteal implants a three dimensional finite element analysis,Biomechanical effect of implant thickness and screw diameter on CFR-PEEK subperiosteal implants: a three-dimensional finite element analysis,SCIENTIFIC REPORTS,journalArticle,No non-dental 3D software identified,3D Slicer; Blender; HyperMesh; Hypermesh; blender,E1,该研究为口腔种植领域的原创有限元研究，全文明确使用非牙科软件3D Slicer进行上颌骨CT分割、Blender进行模型优化，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为口腔种植领域的原创有限元研究，全文明确使用非牙科软件3D Slicer进行上颌骨CT分割、Blender进行模型优化，符合全部纳入标准。"
development and validation of a robotic system for milling individualized jawbone cavities in oral and maxillofacial surgery,Development and validation of a robotic system for milling individualized jawbone cavities in oral and maxillofacial surgery,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,Geomagic; Geomagic Wrap; Matlab; Mimics,E1,该原创研究属口腔颌面外科主题，且全文明确使用非牙科3D软件 Mimics 和 Geomagic Wrap 进行颌骨与埋伏牙的分割及模型/骨腔设计。,"【判定】: E1
【理由】: 该原创研究属口腔颌面外科主题，且全文明确使用非牙科3D软件 Mimics 和 Geomagic Wrap 进行颌骨与埋伏牙的分割及模型/骨腔设计。"
effect of various printing parameters on the accuracy trueness and precision of 3d printed partial denture framework,Effect of various printing parameters on the accuracy (trueness and precision) of 3D-printed partial denture framework,JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS,journalArticle,No non-dental 3D software identified,Geomagic Control X; MATLAB; Meshmixer,E1,该原创研究在全文方法部分明确使用非牙科3D软件 Geomagic Control X、MATLAB 和 Meshmixer 进行STL对齐、偏差测量与数据处理，主题为口腔修复（3D打印RPD框架精度），符合全部纳入标准。,"【判定】: E1
【理由】: 该原创研究在全文方法部分明确使用非牙科3D软件 Geomagic Control X、MATLAB 和 Meshmixer 进行STL对齐、偏差测量与数据处理，主题为口腔修复（3D打印RPD框架精度），符合全部纳入标准。"
three dimensional hemisided analysis of the pharyngeal airway a novel technical strategy to evaluate asymmetric remodeling after orthognathic surgery,Three-Dimensional Hemisided Analysis of the Pharyngeal Airway: A Novel Technical Strategy to Evaluate Asymmetric Remodeling After Orthognathic Surgery,JOURNAL OF CRANIOFACIAL SURGERY,journalArticle,No non-dental 3D software identified,Meshmixer,E1,该研究为口腔颌面外科原创技术报告，全文明确将气道STL模型导入非牙科专用软件Meshmixer进行半侧分割与体积分析，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为口腔颌面外科原创技术报告，全文明确将气道STL模型导入非牙科专用软件Meshmixer进行半侧分割与体积分析，符合全部纳入标准。"
sex and age biological variation of the mandible in a portuguese population a forensic and medico legal approaches with three dimensional analysis,Sex and age biological variation of the mandible in a Portuguese population- a forensic and medico-legal approaches with three-dimensional analysis,SCIENCE & JUSTICE,journalArticle,No non-dental 3D software identified,Mimics,E1,该研究属法医口腔学科，全文明确使用非牙科3D软件Mimics Innovation Suite 17.0对CBCT进行三维重建与分析，为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属法医口腔学科，全文明确使用非牙科3D软件Mimics Innovation Suite 17.0对CBCT进行三维重建与分析，为原创研究，符合全部纳入标准。"
corticotomy depth as a modulator of orthodontic tooth movement and pdl stress a finite element study,Corticotomy Depth as a Modulator of Orthodontic Tooth Movement and PDL Stress-A Finite Element Study,MATERIALS,journalArticle,No non-dental 3D software identified,Hypermesh; MIMICS,E1,该研究为口腔正畸领域的有限元原创研究，全文明确使用非牙科专用3D软件MIMICS 18.0进行CBCT建模、Hypermesh 2023进行网格划分，符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔正畸领域的有限元原创研究，全文明确使用非牙科专用3D软件MIMICS 18.0进行CBCT建模、Hypermesh 2023进行网格划分，符合纳入标准。"
usct uncertainty regularized symmetric consistency learning for semi supervised teeth segmentation in cbct,USCT: Uncertainty-regularized symmetric consistency learning for semi-supervised teeth segmentation in CBCT,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,journalArticle,No non-dental 3D software identified,ITK-SNAP,E1,该研究属口腔颌面放射/牙体分割主题，且全文明确使用非牙科专用3D软件 ITK-SNAP 进行逐层手动标注以生成ground truth，符合纳入标准。,"【判定】: E1
【理由】: 该研究属口腔颌面放射/牙体分割主题，且全文明确使用非牙科专用3D软件 ITK-SNAP 进行逐层手动标注以生成ground truth，符合纳入标准。"
does printing orientation matter in polyjet 3d printed teeth for endodontics a micro ct analysis,Does Printing Orientation Matter in PolyJet 3D Printed Teeth for Endodontics? A Micro-CT Analysis,JOURNAL OF FUNCTIONAL BIOMATERIALS,journalArticle,No non-dental 3D software identified,MeshLab,E1,该研究属牙体牙髓原创研究，且全文明确将STL模型导入MeshLab（非牙科专用3D软件）进行根管形态定性分析，符合纳入标准。,"【判定】: E1
【理由】: 该研究属牙体牙髓原创研究，且全文明确将STL模型导入MeshLab（非牙科专用3D软件）进行根管形态定性分析，符合纳入标准。"
comparing the trueness of 3d printing and conventional casting for removable partial denture metal framework fabrication in different mandibular major connectors designs an in vitro study,Comparing the trueness of 3D printing and conventional casting for removable partial denture metal framework fabrication in different mandibular major connectors designs: An in vitro study,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,No non-dental 3D software identified,Geomagic Control X,E1,该体外研究属口腔修复学，自身使用非牙科专用3D软件Geomagic Control X进行STL叠加与间隙偏差测量，符合原创研究及时间范围。,"【判定】: E1
【理由】: 该体外研究属口腔修复学，自身使用非牙科专用3D软件Geomagic Control X进行STL叠加与间隙偏差测量，符合原创研究及时间范围。"
effect of palatal vault depth on the trueness of metal laser sintered and cast cobalt chromium removable partial denture frameworks,Effect of Palatal Vault Depth on the Trueness of Metal Laser-Sintered and Cast Cobalt-Chromium Removable Partial Denture Frameworks,JOURNAL OF PROSTHODONTICS-IMPLANT ESTHETIC AND RECONSTRUCTIVE DENTISTRY,journalArticle,No non-dental 3D software identified,GOM Inspect,E1,该研究为口腔修复学原创研究，全文明确使用非牙科专用3D检测软件 GOM Inspect 对RPD支架STL进行叠加偏差分析，符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔修复学原创研究，全文明确使用非牙科专用3D检测软件 GOM Inspect 对RPD支架STL进行叠加偏差分析，符合纳入标准。"
augmented reality assisted surgical exposure of an impacted tooth a pilot study,Augmented Reality-Assisted Surgical Exposure of an Impacted Tooth: A Pilot Study,APPLIED SCIENCES-BASEL,journalArticle,Not an original research report,Meshmixer,E1,该研究为口腔颌面外科原创研究，全文明确使用非牙科专用3D软件Meshmixer进行上颌牙弓3D数据处理与建模。,"【判定】: E1
【理由】: 该研究为口腔颌面外科原创研究，全文明确使用非牙科专用3D软件Meshmixer进行上颌牙弓3D数据处理与建模。"
2d to 3d predicting three dimensional 3d cephalometric measurements from two conventional x ray images,2D-to-3D: Predicting three-dimensional (3D) cephalometric measurements from two conventional X-ray images,JOURNAL OF OROFACIAL ORTHOPEDICS-FORTSCHRITTE DER KIEFERORTHOPADIE,journalArticle,No non-dental 3D software identified,MATLAB,E1,该研究属口腔正畸领域原创研究，全文明确使用非牙科专用软件 MATLAB 进行3D头影测量标志点预测与建模，并另用 3D Slicer 验证，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔正畸领域原创研究，全文明确使用非牙科专用软件 MATLAB 进行3D头影测量标志点预测与建模，并另用 3D Slicer 验证，符合全部纳入标准。"
trueness and marginal fit of implant supported complete arch fixed prosthesis frameworks made of high performance polymers and titanium an explorative in vitro study,Trueness and marginal fit of implant-supported complete-arch fixed prosthesis frameworks made of high-performance polymers and titanium: An explorative in-vitro study,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,GOM Inspect; GOM inspect,E1,"该研究为口腔种植修复领域的原创体外研究，全文明确使用非牙科专用计量软件 GOM Inspect 进行STL叠加与偏差分析（""superimpose...using a metrology software (GOM Inspect V8 SR1)""），符合全部纳入标准。","【判定】: E1
【理由】: 该研究为口腔种植修复领域的原创体外研究，全文明确使用非牙科专用计量软件 GOM Inspect 进行STL叠加与偏差分析（""superimpose...using a metrology software (GOM Inspect V8 SR1)""），符合全部纳入标准。"
an in vitro evaluation of bond strength and failure behavior between 3d printed cobalt chromium alloy and different types of denture base resins,An in vitro evaluation of bond strength and failure behavior between 3D-printed cobalt-chromium alloy and different types of denture base resins,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,Magics; Meshmixer,E1,该研究属口腔修复学原创研究，全文明确使用非牙科3D软件 Meshmixer 进行CAD设计、Magics 进行切片处理，符合纳入标准。,"【判定】: E1
【理由】: 该研究属口腔修复学原创研究，全文明确使用非牙科3D软件 Meshmixer 进行CAD设计、Magics 进行切片处理，符合纳入标准。"
automatic three dimensional facial symmetry reference plane construction based on facial planar reflective symmetry net,Automatic three-dimensional facial symmetry reference plane construction based on facial planar reflective symmetry net,JOURNAL OF DENTISTRY,journalArticle,No non-dental 3D software identified,Geomagic wrap,E1,该研究属口腔医学（3D面部对称分析），自身使用非牙科专用3D软件Geomagic Wrap 2021进行3D面部数据处理与SRP确定，且为原创研究、英文、发表于2020年后。,"【判定】: E1
【理由】: 该研究属口腔医学（3D面部对称分析），自身使用非牙科专用3D软件Geomagic Wrap 2021进行3D面部数据处理与SRP确定，且为原创研究、英文、发表于2020年后。"
custom design of a temporomandibular joint prosthesis a kinematic approach evaluated by finite element analysis,Custom design of a temporomandibular joint prosthesis: A kinematic approach evaluated by finite element analysis,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,No non-dental 3D software identified,ANSYS; Ansys; Mimics,E1,该研究为口腔颌面外科/修复领域的原创研究，全文明确使用非牙科3D软件 Mimics 进行TMJ解剖结构重建、ANSYS 进行有限元分析，符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔颌面外科/修复领域的原创研究，全文明确使用非牙科3D软件 Mimics 进行TMJ解剖结构重建、ANSYS 进行有限元分析，符合纳入标准。"
a three year prospective study comparing stereolithography printed models to classical impression and plaster cast models in orthodontic therapy a 3d objectification approach,A Three-Year Prospective Study Comparing Stereolithography Printed Models to Classical Impression and Plaster Cast Models in Orthodontic Therapy: A 3D Objectification Approach,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,CloudCompare; MATLAB; Meshmixer,E1,该研究为口腔正畸原创研究，全文明确使用非牙科专用3D软件 Meshmixer 和 CloudCompare 进行模型配准与点云-网格距离分析。,"【判定】: E1
【理由】: 该研究为口腔正畸原创研究，全文明确使用非牙科专用3D软件 Meshmixer 和 CloudCompare 进行模型配准与点云-网格距离分析。"
accuracy of face scan based virtual facebow records a comparison between two registration methods,Accuracy of face scan-based virtual facebow records: A comparison between two registration methods,JOURNAL OF PROSTHODONTICS-IMPLANT ESTHETIC AND RECONSTRUCTIVE DENTISTRY,journalArticle,No non-dental 3D software identified,Blender,E1,该研究属口腔修复学原创研究，全文明确将扫描数据导入非牙科3D软件Blender（v2.80）用于放置参考点等3D数据处理，符合纳入标准。,"【判定】: E1
【理由】: 该研究属口腔修复学原创研究，全文明确将扫描数据导入非牙科3D软件Blender（v2.80）用于放置参考点等3D数据处理，符合纳入标准。"
modeling fracture in multilayered teeth using the finite volume based phase field method,Modeling fracture in multilayered teeth using the finite volume-based phase field method,JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS,journalArticle,No non-dental 3D software identified,Geomagic; Mimics; SolidWorks,E1,该研究属口腔医学（牙体/生物力学）原创研究，全文明确使用非牙科3D软件 Mimics 和 Geomagic Wrap 进行CBCT重建与形态优化建模，符合纳入标准。,"【判定】: E1
【理由】: 该研究属口腔医学（牙体/生物力学）原创研究，全文明确使用非牙科3D软件 Mimics 和 Geomagic Wrap 进行CBCT重建与形态优化建模，符合纳入标准。"
ai driven automation of occlusal surface design in digital prosthodontics a clinically validated workflow,AI-driven automation of occlusal surface design in digital prosthodontics: a clinically validated workflow,BMC ORAL HEALTH,journalArticle,No non-dental 3D software identified,3-matic,E1,该研究为口腔修复学原创研究，全文明确使用非牙科专用3D软件3-matic进行咬合面分割、3D偏差比较及区域分析，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为口腔修复学原创研究，全文明确使用非牙科专用3D软件3-matic进行咬合面分割、3D偏差比较及区域分析，符合全部纳入标准。"
in vivo assessment of sed a novel biomechanical indicator for periodontal tissue remodeling in clear aligner therapy,In Vivo Assessment of SED: A Novel Biomechanical Indicator for Periodontal Tissue Remodeling in Clear Aligner Therapy,ANNALS OF BIOMEDICAL ENGINEERING,journalArticle,No non-dental 3D software identified,ANSYS; Ansys; GEOMAGIC; Geomagic Studio; Mimics,E1,该研究属口腔正畸/牙周主题的原创研究，全文明确使用 Mimics、Geomagic Studio、ANSYS 等非牙科3D软件进行建模与有限元分析。,"【判定】: E1
【理由】: 该研究属口腔正畸/牙周主题的原创研究，全文明确使用 Mimics、Geomagic Studio、ANSYS 等非牙科3D软件进行建模与有限元分析。"
automatic multi class classification of 3d relationships between the mandibular third molar and canal on cone beam computed tomography using a geometry aware network,Automatic multi-class classification of 3D relationships between the mandibular third molar and canal on cone-beam computed tomography using a geometry-aware network,DENTOMAXILLOFACIAL RADIOLOGY,journalArticle,No non-dental 3D software identified,3D Slicer,E1,该研究属口腔颌面放射领域，全文明确使用非牙科专用软件 3D Slicer 进行 CBCT 三维距离测量与多平面可视化，为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔颌面放射领域，全文明确使用非牙科专用软件 3D Slicer 进行 CBCT 三维距离测量与多平面可视化，为原创研究，符合全部纳入标准。"
a new method to evaluate trueness and precision of digital and conventional impression techniques for complete dental arch,A New Method to Evaluate Trueness and Precision of Digital and Conventional Impression Techniques for Complete Dental Arch,APPLIED SCIENCES-BASEL,journalArticle,No non-dental 3D software identified,Calypso; Geomagic Control X,E1,该原创研究在口腔修复领域自身使用非牙科3D软件 Geomagic Control X 计算数字模型圆柱质心，符合纳入标准。,"【判定】: E1
【理由】: 该原创研究在口腔修复领域自身使用非牙科3D软件 Geomagic Control X 计算数字模型圆柱质心，符合纳入标准。"
a micro ct integrated 3d simulation framework reveals fluid transport mechanisms and void dynamics in root canal biomaterials,A micro-CT-integrated 3D simulation framework reveals fluid transport mechanisms and void dynamics in root canal biomaterials,SCIENTIFIC REPORTS,journalArticle,No non-dental 3D software identified,MeshLab,E1,"该研究属口腔牙体牙髓领域原创研究，且全文明确使用非牙科3D软件MeshLab对根管充填材料孔隙几何进行网格细化处理（""refined in MeshLab""）。","【判定】: E1
【理由】: 该研究属口腔牙体牙髓领域原创研究，且全文明确使用非牙科3D软件MeshLab对根管充填材料孔隙几何进行网格细化处理（""refined in MeshLab""）。"
in vivo evaluation of artificial intelligence driven remote monitoring technology for tracking tooth movement and reconstruction of 3 dimensional digital models during orthodontic treatment,In-vivo evaluation of Artificial Intelligence Driven Remote Monitoring technology for tracking tooth movement and reconstruction of 3-dimensional digital models during orthodontic treatment,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,journalArticle,No non-dental 3D software identified,Geomagic; Geomagic Control,E1,该研究为正畸原创研究，全文明确使用非牙科专用3D软件 Geomagic Control-X 2020 进行模型配准与3D偏差分析。,"【判定】: E1
【理由】: 该研究为正畸原创研究，全文明确使用非牙科专用3D软件 Geomagic Control-X 2020 进行模型配准与3D偏差分析。"
a comparative study of bone remodeling around hydroxyapatite coated and novel radial functionally graded dental implants using finite element simulation,A comparative study of bone remodeling around hydroxyapatite-coated and novel radial functionally graded dental implants using finite element simulation,MEDICAL ENGINEERING & PHYSICS,journalArticle,No non-dental 3D software identified,ANSYS; SolidWorks; mimics,E1,该研究为口腔种植领域的原创有限元研究，全文明确使用非牙科专用软件 SolidWorks 2017 建模、ANSYS 17.2 进行有限元分析，符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔种植领域的原创有限元研究，全文明确使用非牙科专用软件 SolidWorks 2017 建模、ANSYS 17.2 进行有限元分析，符合纳入标准。"
a digital workflow for pair matching of maxillary anterior teeth using a 3d segmentation technique for esthetic implant restorations,A digital workflow for pair matching of maxillary anterior teeth using a 3D segmentation technique for esthetic implant restorations,SCIENTIFIC REPORTS,journalArticle,No non-dental 3D software identified,3D Slicer; MeshLab,E1,该原创研究在口腔种植修复中明确使用非牙科软件 3D Slicer 进行 DICOM 分割、MeshLab 计算 Hausdorff 距离，符合全部纳入标准。,"【判定】: E1
【理由】: 该原创研究在口腔种植修复中明确使用非牙科软件 3D Slicer 进行 DICOM 分割、MeshLab 计算 Hausdorff 距离，符合全部纳入标准。"
