Title,_nt,原标注软件,PDF,结论,全文中出现的非牙科3D软件
Marker-free registration for intraoperative navigation using the transverse palatal rugae,marker free registration for intraoperative navigation using the transverse palatal rugae,3D Slicer;Blender;Meshmixer,Thiem 等 - 2022 - Marker‐free registration for intraoperative navigation using the transverse palatal rugae.pdf,A_原标注软件在全文出现,Blender; Brainlab; Meshmixer; blender; slicer
Three-Dimensional Evaluation of the Accuracy of Zygomatic Implant Placement Through an In-House Fully Guided Approach.,three dimensional evaluation of the accuracy of zygomatic implant placement through an in house fully guided approach,Meshmixer,Hernández-Alfaro 等 - 2023 - Three-Dimensional Evaluation of the Accuracy of Zygomatic Implant Placement Through an In-House Full.pdf,A_原标注软件在全文出现,Meshmixer
"Virtual Implant Planning and Surgical Guide for Single Implant Placement Fabricated from a Digital Diagnostic Cast, 2D Radiographic Imaging, and an Open-Source Program: A Dental Technique",virtual implant planning and surgical guide for single implant placement fabricated from a digital diagnostic cast 2d radiographic imaging and an open source program a dental technique,Meshmixer,Stumpel 等 - 2024 - Virtual Implant Planning and Surgical Guide for Single Implant Placement Fabricated from a Digital D.pdf,A_原标注软件在全文出现,Meshmixer
"Comparison of Stress Distribution Among Standard Dental Implants Placed in Grafted Bone, Zygomatic Implants, and Subperiosteal Implants in the Atrophic Edentulous Maxilla: 3D Finite Element Analysis",comparison of stress distribution among standard dental implants placed in grafted bone zygomatic implants and subperiosteal implants in the atrophic edentulous maxilla 3d finite element analysis,3D-DOCTOR;Rhinoceros;VRMesh;ALGOR,"Keleş和Karaca - 2023 - Comparison of Stress Distribution Among Standard Dental Implants Placed in Grafted Bone, Zygomatic I.pdf",A_原标注软件在全文出现,3D-DOCTOR; Algor; Rhinoceros; VRMesh
Precise maxillectomy reconstruction with a scapula flap using novel in-house 3D-printed surgical guides.,precise maxillectomy reconstruction with a scapula flap using novel in house 3d printed surgical guides,3-Matic,Oide 等 - 2026 - Precise maxillectomy reconstruction with a scapula flap using novel in-house 3D-printed surgical gui.pdf,A_原标注软件在全文出现,3-matic
Soft tissue-based registration of intraoral scan with cone beam computed tomography scan,soft tissue based registration of intraoral scan with cone beam computed tomography scan,Meshmixer,Deferm 等 - 2022 - Soft tissue-based registration of intraoral scan with cone beam computed tomography scan.pdf,A_原标注软件在全文出现,Meshmixer
An innovative AI-based dual segmentation application for head surgery,an innovative ai based dual segmentation application for head surgery,Mimics,Beyer 等 - 2026 - An innovative AI-based dual segmentation application for head surgery.pdf,A_原标注软件在全文出现,Mimics
"WEAR, FATIGUE, AND FRACTURE RESISTANCE OF DIFFERENT MONOLITHIC CAD/CAM ONLAYS AS ABUTMENTS FOR ACETAL RESIN OR COBALT-CHROMIUM REMOVABLE PARTIAL DENTURE  FRAMEWORKS.",wear fatigue and fracture resistance of different monolithic cad cam onlays as abutments for acetal resin or cobalt chromium removable partial denture frameworks,Meshmixer,"Khalifa 等 - 2023 - Wear, Fatigue, and Fracture Resistance of Different Monolithic CADCAM Onlays as Abutments for Aceta.pdf",A_原标注软件在全文出现,Meshmixer; Netfabb
Voxel-based superimposition of Cone Beam CT scans for orthodontic and craniofacial follow-up: Overview and clinical implementation.,voxel based superimposition of cone beam ct scans for orthodontic and craniofacial follow up overview and clinical implementation,ITK-SNAP;3D Slicer,Dot 等 - 2020 - Voxel-based superimposition of Cone Beam CT scans for orthodontic and craniofacial follow-up Overvi.pdf,A_原标注软件在全文出现,3D Slicer; ITK-SNAP; ITK-Snap; slicer
Biomechanical Performance of PEEK and Graphene-Modified PMMA as Telescopic Removable Partial Denture Materials: A Nonlinear 3D Finite Element Analysis,biomechanical performance of peek and graphene modified pmma as telescopic removable partial denture materials a nonlinear 3d finite element analysis,Meshmixer;SpaceClaim;ANSYS,Hussein - 2022 - Biomechanical Performance of PEEK and Graphene-Modified PMMA as Telescopic Removable Partial Denture.pdf,A_原标注软件在全文出现,ANSYS; Meshmixer; SpaceClaim
BounTI (boundary-preserving threshold iteration): A user-friendly tool for automatic hard tissue segmentation.,bounti boundary preserving threshold iteration a user friendly tool for automatic hard tissue segmentation,Avizo;Amira,Didziokas 等 - 2024 - BounTI (boundary-preserving threshold iteration) A user-friendly tool for automatic hard tissue seg.pdf,A_原标注软件在全文出现,Amira; Avizo
Interdisciplinary innovative approach to an aggressive ossifying fibroma case: Integrating 3D surgery and customized reconstruction in maxillofacial and dental  care.,interdisciplinary innovative approach to an aggressive ossifying fibroma case integrating 3d surgery and customized reconstruction in maxillofacial and dental care,Brainlab,Aragón-Niño 等 - 2024 - Interdisciplinary innovative approach to an aggressive ossifying fibroma case Integrating 3D surger.pdf,A_原标注软件在全文出现,Brainlab
Restoring Mandibular Anatomy After Complex Trauma: Clinical Applications of a Statistical Shape Model,restoring mandibular anatomy after complex trauma clinical applications of a statistical shape model,Blender,Youssef 等 - 2026 - Restoring Mandibular Anatomy After Complex Trauma Clinical Applications of a Statistical Shape Mode.pdf,A_原标注软件在全文出现,Blender; Brainlab
A Reproducible 3D Classification of Orbital Morphology Derived from CBCT and FBCT Segmentation,a reproducible 3d classification of orbital morphology derived from cbct and fbct segmentation,RadiAnt DICOM Viewer;Meshmixer,Bielecka-Kowalska 等 - 2025 - A Reproducible 3D Classification of Orbital Morphology Derived from CBCT and FBCT Segmentation..pdf,A_原标注软件在全文出现,Meshmixer; RadiAnt; RadiAnt DICOM Viewer
No Significant Bone Resorption after Open Treatment of Mandibular Condylar Head Fractures in the Medium-Term,no significant bone resorption after open treatment of mandibular condylar head fractures in the medium term,MITK,Neuhaus 等 - 2022 - No Significant Bone Resorption after Open Treatment of Mandibular Condylar Head Fractures in the Med.pdf,A_原标注软件在全文出现,
Correlation Analysis of Nasal Septum Deviation and Results of AI-Driven Automated 3D Cephalometric Analysis,correlation analysis of nasal septum deviation and results of ai driven automated 3d cephalometric analysis,OsiriX,Kazimierczak 等 - 2023 - Correlation Analysis of Nasal Septum Deviation and Results of AI-Driven Automated 3D Cephalometric A.pdf,A_原标注软件在全文出现,OsiriX
A 3-D Finite Element Analysis of Stress Distribution on Implant-supported Fixed Prosthesis with Four Different Commercially Available Implant Systems.,a 3 d finite element analysis of stress distribution on implant supported fixed prosthesis with four different commercially available implant systems,CATIA;HyperMesh;ANSYS;Mimics,Kumar 等 - 2020 - A 3-D Finite Element Analysis of Stress Distribution on Implant-supported Fixed Prosthesis with Four.pdf,A_原标注软件在全文出现,ANSYS; CATIA; Geomagic; HYPERMESH; Hypermesh; MIMICS
Effect of Different Veneering Techniques on Mechanical Properties and Translucency of Zirconia Framework-veneer Ceramic Crowns.,effect of different veneering techniques on mechanical properties and translucency of zirconia framework veneer ceramic crowns,Magics,Sanad 等 - 2025 - Effect of Different Veneering Techniques on Mechanical Properties and Translucency of Zirconia Frame.pdf,C_全文未出现任何非牙科3D软件名,
Fully Digital Workflow for an Immediate Implant-Retained Prosthesis Following Maxillectomy Resection Surgery,fully digital workflow for an immediate implant retained prosthesis following maxillectomy resection surgery,Mimics,Jensen和Cheng - 2025 - Fully Digital Workflow for an Immediate Implant-Retained Prosthesis Following Maxillectomy Resection.pdf,A_原标注软件在全文出现,Mimics
Biomechanical Behavior of Different Distributions of Zygoma and Pterygoid Implants in Rehabilitation of Severely Atrophic Posterior Maxilla: A 3D Finite Element Analysis,biomechanical behavior of different distributions of zygoma and pterygoid implants in rehabilitation of severely atrophic posterior maxilla a 3d finite element analysis,SolidWorks;ANSYS,Darwish 等 - 2025 - Biomechanical Behavior of Different Distributions of Zygoma and Pterygoid Implants in Rehabilitation.pdf,A_原标注软件在全文出现,ANSYS; Solidworks
Effect of the number and distribution of fiducial markers on the accuracy of robot-guided implant surgery in edentulous mandibular arches: An in vitro study.,effect of the number and distribution of fiducial markers on the accuracy of robot guided implant surgery in edentulous mandibular arches an in vitro study,Rhinoceros,Zhao 等 - 2023 - Effect of the number and distribution of fiducial markers on the accuracy of robot-guided implant su.pdf,A_原标注软件在全文出现,Rhinoceros
Feasibility and accuracy of a partial point cloud registration method for transoral robot-assisted surgery of zygoma fracture: A phantom study,feasibility and accuracy of a partial point cloud registration method for transoral robot assisted surgery of zygoma fracture a phantom study,Mimics;MeshLab,Liu 等 - 2026 - Feasibility and accuracy of a partial point cloud registration method for transoral robot-assisted s.pdf,A_原标注软件在全文出现,Geomagic Qualify; Meshlab; Mimics
"Comparison of the accuracy of static and dynamic computer-assisted implant surgery in extraction sockets, encased healed sites, and distal extension: an in vitro study",comparison of the accuracy of static and dynamic computer assisted implant surgery in extraction sockets encased healed sites and distal extension an in vitro study,Geomagic Design X,Marceron 等 - 2025 - Comparison of the accuracy of static and dynamic computer-assisted implant surgery in extraction soc.pdf,A_原标注软件在全文出现,Geomagic Design X
DentalSegmentator: Robust open source deep learning-based CT and CBCT image segmentation,dentalsegmentator robust open source deep learning based ct and cbct image segmentation,3D Slicer,Dot 等 - 2024 - DentalSegmentator Robust open source deep learning-based CT and CBCT image segmentation.pdf,A_原标注软件在全文出现,3D Slicer; Slicer; slicer
Layered deep learning for automatic mandibular segmentation in cone-beam computed tomography,layered deep learning for automatic mandibular segmentation in cone beam computed tomography,Mimics,Verhelst 等 - 2021 - Layered deep learning for automatic mandibular segmentation in cone-beam computed tomography.pdf,A_原标注软件在全文出现,Mimics
A straightforward protocol for designing an interim hollow shell with open-source software,a straightforward protocol for designing an interim hollow shell with open source software,Meshmixer,Figueras-Alvarez 等 - 2021 - A straightforward protocol for designing an interim hollow shell with open-source software.pdf,A_原标注软件在全文出现,Meshmixer
Intelligent Virtual Dental Implant Placement via 3D Segmentation Strategy,intelligent virtual dental implant placement via 3d segmentation strategy,Mimics,Cai 等 - Intelligent Virtual Dental Implant Placement via 3D Segmentation Strategy.pdf,A_原标注软件在全文出现,Mimics
Effect of three different veneering techniques on the stress distribution and in vitro fatigue behavior of core-veneer all-ceramic fixed partial dentures.,effect of three different veneering techniques on the stress distribution and in vitro fatigue behavior of core veneer all ceramic fixed partial dentures,Rhinoceros;ANSYS,Borges 等 - 2021 - Effect of three different veneering techniques on the stress distribution and in vitro fatigue behav.pdf,A_原标注软件在全文出现,ANSYS; Rhinoceros
A Novel Approach to Repositioning and Stabilization of a Luxated Tooth With Displacement Using a 3D Printed Guide,a novel approach to repositioning and stabilization of a luxated tooth with displacement using a 3d printed guide,Mimics;3-Matic,Jha 等 - 2022 - A Novel Approach to Repositioning and Stabilization of a Luxated Tooth With Displacement Using a 3D.pdf,A_原标注软件在全文出现,3-Matic; Mimics
3D superimposition of human dentition contours in personal identification: A preliminary study,3d superimposition of human dentition contours in personal identification a preliminary study,MeshLab,Yu 等 - 2024 - 3D superimposition of human dentition contours in personal identification A preliminary study.pdf,A_原标注软件在全文出现,MeshLab
A Slicer-Independent Framework for Measuring G-Code Accuracy in Medical 3D Printing.,a slicer independent framework for measuring g code accuracy in medical 3d printing,PrusaSlicer;Cura;Simplify3D;Slicer;Fusion 360,Beyer 等 - 2026 - A Slicer-Independent Framework for Measuring G-Code Accuracy in Medical 3D Printing..pdf,A_原标注软件在全文出现,3-Matic; Abaqus; Fusion 360; Mimics; PrusaSlicer; Simplify3D; Slicer; slicer
The Integration of Micro-CT Imaging and Finite Element Simulations for Modelling Tooth-Inlay Systems for Mechanical Stress Analysis: A Preliminary Study,the integration of micro ct imaging and finite element simulations for modelling tooth inlay systems for mechanical stress analysis a preliminary study,VGStudio MAX;Meshmixer,Nikolova 等 - 2025 - The Integration of Micro-CT Imaging and Finite Element Simulations for Modelling Tooth-Inlay Systems.pdf,A_原标注软件在全文出现,ANSYS; Meshmixer; VGSTUDIO MAX
"Comparative evaluation to study the effect of implant support on complete fixed dental prosthesis fabricated with peek framework when implants placed in all-on-4  and all-on-6 situation, by strain gauge analysis and finite element analysis - An  in vitro study.",comparative evaluation to study the effect of implant support on complete fixed dental prosthesis fabricated with peek framework when implants placed in all on 4 and all on 6 situation by strain gauge analysis and finite element analysis an in vitro study,ANSYS,Vinodh 等 - 2023 - Comparative evaluation to study the effect of implant support on complete fixed dental prosthesis fa.pdf,A_原标注软件在全文出现,Ansys
Patient-Specific SubperiostealTitanium Implant for Maxillary Reconstruction Following Oncologic Resection: A One-Year Follow-Up Case Report,patient specific subperiostealtitanium implant for maxillary reconstruction following oncologic resection a one year follow up case report,Mimics,Gerçek 等 - 2025 - Patient-Specific Subperiosteal Titanium Implant for Maxillary Reconstruction Following Oncologic Res.pdf,A_原标注软件在全文出现,Mimics
Accuracy of impressions for multiple implants: A comparative study of digital and conventional techniques.,accuracy of impressions for multiple implants a comparative study of digital and conventional techniques,Geomagic Studio,Lyu 等 - 2022 - Accuracy of impressions for multiple implants A comparative study of digital and conventional techn.pdf,A_原标注软件在全文出现,Geomagic Studio
A Novel Digital Technique for Measuring the Accuracy of an Indirect Bonding Technique Using Fixed Buccal Multibracket Appliances,a novel digital technique for measuring the accuracy of an indirect bonding technique using fixed buccal multibracket appliances,Midas,Faus-Matoses 等 - 2021 - A Novel Digital Technique for Measuring the Accuracy of an Indirect Bonding Technique Using Fixed Bu.pdf,A_原标注软件在全文出现,Geomagic; Midas
Micro-CT analysis of marginal and internal fit of milled and pressed polyetheretherketone single crowns,micro ct analysis of marginal and internal fit of milled and pressed polyetheretherketone single crowns,VGStudio MAX,Attia 等 - 2023 - Micro-CT analysis of marginal and internal fit of milled and pressed polyetheretherketone single cro.pdf,A_原标注软件在全文出现,VGStudio MAX
An open-source multifunctional registration device for implant-supported complete dentures,an open source multifunctional registration device for implant supported complete dentures,Meshmixer,Stumpel - 2021 - An open-source multifunctional registration device for implant-supported complete dentures..pdf,A_原标注软件在全文出现,Meshmixer
Trueness of removable partial denture frameworks additively manufactured with selective laser melting,trueness of removable partial denture frameworks additively manufactured with selective laser melting,Geomagic Control X,Peng 等 - 2022 - Trueness of removable partial denture frameworks additively manufactured with selective laser meltin.pdf,A_原标注软件在全文出现,Geomagic; Geomagic Control X
Adaptation of cobalt chromium frameworks fabricated by conventional versus selective laser melting techniques: An in vitro and clinical assessment,adaptation of cobalt chromium frameworks fabricated by conventional versus selective laser melting techniques an in vitro and clinical assessment,GOM Inspect,Elhadery 等 - 2024 - Adaptation of cobalt chromium frameworks fabricated by conventional versus selective laser melting t.pdf,A_原标注软件在全文出现,GOM Inspect
Three-dimensional in vivo and finite element analyses of peri-implant bone remodeling after superstructure placement,three dimensional in vivo and finite element analyses of peri implant bone remodeling after superstructure placement,Simpleware,Assoratgoon 等 - 2025 - Three-dimensional in vivo and finite element analyses of peri-implant bone remodeling after superstr.pdf,A_原标注软件在全文出现,ABAQUS; Simpleware
An integrated hollow bulb obturator prosthesis with a metal framework for a soft palate defect fabricated by multiple digital techniques,an integrated hollow bulb obturator prosthesis with a metal framework for a soft palate defect fabricated by multiple digital techniques,Geomagic Wrap,Liu 等 - 2025 - An integrated hollow bulb obturator prosthesis with a metal framework for a soft palate defect fabri.pdf,A_原标注软件在全文出现,Geomagic Wrap
Use of intraoral scan for implant-supported dental prosthesis to design and fabricate a CAD -CAM veri fi cation device: A dental technique,use of intraoral scan for implant supported dental prosthesis to design and fabricate a cad cam veri fi cation device a dental technique,Meshmixer,Su 等 - 2021 - Use of intraoral scan for implant-supported dental prosthesis to design and fabricate a CAD-CAM veri.pdf,A_原标注软件在全文出现,Meshmixer
Influence of abutment types on the success of two-unit implant-supported fixed dental prostheses: A three-dimensional finite element analysis and fatigue test combined with microleakage evaluation,influence of abutment types on the success of two unit implant supported fixed dental prostheses a three dimensional finite element analysis and fatigue test combined with microleakage evaluation,Mimics;Creo;HyperMesh;ABAQUS,Qiu 等 - 2025 - Influence of abutment types on the success of two-unit implant-supported fixed dental prostheses A.pdf,A_原标注软件在全文出现,Abaqus; Hypermesh; Mimics
Time efficiency and precision of splinted complete arch implant scanning,time efficiency and precision of splinted complete arch implant scanning,GOM Inspect;R2 Gate,Abdelrehim 等 - 2025 - Time efficiency and precision of splinted complete arch implant scanning.pdf,A_原标注软件在全文出现,GOM inspect; R2 Gate
"Accuracy of registration between digitized extraoral scan bodies and virtual casts: Effect of the edentulous area, tooth anatomy, and registration method",accuracy of registration between digitized extraoral scan bodies and virtual casts effect of the edentulous area tooth anatomy and registration method,Geomagic Control X,Ntovas 等 - 2025 - Accuracy of registration between digitized extraoral scan bodies and virtual casts Effect of the ed.pdf,A_原标注软件在全文出现,Geomagic; Geomagic Control X
Effect of the CBCT data segmentation threshold on registration accuracy with surface scanning,effect of the cbct data segmentation threshold on registration accuracy with surface scanning,Geomagic Wrap,Lo Russo 等 - 2026 - Effect of the CBCT data segmentation threshold on registration accuracy with surface scanning.pdf,A_原标注软件在全文出现,GOM Inspect; Geomagic Wrap
Complete denture fabrication with polyetherketoneketone as a framework material: A clinical report,complete denture fabrication with polyetherketoneketone as a framework material a clinical report,SOLID EDGE;Geomagic Control X,Ding 等 - 2022 - Complete denture fabrication with polyetherketoneketone as a framework material A clinical report..pdf,C_全文未出现任何非牙科3D软件名,
Effect of customized abutment taper configuration on bone remodeling and peri-implant tissue around implant-supported single crown: A 3D nonlinear finite element study,effect of customized abutment taper configuration on bone remodeling and peri implant tissue around implant supported single crown a 3d nonlinear finite element study,SolidWorks;Rhinoceros,Poovarodom 等 - 2024 - Effect of customized abutment taper configuration on bone remodeling and peri‐implant tissue around.pdf,A_原标注软件在全文出现,ANSYS; Rhinoceros; SolidWorks
Best-Fit Algorithm Influences on Virtual Casts' Alignment Discrepancies.,best fit algorithm influences on virtual casts alignment discrepancies,Geomagic Control X,Revilla-León 等 - 2023 - Best-Fit Algorithm Influences on Virtual Casts' Alignment Discrepancies..pdf,A_原标注软件在全文出现,Geomagic Control; Geomagic Control X
Implant-Abutment Discrepancy Before and After Acrylic Resin Veneering of Complete-Arch Titanium Frameworks Manufactured Using Milling and Electron Beam Melting Technologies,implant abutment discrepancy before and after acrylic resin veneering of complete arch titanium frameworks manufactured using milling and electron beam melting technologies,Calypso,Revilla‐León 等 - 2022 - Implant‐Abutment Discrepancy Before and After Acrylic Resin Veneering of Complete‐Arch Titanium Fram.pdf,A_原标注软件在全文出现,Calypso
Comparison of denture base adaptation between additive and conventional fabrication techniques,comparison of denture base adaptation between additive and conventional fabrication techniques,Blender;GOM Inspect,Tosun 等 - 2023 - Comparison of denture base adaptation between additive and conventional fabrication techniques..pdf,A_原标注软件在全文出现,Blender; GOM Inspect
Accuracy of Guided Implant Surgery in 25 Edentulous Arches: A Laboratory Observational Study,accuracy of guided implant surgery in 25 edentulous arches a laboratory observational study,Geomagic Control X,Ben Yehuda 等 - 2020 - Accuracy of Guided Implant Surgery in 25 Edentulous Arches A Laboratory Observational Study..pdf,A_原标注软件在全文出现,Geomagic; Geomagic Control X
The influence of metal artifact reduction on the trueness of registration of a cone-beam computed tomography scan with an intraoral scan in the presence of severe restoration artifact,the influence of metal artifact reduction on the trueness of registration of a cone beam computed tomography scan with an intraoral scan in the presence of severe restoration artifact,Meshmixer,Biun 等 - 2024 - The influence of metal artifact reduction on the trueness of registration of a cone‐beam computed to.pdf,A_原标注软件在全文出现,Meshmixer
Flexural properties and fatigue limit of 3D-printed and milled resin-based materials,flexural properties and fatigue limit of 3d printed and milled resin based materials,Meshmixer,Sartori 等 - 2025 - Flexural properties and fatigue limit of 3D-printed and milled resin-based materials.pdf,A_原标注软件在全文出现,Meshmixer; inventor
