Title,_nt,Key,DOI,Journal,Item Type,Date,Year,Dental Specialty,Software Used (fixed),Application Scenario,Region,study_type,判定理由,国家来源
Intaglio Surface Adaptation of Removable Partial Denture Framework Fabricated by Various Data Acquisition Techniques and Fabrication Approaches.,intaglio surface adaptation of removable partial denture framework fabricated by various data acquisition techniques and fabrication approaches,2Y9I2C6I,10.1055/s-0043-1772245,European journal of dentistry,journalArticle,24-May,2024,Prosthodontics,Geomagic Control X,3D Data Analysis and Accuracy Assessment,THA,in_vitro,"The STL ﬁle of each metal framework was superimposed with the reference model by a metrology software, Geomagic Control X 2020 (3D Systems, South Carolina, United States).",Crossref
Modeling fracture in multilayered teeth using the finite volume-based phase field method,modeling fracture in multilayered teeth using the finite volume based phase field method,WBCEDXET,10.1016/j.jmbbm.2024.106655,JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS,journalArticle,24-Sep,2024,Oral and Maxillofacial Surgery,Mimics;Geomagic Wrap;SolidWorks,Biomechanical Analysis and Simulation,CHN,computational,"""The multilayer structure of the mandibular left second molar and a portion of the mandible were selected for simulation using the reverse modeling software Mimics (Materialise NV)."" 及 ""The exported stereolithography files were then imported into Geomagic Wrap (3D Systems) for morphological optimization"" 及 ""were assembled using SolidWorks (Dassault Syst`emes).""",全文机构
Customized 3D-printed models for training in repairing large maxillary sinus membrane perforations.,customized 3d printed models for training in repairing large maxillary sinus membrane perforations,BLI79NLU,10.1186/s12909-026-09427-w,BMC medical education,journalArticle,2026/6/9,2026,Oral and Maxillofacial Surgery,InVesalius,Image Segmentation and 3D Reconstruction,CHN,educational,Three-dimensional reconstruction of CBCT data in DICOM format was performed using InVesalius 3.0 software,全文机构
A Novel Digitized Method for the Design and Additive Manufacturing of Orthodontic Space Maintainers,a novel digitized method for the design and additive manufacturing of orthodontic space maintainers,MACLY32F,10.3390/app13148320,APPLIED SCIENCES-BASEL,journalArticle,23-Jul,2023,Prosthodontics,MeshLab;Autodesk Fusion 360;ANSYS,Digital Design and Manufacturing,ITA,technical_note,"The complete scan is imported in MeshLab, and the teeth portion, adjacent to the edentulous space that must be preserved, is selected, and then trimmed. / Figure 4 illustrates the main phases of the process using the software Autodesk Fusion 360. / Finite element analyses were performed by Ansys 2022 software to simulate a bending test on the space maintainer.",Crossref
Automatic orbital segmentation using deep learning-based 2D U-net and accuracy evaluation: A retrospective study,automatic orbital segmentation using deep learning based 2d u net and accuracy evaluation a retrospective study,5SRGE8HN,10.1016/j.jcms.2023.09.003,JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,journalArticle,23-Oct,2023,Oral and Maxillofacial Surgery,3D Slicer,Image Segmentation and 3D Reconstruction,JPN,computational,"""For each piece of data, a correct label was created by one surgeon using the free software 3D Slicer (https://www.slicer.org/).""",全文机构
Subtractive versus additive indirect manufacturing techniques of digitally designed partial dentures,subtractive versus additive indirect manufacturing techniques of digitally designed partial dentures,TI4JGF9N,10.4047/jap.2021.13.5.327,JOURNAL OF ADVANCED PROSTHODONTICS,journalArticle,21-Oct,2021,Prosthodontics,Geomagic Control X,3D Data Analysis and Accuracy Assessment,EGY,in_vitro,"Comparative 3D analysis was used to measure the accuracy of the fabricated frameworks using Geomagic Control X software. / The STL file of each of the scanned frameworks was superimposed with the initial STL file of the design using surface matching software (Geomagic® Control X, 3D systems, Rock Hill, SC, USA)",Crossref
Validation of a novel tool for automated tooth modelling by fusion of CBCT-derived roots with the respective IOS-derived crowns,validation of a novel tool for automated tooth modelling by fusion of cbct derived roots with the respective ios derived crowns,49PG86KL,10.1016/j.jdent.2024.105546,JOURNAL OF DENTISTRY,journalArticle,25-Feb,2025,Oral and Maxillofacial Radiology,3-matic;Mimics,Image Segmentation and 3D Reconstruction,ITA,computational,"the process included trimming the IOS data using 3-matic software (version 17.0, Materialise, Leuven, Belgium) to isolate the crown portion of the selected tooth. The segmented IOS crown and CBCT scan were imported into Mimics software (version 25.0, Materialise, Leuven, Belgium) and the IOS crown was manually registered onto the CBCT scan.",全文机构
Three-dimensional virtual planning in mandibular advancement surgery: Soft tissue prediction based on deep learning,three dimensional virtual planning in mandibular advancement surgery soft tissue prediction based on deep learning,JVRN27GF,10.1016/j.jcms.2021.04.001,JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY,journalArticle,21-Sep,2021,Oral and Maxillofacial Surgery,MATLAB;Keras;TensorFlow;Python,Morphological and Phenotypic Analysis,NLD,computational,"""The displacements were applied to the T1 vertices using MATLAB."" 以及 ""All DL steps were performed using Keras (Chollet, 2015) with the TensorFlow backend program in Python 3.7""",全文机构
IDNet: A Diffusion Model-Enhanced Framework for Accurate Cranio-Maxillofacial Bone Defect Repair,idnet a diffusion model enhanced framework for accurate cranio maxillofacial bone defect repair,CRTLD8EM,10.3390/bioengineering12040407,BIOENGINEERING-BASEL,journalArticle,2025/4/11,2025,Oral and Maxillofacial Surgery,3D Slicer,Image Segmentation and 3D Reconstruction,CHN,computational,"""To simulate the skull of a patient with real defects, 21 distinct defects were created on each 3D reconstructed skull using 3D Slicer software.""",Crossref
Effects of incremental mandibular advancement on upper airways morphology and anatomical structures: a preliminary CT scan study on body donors.,effects of incremental mandibular advancement on upper airways morphology and anatomical structures a preliminary ct scan study on body donors,YYJF9M92,10.1038/s41598-026-58060-6,Scientific reports,journalArticle,2026/6/23,2026,Oral and Maxillofacial Radiology,3D Slicer,Image Segmentation and 3D Reconstruction,ITA,clinical,"""a set of standardised measurements, derived from previously published studies was obtained to quantify modifications of the upper airway and surrounding soft tissues using 3D Slicer (version 5.8)""",全文机构
Suitability and Trueness of the Removable Partial Denture Framework Fabricating by Polyether Ether Ketone with CAD-CAM Technology,suitability and trueness of the removable partial denture framework fabricating by polyether ether ketone with cad cam technology,46W9JXVL,10.3390/polym16081119,POLYMERS,journalArticle,24-Apr,2024,Prosthodontics,Geomagic Wrap,3D Data Analysis and Accuracy Assessment,CHN,in_vitro,"The image analysis software (Geomagic Wrap 2017, Geomagic, Triangle Park, NC, USA) (Figure 4a,b) was employed to manually register and align the scanned data of the frameworks, both with and without light silicone rubber",Crossref
Three-dimensional finite element analysis of full-arch implant-supported dental restorations: complete vs. segmented frameworks,three dimensional finite element analysis of full arch implant supported dental restorations complete vs segmented frameworks,RLHZZQIF,10.3389/fbioe.2026.1759007,FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,journalArticle,2026/4/30,2026,Oral Implantology,ANSYS Workbench,Biomechanical Analysis and Simulation,ESP,computational,the model was imported into ANSYS Workbench® 19R1 software for the analysis,全文机构
Accuracy and surface roughness of Co-Cr partial denture frameworks with different fabrication methods,accuracy and surface roughness of co cr partial denture frameworks with different fabrication methods,C4T4CYED,10.1016/j.prosdent.2023.11.034,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,24-Mar,2024,Prosthodontics,Geomagic Control X,3D Data Analysis and Accuracy Assessment,EGY,in_vitro,"""The STL file of each scanned framework was overlaid with the initial STL file of the design using a surface matching software program (Geomagic Control X; 3D systems Inc)"" 及 ""Geomagic Control X software program was used to measure the accuracy of the fabricated frameworks.""",全文机构
Three-Dimensional Volumetric Analysis of Frontal Ethmoidal Cells and Evaluation of Influential Factors: A Helical Computed Tomography Study,three dimensional volumetric analysis of frontal ethmoidal cells and evaluation of influential factors a helical computed tomography study,P8WWLP4V,10.3390/tomography8060233,TOMOGRAPHY,journalArticle,22-Dec,2022,Oral and Maxillofacial Radiology,InVesalius,Image Segmentation and 3D Reconstruction,BRA,clinical,The DICOM images were analyzed using InVesalius version 3.1 software (http://www. cti.gov.br/invesalius/) (accessed on 10 October 2021) through the manual segmentation of the anatomical structures.,Crossref
TCFNet: Bidirectional face-bone transformation via a Transformer-based coarse-to-fine point movement network.,tcfnet bidirectional face bone transformation via a transformer based coarse to fine point movement network,8PBRU82N,10.1016/j.media.2025.103653,Medical image analysis,journalArticle,25-Oct,2025,Orthodontics,MeshLab;Open3D,Image Segmentation and 3D Reconstruction,CHN,computational,"""All post-processing operations were performed in MeshLab."" 以及 ""Our preprocessing and postprocessing methods relied on Open3D 0.18.0 and MeshLab.""",全文机构
"DIVA, a 3D virtual reality platform, improves undergraduate craniofacial trauma education",diva a 3d virtual reality platform improves undergraduate craniofacial trauma education,CM5ESAGD,10.1016/j.jormas.2020.09.009,JOURNAL OF STOMATOLOGY ORAL AND MAXILLOFACIAL SURGERY,journalArticle,21-Sep,2021,Oral and Maxillofacial Surgery,Avizo,Image Segmentation and 3D Reconstruction,FRA,educational,"""3D reconstructions from CT-scan using Avizo (ThermoFisher Scientiﬁc, Waltham, MA, USA)""",全文机构
The microbiological effect of virgin coconut oil on the morphological and volumetric dimensional changes of 3D printed surgical guides (in vitro study),the microbiological effect of virgin coconut oil on the morphological and volumetric dimensional changes of 3d printed surgical guides in vitro study,QNI34BLU,10.1186/s12903-022-02671-8,BMC ORAL HEALTH,journalArticle,2022/12/23,2022,Oral and Maxillofacial Surgery,GOM Inspect,3D Data Analysis and Accuracy Assessment,EGY,in_vitro,"""3D analyzing CAD software (GOM Inspect) was used for the morphological assessment through the surface comparison analysis"" 及 ""A virtual cylinder produced by the 3D analyzing CAD software (GOM Inspect) was fitted into the sleeve space.""",全文机构
A novel approach for determining instantaneous centers of rotation of the mandible with an intraoral scanner: A preliminary study.,a novel approach for determining instantaneous centers of rotation of the mandible with an intraoral scanner a preliminary study,7GANPVVG,10.1371/journal.pone.0285162,PloS one,journalArticle,2023,2023,Prosthodontics,Blender,3D Data Analysis and Accuracy Assessment,HUN,computational,"""we used an alignment process combined with a substitutional phase carried out in Blender 2.79.2 (Blender Foundation, Amsterdam), which is an open-source general-purpose modeling program."" 以及 ""Blender software was used to align the meshes during the post-scan digital workflow.""",全文机构
An In Vitro Study of the Reproducibility of the Drilling Access of Digitalized Surgical Guides Generated via Three Different Implant Planning Software Programs,an in vitro study of the reproducibility of the drilling access of digitalized surgical guides generated via three different implant planning software programs,YHMC9EU4,10.3390/app12147005,APPLIED SCIENCES-BASEL,journalArticle,22-Jul,2022,Oral and Maxillofacial Surgery,Meshmixer,Digital Design and Manufacturing,THA,in_vitro,"""a demonstration of a Standard Tessellation Language file (.STL file) of an entire arch ... was transferred to a three-dimensional software program (Meshmixer™, Autodesk® Inc., San Francisco, CA, USA). The demonstration model was sectioned from the entire arch into a four-tooth area ... The sectioned demonstration model was then merged with a 50 mm diameter and 10 mm high cylinder created in the Meshmixer™ program.""",Crossref
Mandible Segmentation of Dental CBCT Scans Affected by Metal Artifacts Using Coarse-to-Fine Learning Model,mandible segmentation of dental cbct scans affected by metal artifacts using coarse to fine learning model,F78S65N9,10.3390/jpm11060560,JOURNAL OF PERSONALIZED MEDICINE,journalArticle,21-Jun,2021,Oral and Maxillofacial Surgery,Mimics,Image Segmentation and 3D Reconstruction,NLD,computational,"These gold standard labels were created by the manual segmentation of all CBCT scans by three experienced medical engineers using Mimics software 20.0 (Materialise, Leuven, Belgium).",Crossref
Three-dimensional analysis of mandibular and condylar growth using artificial intelligence tools: a comparison of twin-block and Frankel II Appliances,three dimensional analysis of mandibular and condylar growth using artificial intelligence tools a comparison of twin block and frankel ii appliances,Y5JWYY4F,10.1186/s12903-025-05624-z,BMC ORAL HEALTH,journalArticle,2025/2/18,2025,Orthodontics,ITK-SNAP,Image Segmentation and 3D Reconstruction,CHN,clinical,"the segmentation process in this study involved semi-automatic (SA) segmentation using ITK-SNAP 4.0.1 (Pennsylvania, USA) with manual checking (slice-by-slice editing) to adjust boundaries",模型判读机构
Pressure-based finite element analysis of setup distance in clear aligner canine retraction comparing bodily and tipping movements.,pressure based finite element analysis of setup distance in clear aligner canine retraction comparing bodily and tipping movements,IYKJ62I6,10.1038/s41598-026-51497-9,Scientific reports,journalArticle,2026/4/30,2026,Orthodontics,ANSYS,Biomechanical Analysis and Simulation,KOR,computational,"A three-dimensional FEA was performed using ANSYS Mechanical 2024R (ANSYS Inc., Canonsburg, PA, USA) to simulate upper canine retraction for space closure.",全文机构
Computer Aided Orthognathic Surgery: A General Method for Designing and Manufacturing Personalized Cutting/Repositioning Templates,computer aided orthognathic surgery a general method for designing and manufacturing personalized cutting repositioning templates,B2M3DARR,10.3390/app12073600,APPLIED SCIENCES-BASEL,journalArticle,22-Apr,2022,Oral and Maxillofacial Surgery,3D Slicer;Geomagic Design X;Rhinoceros,Image Segmentation and 3D Reconstruction,ITA,technical_note,"""The DICOM ... images from the CT scan of the involved zones, in this case the jaws, were imported in the open-source software 3D Slicer ... and used to realize the segmentation."" / ""3D models are primarily converted, using the same software, into STL ... and then, using Geomagic software (Design X rel., 3D Systems, Rock Hill, SC, USA) into IGES ... models"" / ""the models are imported into Rhinoceros (Robert McNeel & Associates, Seattle, WA, USA) for preparing the data for template design.""",Crossref
A Comparison of Denture Base Retention and Adaptation Between CAD/CAM and Conventional Fabrication Techniques,a comparison of denture base retention and adaptation between cad cam and conventional fabrication techniques,34EC3W3G,10.11607/ijp.7193,INTERNATIONAL JOURNAL OF PROSTHODONTICS,journalArticle,23-Aug,2023,Prosthodontics,Meshmixer;Geomagic Control X,3D Data Analysis and Accuracy Assessment,EGY,clinical,"""outputting an STL file that was imported into the Meshmixer software to flip the fitting surface of the denture base"" 及 ""superimposed on the STL file of the corresponding definitive cast by using surface matching software (Geomagic Control X 64)""",全文机构
Mechanical Performance of Chairside Ceramic CAD/CAM Restorations and Zirconia Abutments with Different Internal Implant Connections: In Vitro Study and Finite Element Analysis,mechanical performance of chairside ceramic cad cam restorations and zirconia abutments with different internal implant connections in vitro study and finite element analysis,KLM4ETUM,10.3390/ma14175009,MATERIALS,journalArticle,21-Sep,2021,Prosthodontics,SolidWorks;ANSYS Workbench,Biomechanical Analysis and Simulation,ESP,in_vitro,"The CAD models of each piece were modelled in Solidworks 2019 (Dassault Systèmes, Waltham, MA, USA) and were imported into Ansys Workbench 2019 (ANSYS, Inc., Canonsburg, PA, USA), where the corresponding ﬁnite element models were created",Crossref
Stress distribution in titanium and zirconia implants with full-arch prostheses: a finite element analysis.,stress distribution in titanium and zirconia implants with full arch prostheses a finite element analysis,2CNYCSQG,10.1186/s12903-026-08725-5,BMC oral health,journalArticle,2026/6/13,2026,Oral and Maxillofacial Surgery,3D Slicer;Blender;ALTAIR HyperMesh;ALTAIR OptiStruct,Biomechanical Analysis and Simulation,TUR,computational,"""The CT data were processed using 3DSlicer software and converted to stereolithography (STL) format. Reverse engineering processes were performed using Blender software; preparation for finite element analysis (FEA) and optimization of the mesh structure were achieved using ALTAIR Hypermesh. Model solutions were completed using the ALTAIR OptiStruct (ALTAIR, Troy, MI, USA) solver.""",全文机构
Comparative analysis of five AI platforms for mandibular canal segmentation on CBCT images,comparative analysis of five ai platforms for mandibular canal segmentation on cbct images,4PBV2R5L,10.1016/j.jdent.2026.106345,JOURNAL OF DENTISTRY,journalArticle,26-Mar,2026,Oral and Maxillofacial Radiology,3D Slicer,Image Segmentation and 3D Reconstruction,SAU,computational,"""A total of 120 anonymized CBCT scans (240 MCs) were analyzed using five fully automated AI-based segmentation platforms: Atomica (Atomica AI, USA), BlueSkyPlan (Blue Sky Bio, USA), Craniocatch (Craniocatch, Türkiye), 3D Slicer (open-source, USA), and Relu Creator (Relu BV, Belgium)."" 以及 ""3D Slicer (version 5.7.0, open-source, USA), an open-source biomedical imaging platform. In this study, the DentalSegmentator extension (version 1.0.0-alpha), based on the nnU-Net DL framework, was used for ful",模型判读机构
Study on fracture behavior of molars based on three-dimensional high-precision computerized tomography scanning and numerical simulation,study on fracture behavior of molars based on three dimensional high precision computerized tomography scanning and numerical simulation,CL73C5HV,10.1002/cnm.3561,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING,journalArticle,22-Mar,2022,Endodontics,Avizo,Image Segmentation and 3D Reconstruction,CHN,computational,The Avizo software was used to visualize the 3D reconstruction of tooth and accurately characterize the composite structure model of tooth.,Crossref
Clinical implementation of an EU MDR-compliant point-of-care manufacturing framework for patient-specific 3D-printed PEEK implants in craniomaxillofacial  reconstruction.,clinical implementation of an eu mdr compliant point of care manufacturing framework for patient specific 3d printed peek implants in craniomaxillofacial reconstruction,W3DKWQAN,10.1186/s41205-026-00325-x,3D printing in medicine,journalArticle,2026/4/21,2026,Oral and Maxillofacial Surgery,MIMICS Innovation Suite;Geomagic Freeform Plus,Image Segmentation and 3D Reconstruction,CHE,technical_note,"CT datasets exported in Digital Imaging and Communications in Medicine (DICOM) format were processed using MIMICS Innovation Suite (v.25.0 for cranial case, v.26.0 for facial case; Materialise NV, Leuven, Belgium). ... Computer-aided design (CAD) software (Geomagic Freeform Plus v2022.0.34, Hexagon AB, Stockholm, Sweden) integrated with medical imaging platforms enabled iterative surgeon-engineer design review",模型判读机构
Robot-assisted augmented reality navigation for osteotomy and personalized guide-plate in mandibular reconstruction: a preclinical study,robot assisted augmented reality navigation for osteotomy and personalized guide plate in mandibular reconstruction a preclinical study,WVD49PF9,10.1186/s12903-025-06566-2,BMC ORAL HEALTH,journalArticle,2025/8/9,2025,Oral and Maxillofacial Surgery,3-Matic,Digital Design and Manufacturing,CHN,clinical,"""the virtual surgical plan was imported into 3-matic software (Materialise, Belgium) to design a 1.5 mm pseudo-titanium plate and a 3 mm reconstruction guide-plate"" 及 ""3-matic software was used to compare virtual surgical reconstruction models with postoperative reconstruction models.""",模型判读机构
The accuracy of a novel image-guided hybrid robotic system for dental implant placement: An in vitro study.,the accuracy of a novel image guided hybrid robotic system for dental implant placement an in vitro study,NV8EMBKE,10.1002/rcs.2452,The international journal of medical robotics + computer assisted surgery : MRCAS,journalArticle,23-Feb,2023,Oral Implantology,Geomagic Studio;Brainlab CMF,Surgical Planning and Precise Implementation,CHN,in_vitro,"""The Cone‐beam Computed Tomography (CBCT) data of a patient with complete dentition, which was acquired using Planmeca ProMax (Planmeca Oy, Helsinki, Södra Finland, Finland), was imported to Geomagic Studio (3D Systems Inc., Rock Hill, South Carolina, USA)."" 以及 ""The preoperative plan was exported in STL format and imported into Brainlab CMF software (BrainLAB AG, Munich, Freistaat Bayern, Germany) along with the preoperative CBCT.""",Crossref
AI-Assisted Identification of the Medial Lingual Foramen on CBCT: A Deep Learning Approach for Preoperative Implant Assessment.,ai assisted identification of the medial lingual foramen on cbct a deep learning approach for preoperative implant assessment,MVGIWU9B,10.3390/medicina62061059,"Medicina (Kaunas, Lithuania)",journalArticle,2026/5/30,2026,Oral Implantology,3D Slicer,Image Segmentation and 3D Reconstruction,ROU,computational,Manual annotations were performed in 3D Slicer (v4.13.0) on sagittal slices.,Crossref
Oral-Anatomical Knowledge-Informed Semi-Supervised Learning for 3D Dental CBCT Segmentation and Lesion Detection,oral anatomical knowledge informed semi supervised learning for 3d dental cbct segmentation and lesion detection,HCE22CUF,10.1109/TASE.2025.3530936,IEEE Transactions on Automation Science and Engineering,journalArticle,2025,2025,Oral and Maxillofacial Radiology,ITK-SNAP,Image Segmentation and 3D Reconstruction,USA,computational,"""To create labeled images, manual segmentation was obtained using ITK-SNAP, a specialized software tool that provides semi-automatic segmentation.""",Crossref
Workflow for guided implant placement based on anatomic landmarks and the CAD-CAM fabrication of a prosthetic framework for an implant-supported fixed dental prosthesis,workflow for guided implant placement based on anatomic landmarks and the cad cam fabrication of a prosthetic framework for an implant supported fixed dental prosthesis,YWYMMHNG,10.1016/j.prosdent.2025.11.030,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,26-Apr,2026,Oral Implantology,Mimics;3D Slicer;InVesalius;SpaceClaim (Ansys),Surgical Planning and Precise Implementation,COL,technical_note,"""import the Digital Imaging and Communications in Medicine (DICOM) dataset into a medical imaging software program (Mimics; Materialise NV, 3DSlicer; Brigham and Women’s Hospital and Harvard Medical School, or InVesalius; Renato Archer Information Technology Center)"" 及 ""Import the waxing and implant-abutment complex into CAD software program (SpaceClaim; Ansys Inc)""",全文机构
STRESS DISTRIBUTION OF MONOLITHIC AND VENEERED THREE-UNIT ZIRCONIA FDPS: A FINITE ELEMENT ANALYSIS,stress distribution of monolithic and veneered three unit zirconia fdps a finite element analysis,39AN7GMH,10.11607/ijp.8248,INTERNATIONAL JOURNAL OF PROSTHODONTICS,journalArticle,24-Jun,2024,Prosthodontics,ANSYS;ANSYS SpaceClaim,Biomechanical Analysis and Simulation,CAN,computational,"""All files were then cleaned and converted to a proper (.IGES) format using ANSYS SpaceClaim software (ANSYS company, Canonsburg, PA, USA). The geometries were imported into ANSYS software (ANSYS 18.2, ANSYS company, Canonsburg, PA, USA) to generate the meshing for each model."" 以及 ""The analysis was conducted using ANSYS (ANSYS 18.2, ANSYS company, Canonsburg, PA, USA).""",全文机构
Combining Coaxial Electrospinning and 3D Printing: Design of Biodegradable Bilayered Membranes with Dual Drug Delivery Capability for Periodontitis  Treatment.,combining coaxial electrospinning and 3d printing design of biodegradable bilayered membranes with dual drug delivery capability for periodontitis treatment,N6CQF3L9,10.1021/acsabm.1c01019,ACS applied bio materials,journalArticle,2022/1/17,2022,Periodontics,Cura,Digital Design and Manufacturing,BRA,in_vitro,"""a honeycomb-like 3D model with dimensions of 25 mm × 15 mm × 0.5 mm was designed using CAD software before printing, and the nozzle toolpath (G-code) was prepared with the use of Cura 3D software""",Crossref
Performance of Rigid and Soft Transfer Templates Using Viscous and Fluid Resin-Based Composites in the Attachment Bonding Process of Clear Aligners.,performance of rigid and soft transfer templates using viscous and fluid resin based composites in the attachment bonding process of clear aligners,7ECMK5KU,10.1155/2022/1637594,International journal of dentistry,journalArticle,2022,2022,Orthodontics,MATLAB,3D Data Analysis and Accuracy Assessment,ITA,in_vitro,"""All numerical analysis and data processing have been carried out in Matlab.""",全文机构
Skeletal facial asymmetry: reliability of manual and artificial intelligence-driven analysis,skeletal facial asymmetry reliability of manual and artificial intelligence driven analysis,RFPYNGAN,10.1093/dmfr/twad006,DENTOMAXILLOFACIAL RADIOLOGY,journalArticle,2024/1/11,2024,Oral and Maxillofacial Radiology,OsiriX MD,3D Data Analysis and Accuracy Assessment,POL,clinical,"All manual measurements were performed using OsiriX MD v. 13.1 (Pixmeo SARL; Geneva, Switzerland).",Crossref
A novel fluoride tray-assisted workflow for artificial intelligence-driven automated maxillary gingival segmentation on cone beam CT,a novel fluoride tray assisted workflow for artificial intelligence driven automated maxillary gingival segmentation on cone beam ct,X4AMPF75,10.1093/dmfr/twag023,DENTOMAXILLOFACIAL RADIOLOGY,journalArticle,2026/6/13,2026,Oral and Maxillofacial Radiology,Mimics;3-matic,Image Segmentation and 3D Reconstruction,BEL,clinical,"""Maxillary gingival segmentation refinement was performed by an oral and maxillofacial radiologist (D.P.) using Mimics software (version 25.0, Materialise, Leuven, Belgium)""；""The AI-segmented gingiva was exported in the stereolithography (STL) format and imported into Mimics""；""This was performed using Mimics and 3-matic software (version 17.0, Materialise, Leuven, Belgium)""",全文机构
Reduced graphene oxide loaded with tetrahedral framework nucleic acids for combating orthodontically induced root resorption,reduced graphene oxide loaded with tetrahedral framework nucleic acids for combating orthodontically induced root resorption,6LPJ3GYL,10.1186/s12951-024-02988-2,JOURNAL OF NANOBIOTECHNOLOGY,journalArticle,2024/11/13,2024,Orthodontics,Mimics;Geomagic Wrap,Image Segmentation and 3D Reconstruction,CHN,computational,Three-dimensional (3D) images were reconstructed by Mimics and Geomagic Wrap 2017 for morphological assessment.,模型判读机构
Jaw Morphology and Factors Associated with Upper Impacted Canines: Case-Controlled Trial,jaw morphology and factors associated with upper impacted canines case controlled trial,GID4YXLX,10.3390/app14177700,APPLIED SCIENCES-BASEL,journalArticle,24-Sep,2024,Orthodontics,RapidForm 2006,Morphological and Phenotypic Analysis,SVN,clinical,"""To determine the surface area and volume of the maxilla, we imported the 3D study models in digital form into a customized program for analyzing the morphological features of the jaws based on Rapid Form™ 2006 software (Inus Technology Inc., Seoul, Republic of Korea)."" 以及 ""By defining all these boundaries, the RapidForm™2006 software provided results in terms of mm2 (surface area and projection area) and mm3 (volume).""",Crossref
Low-Profile Electromagnetic Field Sensors in the Measurement and Modelling of Three-Dimensional Jaw Kinematics and Occlusal Loading,low profile electromagnetic field sensors in the measurement and modelling of three dimensional jaw kinematics and occlusal loading,ARSEKXEW,10.1007/s10439-020-02688-6,ANNALS OF BIOMEDICAL ENGINEERING,journalArticle,21-Jun,2021,Prosthodontics,3-Matic;ABAQUS,Biomechanical Analysis and Simulation,USA,computational,"""constructed from the intra-oral scans using 3-matic 13.0 (Materialise, Leuven, Belgium)"" 及 ""imported into a commercially available finite element modelling package (Abaqus 2017, Dassault Systems, Paris, France)""",全文机构
Digital Dental Biometrics for Human Identification Based on Automated 3D Point Cloud Feature Extraction and Registration,digital dental biometrics for human identification based on automated 3d point cloud feature extraction and registration,QY8WZNYX,10.3390/bioengineering11090873,BIOENGINEERING-BASEL,journalArticle,24-Sep,2024,Forensic Odontology,MeshLab;CloudCompare,Morphological and Phenotypic Analysis,CHN,computational,"""MeshLab v2020.09 (Visual Computing Lab, ISTI−CNR, Pisa, Italy) combined with the pseudo−inverse quadratic fitting method was utilized to calculate and color−code the average curvature of each point on the tooth model."" 以及 ""the CloudCompare v2.10 point cloud processing software (CloudCompare Team, Bordeaux, France) was employed to extract feature point clouds corresponding to the gingival margin line and its three subregions""",Crossref
Fully Digital versus Conventional Workflows for Fabricating Posterior Three-Unit Implant-Supported Reconstructions: A Prospective Crossover Clinical Trial,fully digital versus conventional workflows for fabricating posterior three unit implant supported reconstructions a prospective crossover clinical trial,YYC34XSZ,10.3390/ijerph191811456,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,journalArticle,22-Sep,2022,Oral Implantology,GOM Inspect;AutoCAD,3D Data Analysis and Accuracy Assessment,IRN,clinical,"""their accuracy was calculated by using the software's best-fit algorithm for detailed 3D data assessment (GOM inspect v 7.5, GOM mbh, Braunschweig, Germany)"" 以及 ""the angle of the tape between the two screwdriver positions was calculated (Figure 3c) and reported in degrees using computer-aided design (CAD) software (AutoCAD software; M.49.0.0 AutoCAD 2016, Autodesk, Inc., San Rafael, CA, USA)""",Crossref
In Vivo Assessment of SED: A Novel Biomechanical Indicator for Periodontal Tissue Remodeling in Clear Aligner Therapy,in vivo assessment of sed a novel biomechanical indicator for periodontal tissue remodeling in clear aligner therapy,EC9P5DI3,10.1007/s10439-026-04071-3,ANNALS OF BIOMEDICAL ENGINEERING,journalArticle,2026/3/13,2026,Orthodontics,Mimics;Geomagic Studio;NX;ANSYS Workbench,Biomechanical Analysis and Simulation,CHN,computational,"""The data were imported into Mimics 20.0 (Materialise, Belgium), where the lower anterior teeth and AB were segmented using thresholding to create mask layers."" / ""Surface optimization was performed using Geomagic Studio 2014 (Raindrop GEOMAGIC, USA)."" / ""A preliminary model was constructed in NX 1911 (Siemens, Germany)"" / ""We assembled all components in ANSYS Workbench 2019 (Ansys, USA)""",全文机构
3D printing titanium grid scaffold facilitates osteogenesis in mandibular segmental defects,3d printing titanium grid scaffold facilitates osteogenesis in mandibular segmental defects,QLSFY6I6,10.1038/s41536-023-00308-0,NPJ REGENERATIVE MEDICINE,journalArticle,2023/7/24,2023,Oral and Maxillofacial Surgery,3-Matic,Digital Design and Manufacturing,CHN,clinical,"3D models of these structures were developed using 3-Matic software (Materialize, Leuven, Belgium).",全文机构
