序号,Key,Title,优势,挑战,缺口,原始返回
336,GVHB8NVU,Contactless surface registration of featureless anatomy using structured light camera: application to fibula navigation in mandible reconstruction.,"A6,A5",C4,"G1,G4","【优势】: A6, A5
【挑战】: C4
【缺口】: G1, G4"
2185,8FWPXUE2,Depth-based registration of 3D preoperative models to intraoperative patient anatomy using the HoloLens 2,"A5,A9",C4,"G1,G2","【优势】: A5, A9
【挑战】: C4
【缺口】: G1, G2"
2159,9NDT7NR8,Development of a maxillofacial virtual surgical system based on biomechanical parameters of facial soft tissue,"A5,A6",C4,"G1,G4","【优势】: A5, A6
【挑战】: C4
【缺口】: G1, G4"
1810,4NP6UKJF,Accuracy of intraoral scanners in the cleft anatomy of neonates,A6,C9,G9,"【优势】: A6
【挑战】: C9
【缺口】: G9"
865,PRJIHEU3,Reconstruction of dental roots for implant planning purposes: a feasibility study,"A3,A5","C4,C5","G1,G4","【优势】: A3, A5
【挑战】: C4, C5
【缺口】: G1, G4"
37,TGY9GAAH,Accuracy of imaging software usable in clinical settings for 3D rendering of tooth structures.,"A3,A6",C4,"G1,G4","【优势】: A3, A6
【挑战】: C4
【缺口】: G1, G4"
209,XMP5NQCB,Designing an occlusal appliance digital protocol using an open-source 3D modeling software program: a technical report.,"A3,A6",C9,G9,"【优势】: A3, A6
【挑战】: C9
【缺口】: G9"
854,WYM2M69G,First steps of a digital workflow to build up a virtual articulator using open-source Autodesk Meshmixer software,A3,C9,G1,"【优势】: A3
【挑战】: C9
【缺口】: G1"
2152,HQTBY7E3,Establishment and evaluation of a 3D quantitative analysis method for dental plaque based on an intraoral scanner technique,A6,C9,G1,"【优势】: A6
【挑战】: C9
【缺口】: G1"
1919,QQZNUG9U,3D printing in endodontics: report of three clinical cases with innovative approaches,"A1,A5",C9,G1,"【优势】: A1, A5
【挑战】: C9
【缺口】: G1"
2017,43K9BQWT,Impacts of Thresholds of Gray Value for Cone-Beam Computed Tomography 3D Reconstruction on the Accuracy of Image Matching with Optical Scan,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
228,LUDVB4UY,Three-Dimensional Comparison of the Maxillary Surfaces through ICP-Type Algorithm: Accuracy Evaluation of CAD/CAM Technologies in Orthognathic Surgery.,A6,C4,G4,"【优势】: A6
【挑战】: C4
【缺口】: G4"
1983,6B57AE6C,The development of computer-aided patient-specific template design software for 3D printing in cranio-maxillofacial surgery,"A5,A6,A3",C9,"G1,G4","【优势】: A5, A6, A3
【挑战】: C9
【缺口】: G1, G4"
1574,RXAH2VQD,Marker-free registration for intraoperative navigation using the transverse palatal rugae,"A5,A6",C4,G1,"【优势】: A5, A6
【挑战】: C4
【缺口】: G1"
448,VLH4HX4X,Three-Dimensional Evaluation of the Accuracy of Zygomatic Implant Placement Through an In-House Fully Guided Approach.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
2212,EUTQFE9J,A Systematic Study of Restorative Crown-Materials Combinations for Dental Implants: Characterization of Mechanical Properties under Dynamic Loads,"A2,A5",C9,G1,"【优势】: A2, A5
【挑战】: C9
【缺口】: G1"
741,2TIWQGZY,Mandibular bone remodeling around osseointegrated functionally graded biomaterial implant using three dimensional finite element model,A9,C9,G1,"【优势】: A9
【挑战】: C9
【缺口】: G1"
1847,EW7489ZA,"Virtual Implant Planning and Surgical Guide for Single Implant Placement Fabricated from a Digital Diagnostic Cast, 2D Radiographic Imaging, and an Open-Source Program: A Dental Technique",A3,C9,G1,"【优势】: A3
【挑战】: C9
【缺口】: G1"
958,BYIE23L8,Biomechanical behavior of temporomandibular joint movements driven by mastication muscles,A6,C9,G1,"【优势】: A6
【挑战】: C9
【缺口】: G1"
2169,S299EA4M,Automated calculation of ontology-based planning proposals: An application in reconstructive oral and maxillofacial surgery,"A5,A1",C4,"G1,G4","【优势】: A5, A1
【挑战】: C4
【缺口】: G1, G4"
2008,5VMVSI6N,"Comparison of Stress Distribution Among Standard Dental Implants Placed in Grafted Bone, Zygomatic Implants, and Subperiosteal Implants in the Atrophic Edentulous Maxilla: 3D Finite Element Analysis",A9,C9,G1,"【优势】: A9
【挑战】: C9
【缺口】: G1"
921,CZB4EPYR,Influence of Different Fabrication Techniques on the Accuracy of Radiographic Scan Templates in Cases of Full-Arch Computer-Guided Implant Placement: An In Vitro Study,A6,C4,G1,"【优势】: A6
【挑战】: C4
【缺口】: G1"
711,2TTJ5J6D,New method for analysing spatial relationships of facial muscles on MRI: a pilot study,"A2,A6",C4,"G1,G4","【优势】: A2, A6
【挑战】: C4
【缺口】: G1, G4"
898,TCEB4QZU,An innovative AI-based dual segmentation application for head surgery,"A3,A5,A6",C4,"G1,G4","【优势】: A3, A5, A6
【挑战】: C4
【缺口】: G1, G4"
103,K9F3VXCV,Precise maxillectomy reconstruction with a scapula flap using novel in-house 3D-printed surgical guides.,"A1,A5,A6",C5,"G1,G4","【优势】: A1, A5, A6
【挑战】: C5
【缺口】: G1, G4"
1775,7GRJAY7C,Computer-assisted surgery with markerless augmented reality for the surgical removal of mandibular odontogenic cysts: report of two clinical cases,"A5,A6",C9,"G1,G4","【优势】: A5, A6
【挑战】: C9
【缺口】: G1, G4"
1826,CA3MCA2T,Soft tissue-based registration of intraoral scan with cone beam computed tomography scan,A6,C9,G1,"【优势】: A6
【挑战】: C9
【缺口】: G1"
1643,QQ6NHWZM,Regenerative Orthodontics: GBR and Corticotomy to Stretch the Limits of Orthodontic Treatment,A9,C9,G1,"【优势】: A9
【挑战】: C9
【缺口】: G1"
696,VF5QRJ45,Three-dimensional evaluation of tooth preparation forms in paediatric zirconia crowns: An in vitro study,A9,C9,"G1,G3","【优势】: A9
【挑战】: C9
【缺口】: G1, G3"
469,PNUIRE9F,Effect of Using Cheek Retractors on Patient Satisfaction and Trueness of Peripheral Borders in Maxillary Digital Scans for Totally Edentulous Patients: An  In Vivo Study.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
794,L3AXKYYL,Registration of magnetic resonance and computed tomography images in patients with oral squamous cell carcinoma for three-dimensional virtual planning of mandibular resection and reconstruction,"A5,A6",C4,"G1,G4","【优势】: A5, A6
【挑战】: C4
【缺口】: G1, G4"
93,3L3AZP53,"WEAR, FATIGUE, AND FRACTURE RESISTANCE OF DIFFERENT MONOLITHIC CAD/CAM ONLAYS AS ABUTMENTS FOR ACETAL RESIN OR COBALT-CHROMIUM REMOVABLE PARTIAL DENTURE  FRAMEWORKS.",A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
353,ZBFWEZCA,Digital Gothic Arch Tracing Device with Open- Source Software for CAD/CAM Denture Fabrication.,"A1,A5,A6",C9,G1,"【优势】: A1, A5, A6
【挑战】: C9
【缺口】: G1"
1821,RIBUBPAA,Investigation of Stress Distribution Between Two Different Implant Concepts in Implant-Supported Maxillary Prostheses with Different Framework Materials: A Finite Element Study,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
1741,LRXPJYLH,Accuracy of Four Different Intraoral Scanners According to Different Preparation Geometries,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
563,5RKTEJM6,"Evaluation of Surface Characteristics, Accuracy, and Dimensional Stability of Tooth Preparation Dies Fabricated by Conventional Gypsum and 3D-Printed  Workflows.",A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
1570,Z5PYCCYC,Accuracy of Digital Impressions Obtained Using Six Intraoral Scanners in Partially Edentulous Dentitions and the Effect of Scanning Sequence,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
390,Q68ZEUCG,Voxel-based superimposition of Cone Beam CT scans for orthodontic and craniofacial follow-up: Overview and clinical implementation.,"A5,A6","C5,C4","G1,G3","【优势】: A5, A6
【挑战】: C5, C4
【缺口】: G1, G3"
2129,QJDV5PK4,Biomechanical Performance of PEEK and Graphene-Modified PMMA as Telescopic Removable Partial Denture Materials: A Nonlinear 3D Finite Element Analysis,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
1755,SILBC2M4,A study on the association between the inferior nasal turbinate volume and the maxillary sinus mucosal lining using cone beam tomography,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
1412,IDQSDLWM,Finite-Element Analysis of the Effect of Utilizing Various Material Assemblies in “All on Four” on the Stresses on Mandible Bone and Prosthetic Parts,A9,C9,G1,"【优势】: A9
【挑战】: C9
【缺口】: G1"
401,AJW3ZDYY,Mandibular asymmetry retreatment with minimal presurgical orthodontic preparation and fully customized lingual orthodontics: A case report with new possibilities  using blender open-source software.,"A1,A3,A5",C9,G9,"【优势】: A1, A3, A5
【挑战】: C9
【缺口】: G9"
1526,XG3GHLVR,Enhancing skeletal stability and Class III correction through active orthodontist engagement in virtual surgical planning: A voxel-based 3-dimensional analysis,"A5,A6",C9,"G1,G4","【优势】: A5, A6
【挑战】: C9
【缺口】: G1, G4"
2138,IUL8I974,Effect of internal structures on the accuracy of 3D printed full-arch dentition preparation models in different printing systems,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
187,T5FJEIPG,BounTI (boundary-preserving threshold iteration): A user-friendly tool for automatic hard tissue segmentation.,"A3,A5",C4,"G1,G3","【优势】: A3, A5
【挑战】: C4
【缺口】: G1, G3"
71,KFMHNQAV,In-House 3D Printed Positioning and Cutting Guide System for Mandibular Reconstruction. Protocol and case report.,"A1,A3,A5,A6",C5,"G1,G4","【优势】: A1, A3, A5, A6
【挑战】: C5
【缺口】: G1, G4"
1758,MAV6QNXN,In Silico Mechanical Effort Analysis of the All-On-4 Design Performed With Platform-Switching Distal Short Dental Implants,A9,C9,G1,"【优势】: A9
【挑战】: C9
【缺口】: G1"
118,IRINA65L,Interdisciplinary innovative approach to an aggressive ossifying fibroma case: Integrating 3D surgery and customized reconstruction in maxillofacial and dental  care.,"A1,A5,A6",C9,"G1,G4","【优势】: A1, A5, A6
【挑战】: C9
【缺口】: G1, G4"
35,LK5R8TKE,The all-on-4 concept in the maxilla-A biomechanical analysis involving high performance polymers.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
2283,EQ8LE4IL,Computer-aided design and fabrication of statistically shaped nasal prostheses: A feasibility study,"A5,A1","C5,C4","G1,G2","【优势】: A5, A1
【挑战】: C5, C4
【缺口】: G1, G2"
899,VK8QS8J5,A mathematical algorithm of the facial symmetry plane: Application to mandibular deformity 3D facial data,A6,C9,G9,"【优势】: A6
【挑战】: C9
【缺口】: G9"
366,AQ37V5WT,Assessment of the stresses produced on the bone implant/tissue interface to the different insertion angulations of the implant - a three-dimensional analysis by  the finite elements method.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
809,ED4NLMLY,Restoring Mandibular Anatomy After Complex Trauma: Clinical Applications of a Statistical Shape Model,"A1,A3",C4,G1,"【优势】: A1, A3
【挑战】: C4
【缺口】: G1"
1699,7D3DPPH4,"Influence of Preparation Design, Marginal Gingiva Location, and Tooth Morphology on the Accuracy of Digital Impressions for Full-Crown Restorations: An In Vitro Investigation",A6,C9,G1,"【优势】: A6
【挑战】: C9
【缺口】: G1"
710,T43PJP5P,"A Complete Digital Workflow for Planning, Simulation, and Evaluation in Orthognathic Surgery","A4,A5,A6",C9,G9,"【优势】: A4, A5, A6
【挑战】: C9
【缺口】: G9"
1423,NXZDYPC2,A Reproducible 3D Classification of Orbital Morphology Derived from CBCT and FBCT Segmentation,A9,C9,"G1,G4","【优势】: A9
【挑战】: C9
【缺口】: G1, G4"
878,ZFEP26RP,A User-Friendly Protocol for Mandibular Segmentation of CBCT Images for Superimposition and Internal Structure Analysis,"A5,A6",C9,G9,"【优势】: A5, A6
【挑战】: C9
【缺口】: G9"
1443,9MVRH769,Digitization of Dentate and Edentulous Maxillectomy and Mandibulectomy Defects with Three Different Intraoral Scanners: A Comparative In Vitro Study,A9,C9,G1,"【优势】: A9
【挑战】: C9
【缺口】: G1"
2139,EN8V4LGH,Accurate Bracket Placement with an Indirect Bonding Method Using Digitally Designed Transfer Models Printed in Different Orientations-An In Vitro Study,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
1723,9MP86R5J,No Significant Bone Resorption after Open Treatment of Mandibular Condylar Head Fractures in the Medium-Term,A9,C9,G4,"【优势】: A9
【挑战】: C9
【缺口】: G4"
1739,XRXG22EC,Correlation Analysis of Nasal Septum Deviation and Results of AI-Driven Automated 3D Cephalometric Analysis,"A5,A6",C4,"G1,G4","【优势】: A5, A6
【挑战】: C4
【缺口】: G1, G4"
2280,7N57MWGV,Automatic Segmentation of the Nasolacrimal Canal: Application of the nnU-Net v2 Model in CBCT Imaging,"A5,A6",C9,"G1,G4","【优势】: A5, A6
【挑战】: C9
【缺口】: G1, G4"
138,5TGPGAFM,Comparative Evaluation of Stress Distribution around Various Threaded Implants with and without Platform Switch: A 3-D Finite Element Analysis.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
114,WYDE6M86,A 3-D Finite Element Analysis of Stress Distribution on Implant-supported Fixed Prosthesis with Four Different Commercially Available Implant Systems.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
2190,L5U9ITAK,Early Placement of Patient-Specific One-Piece Drill-Free Fully Digital Designed Dental Implants: A Feasibility Study,"A1,A5",C4,"G1,G4","【优势】: A1, A5
【挑战】: C4
【缺口】: G1, G4"
121,L8M7M2BX,Endodontic Treatment of a Molar with Peculiar Anatomy: Case Study with CBCT and 3D Printed Model.,"A1,A2,A6",C4,G1,"【优势】: A1, A2, A6
【挑战】: C4
【缺口】: G1"
38,Z2SBK7IA,Patient-Specific Implant Customization for Treatment of Internal Orbital Fractures Using Office-Based Three-Dimensional Printing.,"A1,A3,A5,A6",C9,G4,"【优势】: A1, A3, A5, A6
【挑战】: C9
【缺口】: G4"
76,2TJBVIZP,Using 3D Printing and Mirror Image Modeling in Orbital Floor Reconstruction.,"A1,A3,A5",C9,"G1,G4","【优势】: A1, A3, A5
【挑战】: C9
【缺口】: G1, G4"
549,2AL8ZQJG,Using a New Deep Learning Method for 3D Cephalometry in Patients With Cleft Lip and Palate.,"A5,A6",C4,G4,"【优势】: A5, A6
【挑战】: C4
【缺口】: G4"
1690,9HL5KCJ3,Fully Digital Workflow for an Immediate Implant-Retained Prosthesis Following Maxillectomy Resection Surgery,"A5,A6",C9,"G1,G4","【优势】: A5, A6
【挑战】: C9
【缺口】: G1, G4"
785,VPLLGW2S,Volumetric and Morphological Analysis of Mandibular Condyles of Angle Class 2 and 3 Malocclusion Patients,A3,C9,G9,"【优势】: A3
【挑战】: C9
【缺口】: G9"
1010,K7WRBECT,Postoperative assessment of forehead contouring in facial feminization surgery,A9,C9,G4,"【优势】: A9
【挑战】: C9
【缺口】: G4"
1994,5SW9J4UC,Biomechanical Behavior of Different Distributions of Zygoma and Pterygoid Implants in Rehabilitation of Severely Atrophic Posterior Maxilla: A 3D Finite Element Analysis,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
592,SW2VBSEU,Facial asymmetry in syndromic craniosynostosis patients undergoing midface surgery compared to a large general population.,"A5,A6",C9,"G1,G4","【优势】: A5, A6
【挑战】: C9
【缺口】: G1, G4"
1864,VPIYMEQ5,A portable mixed reality navigation system for oral and maxillofacial surgery: Design and preliminary clinical evaluation,"A1,A3,A5,A6",C4,"G1,G4","【优势】: A1, A3, A5, A6
【挑战】: C4
【缺口】: G1, G4"
247,UI48XFYD,A comparative analysis of soft tissue volumetric alterations utilizing root mean square and positive and negative average calculations through two software.,A9,C9,G3,"【优势】: A9
【挑战】: C9
【缺口】: G3"
153,46CXKFWE,AI-assisted Software Development in Digital Dentistry: A Technical Innovation Report with Three Open-Source Applications.,"A3,A5","C1,C4,C8","G1,G4","【优势】: A3, A5
【挑战】: C1, C4, C8
【缺口】: G1, G4"
422,8KHY7GJA,Accuracy of single implant scans with a combined healing abutment-scan body system and different intraoral scanners: An in vitro study.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
308,TQZ3FUDA,Automated orofacial virtual patient creation: A proof of concept.,"A5,A6",C4,"G1,G4","【优势】: A5, A6
【挑战】: C4
【缺口】: G1, G4"
356,E39JLY9S,Effect of the number and distribution of fiducial markers on the accuracy of robot-guided implant surgery in edentulous mandibular arches: An in vitro study.,A6,C4,G1,"【优势】: A6
【挑战】: C4
【缺口】: G1"
500,AN569QGJ,Effect of auxiliary geometric devices on the accuracy of intraoral scans in full-arch implant-supported rehabilitations: An in vitro study.,A9,C4,G1,"【优势】: A9
【挑战】: C4
【缺口】: G1"
435,RX5BZKF9,Facial scanning accuracy depending on the alignment algorithm and digitized surface area location: An in vitro study.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
468,7TRUUDTS,Accuracy of conventional impressions and digital scans for implant-supported fixed prostheses in maxillary free-ended partial edentulism: An in vitro study.,A6,C9,G1,"【优势】: A6
【挑战】: C9
【缺口】: G1"
515,JR957DQR,Chairside virtual patient protocol. Part 1: Free vs Guided face scan protocol.,"A3,A6",C5,G1,"【优势】: A3, A6
【挑战】: C5
【缺口】: G1"
793,45ZDRSPX,Feasibility and accuracy of a partial point cloud registration method for transoral robot-assisted surgery of zygoma fracture: A phantom study,A9,C9,G1,"【优势】: A9
【挑战】: C9
【缺口】: G1"
912,JCMKQXDT,"Comparison of the accuracy of static and dynamic computer-assisted implant surgery in extraction sockets, encased healed sites, and distal extension: an in vitro study",A6,C9,G1,"【优势】: A6
【挑战】: C9
【缺口】: G1"
863,DXKTSK7K,Artificial intelligence and augmented reality for guided implant surgery planning: A proof of concept,"A2,A5,A6",C4,G1,"【优势】: A2, A5, A6
【挑战】: C4
【缺口】: G1"
989,B88UY5CW,Retentive design of a small surgical guide for implant surgery: An in-vitro study,"A1,A6",C4,G1,"【优势】: A1, A6
【挑战】: C4
【缺口】: G1"
329,Y6BWB87N,Accuracy of a Novel Semi-Autonomous Robotic-Assisted Surgery System for Single Implant Placement: a Case Series.,A6,C9,G4,"【优势】: A6
【挑战】: C9
【缺口】: G4"
404,XK8P9LMU,Application of the virtual-fit method for fixed complete denture cases designed on intraoral scans: Effect of cement spacing.,"A2,A6",C4,"G1,G3","【优势】: A2, A6
【挑战】: C4
【缺口】: G1, G3"
1181,AXSX89GF,DentalSegmentator: Robust open source deep learning-based CT and CBCT image segmentation,"A3,A5",C9,G1,"【优势】: A3, A5
【挑战】: C9
【缺口】: G1"
1016,KI9W5W7K,Segmentation of the upper airway using deep learning - nnUNet,"A5,A6",C9,"G1,G4","【优势】: A5, A6
【挑战】: C9
【缺口】: G1, G4"
1437,SE34LAZ9,Risk assessment of inferior alveolar nerve injury after wisdom tooth removal using 3D AI-driven models: A within-patient study,A9,C4,"G1,G4","【优势】: A9
【挑战】: C4
【缺口】: G1, G4"
1233,ITMJC47T,Influence of three coded healing abutment design on intraoral scan accuracy: a comparative in vitro study,A6,C9,G1,"【优势】: A6
【挑战】: C9
【缺口】: G1"
1290,4BWKTZSG,Explainable artificial intelligence to quantify adenoid hypertrophy-related upper airway obstruction using 3D Shape Analysis,"A2,A5,A6",C4,"G1,G4","【优势】: A2, A5, A6
【挑战】: C4
【缺口】: G1, G4"
1165,YCC6S4PK,"An alternative approach to code, store, and regenerate 3D data in dental medicine using open-source software: A scripting-based technique","A3,A5,A6",C9,"G1,G4","【优势】: A3, A5, A6
【挑战】: C9
【缺口】: G1, G4"
1335,VY5CRRHN,Accuracy of dental implant placement using static versus dynamic computer-assisted implant surgery: An in vitro study,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
1469,LEAIKBNU,Effect of triangular mesh resolution on the geometrical trueness of segmented CBCT maxillofacial data into STL format,A9,C5,G9,"【优势】: A9
【挑战】: C5
【缺口】: G9"
1518,7CLZIHKA,Complete arch implant capture using a photogrammetry algorithm and smartphone app: An in vitro study,"A3,A6",C4,G1,"【优势】: A3, A6
【挑战】: C4
【缺口】: G1"
1520,KTMFTBUV,Chairside virtual patient protocol. Part 3: In vitro accuracy of a digital facebow,A6,C4,G1,"【优势】: A6
【挑战】: C4
【缺口】: G1"
1681,RFBGE32H,Enhancing dental education with a 3D point cloud comparison and augmented reality for auto-evaluation of fixed prosthodontic practice: An in vitro study,"A5,A6",C9,"G1,G4","【优势】: A5, A6
【挑战】: C9
【缺口】: G1, G4"
2140,4UA3PSB8,"A 3D in vitro model of biphasic calcium phosphate (BCP) scaffold combined with human osteoblasts, osteoclasts, and endothelial cells as a platform to mimic the oral microenvironment for tissue regeneration",A9,C9,G1,"【优势】: A9
【挑战】: C9
【缺口】: G1"
1545,2FFUFDEY,Adaptation of maxillary removable partial denture frameworks fabricated with a direct digital workflow: A randomized crossover clinical trial,"A5,A6",C9,"G1,G4","【优势】: A5, A6
【挑战】: C9
【缺口】: G1, G4"
2058,28GE8FQS,A straightforward protocol for designing an interim hollow shell with open-source software,"A3,A5","C1,C4",G1,"【优势】: A3, A5
【挑战】: C1, C4
【缺口】: G1"
1582,V2HXN7RX,Influence of the dental arch and number of cutting-off and rescanning mesh holes on the accuracy of implant scans in partially edentulous situations,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
2000,A9DPU6MJ,Layered deep learning for automatic mandibular segmentation in cone-beam computed tomography,"A5,A6",C9,G1,"【优势】: A5, A6
【挑战】: C9
【缺口】: G1"
1808,WCEUBWKT,Accuracy of single-implant digital impression with various scanbody exposure levels at anterior and posterior regions,A9,C9,G1,"【优势】: A9
【挑战】: C9
【缺口】: G1"
2227,ZQUSKV8U,Trueness of artificial intelligence-driven CBCT tooth segmentation: A comparative validation ex vivo pilot study,"A3,A6",C4,"G1,G4","【优势】: A3, A6
【挑战】: C4
【缺口】: G1, G4"
1037,3DSGGH64,Augmented Reality of Anatomical Structures of the Maxillomandibular Complex for Learning Dental Radiographic Techniques,"A5,A6",C9,"G1,G4","【优势】: A5, A6
【挑战】: C9
【缺口】: G1, G4"
211,AGK8CVHH,Virtual 3D tooth creation for personized haptic simulation training in access cavity preparation.,"A1,A5",C9,G1,"【优势】: A1, A5
【挑战】: C9
【缺口】: G1"
2018,X97T8NRA,Intelligent Virtual Dental Implant Placement via 3D Segmentation Strategy,"A5,A6",C4,"G1,G4","【优势】: A5, A6
【挑战】: C4
【缺口】: G1, G4"
1318,6CWVAMF6,Comparison of precision of implant placement between two different guided systems for static computer-assisted implant surgery: A simulation-based experimental study,A6,C9,"G1,G4","【优势】: A6
【挑战】: C9
【缺口】: G1, G4"
186,KCI2D4H9,Effect of three different veneering techniques on the stress distribution and in vitro fatigue behavior of core-veneer all-ceramic fixed partial dentures.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
207,4WXYA3TN,Evaluation of stress distribution in and around dental implants using three different implant-abutment interfaces with platform-switched and  non-platform-switched abutments: A three-dimensional finite element analysis.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
288,UWH984BZ,The influence of pontic distribution on the marginal and internal gaps of CAD/CAM five-unit anterior zirconia framework.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
383,LC73M2WP,Automated Detection of Middle Mesial Canals in Mandibular Molars on CBCT using nnU-Net: A Retrospective Diagnostic Accuracy Study.,"A5,A6",C4,"G1,G4","【优势】: A5, A6
【挑战】: C4
【缺口】: G1, G4"
1455,JRKEL5DC,Accuracy and Efficiency of Endodontic Microsurgery Assisted by Dynamic Navigation Based on Two Different Registration Methods: An In Vitro Study,"A6,A5",C9,G1,"【优势】: A6, A5
【挑战】: C9
【缺口】: G1"
786,MNH8ZML7,A Novel Approach to Repositioning and Stabilization of a Luxated Tooth With Displacement Using a 3D Printed Guide,"A1,A6",C9,G1,"【优势】: A1, A6
【挑战】: C9
【缺口】: G1"
1379,4S9PAY5N,Biomechanical effect of implant design on four implants supporting mandibular full-arch fixed dentures: In vitro test and finite element analysis,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
1620,ZGJZZYG7,Application of Real-time Augmented Reality-guided Osteotomy and Apex Location in Endodontic Microsurgery: A Surgical Simulation Study Based on 3D-printed Alveolar Bone Model,"A3,A6",C5,"G1,G4","【优势】: A3, A6
【挑战】: C5
【缺口】: G1, G4"
798,MY7LE3CF,Prediction of the bone volume for sinus augmentation through 3-dimensional analysis,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
1898,ZAXSXJM9,Preclinical evaluation of a 3D-printed hydroxyapatite/poly(lactic-co-glycolic acid) scaffold for ridge augmentation,"A1,A9",C4,"G1,G4","【优势】: A1, A9
【挑战】: C4
【缺口】: G1, G4"
2127,T7FYF6BP,3D superimposition of human dentition contours in personal identification: A preliminary study,A6,C4,"G1,G4","【优势】: A6
【挑战】: C4
【缺口】: G1, G4"
75,QAMHCCD9,A Slicer-Independent Framework for Measuring G-Code Accuracy in Medical 3D Printing.,"A2,A5",C9,"G1,G3","【优势】: A2, A5
【挑战】: C9
【缺口】: G1, G3"
1657,QBWG7CKJ,The Integration of Micro-CT Imaging and Finite Element Simulations for Modelling Tooth-Inlay Systems for Mechanical Stress Analysis: A Preliminary Study,A6,C4,"G1,G4","【优势】: A6
【挑战】: C4
【缺口】: G1, G4"
92,3IABES8D,"Comparative evaluation to study the effect of implant support on complete fixed dental prosthesis fabricated with peek framework when implants placed in all-on-4  and all-on-6 situation, by strain gauge analysis and finite element analysis - An  in vitro study.",A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
1069,Y3QGEHSC,AI-Generated vs. Traditional STL Models in CBCT Imaging: A Pilot Study on Measurements Accuracy and Reliability,A9,C4,"G1,G3","【优势】: A9
【挑战】: C4
【缺口】: G1, G3"
116,Q36P232F,Development of Semi-Automatic Dental Image Segmentation Workflows with Root Canal Recognition for Faster Ground Tooth Acquisition.,A5,C4,"G1,G4","【优势】: A5
【挑战】: C4
【缺口】: G1, G4"
551,EU82CKXQ,Analysis of micromovements and peri-implant stresses and strains around ultra-short implants - A three-dimensional finite-element method study.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
493,IM5S2DUC,Finite Element Analysis: Connector Designs and Pontic Stress Distribution of Fixed Partial Denture Implant-Supported Metal Framework.,A9,C9,G1,"【优势】: A9
【挑战】: C9
【缺口】: G1"
50,RSUECYHG,Effect of Different Restorative Materials on Stress Distribution around Dental Implants.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
408,2YGJ6PCB,Evaluation of Stress in the Maxillary Complex of a Unilateral Cleft Lip and Palate on Simulated Occlusal Loading Using Finite Element Analysis.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
2108,7S2EB8EK,Comparison between experimental digital image processing and numerical methods for stress analysis in dental implants with different restorative materials,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
215,BBZVVUEG,Stress distribution and axial force under different filing parameters during root canal preparation: An in vitro FEA and experimental study.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
960,G2CIWA2W,Biomechanical simulation of segmented intrusion of a mandibular canine using Robot Orthodontic Measurement & Simulation System (ROSS),A9,C9,G1,"【优势】: A9
【挑战】: C9
【缺口】: G1"
188,ZF8KYU3K,Stress distribution in endodontically treated external cervical resorption lesions restored with MTA and biodentine - A finite element analysis.,A9,C9,G1,"【优势】: A9
【挑战】: C9
【缺口】: G1"
986,J277RC4P,Effect of Different Implant-Abutment Mismatches on Stress Distribution: A 3-Dimensional Finite Element Study,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
41,SQ3JDDN7,PowerScope 2 functional appliance: A 3D finite element simulation of its action on the mandible.,A9,C9,G9,"【优势】: A9
【挑战】: C9
【缺口】: G9"
