_nt,Title,期刊,Item Type,Key,PassA,PassB,判定,证据,软件,专科,应用场景,研究设计,原始返回
effects of incremental mandibular advancement on upper airways morphology and anatomical structures a preliminary ct scan study on body donors,Effects of incremental mandibular advancement on upper airways morphology and anatomical structures: a preliminary CT scan study on body donors.,Scientific reports,journalArticle,YYJF9M92,INCLUDE,EXCLUDE,INCLUDE,"""a set of standardised measurements, derived from previously published studies was obtained to quantify modifications of the upper airway and surrounding soft tissues using 3D Slicer (version 5.8)""",3D Slicer,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,clinical,"【判定】: INCLUDE
【证据】: ""a set of standardised measurements, derived from previously published studies was obtained to quantify modifications of the upper airway and surrounding soft tissues using 3D Slicer (version 5.8)""
【软件】: 3D Slicer
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: clinical"
suitability and trueness of the removable partial denture framework fabricating by polyether ether ketone with cad cam technology,Suitability and Trueness of the Removable Partial Denture Framework Fabricating by Polyether Ether Ketone with CAD-CAM Technology,POLYMERS,journalArticle,46W9JXVL,INCLUDE,EXCLUDE,INCLUDE,"The image analysis software (Geomagic Wrap 2017, Geomagic, Triangle Park, NC, USA) (Figure 4a,b) was employed to manually register and align the scanned data of the frameworks, both with and without light silicone rubber",Geomagic Wrap,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: The image analysis software (Geomagic Wrap 2017, Geomagic, Triangle Park, NC, USA) (Figure 4a,b) was employed to manually register and align the scanned data of the frameworks, both with and without light silicone rubber
【软件】: Geomagic Wrap
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
three dimensional finite element analysis of full arch implant supported dental restorations complete vs segmented frameworks,Three-dimensional finite element analysis of full-arch implant-supported dental restorations: complete vs. segmented frameworks,FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY,journalArticle,RLHZZQIF,INCLUDE,EXCLUDE,INCLUDE,the model was imported into ANSYS Workbench® 19R1 software for the analysis,ANSYS Workbench,Implantology,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: the model was imported into ANSYS Workbench® 19R1 software for the analysis
【软件】: ANSYS Workbench
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
accuracy and surface roughness of co cr partial denture frameworks with different fabrication methods,Accuracy and surface roughness of Co-Cr partial denture frameworks with different fabrication methods,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,C4T4CYED,INCLUDE,INCLUDE,INCLUDE,"""The STL file of each scanned framework was overlaid with the initial STL file of the design using a surface matching software program (Geomagic Control X; 3D systems Inc)"" 及 ""Geomagic Control X software program was used to measure the accuracy of the fabricated frameworks.""",Geomagic Control X,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: ""The STL file of each scanned framework was overlaid with the initial STL file of the design using a surface matching software program (Geomagic Control X; 3D systems Inc)"" 及 ""Geomagic Control X software program was used to measure the accuracy of the fabricated frameworks.""
【软件】: Geomagic Control X
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
three dimensional volumetric analysis of frontal ethmoidal cells and evaluation of influential factors a helical computed tomography study,Three-Dimensional Volumetric Analysis of Frontal Ethmoidal Cells and Evaluation of Influential Factors: A Helical Computed Tomography Study,TOMOGRAPHY,journalArticle,P8WWLP4V,,INCLUDE,INCLUDE,The DICOM images were analyzed using InVesalius version 3.1 software (http://www. cti.gov.br/invesalius/) (accessed on 10 October 2021) through the manual segmentation of the anatomical structures.,InVesalius,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,clinical,"【判定】: INCLUDE
【证据】: The DICOM images were analyzed using InVesalius version 3.1 software (http://www. cti.gov.br/invesalius/) (accessed on 10 October 2021) through the manual segmentation of the anatomical structures.
【软件】: InVesalius
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: clinical"
tcfnet bidirectional face bone transformation via a transformer based coarse to fine point movement network,TCFNet: Bidirectional face-bone transformation via a Transformer-based coarse-to-fine point movement network.,Medical image analysis,journalArticle,8PBRU82N,INCLUDE,EXCLUDE,INCLUDE,"""All post-processing operations were performed in MeshLab."" 以及 ""Our preprocessing and postprocessing methods relied on Open3D 0.18.0 and MeshLab.""",MeshLab; Open3D,Orthodontics and Orthognathic Surgery,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: ""All post-processing operations were performed in MeshLab."" 以及 ""Our preprocessing and postprocessing methods relied on Open3D 0.18.0 and MeshLab.""
【软件】: MeshLab; Open3D
【专科】: Orthodontics and Orthognathic Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
diva a 3d virtual reality platform improves undergraduate craniofacial trauma education,"DIVA, a 3D virtual reality platform, improves undergraduate craniofacial trauma education",JOURNAL OF STOMATOLOGY ORAL AND MAXILLOFACIAL SURGERY,journalArticle,CM5ESAGD,INCLUDE,INCLUDE,INCLUDE,"""3D reconstructions from CT-scan using Avizo (ThermoFisher Scientiﬁc, Waltham, MA, USA)""",Avizo,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,educational,"【判定】: INCLUDE
【证据】: ""3D reconstructions from CT-scan using Avizo (ThermoFisher Scientiﬁc, Waltham, MA, USA)""
【软件】: Avizo
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: educational"
the microbiological effect of virgin coconut oil on the morphological and volumetric dimensional changes of 3d printed surgical guides in vitro study,The microbiological effect of virgin coconut oil on the morphological and volumetric dimensional changes of 3D printed surgical guides (in vitro study),BMC ORAL HEALTH,journalArticle,QNI34BLU,INCLUDE,EXCLUDE,INCLUDE,"""3D analyzing CAD software (GOM Inspect) was used for the morphological assessment through the surface comparison analysis"" 及 ""A virtual cylinder produced by the 3D analyzing CAD software (GOM Inspect) was fitted into the sleeve space.""",GOM Inspect,Oral and Maxillofacial Surgery,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: ""3D analyzing CAD software (GOM Inspect) was used for the morphological assessment through the surface comparison analysis"" 及 ""A virtual cylinder produced by the 3D analyzing CAD software (GOM Inspect) was fitted into the sleeve space.""
【软件】: GOM Inspect
【专科】: Oral and Maxillofacial Surgery
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
a novel approach for determining instantaneous centers of rotation of the mandible with an intraoral scanner a preliminary study,A novel approach for determining instantaneous centers of rotation of the mandible with an intraoral scanner: A preliminary study.,PloS one,journalArticle,7GANPVVG,INCLUDE,INCLUDE,INCLUDE,"""we used an alignment process combined with a substitutional phase carried out in Blender 2.79.2 (Blender Foundation, Amsterdam), which is an open-source general-purpose modeling program."" 以及 ""Blender software was used to align the meshes during the post-scan digital workflow.""",Blender,Prosthodontics,3D data analysis and accuracy assessment,computational,"【判定】: INCLUDE
【证据】: ""we used an alignment process combined with a substitutional phase carried out in Blender 2.79.2 (Blender Foundation, Amsterdam), which is an open-source general-purpose modeling program."" 以及 ""Blender software was used to align the meshes during the post-scan digital workflow.""
【软件】: Blender
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: computational"
an in vitro study of the reproducibility of the drilling access of digitalized surgical guides generated via three different implant planning software programs,An In Vitro Study of the Reproducibility of the Drilling Access of Digitalized Surgical Guides Generated via Three Different Implant Planning Software Programs,APPLIED SCIENCES-BASEL,journalArticle,YHMC9EU4,INCLUDE,EXCLUDE,INCLUDE,"""a demonstration of a Standard Tessellation Language file (.STL file) of an entire arch ... was transferred to a three-dimensional software program (Meshmixer™, Autodesk® Inc., San Francisco, CA, USA). The demonstration model was sectioned from the entire arch into a four-tooth area ... The sectioned demonstration model was then merged with a 50 mm diameter and 10 mm high cylinder created in the Meshmixer™ program.""",Meshmixer,Oral and Maxillofacial Surgery,Digital design and manufacturing,in_vitro,"【判定】: INCLUDE
【证据】: ""a demonstration of a Standard Tessellation Language file (.STL file) of an entire arch ... was transferred to a three-dimensional software program (Meshmixer™, Autodesk® Inc., San Francisco, CA, USA). The demonstration model was sectioned from the entire arch into a four-tooth area ... The sectioned demonstration model was then merged with a 50 mm diameter and 10 mm high cylinder created in the Meshmixer™ program.""
【软件】: Meshmixer
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Digital design and manufacturing
【研究设计】: in_vitro"
mandible segmentation of dental cbct scans affected by metal artifacts using coarse to fine learning model,Mandible Segmentation of Dental CBCT Scans Affected by Metal Artifacts Using Coarse-to-Fine Learning Model,JOURNAL OF PERSONALIZED MEDICINE,journalArticle,F78S65N9,INCLUDE,EXCLUDE,INCLUDE,"These gold standard labels were created by the manual segmentation of all CBCT scans by three experienced medical engineers using Mimics software 20.0 (Materialise, Leuven, Belgium).",Mimics,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: These gold standard labels were created by the manual segmentation of all CBCT scans by three experienced medical engineers using Mimics software 20.0 (Materialise, Leuven, Belgium).
【软件】: Mimics
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
three dimensional analysis of mandibular and condylar growth using artificial intelligence tools a comparison of twin block and frankel ii appliances,Three-dimensional analysis of mandibular and condylar growth using artificial intelligence tools: a comparison of twin-block and Frankel II Appliances,BMC ORAL HEALTH,journalArticle,Y5JWYY4F,INCLUDE,EXCLUDE,INCLUDE,"the segmentation process in this study involved semi-automatic (SA) segmentation using ITK-SNAP 4.0.1 (Pennsylvania, USA) with manual checking (slice-by-slice editing) to adjust boundaries",ITK-SNAP,Orthodontics,Image segmentation and 3D reconstruction,clinical,"【判定】: INCLUDE
【证据】: the segmentation process in this study involved semi-automatic (SA) segmentation using ITK-SNAP 4.0.1 (Pennsylvania, USA) with manual checking (slice-by-slice editing) to adjust boundaries
【软件】: ITK-SNAP
【专科】: Orthodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: clinical"
pressure based finite element analysis of setup distance in clear aligner canine retraction comparing bodily and tipping movements,Pressure-based finite element analysis of setup distance in clear aligner canine retraction comparing bodily and tipping movements.,Scientific reports,journalArticle,IYKJ62I6,INCLUDE,EXCLUDE,INCLUDE,"A three-dimensional FEA was performed using ANSYS Mechanical 2024R (ANSYS Inc., Canonsburg, PA, USA) to simulate upper canine retraction for space closure.",ANSYS,Orthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: A three-dimensional FEA was performed using ANSYS Mechanical 2024R (ANSYS Inc., Canonsburg, PA, USA) to simulate upper canine retraction for space closure.
【软件】: ANSYS
【专科】: Orthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
computer aided orthognathic surgery a general method for designing and manufacturing personalized cutting repositioning templates,Computer Aided Orthognathic Surgery: A General Method for Designing and Manufacturing Personalized Cutting/Repositioning Templates,APPLIED SCIENCES-BASEL,journalArticle,B2M3DARR,INCLUDE,EXCLUDE,INCLUDE,"""The DICOM ... images from the CT scan of the involved zones, in this case the jaws, were imported in the open-source software 3D Slicer ... and used to realize the segmentation."" / ""3D models are primarily converted, using the same software, into STL ... and then, using Geomagic software (Design X rel., 3D Systems, Rock Hill, SC, USA) into IGES ... models"" / ""the models are imported into Rhinoceros (Robert McNeel & Associates, Seattle, WA, USA) for preparing the data for template design.""",3D Slicer; Geomagic Design X; Rhinoceros,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,technical_note,"【判定】: INCLUDE
【证据】: ""The DICOM ... images from the CT scan of the involved zones, in this case the jaws, were imported in the open-source software 3D Slicer ... and used to realize the segmentation."" / ""3D models are primarily converted, using the same software, into STL ... and then, using Geomagic software (Design X rel., 3D Systems, Rock Hill, SC, USA) into IGES ... models"" / ""the models are imported into Rhinoceros (Robert McNeel & Associates, Seattle, WA, USA) for preparing the data for template design.""
【软件】: 3D Slicer; Geomagic Design X; Rhinoceros
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: technical_note"
a comparison of denture base retention and adaptation between cad cam and conventional fabrication techniques,A Comparison of Denture Base Retention and Adaptation Between CAD/CAM and Conventional Fabrication Techniques,INTERNATIONAL JOURNAL OF PROSTHODONTICS,journalArticle,34EC3W3G,INCLUDE,INCLUDE,INCLUDE,"""outputting an STL file that was imported into the Meshmixer software to flip the fitting surface of the denture base"" 及 ""superimposed on the STL file of the corresponding definitive cast by using surface matching software (Geomagic Control X 64)""",Meshmixer; Geomagic Control X,Prosthodontics,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: ""outputting an STL file that was imported into the Meshmixer software to flip the fitting surface of the denture base"" 及 ""superimposed on the STL file of the corresponding definitive cast by using surface matching software (Geomagic Control X 64)""
【软件】: Meshmixer; Geomagic Control X
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
mechanical performance of chairside ceramic cad cam restorations and zirconia abutments with different internal implant connections in vitro study and finite element analysis,Mechanical Performance of Chairside Ceramic CAD/CAM Restorations and Zirconia Abutments with Different Internal Implant Connections: In Vitro Study and Finite Element Analysis,MATERIALS,journalArticle,KLM4ETUM,INCLUDE,EXCLUDE,INCLUDE,"The CAD models of each piece were modelled in Solidworks 2019 (Dassault Systèmes, Waltham, MA, USA) and were imported into Ansys Workbench 2019 (ANSYS, Inc., Canonsburg, PA, USA), where the corresponding ﬁnite element models were created",SolidWorks; ANSYS Workbench,Prosthodontics,Biomechanical analysis and simulation,in_vitro,"【判定】: INCLUDE
【证据】: The CAD models of each piece were modelled in Solidworks 2019 (Dassault Systèmes, Waltham, MA, USA) and were imported into Ansys Workbench 2019 (ANSYS, Inc., Canonsburg, PA, USA), where the corresponding ﬁnite element models were created
【软件】: SolidWorks; ANSYS Workbench
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: in_vitro"
stress distribution in titanium and zirconia implants with full arch prostheses a finite element analysis,Stress distribution in titanium and zirconia implants with full-arch prostheses: a finite element analysis.,BMC oral health,journalArticle,2CNYCSQG,INCLUDE,EXCLUDE,INCLUDE,"""The CT data were processed using 3DSlicer software and converted to stereolithography (STL) format. Reverse engineering processes were performed using Blender software; preparation for finite element analysis (FEA) and optimization of the mesh structure were achieved using ALTAIR Hypermesh. Model solutions were completed using the ALTAIR OptiStruct (ALTAIR, Troy, MI, USA) solver.""",3D Slicer; Blender; ALTAIR HyperMesh; ALTAIR OptiStruct,Oral and Maxillofacial Surgery,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""The CT data were processed using 3DSlicer software and converted to stereolithography (STL) format. Reverse engineering processes were performed using Blender software; preparation for finite element analysis (FEA) and optimization of the mesh structure were achieved using ALTAIR Hypermesh. Model solutions were completed using the ALTAIR OptiStruct (ALTAIR, Troy, MI, USA) solver.""
【软件】: 3D Slicer; Blender; ALTAIR HyperMesh; ALTAIR OptiStruct
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
comparative analysis of five ai platforms for mandibular canal segmentation on cbct images,Comparative analysis of five AI platforms for mandibular canal segmentation on CBCT images,JOURNAL OF DENTISTRY,journalArticle,4PBV2R5L,INCLUDE,INCLUDE,INCLUDE,"""A total of 120 anonymized CBCT scans (240 MCs) were analyzed using five fully automated AI-based segmentation platforms: Atomica (Atomica AI, USA), BlueSkyPlan (Blue Sky Bio, USA), Craniocatch (Craniocatch, Türkiye), 3D Slicer (open-source, USA), and Relu Creator (Relu BV, Belgium)."" 以及 ""3D Slicer (version 5.7.0, open-source, USA), an open-source biomedical imaging platform. In this study, the DentalSegmentator extension (version 1.0.0-alpha), based on the nnU-Net DL framework, was used for ful",3D Slicer,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: ""A total of 120 anonymized CBCT scans (240 MCs) were analyzed using five fully automated AI-based segmentation platforms: Atomica (Atomica AI, USA), BlueSkyPlan (Blue Sky Bio, USA), Craniocatch (Craniocatch, Türkiye), 3D Slicer (open-source, USA), and Relu Creator (Relu BV, Belgium)."" 以及 ""3D Slicer (version 5.7.0, open-source, USA), an open-source biomedical imaging platform. In this study, the DentalSegmentator extension (version 1.0.0-alpha), based on the nnU-Net DL framework, was used for fully automated segmentation of the MC and surrounding osseous structures.""
【软件】: 3D Slicer
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
study on fracture behavior of molars based on three dimensional high precision computerized tomography scanning and numerical simulation,Study on fracture behavior of molars based on three-dimensional high-precision computerized tomography scanning and numerical simulation,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN BIOMEDICAL ENGINEERING,journalArticle,CL73C5HV,INCLUDE,EXCLUDE,INCLUDE,The Avizo software was used to visualize the 3D reconstruction of tooth and accurately characterize the composite structure model of tooth.,Avizo,Endodontics,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: The Avizo software was used to visualize the 3D reconstruction of tooth and accurately characterize the composite structure model of tooth.
【软件】: Avizo
【专科】: Endodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
clinical implementation of an eu mdr compliant point of care manufacturing framework for patient specific 3d printed peek implants in craniomaxillofacial reconstruction,Clinical implementation of an EU MDR-compliant point-of-care manufacturing framework for patient-specific 3D-printed PEEK implants in craniomaxillofacial  reconstruction.,3D printing in medicine,journalArticle,W3DKWQAN,INCLUDE,EXCLUDE,INCLUDE,"CT datasets exported in Digital Imaging and Communications in Medicine (DICOM) format were processed using MIMICS Innovation Suite (v.25.0 for cranial case, v.26.0 for facial case; Materialise NV, Leuven, Belgium). ... Computer-aided design (CAD) software (Geomagic Freeform Plus v2022.0.34, Hexagon AB, Stockholm, Sweden) integrated with medical imaging platforms enabled iterative surgeon-engineer design review",MIMICS Innovation Suite; Geomagic Freeform Plus,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,technical_note,"【判定】: INCLUDE
【证据】: CT datasets exported in Digital Imaging and Communications in Medicine (DICOM) format were processed using MIMICS Innovation Suite (v.25.0 for cranial case, v.26.0 for facial case; Materialise NV, Leuven, Belgium). ... Computer-aided design (CAD) software (Geomagic Freeform Plus v2022.0.34, Hexagon AB, Stockholm, Sweden) integrated with medical imaging platforms enabled iterative surgeon-engineer design review
【软件】: MIMICS Innovation Suite; Geomagic Freeform Plus
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: technical_note"
robot assisted augmented reality navigation for osteotomy and personalized guide plate in mandibular reconstruction a preclinical study,Robot-assisted augmented reality navigation for osteotomy and personalized guide-plate in mandibular reconstruction: a preclinical study,BMC ORAL HEALTH,journalArticle,WVD49PF9,INCLUDE,EXCLUDE,INCLUDE,"""the virtual surgical plan was imported into 3-matic software (Materialise, Belgium) to design a 1.5 mm pseudo-titanium plate and a 3 mm reconstruction guide-plate"" 及 ""3-matic software was used to compare virtual surgical reconstruction models with postoperative reconstruction models.""",3-Matic,Oral and Maxillofacial Surgery,Digital design and manufacturing,preclinical,"【判定】: INCLUDE
【证据】: ""the virtual surgical plan was imported into 3-matic software (Materialise, Belgium) to design a 1.5 mm pseudo-titanium plate and a 3 mm reconstruction guide-plate"" 及 ""3-matic software was used to compare virtual surgical reconstruction models with postoperative reconstruction models.""
【软件】: 3-Matic
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Digital design and manufacturing
【研究设计】: preclinical"
the accuracy of a novel image guided hybrid robotic system for dental implant placement an in vitro study,The accuracy of a novel image-guided hybrid robotic system for dental implant placement: An in vitro study.,The international journal of medical robotics + computer assisted surgery : MRCAS,journalArticle,NV8EMBKE,INCLUDE,EXCLUDE,INCLUDE,"""The Cone‐beam Computed Tomography (CBCT) data of a patient with complete dentition, which was acquired using Planmeca ProMax (Planmeca Oy, Helsinki, Södra Finland, Finland), was imported to Geomagic Studio (3D Systems Inc., Rock Hill, South Carolina, USA)."" 以及 ""The preoperative plan was exported in STL format and imported into Brainlab CMF software (BrainLAB AG, Munich, Freistaat Bayern, Germany) along with the preoperative CBCT.""",Geomagic Studio; Brainlab CMF,Implantology,Surgical planning and precise implementation,in_vitro,"【判定】: INCLUDE
【证据】: ""The Cone‐beam Computed Tomography (CBCT) data of a patient with complete dentition, which was acquired using Planmeca ProMax (Planmeca Oy, Helsinki, Södra Finland, Finland), was imported to Geomagic Studio (3D Systems Inc., Rock Hill, South Carolina, USA)."" 以及 ""The preoperative plan was exported in STL format and imported into Brainlab CMF software (BrainLAB AG, Munich, Freistaat Bayern, Germany) along with the preoperative CBCT.""
【软件】: Geomagic Studio; Brainlab CMF
【专科】: Implantology
【应用场景】: Surgical planning and precise implementation
【研究设计】: in_vitro"
ai assisted identification of the medial lingual foramen on cbct a deep learning approach for preoperative implant assessment,AI-Assisted Identification of the Medial Lingual Foramen on CBCT: A Deep Learning Approach for Preoperative Implant Assessment.,"Medicina (Kaunas, Lithuania)",journalArticle,MVGIWU9B,INCLUDE,EXCLUDE,INCLUDE,Manual annotations were performed in 3D Slicer (v4.13.0) on sagittal slices.,3D Slicer,Implant Dentistry,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: Manual annotations were performed in 3D Slicer (v4.13.0) on sagittal slices.
【软件】: 3D Slicer
【专科】: Implant Dentistry
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
oral anatomical knowledge informed semi supervised learning for 3d dental cbct segmentation and lesion detection,Oral-Anatomical Knowledge-Informed Semi-Supervised Learning for 3D Dental CBCT Segmentation and Lesion Detection,IEEE Transactions on Automation Science and Engineering,journalArticle,HCE22CUF,INCLUDE,EXCLUDE,INCLUDE,"""To create labeled images, manual segmentation was obtained using ITK-SNAP, a specialized software tool that provides semi-automatic segmentation.""",ITK-SNAP,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: ""To create labeled images, manual segmentation was obtained using ITK-SNAP, a specialized software tool that provides semi-automatic segmentation.""
【软件】: ITK-SNAP
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
workflow for guided implant placement based on anatomic landmarks and the cad cam fabrication of a prosthetic framework for an implant supported fixed dental prosthesis,Workflow for guided implant placement based on anatomic landmarks and the CAD-CAM fabrication of a prosthetic framework for an implant-supported fixed dental prosthesis,JOURNAL OF PROSTHETIC DENTISTRY,journalArticle,YWYMMHNG,INCLUDE,EXCLUDE,INCLUDE,"""import the Digital Imaging and Communications in Medicine (DICOM) dataset into a medical imaging software program (Mimics; Materialise NV, 3DSlicer; Brigham and Women’s Hospital and Harvard Medical School, or InVesalius; Renato Archer Information Technology Center)"" 及 ""Import the waxing and implant-abutment complex into CAD software program (SpaceClaim; Ansys Inc)""",Mimics; 3D Slicer; InVesalius; SpaceClaim (Ansys),Implantology (Prosthodontics),Surgical planning and precise implementation,technical_note,"【判定】: INCLUDE
【证据】: ""import the Digital Imaging and Communications in Medicine (DICOM) dataset into a medical imaging software program (Mimics; Materialise NV, 3DSlicer; Brigham and Women’s Hospital and Harvard Medical School, or InVesalius; Renato Archer Information Technology Center)"" 及 ""Import the waxing and implant-abutment complex into CAD software program (SpaceClaim; Ansys Inc)""
【软件】: Mimics; 3D Slicer; InVesalius; SpaceClaim (Ansys)
【专科】: Implantology (Prosthodontics)
【应用场景】: Surgical planning and precise implementation
【研究设计】: technical_note"
stress distribution of monolithic and veneered three unit zirconia fdps a finite element analysis,STRESS DISTRIBUTION OF MONOLITHIC AND VENEERED THREE-UNIT ZIRCONIA FDPS: A FINITE ELEMENT ANALYSIS,INTERNATIONAL JOURNAL OF PROSTHODONTICS,journalArticle,39AN7GMH,INCLUDE,INCLUDE,INCLUDE,"""All files were then cleaned and converted to a proper (.IGES) format using ANSYS SpaceClaim software (ANSYS company, Canonsburg, PA, USA). The geometries were imported into ANSYS software (ANSYS 18.2, ANSYS company, Canonsburg, PA, USA) to generate the meshing for each model."" 以及 ""The analysis was conducted using ANSYS (ANSYS 18.2, ANSYS company, Canonsburg, PA, USA).""",ANSYS; ANSYS SpaceClaim,Prosthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""All files were then cleaned and converted to a proper (.IGES) format using ANSYS SpaceClaim software (ANSYS company, Canonsburg, PA, USA). The geometries were imported into ANSYS software (ANSYS 18.2, ANSYS company, Canonsburg, PA, USA) to generate the meshing for each model."" 以及 ""The analysis was conducted using ANSYS (ANSYS 18.2, ANSYS company, Canonsburg, PA, USA).""
【软件】: ANSYS; ANSYS SpaceClaim
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
combining coaxial electrospinning and 3d printing design of biodegradable bilayered membranes with dual drug delivery capability for periodontitis treatment,Combining Coaxial Electrospinning and 3D Printing: Design of Biodegradable Bilayered Membranes with Dual Drug Delivery Capability for Periodontitis  Treatment.,ACS applied bio materials,journalArticle,N6CQF3L9,,INCLUDE,INCLUDE,"""a honeycomb-like 3D model with dimensions of 25 mm × 15 mm × 0.5 mm was designed using CAD software before printing, and the nozzle toolpath (G-code) was prepared with the use of Cura 3D software""",Cura,Periodontology,Digital design and manufacturing,in_vitro,"【判定】: INCLUDE
【证据】: ""a honeycomb-like 3D model with dimensions of 25 mm × 15 mm × 0.5 mm was designed using CAD software before printing, and the nozzle toolpath (G-code) was prepared with the use of Cura 3D software""
【软件】: Cura
【专科】: Periodontology
【应用场景】: Digital design and manufacturing
【研究设计】: in_vitro"
performance of rigid and soft transfer templates using viscous and fluid resin based composites in the attachment bonding process of clear aligners,Performance of Rigid and Soft Transfer Templates Using Viscous and Fluid Resin-Based Composites in the Attachment Bonding Process of Clear Aligners.,International journal of dentistry,journalArticle,7ECMK5KU,,INCLUDE,INCLUDE,"""All numerical analysis and data processing have been carried out in Matlab.""",MATLAB,Orthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: ""All numerical analysis and data processing have been carried out in Matlab.""
【软件】: MATLAB
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
skeletal facial asymmetry reliability of manual and artificial intelligence driven analysis,Skeletal facial asymmetry: reliability of manual and artificial intelligence-driven analysis,DENTOMAXILLOFACIAL RADIOLOGY,journalArticle,RFPYNGAN,INCLUDE,EXCLUDE,INCLUDE,"All manual measurements were performed using OsiriX MD v. 13.1 (Pixmeo SARL; Geneva, Switzerland).",OsiriX MD,Oral and Maxillofacial Radiology,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: All manual measurements were performed using OsiriX MD v. 13.1 (Pixmeo SARL; Geneva, Switzerland).
【软件】: OsiriX MD
【专科】: Oral and Maxillofacial Radiology
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
