序号,Key,Title,Archetype
238,K9F3VXCV,Precise maxillectomy reconstruction with a scapula flap using novel in-house 3D-printed surgical guides.,1
239,2TTJ5J6D,New method for analysing spatial relationships of facial muscles on MRI: a pilot study,1
240,L3AXKYYL,Registration of magnetic resonance and computed tomography images in patients with oral squamous cell carcinoma for three-dimensional virtual planning of mandibular resection and reconstruction,2
241,TCEB4QZU,An innovative AI-based dual segmentation application for head surgery,1
242,7GRJAY7C,Computer-assisted surgery with markerless augmented reality for the surgical removal of mandibular odontogenic cysts: report of two clinical cases,1
243,CA3MCA2T,Soft tissue-based registration of intraoral scan with cone beam computed tomography scan,2
244,VF5QRJ45,Three-dimensional evaluation of tooth preparation forms in paediatric zirconia crowns: An in vitro study,1
245,QQ6NHWZM,Regenerative Orthodontics: GBR and Corticotomy to Stretch the Limits of Orthodontic Treatment,2
246,3L3AZP53,"WEAR, FATIGUE, AND FRACTURE RESISTANCE OF DIFFERENT MONOLITHIC CAD/CAM ONLAYS AS ABUTMENTS FOR ACETAL RESIN OR COBALT-CHROMIUM REMOVABLE PARTIAL DENTURE  FRAMEWORKS.",3
247,ZBFWEZCA,Digital Gothic Arch Tracing Device with Open- Source Software for CAD/CAM Denture Fabrication.,4
248,PNUIRE9F,Effect of Using Cheek Retractors on Patient Satisfaction and Trueness of Peripheral Borders in Maxillary Digital Scans for Totally Edentulous Patients: An  In Vivo Study.,2
249,5RKTEJM6,"Evaluation of Surface Characteristics, Accuracy, and Dimensional Stability of Tooth Preparation Dies Fabricated by Conventional Gypsum and 3D-Printed  Workflows.",2
250,Z5PYCCYC,Accuracy of Digital Impressions Obtained Using Six Intraoral Scanners in Partially Edentulous Dentitions and the Effect of Scanning Sequence,2
251,LRXPJYLH,Accuracy of Four Different Intraoral Scanners According to Different Preparation Geometries,2
252,RIBUBPAA,Investigation of Stress Distribution Between Two Different Implant Concepts in Implant-Supported Maxillary Prostheses with Different Framework Materials: A Finite Element Study,3
253,QJDV5PK4,Biomechanical Performance of PEEK and Graphene-Modified PMMA as Telescopic Removable Partial Denture Materials: A Nonlinear 3D Finite Element Analysis,3
254,Q68ZEUCG,Voxel-based superimposition of Cone Beam CT scans for orthodontic and craniofacial follow-up: Overview and clinical implementation.,2
255,AJW3ZDYY,Mandibular asymmetry retreatment with minimal presurgical orthodontic preparation and fully customized lingual orthodontics: A case report with new possibilities  using blender open-source software.,1
256,SILBC2M4,A study on the association between the inferior nasal turbinate volume and the maxillary sinus mucosal lining using cone beam tomography,1
257,XG3GHLVR,Enhancing skeletal stability and Class III correction through active orthodontist engagement in virtual surgical planning: A voxel-based 3-dimensional analysis,2
258,EQ8LE4IL,Computer-aided design and fabrication of statistically shaped nasal prostheses: A feasibility study,1
259,IDQSDLWM,Finite-Element Analysis of the Effect of Utilizing Various Material Assemblies in “All on Four” on the Stresses on Mandible Bone and Prosthetic Parts,3
260,IUL8I974,Effect of internal structures on the accuracy of 3D printed full-arch dentition preparation models in different printing systems,2
261,T5FJEIPG,BounTI (boundary-preserving threshold iteration): A user-friendly tool for automatic hard tissue segmentation.,1
262,VK8QS8J5,A mathematical algorithm of the facial symmetry plane: Application to mandibular deformity 3D facial data,1
263,MAV6QNXN,In Silico Mechanical Effort Analysis of the All-On-4 Design Performed With Platform-Switching Distal Short Dental Implants,3
264,LK5R8TKE,The all-on-4 concept in the maxilla-A biomechanical analysis involving high performance polymers.,3
265,KFMHNQAV,In-House 3D Printed Positioning and Cutting Guide System for Mandibular Reconstruction. Protocol and case report.,1
266,IRINA65L,Interdisciplinary innovative approach to an aggressive ossifying fibroma case: Integrating 3D surgery and customized reconstruction in maxillofacial and dental  care.,1
267,AQ37V5WT,Assessment of the stresses produced on the bone implant/tissue interface to the different insertion angulations of the implant - a three-dimensional analysis by  the finite elements method.,3
268,T43PJP5P,"A Complete Digital Workflow for Planning, Simulation, and Evaluation in Orthognathic Surgery",1
269,ED4NLMLY,Restoring Mandibular Anatomy After Complex Trauma: Clinical Applications of a Statistical Shape Model,1
270,ZFEP26RP,A User-Friendly Protocol for Mandibular Segmentation of CBCT Images for Superimposition and Internal Structure Analysis,1
271,NXZDYPC2,A Reproducible 3D Classification of Orbital Morphology Derived from CBCT and FBCT Segmentation,1
272,9MVRH769,Digitization of Dentate and Edentulous Maxillectomy and Mandibulectomy Defects with Three Different Intraoral Scanners: A Comparative In Vitro Study,2
273,7D3DPPH4,"Influence of Preparation Design, Marginal Gingiva Location, and Tooth Morphology on the Accuracy of Digital Impressions for Full-Crown Restorations: An In Vitro Investigation",2
274,9MP86R5J,No Significant Bone Resorption after Open Treatment of Mandibular Condylar Head Fractures in the Medium-Term,1
275,XRXG22EC,Correlation Analysis of Nasal Septum Deviation and Results of AI-Driven Automated 3D Cephalometric Analysis,1
276,EN8V4LGH,Accurate Bracket Placement with an Indirect Bonding Method Using Digitally Designed Transfer Models Printed in Different Orientations-An In Vitro Study,2
277,7N57MWGV,Automatic Segmentation of the Nasolacrimal Canal: Application of the nnU-Net v2 Model in CBCT Imaging,1
278,L5U9ITAK,Early Placement of Patient-Specific One-Piece Drill-Free Fully Digital Designed Dental Implants: A Feasibility Study,4
279,WYDE6M86,A 3-D Finite Element Analysis of Stress Distribution on Implant-supported Fixed Prosthesis with Four Different Commercially Available Implant Systems.,3
280,L8M7M2BX,Endodontic Treatment of a Molar with Peculiar Anatomy: Case Study with CBCT and 3D Printed Model.,1
281,5TGPGAFM,Comparative Evaluation of Stress Distribution around Various Threaded Implants with and without Platform Switch: A 3-D Finite Element Analysis.,3
282,Z2SBK7IA,Patient-Specific Implant Customization for Treatment of Internal Orbital Fractures Using Office-Based Three-Dimensional Printing.,1
283,2TJBVIZP,Using 3D Printing and Mirror Image Modeling in Orbital Floor Reconstruction.,1
284,2AL8ZQJG,Using a New Deep Learning Method for 3D Cephalometry in Patients With Cleft Lip and Palate.,1
285,VPLLGW2S,Volumetric and Morphological Analysis of Mandibular Condyles of Angle Class 2 and 3 Malocclusion Patients,1
286,9HL5KCJ3,Fully Digital Workflow for an Immediate Implant-Retained Prosthesis Following Maxillectomy Resection Surgery,1
287,5SW9J4UC,Biomechanical Behavior of Different Distributions of Zygoma and Pterygoid Implants in Rehabilitation of Severely Atrophic Posterior Maxilla: A 3D Finite Element Analysis,3
288,SW2VBSEU,Facial asymmetry in syndromic craniosynostosis patients undergoing midface surgery compared to a large general population.,1
289,K7WRBECT,Postoperative assessment of forehead contouring in facial feminization surgery,4
290,VPIYMEQ5,A portable mixed reality navigation system for oral and maxillofacial surgery: Design and preliminary clinical evaluation,1
291,46CXKFWE,AI-assisted Software Development in Digital Dentistry: A Technical Innovation Report with Three Open-Source Applications.,2
292,UI48XFYD,A comparative analysis of soft tissue volumetric alterations utilizing root mean square and positive and negative average calculations through two software.,1
293,TQZ3FUDA,Automated orofacial virtual patient creation: A proof of concept.,1
294,Y6BWB87N,Accuracy of a Novel Semi-Autonomous Robotic-Assisted Surgery System for Single Implant Placement: a Case Series.,2
295,E39JLY9S,Effect of the number and distribution of fiducial markers on the accuracy of robot-guided implant surgery in edentulous mandibular arches: An in vitro study.,1
296,XK8P9LMU,Application of the virtual-fit method for fixed complete denture cases designed on intraoral scans: Effect of cement spacing.,2
297,8KHY7GJA,Accuracy of single implant scans with a combined healing abutment-scan body system and different intraoral scanners: An in vitro study.,2
298,RX5BZKF9,Facial scanning accuracy depending on the alignment algorithm and digitized surface area location: An in vitro study.,2
299,7TRUUDTS,Accuracy of conventional impressions and digital scans for implant-supported fixed prostheses in maxillary free-ended partial edentulism: An in vitro study.,2
300,AN569QGJ,Effect of auxiliary geometric devices on the accuracy of intraoral scans in full-arch implant-supported rehabilitations: An in vitro study.,2
301,JR957DQR,Chairside virtual patient protocol. Part 1: Free vs Guided face scan protocol.,2
302,45ZDRSPX,Feasibility and accuracy of a partial point cloud registration method for transoral robot-assisted surgery of zygoma fracture: A phantom study,2
303,DXKTSK7K,Artificial intelligence and augmented reality for guided implant surgery planning: A proof of concept,1
304,JCMKQXDT,"Comparison of the accuracy of static and dynamic computer-assisted implant surgery in extraction sockets, encased healed sites, and distal extension: an in vitro study",2
305,B88UY5CW,Retentive design of a small surgical guide for implant surgery: An in-vitro study,2
306,KI9W5W7K,Segmentation of the upper airway using deep learning - nnUNet,1
307,YCC6S4PK,"An alternative approach to code, store, and regenerate 3D data in dental medicine using open-source software: A scripting-based technique",2
308,AXSX89GF,DentalSegmentator: Robust open source deep learning-based CT and CBCT image segmentation,1
309,ITMJC47T,Influence of three coded healing abutment design on intraoral scan accuracy: a comparative in vitro study,2
310,4BWKTZSG,Explainable artificial intelligence to quantify adenoid hypertrophy-related upper airway obstruction using 3D Shape Analysis,1
311,VY5CRRHN,Accuracy of dental implant placement using static versus dynamic computer-assisted implant surgery: An in vitro study,4
312,SE34LAZ9,Risk assessment of inferior alveolar nerve injury after wisdom tooth removal using 3D AI-driven models: A within-patient study,1
313,LEAIKBNU,Effect of triangular mesh resolution on the geometrical trueness of segmented CBCT maxillofacial data into STL format,4
314,7CLZIHKA,Complete arch implant capture using a photogrammetry algorithm and smartphone app: An in vitro study,4
315,KTMFTBUV,Chairside virtual patient protocol. Part 3: In vitro accuracy of a digital facebow,4
316,2FFUFDEY,Adaptation of maxillary removable partial denture frameworks fabricated with a direct digital workflow: A randomized crossover clinical trial,2
317,V2HXN7RX,Influence of the dental arch and number of cutting-off and rescanning mesh holes on the accuracy of implant scans in partially edentulous situations,2
318,RFBGE32H,Enhancing dental education with a 3D point cloud comparison and augmented reality for auto-evaluation of fixed prosthodontic practice: An in vitro study,2
319,WCEUBWKT,Accuracy of single-implant digital impression with various scanbody exposure levels at anterior and posterior regions,2
320,A9DPU6MJ,Layered deep learning for automatic mandibular segmentation in cone-beam computed tomography,1
321,28GE8FQS,A straightforward protocol for designing an interim hollow shell with open-source software,4
322,4UA3PSB8,"A 3D in vitro model of biphasic calcium phosphate (BCP) scaffold combined with human osteoblasts, osteoclasts, and endothelial cells as a platform to mimic the oral microenvironment for tissue regeneration",4
323,ZQUSKV8U,Trueness of artificial intelligence-driven CBCT tooth segmentation: A comparative validation ex vivo pilot study,1
324,3DSGGH64,Augmented Reality of Anatomical Structures of the Maxillomandibular Complex for Learning Dental Radiographic Techniques,4
325,X97T8NRA,Intelligent Virtual Dental Implant Placement via 3D Segmentation Strategy,1
326,KCI2D4H9,Effect of three different veneering techniques on the stress distribution and in vitro fatigue behavior of core-veneer all-ceramic fixed partial dentures.,3
327,4WXYA3TN,Evaluation of stress distribution in and around dental implants using three different implant-abutment interfaces with platform-switched and  non-platform-switched abutments: A three-dimensional finite element analysis.,3
328,AGK8CVHH,Virtual 3D tooth creation for personized haptic simulation training in access cavity preparation.,4
329,UWH984BZ,The influence of pontic distribution on the marginal and internal gaps of CAD/CAM five-unit anterior zirconia framework.,4
330,MY7LE3CF,Prediction of the bone volume for sinus augmentation through 3-dimensional analysis,1
331,6CWVAMF6,Comparison of precision of implant placement between two different guided systems for static computer-assisted implant surgery: A simulation-based experimental study,4
332,LC73M2WP,Automated Detection of Middle Mesial Canals in Mandibular Molars on CBCT using nnU-Net: A Retrospective Diagnostic Accuracy Study.,1
333,MNH8ZML7,A Novel Approach to Repositioning and Stabilization of a Luxated Tooth With Displacement Using a 3D Printed Guide,1
334,JRKEL5DC,Accuracy and Efficiency of Endodontic Microsurgery Assisted by Dynamic Navigation Based on Two Different Registration Methods: An In Vitro Study,1
335,ZGJZZYG7,Application of Real-time Augmented Reality-guided Osteotomy and Apex Location in Endodontic Microsurgery: A Surgical Simulation Study Based on 3D-printed Alveolar Bone Model,1
336,T7FYF6BP,3D superimposition of human dentition contours in personal identification: A preliminary study,1
337,4S9PAY5N,Biomechanical effect of implant design on four implants supporting mandibular full-arch fixed dentures: In vitro test and finite element analysis,3
338,ZAXSXJM9,Preclinical evaluation of a 3D-printed hydroxyapatite/poly(lactic-co-glycolic acid) scaffold for ridge augmentation,4
339,QBWG7CKJ,The Integration of Micro-CT Imaging and Finite Element Simulations for Modelling Tooth-Inlay Systems for Mechanical Stress Analysis: A Preliminary Study,3
340,QAMHCCD9,A Slicer-Independent Framework for Measuring G-Code Accuracy in Medical 3D Printing.,2
341,Q36P232F,Development of Semi-Automatic Dental Image Segmentation Workflows with Root Canal Recognition for Faster Ground Tooth Acquisition.,1
342,Y3QGEHSC,AI-Generated vs. Traditional STL Models in CBCT Imaging: A Pilot Study on Measurements Accuracy and Reliability,1
343,3IABES8D,"Comparative evaluation to study the effect of implant support on complete fixed dental prosthesis fabricated with peek framework when implants placed in all-on-4  and all-on-6 situation, by strain gauge analysis and finite element analysis - An  in vitro study.",3
344,EU82CKXQ,Analysis of micromovements and peri-implant stresses and strains around ultra-short implants - A three-dimensional finite-element method study.,3
345,RSUECYHG,Effect of Different Restorative Materials on Stress Distribution around Dental Implants.,3
346,IM5S2DUC,Finite Element Analysis: Connector Designs and Pontic Stress Distribution of Fixed Partial Denture Implant-Supported Metal Framework.,3
347,2YGJ6PCB,Evaluation of Stress in the Maxillary Complex of a Unilateral Cleft Lip and Palate on Simulated Occlusal Loading Using Finite Element Analysis.,3
348,BBZVVUEG,Stress distribution and axial force under different filing parameters during root canal preparation: An in vitro FEA and experimental study.,3
349,G2CIWA2W,Biomechanical simulation of segmented intrusion of a mandibular canine using Robot Orthodontic Measurement & Simulation System (ROSS),3
350,7S2EB8EK,Comparison between experimental digital image processing and numerical methods for stress analysis in dental implants with different restorative materials,3
351,R4F9LK9P,Influence of Scanner Precision and Analysis Software in Quantifying Three-Dimensional Intraoral Changes: Two-Factor Factorial Experimental Design,1
352,SQ3JDDN7,PowerScope 2 functional appliance: A 3D finite element simulation of its action on the mandible.,3
353,ZF8KYU3K,Stress distribution in endodontically treated external cervical resorption lesions restored with MTA and biodentine - A finite element analysis.,3
354,J277RC4P,Effect of Different Implant-Abutment Mismatches on Stress Distribution: A 3-Dimensional Finite Element Study,3
355,M78JJLDC,Patient-Specific SubperiostealTitanium Implant for Maxillary Reconstruction Following Oncologic Resection: A One-Year Follow-Up Case Report,4
356,R3X7T5XC,Fixation Pins Increase the Accuracy of Implant Surgery in Free-End Models: An In Vitro Study,2
357,9KI3DYAU,Virtually-Planned Orthognathic Surgery Achieves an Accurate Condylar Position,1
358,WY7HU9GF,CAD-CAM for removable partial denture fabrication after marginal mandibulectomy based on a well-adjusted pre-existing denture.,4
359,ESG5XPH2,Three-dimensional evaluation of maxillary second molar position in untreated patients with normal occlusion,1
360,ZV568RJY,A Novel Digital Technique for Measuring the Accuracy of an Indirect Bonding Technique Using Fixed Buccal Multibracket Appliances,2
361,36T3IZ5W,Accuracy of Three-Dimensional Soft-Tissue Prediction Considering the Facial Aesthetic Units Using a Virtual Planning System in Orthognathic Surgery,1
362,C465U7B6,Computer-aided design and 3D fabrication of a segmented silicone obturator-RPD prosthesis for rehabilitating maxillary defects.,4
363,RDSAFSUS,Creating a digital duplicate denture file using a desktop scanner and an open-source software program: A dental technique.,1
364,EW2C8XGG,Accuracy of impressions for multiple implants: A comparative study of digital and conventional techniques.,2
365,SHU8ZH2B,Fully digital workflow for duplicating clasp-retained removable partial dentures using three-dimensional printing: A clinical report.,4
366,26W6AMTX,Three-dimensional macroscopical quantification of plaque accumulation on implant-supported fixed complete dental prostheses surfaces: A methodological  pilot study.,1
367,JVZTWR93,Scanning accuracy of nondental structured light extraoral scanners compared with that of a dental-specific scanner.,2
368,R7GEJ225,Effect of scan body designs and internal conical angles on the 3-dimensional accuracy of implant digital scans.,2
369,G3EFXBN7,Does partial adhesive preparation design and finish line depth influence trueness and precision of intraoral scanners?,2
370,Q7HRL8QA,Effect of splinting scan bodies on the trueness of complete arch digital implant scans with 5 different intraoral scanners.,2
371,9SDX4TPK,Accuracy of scanning using photogrammetry and reverse scan for complete arch implant-supported prostheses: An in vitro comparative study.,2
372,LRABR3D6,Accuracy evaluation of dual-function scan body for recording complete arch implant-supported prostheses.,2
373,5WZYNINZ,Surgical guides for flapless dental implant placement and immediate definitive prosthesis installation by using selective laser melting and sintering for 3D metal and polymer printing: A clinical report,1
374,RVS3GX4D,Dental biomechanics of root-analog implants in different bone,3
375,9Q6DIK59,Design and fabrication of an interim fi xed restoration with an open-source nondental CAD software program and additive manufacturing: A technical report,4
376,F54P2T5S,Designing a complete-arch digital trial tooth arrangement for completely edentulous patients by using an open-source CAD software program: A dental technique,1
377,SA3TBA8Z,Accelerated denture base festooning using a free 3D modeling computer program: A dental technique,4
378,SV83KBN8,Micro-CT analysis of marginal and internal fit of milled and pressed polyetheretherketone single crowns,4
379,ULYRP2VM,Topology design and structural optimization of Co-Cr frameworks for implant-supported prostheses,4
380,TVXA8RF7,Fit of removable partial denture frameworks fabricated from 3D printed patterns versus the conventional method: An in vitro comparison,2
381,I2CX599X,Evaluation of two printing techniques for maxillary removable partial denture frameworks,2
382,E7QLY3AY,Complete arch digital implant scan accuracy with screw-retained or snap-on scan bodies: A comparative in vitro study,2
383,I5J9AXNU,Comparing the trueness of 3D printing and conventional casting for the fabrication of removable partial denture metal frameworks for patients with different palatal vault depths: An in vitro study,2
384,4FC2X3LJ,Trueness of removable partial denture frameworks additively manufactured with selective laser melting,2
385,8T69IZN7,An open-source multifunctional registration device for implant-supported complete dentures,4
386,MIEBLJ9Y,Accuracy (trueness and precision) of a dual-structured light facial scanner and interexaminer reliability,4
387,IHJP7YG5,"Comparison of 3D changes of 3Y, 4Y, and 5Y zirconia single crowns under different sintering protocols",2
388,5ETNVR26,Adaptation of cobalt chromium frameworks fabricated by conventional versus selective laser melting techniques: An in vitro and clinical assessment,2
389,DQD774W7,Three-dimensional in vivo and finite element analyses of peri-implant bone remodeling after superstructure placement,3
390,T3M3ZIE9,Influence of abutment types on the success of two-unit implant-supported fixed dental prostheses: A three-dimensional finite element analysis and fatigue test combined with microleakage evaluation,3
391,J4KXNK2R,An integrated hollow bulb obturator prosthesis with a metal framework for a soft palate defect fabricated by multiple digital techniques,2
392,2KUMDHYG,Use of intraoral scan for implant-supported dental prosthesis to design and fabricate a CAD -CAM veri fi cation device: A dental technique,4
393,HHBRBZMJ,Clinical evaluation of the precision of interocclusal registration by using digital and conventional techniques,2
394,VIMM38A6,Verification of a digital approach for three-dimensional evaluation of marginal and internal fit,2
395,J2RIBVBJ,"Accuracy of registration between digitized extraoral scan bodies and virtual casts: Effect of the edentulous area, tooth anatomy, and registration method",2
396,TTKVIR7E,Time efficiency and precision of splinted complete arch implant scanning,2
397,JJVILXDI,Creating a 3D diagnostic cast with realistic tooth shade and translucency using an open source nondental CAD software program: A dental technique,4
398,PQUU6GDK,Jaw motion tracking with open-source tools: A dental technique,1
399,A89XJPGS,Effect of the CBCT data segmentation threshold on registration accuracy with surface scanning,2
400,9CLL4MDW,Accuracy of Implant Placement Position Using Nondental Open-Source Software: An In Vitro Study.,2
401,749LIY2T,Effect of Scanner Type and Scan Body Location on the Accuracy of Mandibular Complete-Arch Digital Implant Scans: An In Vitro Study.,2
402,VQI8ZHBV,Best-Fit Algorithm Influences on Virtual Casts' Alignment Discrepancies.,2
403,7DUXHX7E,Digital Workflow for Establishing the Posterior Palatal Seal on a Digital Complete Denture,4
404,KL5WKS3T,An In Vitro Evaluation of the Effect of 3D Printing Orientation on the Accuracy of Implant Surgical Templates Fabricated By Desktop Printer,4
405,TD2LKENZ,Effect of customized abutment taper configuration on bone remodeling and peri-implant tissue around implant-supported single crown: A 3D nonlinear finite element study,3
406,4JY485Q3,Biomechanical evaluation of customized root implants in alveolar bone: A comparative study with traditional implants and natural teeth,3
407,SXDKKLNE,Implant-Abutment Discrepancy Before and After Acrylic Resin Veneering of Complete-Arch Titanium Frameworks Manufactured Using Milling and Electron Beam Melting Technologies,2
408,4HEU9QFR,Comparison of denture base adaptation between additive and conventional fabrication techniques,4
409,6EAY9ZAU,Accuracy of Digital Impressions at Varying Implant Depths: An In Vitro Study,2
410,TMBZ6YS8,Accuracy of Guided Implant Surgery in 25 Edentulous Arches: A Laboratory Observational Study,2
411,YSRNRCZ9,Influence of Liquid on the Tooth Surface on the Accuracy of Intraoral Scanners: An In Vitro Study,2
412,Y2LB4NXX,Digital Duplication and 3D Printing for Implant Overdenture Fabrication,4
413,EGCD2BWK,"Biomechanical Analysis of Different Framework Design, Framework Material and Bone Density in the Edentulous Mandible With Fixed Implant-Supported Prostheses: A Three-Dimensional Finite Element Study",3
414,ARJBG6C9,Effect of different digital technology on the adaptation and retention of Co-Cr partial denture frameworks,2
415,PJ6EWCT2,Effect of Internal Design Modification on the Mechanical Properties of Laser Sintered Cobalt-Chromium Multi-Unit Metal-Ceramic Frameworks,4
416,CMS4H94J,Flexural properties and fatigue limit of 3D-printed and milled resin-based materials,4
417,4X7L73PH,The influence of metal artifact reduction on the trueness of registration of a cone-beam computed tomography scan with an intraoral scan in the presence of severe restoration artifact,2
418,NGPJEDGB,Optimization of Prosthodontic Computer-Aided Designed Models: A Virtual Evaluation of Mesh Quality Reduction Using Open Source Software,4
419,G36GDPM2,3D Surface Deviation Wear Analysis of Veneered PEEK Crowns and Its Correlation with Optical Digital Profilometry,2
420,TR23898V,"Geometric assessment of imaging methods for complete denture form: Comparisons among cone-beam computed tomography, desktop dental scanning, and handheld  optical scanning.",2
421,HZ9GBDTR,Surgical guides for dental implants: Measurement of the accuracy using a freeware metrology software program.,2
422,EP3KFPLS,Measured accuracy of intraoral scanners is highly dependent on methodical factors.,2
423,FT2R69U5,Accuracy evaluation of complete-arch models manufactured by three different 3D printing technologies: a three-dimensional analysis,2
424,2CXB78BF,Influence of molding angle on the trueness and defects of removable partial denture frameworks fabricated by selective laser melting,2
425,BN7QDGCL,Influence of reinforcement bar on accuracy of removable partial denture framework fabricated by casting with a 3D-printed pattern and selective laser sintering,2
426,9Z3DYF9Y,Effect of implant placement depth on bone remodeling on implant-supported single zirconia abutment crown: A 3D finite element study,3
427,X9PHNC4E,Protocol for obtaining a digital and physical three-dimensional color map of the skull based on the Hounsfield scale using open-source and free software.,1
428,X2XYASLM,"Biomechanical evaluation of All-on-4, M-4, V-4, and zygomatic implant concepts in the rehabilitation of the atrophic maxilla: a finite element analysis.",3
429,G4EY4CPT,Evaluation of ortogonblender software bone movement tools in bimaxillary orthognatic surgeries performed in dolphin software,2
430,JBLBAXQD,Dynamic finite element analysis of stress distribution in edentulous fixed restorations: Effects of different implant configurations and framework materials,3
431,FB4XISL2,Machine learning-assisted diagnosis of parotid tumor by using contrast-enhanced CT imaging features,1
432,RS26NFUB,Volumetric measurement of manually drawn segmentations in cone beam computed tomography images of newly formed bone after sinus floor augmentation with bovine-derived bone substitutes,1
433,F4LRK4QN,"Development and biomechanical evaluation of subject-specific, anatomically complete 3D finite element models of the temporomandibular joint using the four-finger mouth-opening test",3
434,66ZG9X74,Changes of Airway Space and Flow in Patients Treated with Rapid Palatal Expander (RPE): An Observational Pilot Study with Comparison with Non-Treated Patients,1
435,VRFC6566,Advantages of a Training Course for Surgical Planning in Virtual Reality for Oral and Maxillofacial Surgery: Crossover Study,1
436,IAAA5PCM,Efficacy of a Virtual 3D Simulation-Based Digital Training Module for Building Dental Technology Students' LongTerm Competency in Removable Partial Denture Design: Prospective Cohort Study,4
437,EVIJIMCA,Comparison of dimensional accuracy between direct-printed and thermoformed aligners,2
438,CMTY5QG7,"Comparative Error Analysis of 3D-Modeling, -Printing and - Scanning Methods Used in Orthodontics",2
439,B5653MJF,Stress analysis and risk of failure during clenching in ceramic assembly models: 3-dimensional finite element analysis,3
440,27WN5KMX,Novel three-dimensional methods to analyze the morphology of the nasal cavity and pharyngeal airway,1
441,2JKFABNV,"Feasibility, trueness and precision of intraoral scanners in digitizing maxillectomy defects with exposed zygomatic implants in situ: An in vitro 3D comparative study",2
442,RTDGZ4YL,Effects of Periodontal Splints on Biomechanical Behaviors in Compromised Periodontal Tissues and Cement Layer: 3D Finite Element Analysis,3
443,Y7RSNUSR,Comparison between digital superimposition and microcomputed tomography methods of fit assessment of removable partial denture frameworks,2
444,R3L4M4DQ,Biomechanical effects of different materials for an occlusal device on implant-supported rehabilitation in a tooth clenching situation. A 3D finite element analysis,3
445,J3WWB7A4,Effect of artificial aging and different surface finishing protocols on the flexural strength and surface hardness of a photopolymer for manufacturing monolithic polychromatic complete dentures using PolyJet 3D printing,4
446,DVMCH739,An End-to-End Deep Learning Pipeline for Automated Mandible Virtual Surgical Planning Using Real-World Clinical Data,1
447,KLUTS8EC,CBCT analysis of mandibular position and bilateral symmetry in adult female patients with a deep overbite before and after flat bite plate treatment: a retrospective study,1
448,4LLWL53K,Intraoral volume changes in relation to the hard tissue shape changes in asymmetric patients before and after orthognathic surgery- A retrospective CT study,1
449,5KJ9ZCAV,The precision of gingival recession measurements is increased by an automated curvature analysis method,1
450,VCEI47L3,Finite Element Analysis of Novaloc Attachments at Extreme Angulations and Arch Forms: A Specification Study,3
451,7PML7Y2A,Fabrication of Customized dental guide by stereolithography method and evaluation of dimensional accuracy with artificial neural networks,2
452,4WWZ78KQ,Stress Distribution Pattern in Zygomatic Implants Supporting Different Superstructure Materials,3
453,EEUPFIYZ,Biomechanical Comparison of Asymmetric Implant Configurations for All-on-Four Treatment Using Three-Dimensional Finite Element Analysis,3
454,A4YJJ2FI,Unveiling Software Limitations in the Assessment of the Minimum Sectional Area and Volume in Cleft LIP and Palate Patients,1
455,IIAXIP3S,Stress Distribution on Various Implant-Retained Bar Overdentures,3
456,WA5FYPIY,Accuracy of Mandibular Removable Partial Denture Frameworks Fabricated by 3D Printing and Conventional Techniques,2
457,BDYVLJ3U,Dimensional Accuracy of Different Three-Dimensional Printing Models as a Function of Varying the Printing Parameters,4
458,GXJQYRBP,Optimization of Digital Light Processing Three-Dimensional Printing of the Removable Partial Denture Frameworks; The Role of Build Angle and Support Structure Diameter,2
459,MRYJYM5I,Comparison of Implant Surgery Methods of Cortical Tapping and Cortical Widening in Bone of Various Density: A Three-Dimensional Finite Element Study,3
460,ZKA8VNG5,Biomechanical Behavior of Different Framework and Superstructure Material Combinations in Two-Implant-Supported Four-Unit Prostheses: A Dynamic Finite Element Analysis,3
461,JU74TGET,"Evaluation of Stresses on Implant, Bone, and Restorative Materials Caused by Different Opposing Arch Materials in Hybrid Prosthetic Restorations Using the All-on-4 Technique",4
462,AS7ZN4BZ,Assessment of Compatibility between Various Intraoral Scanners and 3D Printers through an Accuracy Analysis of 3D Printed Models,2
463,DJZMFHEI,"FEA Comparison of the Mechanical Behavior of Three Dental Crown Materials: Enamel, Ceramic, and Zirconia",3
464,WYNW8VHR,Optimization of CBCT data with image processing methods and production with fused deposition modeling 3D printing,1
465,GIPQHWGT,Development and validation of a 3D anthropomorphic phantom for dental CBCT imaging research,2
466,8X3LL8Z8,Comparative Analysis of Fused Deposition Modeling and Digital Light Processing Techniques for Dimensional Accuracy in Clear Aligner Manufacturing,2
467,8GU9PNPM,Influence of Framework Material and Abutment Configuration on Fatigue Performance in Dental Implant Systems: A Finite Element Analysis,3
468,WSCIJHCB,Postoperative facial appearance of patients with extensive oral squamous cell carcinoma can be adequately preserved with in?house virtually planned mandibular  reconstruction.,1
469,26QMLGSA,Identifying teeth and tooth fragments from digital 3D models.,1
470,3RPDNKWU,The level of confidence of dentists in identifying intact and sectioned teeth.,1
471,CD45V2UD,In-house manufactured 3D guides for the localization and treatment of mandibular lesions. Workflow and case series.,1
472,QUEPSGLA,Evaluating the effect of subcrestal placement on platform switched short dental implants and von mises stress in D3 bone-A 3D FEM study,3
473,5TR3AEI5,Biomechanical Analysis of Prosthetic Designs Retained by Two or Four Implants in the Edentulous Mandible: A Three-Dimensional Finite Element Analysis,3
474,XSN8NLIH,Augmented Reality Navigation in Craniomaxillofacial/Head and Neck Surgery.,1
